Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85
97,63,62,71,68,23,97,13,86,1,10,24, ,26,85,29,12,65,63, ,36,56,91,35,52,39,42,35,2,93,2, ,4,35,6,8,36,22,6,31,29,50,96,18,2,56,36,41,84, ,91,19,12,78,42,40,84,3,91, ,54,20,13,76,99,31,52,30,19,87,8,69,28,64,55,82,74,21,60,43,58,70,82,20,67
30, ,99,79,2, ,70,28,60,34,48, , ,51,18,54,36,46,97,66,77,37,49,11,54,28,94,65,84,28,51,41,4,55,85,37,52,16,84,80,0,27,86,70,10, ,62,15,85,6,87,25,81, ,84,95,23,74,90, ,61,54,6,41,67,24,15,2,62,42,68,25, ,21, ,11,45,2,33,16,31,2, ,18,60
30,1,12,85,79,53,18,26,25,24,42,65,3,85,88,81,91,79,12,50,70,73, , ,80,25,86,5,96,72,30,27,80,95,23,24,99,77, ,3,65,98,42,76,63,67,16,72, ,91,69,32,88,88, ,73,77,25,9,43,61,71,51,57,16,15,35,73,18,17,10, ,88,78,39,6,7,97,64,94,2,3,96,16,53
43,32,90,64,84, ,91,22, ,59,11,57,14,56,95,36,95,87,14,49,47,82,26,85,37,0,97,61,18, , ,91,64,39,15,29,33,0, ,26,25,65,57,67,75,34,1,85,13,99, , ,95,87,54,12,32,38,7,11,11,54,81,94,17, ,17,30,69,58,39,55,95,58,1,5, ,92,11,87,42,15,21,13,59
51,37,57,9,16,52, ,28,0,48,46,18,70,71,15,19, , , , ,78,39,27,82,50, ,51,84,16,45,10,39,62,89, ,10,49,39, ,66,1,82, ,33,85,98, , , , ,5,16,93,27, , ,93,65,29,15,79,95,10,73,5,75,33,44,88,42,43,92, ,58,57,65, , ,46,3,21,32,87,34, 
83,54,73,92,35,24,77,51,14, ,61,3,60, ,47,18,23,72,28,76,11,40,96,15,47,92,91, ,74,61,48,77, ,79,70,83,28,57,31,87,1,76,59,34,42,48,83,77,8,84,64,25,62,62,36,40,85,32,84, ,26,80,85,4,6,17,25,10,48,80,29, ,68,98,62,68,9,74,55,40,78,6,27,74, 
 ,26,97,63,73,67,45, ,54,5,62,31,56,57,60,95,88,32,61,34,63,95,42,30,37,87,13,50,52,90,57,18,50,16,40,40,47,3,68,86,69,5,93,52, ,43,21,76,80,83,67,33, ,70,71,8,44,32,59,6,71,55,93,5,65, ,57,79,71,61, ,99,90,31,93,48,2,72,49,42,27,87,65,51,58
18,45, ,35,89,55,7, ,27,39,95,32,89,94,7,11,57,70,47,38, ,97,99,21,32,21,45,41,92,61,68,58,65,5,35,6, ,3,53,31,40,57,27,91,53,57,22,59,30, ,98, ,5,51,37,17,40,51, ,79,0,13,32,75,74,27,95,5,31,44,71,57,90,91,24, ,24, ,78,74,75,86,70,29,74
9,0,67,21,74,45,84,22,53,8,55,76,86,24, ,98, ,17,15,34,42,50,7, ,30,34,72,87,38,43,53,10,34, ,11, , ,96,54,85,81,91,0,19,10,1,18,93,99,12,16,3,70,67,47,86,19,75,2,83, ,84,89,46,72,80,9,19,74,48,67,86, ,65, , ,67,80,9,28,79, ,73,71,80
63,10,54,14,74,6,76,14,54,9,81,67,47,54,23,10, ,21,45,13,73,92,25, ,26,87,7,28,47,15,96,37,24,28,73,37,1,51, ,17, ,37,73,11,20,79,61,73,82,26,22,38,59,45,61,27,95,59,10,71, ,51,91,40,10,16, ,16,21,0,86, ,14,19,37,90,60,38,88, ,28,50,37,29,32
