Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74
53,71,74,59,67,77,75,47,84, ,12,79,55, ,76,42,55,67,87,79,63, ,40,42,11,32,61,60, ,16, ,93,99,20,9,83,26,15,96, , ,3, ,36, ,81,25,32,28,13,67,24,81,29,37,79, ,16,4,96,20,22,7,67,22,69,61,75, ,82,92,14,53,88
19,23,75,83,12,78,99,36, ,40,72,8, ,28,89,70,9,33,51,38,19,11,18,69,62, ,88,20,17,25,28,43,16,39,85,88,67,31,58,34,5,9,13,91,69,3,23, ,40,43,65,79,59,16,77,59,66,1,11,51,1,45,92,2,71,23,38,22,23,22,98,92, ,94
90, ,32,45,26, ,28,40,94,12,0,21,32,38,14,93,28,35,16, ,93,88,18,3,53,5,81,71,47,59,8,56,90,53,56,47,7, ,25,15, ,97,98, ,70,86,59,73, ,91,45,8,62,52,91,94, ,12,78,32, ,2,61, ,10,38,32,61,58,39,17,5,3,64
25,51,1,60,88,76,69,14,65,78,40,37,26,40,35,45,48,18,23,9,7,10,1, ,66,57,41,28,1,40,6, ,67,74,44,64,10,40,49,46,8,85,89,26,61,29,4,70,68,57,42,67,95,73,49,72,67,56,17,45,80,73,49,57,88,31,38,84,6,78,77,13,8,1
 ,46,32,79,70,75,11, ,42,18, ,24,40,62,93,0,8, ,55,46,13,47,39,48,55,58,18,97,60,66,70,52,82,47,13,14,58,63,97,27,3,25,6,25,0,19,65,3, ,50,65,0,2, ,99, ,27,70,38,18,17,62,5, ,78,21, ,7,31,88,71,34,10,44
74,74,45,79,1,41,62,97,65,88,13,31,20,16, , ,12,45,94,78,98,58,55,17,14,57,80, ,11,0,72,4, , , ,32,69,74,90,7,54,98,7,72,26,99,53,55,82, ,88,62,38,64,64,14,52,8,46,93,90, ,73,11,84,18,83,77,26,37, ,35,26,87
9,99,68,48,64,15, ,9,47,98,65,77,58,38,19,93,36,54,96,88, ,36, ,69, ,17,12,82,20,95,24,33,94,87,43,18,15,99,32, ,56,38,27,55,1,60,64,49, , ,3,82,96,45,70,46,17,87,75,36,80,71,53,1,52,41,36,85,95,46,27,38, ,26
71,37, ,75, ,29,63,62,73,58,4,92,38,62,96,27,7,63,0,20,47,84,81,33,65,52,83,5,2,53,75,20, ,84,80,48,18,38,79,63,50,87,39,25, ,93,33,96,51,39, ,9,10, ,48,5,20,85,28,15,31,96, ,29,89,45,22,21, ,31,80,17,14,26
14,5,16,7,62,42,89,2,49, ,81,6,62,58,1,74,10,6,47,47,6,2,36,64,78,65,74,1, ,60, ,56,62,90,7, ,54,20,0,39,47,8,95,14,70,27,36,87,52,85,62,36,20,19,39,51,88,27,28,51,93,29, ,17,21,11,34,80,55,70,76,27,17,91
15,52,26,44,2,82,33,68,27,19,86,59,19,27,74,37,51,3,23,35,9,49,11,11,66,22,21,16,68,76,61,32,5,91,83,53, ,3,55,47,87,16,99,57, ,0,9,31,74,77, ,60,18,36,90,42,86,16,70,1,57,28,77, ,19,42,31,57,26,60,1,91,38,56
