Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58
63,46,81,74,39,44,37,72, ,28,89,50,89,75,97,66,32,50,28,59,43,65,90, ,19,26,94,75,54,18, ,87,99,57,4,53,6,18,23,52,28,47,52,27,66,13,21,21, , ,71,64,90,22,42,17,66,53
98, ,25,92,14,72,25, ,4,61, ,52,13,82,78,26,30,23,66,36, ,51,72, ,67,93,64,23,3,77,96,63,80,63,30, ,67, , ,52,85,92,34,51,48,0,44,82,49,80,68,75,36,88,61,13,81,34
 ,85,80, ,66,99, ,49,79,23, ,22,12,88,51,21,8,48, ,62,95,85,75,91,88,19,33,34,1,21,95,97,31,77,95,90,14,83, , ,16,44,11,25, ,27,32,85,1,87,91,50,48,45,24,35,52,44
46,13,33,82,44,21,83,0,67,5, ,51,17,77,39,62,59,42,18,34,27,6,86, ,61,25,98,17,36,17,44,15,89,15,18,76,25,9, , ,71,7,94,14,46,17,4,94,35, ,50,39,1, ,81,72, , 
75,41,91,83,6,2, ,96,98,52,6,98, ,73,87,36,90,49,83,87,79,67,5,78,29,89,65,77,15,61,97,67,11,19,58,61,2,19,59,44,56,67,14,94,95,32,55,80,17,62,7,14, ,33,13,62,87,69
10,4,10,73,16,84,92,46,92,82,24,19,47,39,78,44,24,29,9,38,77,10,7,38,26, ,51,21,84,28,82,63,62,1,21,36,82,58,67,89,41,69,47, ,32,9, ,47,49,26,8,55,96,4,89,68,39,89
2,99,69,92,72,35,51,72,11, ,7,9,54, , ,20,23,43,28,30,19,96,87,11,90,60, ,68,85,38,61,88, ,17,56,72, ,91,66,25,63,75,36,11,78,35,64,90,0,70,43,18,87,69,62,38,70,61
8, ,87,48,35,95,45,59,24,9,63,24,82,56,90,71,80,10,15,72,3,40,48,40,76,28,70,58,72,62,85,60,77,33,29,44,73,82,83,95,73,0,76,97,73,11,93,25,43,63,64,6,92,59,11,36,78,29
95,3,86,27,88,50,11,5,22,13,0,90,28,98,62,62, ,66,40,54, ,6,2,84, ,6,7,21,11,9,32,0,79,14,85,28,75,46,2,30,58,30,58,46,86, ,18,8,51,92,53,25,23,40,26,99,63,68
95, ,65,30,24,82,53,95,3,76,66, ,35,43,65,71,36,53,32,42,83,88,98, ,49, , , ,92, ,27,20,20,34,64,6,34,19,50,28,63,19,9,39,37,26,22,27,75,96,64,15,69,39,99,57,35, 
44,16,58,21,5,51,44,44,78,99,17,16,33,94,19,73,92,58,72, ,77, ,25,39,76,17, ,34,10,44,66,14,15,30,37, ,18,55,82,60,50,38,13,2,43,67, ,9,79,32,29,92,88,62,30,16,93,91
68,64,68,59, , ,59,93,70,62,28,11,6,34,94,77,89,9, ,77,97,73,44,59,4, ,66, ,77,56, ,79,63,99,3,7,87, ,72,4,8,53,45,78, ,56,58,91,90, ,90,99,14,88,79,89,78,48
9,84,48,45,44,97,12,78,60,4,18,90,53,81,77,63,23,75,34,77,42,62,27,59,18,62,56,34, ,16,8,6,70,71,88,19,35,30,21,50,90,70, ,22,81,79,63,30,95, ,38,23, ,58, , , ,45
82,13, ,84,25,31,90, ,21,26, ,64,7,22,75,14,41,31, ,85,12,65,93,70,0,41,98,91,33,1,89,13,38,70,56,55,17,48,90,98,11,17,65,89,22,97,88,49,39, ,96,98,93,14,8,2,45,15
6,44,47,2,24,8,53,94,4,16,10,1,65,18,45,67,58,57,47,64,74,23,2,78, ,94,21,6,91,58,56,69,51,66,28,22,1,23,98,7,52,10,28,14, ,73,85,90,18,61, ,88,1,93,19,66,97,30
92,26,77,80,40,89,65,97,61,38,76,88,23,23,74,30,11,74,11,87,2, ,67,85,99,46,47,51, ,6, ,80,53,32, ,21,77,74,86,47,47, ,18,87,79,8,44, ,25,58,27,95,90,57,53,27,68,55
93,80,37,67,63,24,37,62,51,12,31, ,84,34,82,40,3,55,35,29,38,79,9,91,13,87,81,62,71,50, ,91,9,84,25,1, ,74,26,22,58,67,91,3,13,51,28,56,68,42, ,2, , ,16,26,35,59
11,63,8,73,69,11,94,96,11,12,78,13,78,95,85,85,60,56,66,50,68,65, ,61, ,97,55, ,68,58,67,94,56,82,47,72,1,45,74,93,11,34,90,6,81,69,36,71,55,98,4,80,80, ,55,62,46,25
88,79,17,17, ,81,74,91,40,43,0,47,79, ,71,29,2,32,66,27,17,65,82,46,42,98, ,23,12,93,74,73,25,4,58,34,72,7,25,74,52,78,60,25,5,18,41, ,66, ,73,11,83,51,11,0,56,2
67,37,36,12,23,46,19,31,72,2,26,47, ,47,87,25,67,60,25,73,27,27,46,34,30, ,86, ,33, ,81,15,89,49,0,3,83, ,9,34,68,96,45,85,35,89,0,79,41,31, , ,23,24,55,18,90,58
85,25, ,61,42,90,4,36,3, ,44,66,86,4,10,91,82, ,8,26,37,94,63,99,23,55,47,32,22,21,64,18,98,7,42,76,2,6,71,65,9,61,56,74,47,6,13,46,19,18,88,41,66,55,54,31,42,21
86,77,93,46,8,18,47,90,31,25,81,34,2,0,59,43,19,80, ,27,14,36,68,33,4,29,47,37,14,84,64,2,26,91,29,58,39,86, ,20,73,41,34,13,67,3,81,29,38,83,82,36,43,12,99,63,20,48
58,73,79, ,60,82, ,36,5,40,45,72,34,91,45,3, , ,55,88,18,95,25,34,85,80,81,8,84,26,40,88,65,5, ,94,12,50,61,54,83,4,76,17,15,57,0,79,94,50,29,70,81,61,19,66,11, 
88,30,16, ,8,6,35,22, ,51,86,11,55,26,21, , ,42,92,92,63,17,76,90,28,94,7,74,88,73,3,44,86,60,59,89,23,76,13,78,43,22,54,69,28, , ,39,19,89,5,33,71,2,56,15,57, 
80,62,80,6,62, ,65,89,36,3,90,26,23,7,18,98,45,88,88,30,56,76,24,76,60,30,54,43,40,16,16,85,23,86,68,25, ,1,9,22, ,1,78,58, ,98,50,90,42,89,39,84,27,40,55,95,20,79
2, ,24,78,21,88,77, ,93,78, ,5,77,42,30,47,99,55,48,6, ,27,67,39,91,89,11,75,4,41,40,79,62,49,96,4,9,85,47,86,58,9,3,69,95,39,73,29,66,34,10, ,19,72,18,82,55,67
62,94,48,8, ,27,15,94,57,88,24,16,78,3,68,4,24,88, , ,2,75,5,24, ,81,30, ,90,50,54,5, , ,17,67,36,1,64,69,67,70,75,39,4, ,54,97, ,20, ,37,82,4, ,43,21, 
