Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121
173.83,43.54,153.33,189.26,34.91,151.07,152.64,296.74,267.31,48.29, ,104.16,63.51,82.94,155.98,133.41,206.46,26.50,242.76,95.08,183.35,52.72,221.23, ,85.59,94.23,86.10, , ,66.26,216.58,143.02,131.85,155.67,152.47,164.06,156.57,184.25,118.42,146.40,91.35,196.45,65.87, ,3.91,254.57,32.78,133.96,84.87,137.66,112.39,170.22,55.73,297.55,54.35,127.30, ,59.29, ,125.16,152.21,73.33,120.01,59.79,88.10,213.89,150.82,124.93, ,180.66,137.12,11.30,288.86,202.42,64.02,173.30,18.52, ,125.30,200.61,76.34,29.75,214.48,16.51,201.60,220.06, ,81.62,117.30,259.30,118.62,186.03,44.49,294.30,29.85,39.59,193.02, ,183.24,125.25,282.18,55.83,185.41,283.87,166.33,14.57,172.97,72.08,82.38,159.19,6.49,260.95,168.89,166.11,232.02,251.88,18.22,116.45,56.73,258.90,154.66
109.11,11.37,192.52,157.83,15.11,27.59,85.75,265.31,248.60,243.23,111.54,208.18,165.08,28.31,187.98,97.45,210.60,178.29,202.57,154.84, ,182.43,286.20,159.06,27.50,181.30,167.93,136.16,7.83,124.23,289.05,229.25,217.80, ,20.92,200.55,158.32,58.18,87.19,211.12,164.58, ,92.56,49.30,231.37,29.80,188.93,62.81,5.00, ,169.42,96.90,177.28,170.96,7.29,72.54,283.41,185.92,29.69,239.27,252.74,288.21,185.33,71.16,12.05,159.78, ,256.68,230.58,122.41,219.19,238.58, , , ,253.94,44.90,163.81,189.60,5.99,159.07,78.45, ,238.23,182.22,4.05,106.81,278.83,207.04,163.60,93.12,224.95,232.03,162.32,7.76,235.66,173.41,161.14, , ,97.14,294.27,136.75,227.66,127.08,32.99,105.71,177.81,124.63,148.83,39.51,1.29,239.28,287.99,219.24,199.78,153.69,117.57,295.13,106.01,179.94
112.88, ,290.69, ,100.53,76.70,21.73, ,261.01,103.21,171.93,261.20,86.63,5.88,150.38,183.08,231.05,85.46,287.20,233.01,176.69,153.63,119.88,131.95,184.31,142.31,168.11, ,254.75,250.41,109.13,214.90,232.57,167.17,224.18,82.27,120.01,154.75,0.30,268.69,270.68, ,26.91,27.00,26.71,221.86,94.89, ,176.60,210.41, ,134.58,87.49,107.10,290.45,268.22,212.54, ,116.39,74.40,299.90,215.08,267.72,80.55,247.03,47.06,0.92,292.02,139.77,95.12,118.17,75.91,251.50,242.47,98.23, ,98.13,171.34,30.44,164.34,91.97,268.60,122.42,241.43,160.65,205.56,187.32,44.25,196.03,24.76,267.80,220.18,104.36,149.72,236.46,56.34,135.56,277.84,45.82,68.42,288.42,174.81,218.50,258.04,88.65,78.45,24.44,122.38,90.15,263.60,286.18,55.04,44.88,79.72,252.16, ,240.58,171.99,40.60,74.36, 
 ,233.57,81.59,58.54, ,30.64,48.96,193.93,138.56,136.89,29.52,66.41,29.63,198.68,229.12,220.30,169.45,17.82,59.06,164.14,272.37,143.44,211.60,125.33,276.18,268.43,51.26, ,80.89,231.07, ,220.81,236.72,124.60,195.86,204.55,153.10,254.78,198.24,33.91,216.53,285.79,15.78,219.79, ,143.15,44.78,200.06,232.35,16.51,186.18,91.44,53.27, ,49.81,67.33,190.18,93.80,168.82,213.02,157.76, ,137.00,227.39,267.65,27.38,46.63,184.33,159.75,106.43,287.41,128.04,163.21,164.92,280.72,252.20,132.26,1.10,58.91,6.32,88.23,10.73,247.27,272.93,132.66,167.72,52.40,191.19,107.67, ,88.39,207.00,162.88,158.83,249.07,138.46,175.55,286.36,119.44,283.34,14.07,94.18,115.11,25.33,197.61,285.51, ,192.50,274.94,2.56,31.74,245.54,265.42,293.72,237.15,259.18,189.21,257.78, , ,48.69
245.34,153.21,242.19,75.08,128.39,24.21,167.52,167.49,87.47,108.78,36.35,188.22,89.84,248.92, ,297.60,139.08,247.75,69.92,145.52,121.85,11.26,90.68,149.46,68.48,32.40,47.03,281.32,190.19,221.51,21.07,211.55, ,159.30,116.76,76.10,274.61,115.07,89.93,106.04,164.56,45.96,163.75,238.98,36.51,57.85,87.37,65.08,23.80,178.10,77.14,244.38,253.45,8.34, ,114.38,20.09,102.90,94.85,216.73,285.72,289.03,70.40,204.33,289.79,196.03,205.85,74.74, ,134.19,147.06,80.32,9.82,6.91,106.27, ,37.46,187.32,81.09,292.48,275.65,114.12,112.64,21.91, ,125.58,243.52,11.29,176.65,35.27,8.67,139.68,179.00,100.29,162.60,197.97,33.67,262.14,292.88,227.25,259.69,201.82,25.48,227.05,234.21, ,242.88,225.37,282.85,256.13, ,14.14,17.50,266.55,253.16,261.75,139.69,233.24, ,258.72,51.69
188.83,246.55,117.85,287.56,178.80,289.03,257.83,65.79,41.88,258.80,7.18,141.00, ,182.51,31.17,104.96,25.95,138.57,236.81,145.23,189.29,26.54,46.75,3.36,143.75,11.19,55.98,286.06,222.84,37.86, ,142.82,31.64,284.60,198.59,34.54,184.37,262.65,170.20,125.30,208.27, ,53.34,84.19, ,7.04,252.54,213.66,107.08, ,91.68,255.74,169.15,271.13,154.49, ,219.01,85.41,92.48,180.62,103.40,237.23,128.00,71.48,285.14,286.96,270.25,298.02,290.73,28.14,44.36,146.14,39.59,90.65,250.75,154.62, ,91.86,19.29,236.06, ,114.63, ,84.87,7.07,160.22,170.03,241.29,289.68,30.83, ,162.90,266.58,226.12,109.38,177.17,26.76, ,141.38, , ,155.52,68.14,270.84,159.28,229.41,116.79,70.20,123.14,78.68,168.29,250.05,113.72,285.75,98.85,37.87,53.39,239.58,209.13,59.70,122.56
217.38,249.35,51.45,229.76,213.16,66.68,57.04,204.27,232.24,169.92,168.80, ,108.39,72.63,104.54,141.37,58.43,42.99,132.18, ,262.31, ,28.99,130.87,96.12,141.63, , ,268.05,275.24,11.73,95.24,188.91,209.90,17.35,293.35,68.37, ,97.01,140.84,173.81,84.98,191.87,91.04,152.26,278.84,69.65,23.94,215.62, ,162.96,48.72,127.44, ,239.28,168.36, ,42.16,287.93,22.22,180.66,24.41,4.67,8.25,277.05, , ,289.99,215.52,266.25,155.79,282.24,260.02,272.84,192.72,91.81,132.91,240.76, , ,110.43,276.80,113.48,25.09,33.74,142.17,283.57,91.66,67.84,28.17,53.87,1.44,135.82,118.16,291.67,22.01,248.54,189.58,222.60, , ,155.28,256.34,5.61,104.66, ,132.83,153.56,115.56,189.53,117.40,241.58,288.12,95.17,233.26,209.52,22.69,3.21,122.21,35.95,246.71
269.89,223.52,133.25,122.70,289.00,288.89,86.73,274.27,263.93,39.10,55.46,39.32,92.13,200.73,31.73,237.48,226.98,125.08,200.09,83.00,187.88,119.67,48.90,156.52,1.47,186.28,257.41, , ,87.12,177.62,163.77,120.48,276.10,150.97, ,233.97,81.21,184.94,54.76, ,67.59,107.97,37.28,179.47,114.93,169.21,85.44,107.65,123.72,151.48,259.92,208.66,126.02,210.13,269.28,94.19,169.36,290.74, ,170.21,82.47,228.73,222.24,182.66,85.43,279.64,226.33,268.77,150.48, , ,152.57,126.52,220.03, ,126.67, ,186.19,187.18,153.71,76.64,237.58,2.78,222.18,241.67,180.63,74.24,124.47,92.95,116.26, ,296.45,275.89, ,54.59,140.77,43.44,244.68,79.47,198.24,176.58,192.61,232.06, ,56.54,192.45, ,205.42,6.37,263.09,70.91, ,211.67,30.67,170.67,208.56,209.93,294.71,102.82,281.91
151.42,263.34,45.97,249.29,279.63,296.25, ,13.93,276.93,50.73, ,62.42,228.71,224.78,22.20,275.35,97.27,42.55,170.63,33.87, ,13.50,117.94,179.53,66.41,71.78,262.48,179.57,111.07,201.83,174.12,9.83,26.69,220.78,7.23,121.17,130.99,241.43,181.01,80.80,277.42,64.57,34.94,216.94, ,118.77,270.18,190.32,74.89,69.19,34.15,283.35, , ,102.72,299.04,239.22,201.10,11.03,126.74,57.95,51.23,153.23,224.91,169.81,70.46,161.99,17.49,265.91,263.37,85.40,292.32,208.87, ,219.90,243.16,92.37,226.30,69.12,194.01,117.52,183.13,55.80,74.00,253.65,164.51,86.38,14.61,35.79,227.42,242.45,130.76,86.47,3.92,4.77,268.27,91.73,178.80,139.15,48.68,253.78,115.09,40.11,151.16,37.72,31.58,249.15, ,35.62,18.92,224.18,159.49,8.58,225.27,150.04,204.79,131.85,57.93,158.08,23.17,225.35
 ,205.52,127.91,86.53,239.45,271.50,137.24,164.87,243.24,298.16, ,241.00,43.74,125.18,186.55,135.81,250.11,17.42,229.28,87.54,177.39,248.10,202.52,198.55,209.31,48.80,145.29,283.79,288.73,90.86, ,226.67,207.44,4.58,257.31,295.98,119.91,182.01,263.78,52.13,57.39,63.23,116.95,71.81,41.76,96.85,138.12,204.20,51.55,254.00,151.30,242.78,11.25,124.79,272.87,289.46,148.57, ,265.51,190.09,147.49,68.35, ,91.86,254.55, ,208.55,28.79,95.06,169.78,124.79,192.72,134.27,150.27,41.26,292.69,87.28,2.23,204.70,247.49,165.78,50.91,243.19,232.86,79.71, ,204.49,150.82,81.73, ,268.69,172.25,46.40,101.56,115.15,259.86,179.67,153.55,199.97,10.29,134.99,235.47,294.49,243.91,264.65, ,233.34,129.39,179.15,296.28, ,2.54,266.72,13.29, ,213.26,123.08, ,213.08,145.09,164.50
