Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116
49.30, ,166.59, ,279.83,215.27,293.12,217.01,252.35,39.18, ,94.41,289.56, ,139.25,184.43,130.06,145.43,28.99,45.94,107.35,188.79,166.62, ,83.64,24.67,97.02,60.28,284.35,257.40,189.09,237.06,102.05, ,281.41,25.51,35.07,53.12,155.49,105.76,3.38,252.47,260.61,265.65, ,15.50,7.51, ,244.57, ,275.31,164.89,106.44,70.11,245.36,94.80,99.73,168.49,275.08,223.94,39.52,200.48,185.40,259.60,152.56,150.31,260.57,162.92,207.45,6.32,227.00,17.92,123.72,290.04,260.28,44.40, ,244.89,175.36,14.41, ,194.05,133.31,7.71,221.63,229.26,67.97,29.07,182.98,272.32, ,232.60,295.99,76.96,287.20,93.75,94.50,195.67,232.51,94.72,271.92,158.00,77.85,228.95,197.24,136.06, ,68.66, ,1.05,270.18,186.54, ,281.04,185.54,95.64
162.76,207.75,182.38,250.49,36.57,93.88, ,164.14,18.96,180.93,255.63,8.27,215.05,123.21,183.68,173.83,54.02,27.26,80.58,177.14,171.45,71.10,241.68,141.38,256.64,280.65,173.43,54.45,287.05, ,170.73,40.50,122.93,17.50,19.28,226.72,23.82,67.60,159.78,154.96,259.49,101.06, ,89.97,139.18,103.86,247.76,46.34, ,285.04,45.28,107.87,0.83,190.10,145.27,71.28,170.29, , ,202.52,61.32,67.38,232.60,86.11,119.57,101.07,279.60,108.94,118.35,219.16,178.21,58.33,64.67,280.25, ,182.78,261.28, ,99.63,10.98,49.47,209.84,235.17,296.88,276.91,153.89,123.67,260.51,281.59,110.62,267.36,144.62,271.86,75.48,100.24,257.23,217.01,0.25,56.51,196.29,112.36,229.50,82.27,118.04,215.19,25.70,239.23,20.28,26.46, ,126.69,239.82, ,106.89,251.40,273.79
196.82,197.86,22.19,16.33,43.99,68.87,114.07,240.01,219.20,230.11,93.16,141.61,211.55,46.23,111.90,10.65,106.17, ,128.35,151.36,232.63,37.45,196.95,242.33,264.75,261.40,1.97,8.15,285.28, ,148.24,137.78,77.27,67.39,72.29,63.66,188.65,78.31,43.49,133.31,88.62,36.19,44.08,263.32,95.20,233.38,288.52,102.31,15.10,278.10, ,41.76,14.38,206.58,231.80,38.67,119.07,42.77, ,152.69,240.48,257.53, ,246.05, ,11.85,163.34,47.52,31.71,3.45,82.37,151.81,247.48,231.89,201.16,153.12,43.68,1.74,267.46,247.26,186.70,172.60,249.06,39.11, , ,200.77,251.37,291.10,210.97,227.10,229.12,165.99,173.81,274.01,60.80,53.75,180.38,297.54,146.47,110.20,79.20,120.67,63.55,229.42,34.76,86.66,236.74,236.67,120.39,251.82,131.95,128.70,231.91, ,78.38
251.96, ,262.93,272.65,253.21,1.01,58.59,251.85,40.33,105.88,99.20,41.92,63.26, ,295.17,85.24, ,37.19, ,0.13,74.47,188.97,27.62,35.13,128.78,155.63,136.33, ,194.03,47.64,228.89,252.46,76.35,85.48,120.34,113.67,261.76,245.07,167.90,273.43,250.79,138.83,140.21,84.58,213.46, ,142.35,243.99,199.69,153.58,90.34,126.90,2.63,91.52,135.09,214.36,164.31,257.12,58.45,216.97,25.76,84.22,172.53,236.21,298.21,85.45, ,212.35,133.29,26.52,14.62,288.58,104.35,90.03,265.28,153.71,228.10,142.19,75.44,32.43,168.61,233.11,252.88,192.16,24.99,160.39,158.73,172.53,55.80,199.82,164.90,79.05,256.44,189.22,91.64,179.54,43.86,217.41,258.10,82.91,28.26,22.71,92.28,150.06,157.81,169.16,103.41,115.71,169.45,91.73,226.57,221.34,83.91,267.17,248.32,25.11
293.38,163.56,243.06,233.73,63.49, , ,51.10,226.75,244.21,181.64,289.75,141.21,241.73,115.68,158.46,166.62,188.60,237.48,43.79,232.52,274.11,274.18,295.37,245.76,219.41,110.37,230.38,282.83,59.96,62.15,239.29,70.25,258.96,259.56,178.95,110.04,248.17,178.27,285.15,183.13,251.43,113.72,245.08,53.92, ,116.07,134.34,293.70,3.81,221.79,180.38,116.60,62.04,211.71,185.96,188.71,287.16,204.23,127.28,222.89,195.82,55.77,83.81,292.40,50.91,94.17,28.07,264.73,111.58,95.69,212.17,88.05,166.60,68.30,293.06,126.19,30.14, ,113.95,211.44,282.34,295.73,153.70,178.37,18.08,39.50,266.97, ,166.30,95.96, ,89.02,10.55,255.93, ,69.87,108.37,106.30,267.17,87.71,198.30,191.75,71.02,220.08,11.05,285.39,20.99,196.03,180.31,202.70,70.85,196.78,244.00, ,211.17
200.94,221.32,276.59,3.48, ,98.38,180.89, , ,253.54,148.64,71.98,206.68,23.91,22.06,106.54,179.08,36.24, ,268.70,225.30,124.48,70.56,200.68, ,102.56,219.60,241.72,2.54,134.42,251.86,294.36,291.77,187.96,137.37,296.71, ,268.88,183.93,221.87,193.78,187.17,163.01, , ,140.91,289.00,43.64,161.71,137.25,290.01, ,228.84,250.41,130.85,276.91,74.66,64.07,248.69,181.07,9.10, ,100.88,95.32,170.13,246.57,292.20,172.64,165.42, , ,165.45,235.30,42.58, ,60.65,165.53,32.58,277.38,275.51,55.87,172.17,66.60,5.10,52.19,168.60,284.97,252.24,62.29,295.47,87.78,4.64,297.84, ,275.21,103.44,53.63,149.42,290.07,71.64,81.16,161.84,226.43, ,179.32,108.16,110.25,230.91,149.24,152.10,203.96,80.61,203.49,30.63,294.15,41.67
140.77,149.25, ,138.08,88.89,237.07,299.46, ,114.34,123.34,259.42,116.29, ,19.78,239.15,38.27,31.47, ,14.60,148.24,13.00,13.05,214.23,201.67,171.32,29.49,282.43,21.96,28.95,118.50,169.63,111.34,139.78,7.91,11.93,78.54,133.31,227.15,68.33,94.77,144.81,234.31,113.18,225.97,186.76,215.19,152.78, ,292.56,232.69,175.48, ,200.41,17.08,269.70,256.37,25.05,188.74,228.43,215.63,144.03,198.88,158.78,85.76,44.22,16.25,124.78,116.64,27.27,152.75, ,109.12, ,210.31,203.54,252.09,293.14,221.56,155.35,243.68,163.90,190.40,179.06,285.25,40.37,129.42,9.49,2.24, ,212.55,196.25,273.19,44.43,236.98,224.66,180.13,181.22,56.17,47.09,46.62,111.72,172.21, ,220.75,139.56,219.62, ,270.91,125.14, ,62.12,127.84,131.92,260.66,49.78,47.04
68.65,232.84,262.04,196.43,244.75,96.25,196.66,135.28,31.12,233.71,102.40,172.69,55.16,234.27,155.38,226.06,71.13,51.82,96.57,215.96,284.24,205.69,218.19,211.43,191.57,42.55,206.70,228.29,48.59,66.81,143.86,127.99,151.76,248.16,128.06, ,112.30, ,293.21,236.30,43.83,49.79,121.84,1.62, ,50.21,285.16,56.55, ,271.54,261.98,78.12,83.82,202.34,263.10,54.67,100.19,27.27,184.88,106.46,199.25, ,111.93,190.87,287.99,140.02,235.02,195.90, , ,227.40,226.77, ,126.17,256.87,73.11,2.56,28.24,204.38,13.74,155.81,202.35, ,20.13,81.95,88.92,179.70, ,106.47, ,232.65,144.42,135.51,88.65,14.40,219.47,4.19,135.14, ,263.99,56.30,290.59,116.76,152.03,245.27, ,132.82,34.75,277.24,263.41,185.34,56.35,257.14,238.63,246.95,56.27
31.10,146.18,200.88,155.46,7.54,6.30,5.11, ,282.36,81.01,96.65,104.60,15.97,140.08,112.09,164.52,145.98,113.86,149.51, ,183.47,118.82,24.02,230.81,106.29,222.64,238.76,259.13,297.43,280.30,236.36,270.20,241.16,17.90,68.35,95.42,77.68,141.58,38.17,243.32,214.50,298.99,147.42,293.47,82.39,250.52,68.94,222.79,139.56,100.66,134.71,159.72,110.31,14.09,73.70,292.93,123.38,141.46,250.04,115.64,108.70,51.19,286.88,187.74,214.68,34.34,184.47,261.79,195.38,143.26,233.29,257.28,128.12,27.47,233.68,110.59,209.27,220.02,135.77, ,50.44,56.93,280.63,61.62,146.38,118.68,270.79,72.73,82.99,54.93,105.16,271.74,107.31,67.56,269.28, ,19.73,82.99,252.11,181.18,180.37,46.20, ,1.07,216.92,240.04,245.20,169.89,192.73,50.46,280.67,135.61,39.47,89.72,59.19,40.20
4.08,32.91, ,33.98,65.26,8.50,63.25,207.01,246.43,30.65,164.88,42.33,89.86,261.32,208.60,289.09,89.12,228.23,96.31,157.50,80.26,198.68,219.70,123.69, ,154.34,154.78,115.17,294.59,287.70,173.19,232.58,161.86, ,250.90,258.95,138.42,274.39,182.71,142.79, ,132.69,133.06,65.47, ,60.07,1.55,86.00,236.13,236.16, ,187.05,110.20,231.94,269.84,32.12,111.83,224.15,199.26,231.98, ,245.83,218.26,28.35,21.67,158.77,81.16,144.87,120.22,106.62,110.15,1.74, ,40.26,132.01, ,63.99,260.88,229.07,257.19,183.40,221.90, ,3.06,81.55, ,221.87,142.02,60.02,6.11,184.03,79.53,159.77,27.82,153.34,299.79,214.31,89.39,225.35,139.27,107.62,149.93,1.36, ,61.38,67.62,19.75,88.43,131.73,171.12,85.29,252.18,42.32,285.21,60.71,17.79
