Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
14.20,71.91,8.23,7.55, ,56.81,38.85,90.88,79.70,30.92,56.35,72.39,54.01,19.55,77.30,72.36
13.71,25.39, ,13.79,55.67,31.69,22.83,7.53,67.70,1.25,95.15,7.17,43.10,9.62, ,9.13
49.72,46.86,90.16,88.90,40.74,96.73,95.71,64.93,52.44,67.29,98.89,94.38,99.48,98.58,9.58,60.89
30.55,34.40,92.83,85.75,96.18, ,91.89,55.90,19.67,25.22,58.52, ,47.48,14.60,25.08,53.78
83.47, ,17.88,86.56,90.78, ,73.27,29.25,67.00,60.16, ,67.04,93.99,32.63,82.91,0.15
 ,86.13,16.80,8.44,66.43,12.61,86.99,97.66,26.37, ,86.53,15.80,76.44, ,9.07, 
87.76,11.89,71.15,37.03,10.89,17.45,71.47, ,57.35,63.74,66.33,70.25,82.94,34.05, ,43.12
50.51,62.63,51.12,64.85,84.80,47.01,36.26,6.26,75.84,47.50,74.25,29.81,97.59,65.92,99.35,67.94
39.92,12.25,64.36,79.20,52.84, ,89.11,57.67,20.53,20.37,39.84,9.90,32.60,37.63,62.88,90.86
86.60,24.99,85.79,56.84, ,83.05,44.04,44.02,48.28,37.28,49.46,38.27,4.89,58.80,64.69, 
77.43,40.10,69.72,4.51,60.83,9.61,3.49,91.21, ,0.83, ,50.29,52.27,34.87,30.26,18.77
81.36,27.81,98.63,47.35,24.09,62.59, ,66.09,46.59, ,47.42,70.67,74.16,69.16, ,99.43
95.80, ,92.00,74.53,60.51,93.78,30.06,18.30,22.45,32.03,46.02, ,16.69,27.28, ,36.31
45.74,12.45,61.09, ,35.62,4.40,88.86,87.55,7.29,67.69,5.02,42.66,29.76,61.61,98.98,93.35
53.67,28.09,62.45,78.45,27.63,55.57,71.85,61.73,16.11,75.77,6.05,5.59, ,67.20,76.76,86.18
28.79,20.50,50.00,41.81,80.68,3.64,96.51,58.90, , ,51.42,94.36,89.59,47.63,23.00,31.92
16.80,96.74, ,46.74,65.88,71.02,98.46, ,45.22,62.70,15.41,92.10,83.98,39.94,38.48,56.01
72.12,31.11, ,55.17,0.45,10.42,11.60,39.67,54.10,61.35,82.17,54.30,59.46,31.88,74.48,47.09
66.94,75.99,30.01,51.40,52.21, ,63.80,41.61,24.80,23.81,90.55,41.30,58.75,14.37,51.77,96.92
76.13,72.64,46.84,63.32,56.00,79.25,95.83,82.26,29.24,7.63,5.36,2.28,26.21, ,77.98,10.86
