Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55
12.72,50.12,24.58, ,57.43,32.89,99.30,4.53,69.97,51.97,45.47,16.85,50.07, , , ,16.53,15.16,50.05,20.70,7.91,32.06,42.79,70.95,60.06,6.22, ,2.95,14.59,25.34,98.49,13.94, ,9.40,39.43,94.74, , ,70.02, ,12.81,45.25,81.73,55.27, ,58.22, ,78.02,55.47,78.83,90.81, ,20.27,38.26,88.58
17.66,38.48,71.41,37.22,41.89,75.74,98.19,99.76,11.97,44.47,63.76,79.29,92.69,81.22,14.57,3.30,28.40,24.20,1.93,20.27,83.38,83.76,29.96,70.56,68.45,30.42,28.92,84.98,9.27,52.57,36.00,56.07,97.64,64.20,41.69,43.40,80.48,6.63, ,77.20,79.12, ,11.33,92.50,42.77,62.51,25.61,51.19,62.90,61.95, ,3.64,91.81,92.05,35.34
29.65,54.86, ,37.65,25.92,16.41,31.92,64.02, ,15.21, ,64.05, ,12.46,79.01,33.51,23.25, ,52.89, ,61.66,66.05,12.07, ,80.75,77.09,85.64,59.98,94.85,26.01,36.49,41.29,64.32,64.02,85.90,14.55,78.57,80.36,12.77,58.50,4.67,38.29,90.10,15.17,22.31,47.23,71.99,99.57,0.87,69.47,80.50,1.07, ,81.42, 
57.98,91.01,13.48,52.97,27.57, , , ,35.77, ,24.28,17.61, ,87.09, ,71.11,11.41,94.39,53.32,8.70,15.02,73.63,25.78,36.12,51.08,50.08,26.74,68.02,99.51,31.44, ,2.55,3.61,18.79,11.70,43.12,86.18,29.65,91.08,90.28,81.94,55.48, , ,9.71,29.35,38.24, ,40.79,45.38,83.94,10.88,22.91,41.27,96.57
79.31,85.71,9.36,40.18,83.87,60.77,99.37,28.92, ,69.71,97.50,89.22,79.78,0.20,85.60,43.26,67.73,66.75,80.04,92.61,72.05,91.86,62.00,91.64,54.33,7.41,30.24,29.11,40.96,56.71,17.73,7.59,70.64,37.89,62.51,81.77, ,73.63,55.13,88.92, ,50.27,81.99,61.30,90.54,40.41, , ,47.21,43.61,10.73,68.53,12.00,7.80,23.93
60.27,93.99, ,44.27,11.93,43.51,15.32,63.44,74.58,9.77,65.19,21.72,96.15, ,46.44,63.83,7.83,70.14,41.64,46.09,12.01,67.36,86.19,98.48,87.71,58.53,85.26,20.42, , ,90.64,18.13,99.11, ,69.25,20.22,73.87,81.35,11.43,30.93,14.87,12.28,38.21,20.21,31.39,6.65,42.80,64.90,34.50,75.85,18.65,73.08,40.15,37.26,70.81
 ,85.69,88.42,86.08,40.84,30.80,17.10,35.79,42.47,86.98,8.91,51.98, ,44.50,18.23,96.73,49.94,74.74, ,95.37,60.70,94.34,29.20,69.07,63.92,98.05,44.88, ,96.86, ,41.36,23.68,53.83,73.06,87.47,88.01,54.77,19.05,40.21,60.54,13.25,20.81,75.38,18.27,62.55,22.46,87.34, ,41.17,0.08,46.35,55.89,25.71,48.24,44.80
35.36,9.74,74.89,35.20,39.31,3.13,74.68, ,20.83,98.04,34.13,26.05,21.81,30.79,3.48,71.21,40.97,9.70,0.18,36.01,70.05,43.89,62.91,96.46,84.98,63.44,60.43,24.18,44.73,8.64,60.58,48.17,5.14,2.35, ,38.36,58.66,89.97,89.49, ,73.23,89.22,44.98,26.15,31.89, ,40.53,84.71,67.26, , , , , ,26.97
72.41,66.89,43.04,65.37,33.66,52.93,4.24,47.81, ,71.93,69.06,97.03,42.90,61.44,53.38,58.47,47.59,97.19,55.06,83.62,38.64,24.27,42.45,65.09,53.33,55.23,93.67,58.69,74.81,68.07,95.32,58.48,38.56, , ,60.65, ,99.29,89.22,25.45,81.67,45.90,59.27,12.36,26.97,86.34,16.99,42.43,73.02,82.08,46.51,89.34,40.66,74.30,5.20
22.45,3.79,5.56,36.63,74.60, ,60.94,83.82,53.15,48.49,9.43, ,85.14,76.31,55.14,55.67,50.37,47.21,46.47,17.23,70.69, ,37.53,57.42,28.23,48.70,49.06,53.90,43.27, ,69.07, ,24.74,11.37,83.12,49.33, ,32.43,74.57,44.11,36.56,55.57,14.16,96.19,86.19,15.56,40.65,82.17, ,18.08,12.23,78.53,37.09,93.99,35.86
87.78,9.69,18.77,67.40,53.01,37.25,55.26, ,39.89,25.56,44.12,61.49,17.10,82.41,17.04,14.25, ,77.45,67.11,56.69,47.27,74.22,92.97,28.39,69.37,42.45,98.55,80.11,98.12,26.28,20.20,90.75,66.24,10.24,64.41,67.87,76.63,96.20,71.56,86.50,79.02,59.56,9.97,21.43,42.83,84.60,0.07,73.41,43.55,99.65,50.59,19.64,9.61, ,81.17
83.32, ,12.27,97.02,21.33,30.34,66.15,27.19,90.29,32.52,84.27,41.81,99.70,62.07, ,58.89,17.74,12.58,54.49, ,76.74,52.67,79.72,22.01,85.04,7.52,46.15,49.75,26.64,49.42,58.76,47.61,44.46,61.83,44.31, ,21.05,68.55,51.35,50.14,72.42,65.79,8.60,39.73,84.22,45.98,47.95,20.55,17.15,59.01,54.69,14.70, ,83.25,38.05
54.01,43.04,62.11,25.06, ,21.62,61.94,76.85,40.29,7.08,7.78,56.26,81.17,38.21,54.20,5.92,96.09,67.86,64.34,37.61,73.64,87.94,26.82,45.47,62.19,24.56,18.63,32.44,51.77,67.67,12.74,30.80,75.83,21.38,99.54,24.19,18.21,8.77,76.92,12.15,6.78,9.07,17.54,25.22,12.17,75.29,66.48,33.74,4.74, ,4.29,6.66,32.32,86.24,95.71
89.51,47.27,43.88,43.76,97.91,97.56,88.35,57.28,56.21, ,11.32,3.47,88.72,57.74,67.18,3.22, ,38.03, ,81.92, ,67.31, ,64.88,96.01,73.59,43.56,89.62,55.23,80.30,74.03,51.46,73.14,48.87,92.71,48.57,31.40,41.94,50.80,73.23,94.17,37.25, ,26.87,75.23,72.91,93.99,70.63, ,25.31,81.83,87.85, ,19.25,34.59
24.35,49.40,35.58,8.40,16.22,65.91,55.24,10.62,49.76,84.42,6.56, ,24.58,46.07,75.58,51.82,43.96,1.15,28.81,23.52,13.59,68.03, ,6.85,63.25,96.91,90.46,16.15,28.06,52.21,48.06,97.10,15.79,0.95,19.14,54.42, , ,89.29, ,96.14,90.50,29.53,43.21,54.33,61.06,1.56,74.87,3.45,89.18,75.63,12.93,74.51,85.87,23.49
14.97,35.44, ,64.97,15.58,97.96,59.04, ,65.39,39.88,74.31, ,49.94,75.56,23.65,9.76,33.24,26.34,48.02,25.24,75.44,10.97,5.75,98.18,35.40,12.12, ,41.18,22.07,42.44,13.98,55.72,85.44,51.69,16.32,63.55,58.93,40.28,10.13,30.51,45.69,94.49,0.45,16.82,26.00,68.48, , , , ,92.49,35.22, ,98.77,59.43
78.39,13.27,22.27,34.38,90.13,51.04,1.14,51.81,42.03,71.87,57.12,58.71,4.00,74.64,5.63,5.91,25.83,72.71,14.82,98.68,91.41,30.75,23.27,52.96,74.35, ,31.47,90.24, , , ,0.38,14.31,47.42,25.47,88.23, ,86.91,18.62,75.98,59.89,64.12,32.90,56.71,82.57,69.98,4.70,80.56,64.54,15.50,12.32,92.90,62.84,97.83,16.43
92.62,32.36,1.50, ,58.21, , ,99.62,9.85,89.01,14.38,93.43,88.18,11.96,91.89,38.60,8.20,65.96,44.77,86.02,68.41,39.66,49.38,5.13,89.12,37.16,70.00,22.55,59.65,98.96,26.27,24.89,49.98,18.99,13.56,4.78,49.24,78.64,83.72,57.85,77.90,76.33,25.59,6.09,33.38,36.78,42.62,94.13,52.51, ,66.07,92.13,67.37,26.67,20.29
