Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117
75.45,165.89,164.30, , ,269.47,255.20,246.59,59.88,92.39,69.15,12.57,125.34,252.53,62.76, ,293.72,124.26,83.32,185.44,191.07,276.45,279.91,46.51,101.40,6.28,197.82,152.06,267.06,156.87,218.39,144.19,190.54,233.26, ,118.71,97.26,257.29, ,298.81,37.23,72.37, ,270.19, ,174.52,247.38,247.67,4.50,77.89,60.31,168.90,129.86,63.77,107.03,96.60,204.67,206.05,177.34,247.23,237.49,214.86,153.13,50.66,254.38,52.66,139.70,281.20,71.31,242.83,5.93,284.18,173.27,187.63,35.97,113.19,256.60,158.34,190.57,267.36,37.55,159.64,241.59,146.81,185.80, ,191.73,175.41,2.35,289.95,101.60,166.15,81.41,233.40,84.76,158.50, ,178.53,57.19,230.17,133.01,293.64,7.70,199.65,125.07,99.98,66.89,44.19,6.20,75.35,23.14,55.85,97.69, ,154.88,272.36, 
 ,52.52,96.03,111.40,0.30,6.03,143.58, ,285.53,160.90,134.38,278.64,136.88,124.61,231.21,151.42,66.61,42.61,35.78, ,241.84,166.45, , ,178.70,295.57,179.91,250.11,35.09,200.84,264.95,42.63,231.33,210.67,75.33,206.87,278.78,211.31,96.58,155.26,26.81,91.00,207.28,270.68,181.45,53.79,251.43,290.47, ,201.14,204.48,260.71,68.95,108.96,205.99,69.44,143.57,272.26,127.55,20.98,194.82,123.71,143.93,31.69, ,232.83,253.76,41.25, ,150.67,6.11,77.14,237.92, ,210.18,123.37,291.99,118.37,16.99, , ,191.29, ,124.11,240.17, ,91.58,27.56,245.15,129.09,22.13,16.53,20.80,155.87,33.18,197.28,133.84,287.29,280.80,149.24,213.86,293.33,235.38, ,180.54,186.47,127.24,217.78,257.08,215.42,90.85,167.14,23.51,128.31,73.64,197.88, 
194.23,21.30,204.30,10.15, ,211.39,201.44, ,158.51,111.61,277.69, ,118.71,88.36, ,162.00,271.31,64.89,235.48,295.15,164.88,149.18,216.69,31.49,182.00,232.71,18.38,294.89,29.11,102.27,93.11,25.16,16.35,229.96,176.24, , ,230.41,171.18,226.60,192.97,92.67,102.21,36.07,124.96,116.78,41.31,191.50,274.32,156.51,159.68,129.40,73.88,192.08,206.92,147.72,227.28,225.56,51.43,126.59,26.81,103.62,153.27, ,127.59,291.10,62.66,161.28,97.73,206.02,128.01,190.51,251.98,153.44,182.33,108.05,141.88,162.34,204.69,44.58,60.44,64.15,59.53, ,157.26,43.07,274.52,90.56,19.74,55.85,103.78,109.25,12.80, , ,65.36,267.37,242.74,161.79,62.57,202.89,233.73,119.89,13.72,110.66,131.90, ,235.68,143.92,50.22,123.02,69.95,240.38,248.06,29.38,6.00,216.79
 ,162.74,258.57,256.18,209.92, ,244.58,273.15,121.94,93.09,296.39,250.27, ,198.33,60.00,186.20,129.03,226.91, ,185.48,113.94,78.15,190.43, ,163.58,47.71,204.31, ,67.35,120.12,141.27,157.98,186.51, , ,261.49,156.31,42.54,101.66,172.26,143.41,155.67,145.75, ,138.41,226.30,46.09,222.63,182.26,232.92,158.68,178.32,87.77,75.53,126.95,230.28,39.63,274.70, ,17.32,12.48,79.52,289.38,16.46,286.07,268.70,151.28,81.22,287.94,259.80,233.45, ,52.48,4.56,189.91,44.50, ,287.79,284.94,226.46,12.96, ,281.66,145.28,196.65,169.77,289.36,236.61,191.97,41.01,16.27,75.16,274.05,48.57,251.20,23.16,38.70,246.61,51.11,202.19,121.44,250.91,287.68,256.17,176.60,76.18,228.11,253.65,117.60,298.86,27.96,21.41,257.70,87.02,59.90,256.57,61.16
292.15,94.99,228.49,245.50,164.46, ,118.11,273.62,74.63,148.29,63.83,54.35,1.97,91.75,19.73,52.33,265.24,22.19,29.66,159.06,158.24,190.35,108.44,96.69,206.39, ,270.22,34.07,161.89,93.81,116.97,205.39,32.15,66.36,36.22,104.78,218.38,260.91,245.89,291.43,31.26, ,1.47,142.75,258.22,97.35,56.95,16.68,196.41,167.49,59.47,246.90,146.01,90.93,30.24,32.18,247.06,267.87,64.91,252.07,50.60,134.41,213.68,208.68,174.33, ,233.80,199.11,149.82,154.76,13.69,222.74,17.62,140.76,256.23,218.23,1.98,113.77,181.33,18.22,139.19,243.63, ,142.74,248.01, ,138.58,62.15,12.76,252.64,45.92,104.90,188.22,231.80,216.41,266.85,104.56, ,48.19, ,190.92,75.23,7.44,156.99,275.12, ,227.77,195.28,128.18,24.86,91.23,151.46,293.69,8.92, ,57.11, 
 , ,17.55,2.06,122.14,206.48,221.00,15.17,270.88,275.70,78.40,22.58,271.29,15.95,116.01,37.32,73.37,89.40,250.49,22.27,163.11,64.52,62.99,200.39, ,176.09,1.43,52.19,214.32, ,194.53,78.29,279.26, ,68.66,167.69,264.86,23.24,4.83, ,84.52,290.47,183.83, ,126.86,240.29,140.74,235.71,265.81,4.48,84.76,60.06,233.27,192.76,218.53, ,175.13,71.59,289.67, ,298.66,257.95,123.47,126.47,123.91,226.73,209.75,201.53,263.93,294.74,91.30, ,155.16,36.39,254.00,182.18,24.71,97.63,87.93,90.12,20.23,73.84,92.16,50.15, ,184.95, ,276.25,260.24,58.37,58.16,22.68,152.05,204.81,11.05,145.99,139.85,283.57,14.84,299.02,137.70,249.94, ,226.20,214.48,222.76,115.77,233.78,87.18,260.92,292.22,182.85, ,49.07,7.21,152.69,128.90
54.52,184.80,5.03,223.25,271.95,178.41,68.13,294.26,195.45,41.52,213.97,242.63,211.87,26.95,256.07,54.94,234.68,19.35,288.92,2.35,76.95,167.95,115.29,194.38,193.33,159.85,70.81,70.34,52.32,47.24,253.12, ,187.80,38.32,30.84,129.87,57.87,159.65,125.92,97.33,215.19,296.51,104.04,92.83,151.31, , ,143.24,178.66,278.06,158.56,197.91,0.60,299.06,158.72,182.12,261.65,289.28,119.81,57.15,180.05,102.75,68.15,250.15,277.03,163.80,237.11,124.02, ,123.08,176.20,280.09,209.71,121.53,197.22,225.02,94.90,212.61,201.62, ,148.43,287.27,271.22,73.94,162.09,218.32, ,166.38,99.88,17.57,243.96,136.26,24.63,2.45,40.06,95.83,52.50,86.39,202.68,138.67,172.87,216.23,197.71,73.09,158.71,219.00,5.44,271.65,286.40,267.31, ,63.14, ,294.61,295.41, ,134.08
95.63,111.44,261.88,1.65,52.76,178.47,97.75,127.08,220.12,95.13,279.35,72.18,152.88,205.43,206.91,245.38,103.68, ,65.56,232.75,3.64,203.50,122.80,286.16,57.34, ,3.93,204.02,276.71,60.26,107.06,221.66,269.71,109.26,90.89,133.56,63.78,19.43,281.42, ,232.04,296.35, ,63.04,294.03,238.70,221.89,21.47,98.21,168.89, ,259.78,25.55,31.40,95.13,165.59,163.27,165.77,75.43, ,257.24,262.41,132.01,241.71,27.86,144.67, ,36.66,215.00,232.23, ,27.37,111.98,63.93,144.91,285.04,146.22,6.31,138.21,292.94,291.81,119.84,217.54,173.13,282.22,6.30,181.73,129.27,12.81,203.32,116.75,86.32,130.63,71.60,230.95,48.76,85.33,59.23,235.82,76.93,167.70,146.66,116.90,43.13,169.13,287.43,134.80,248.86,166.37,234.27,84.99,20.09,151.63,173.18,11.68,5.50,33.35
228.81,128.10,279.95,218.40,283.12,41.12,18.63,252.43,4.82,235.94,207.74,104.22,175.03,31.03, ,64.38,224.09,160.79,194.57,114.44,141.15,203.06,186.27,25.56,115.36,75.11, , ,244.48,37.71,82.66,55.66,250.93, ,111.72,256.23,290.22,110.90,21.24,44.13,209.58,247.15,258.42,243.26,31.89,158.81,77.56,147.93,27.98, , ,3.46,109.45,60.68,151.54,104.37, ,13.94,160.85,37.40,229.76,280.15,17.31,2.21,220.35,122.34,213.08,51.49,71.48,216.25,196.72,96.19,211.86, ,72.71,208.77,26.39,1.12,84.58,253.26,293.90, ,41.93,263.31,248.73, ,164.98,35.32,122.80,75.01,299.09,29.56,168.69,275.14,7.00, ,260.26,237.24,239.94,233.49,72.59,238.04,47.19,246.51, ,74.23,20.38,133.07,281.20,105.90,171.56,16.06,73.17,52.15,194.66,146.99, 
29.21,15.11,0.61, ,88.07,272.09, ,105.16,90.38,264.29, ,77.20,93.37,17.49,63.87,176.84,10.07,240.06,295.86,46.64,3.20,293.34,243.16,80.44,192.90,65.84,165.82, ,259.19,19.87, ,232.03,268.13,262.31, ,258.18,34.77,227.85,209.00, ,11.53,214.19,170.94, ,36.76,146.42,116.47,100.67,98.32, ,40.42,50.05,2.71,63.32,202.56,127.38,45.44,89.28,43.33,239.67,296.97,33.79,179.21,93.59,298.40,194.81,220.35,67.37,219.57,141.44,63.50,227.83,107.72,68.58,277.32,38.42,70.98,267.21,272.28,3.14,236.61,9.51,142.82,80.02,207.58,184.53,190.27,80.03,129.46,149.04,156.86,81.07,259.67,178.03,109.08,202.64,79.13,202.65,289.03,284.35, ,168.88,94.40,247.73,110.71,241.43,253.20,298.56,88.56,59.07,155.92, , ,19.38,104.26,124.32,225.68
