Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41
29.14,286.89,136.41,220.78, ,156.33, ,269.20,240.59,108.56,110.62,261.45,87.07,170.07,114.22,3.25,81.76,237.81,25.09,244.22,0.29,236.90,70.61,293.40,296.65,240.49,107.11,124.27,40.14,184.79,116.52,262.04,48.71,149.90, ,174.09,92.97,34.03,125.92,35.34,173.61
251.29,267.71,183.71,9.85,261.08,254.98, ,90.66,194.72,71.74,279.90,222.55,44.89,222.99,103.28,150.24,173.38,149.76,24.87,34.71, ,146.09,41.35,245.18,123.42,221.83,159.87,299.08,168.05,106.24,221.28,40.05,95.40,17.23,180.45,190.22,217.22,239.00,40.34,158.13, 
107.78, ,201.73,227.56,19.32,215.98,170.91,293.33,256.67,37.50,145.77,43.39,204.43,87.42, ,162.40,269.93,128.53,120.89,229.34,55.10,89.02,168.84,229.33, ,42.33,75.10,221.49,242.79,109.67,160.51,95.26,5.74,39.31, ,92.14,44.37, ,54.15,274.48,227.10
213.28,201.26,137.02,258.31,82.05,171.14,146.77,74.71,5.65, ,209.73,131.42, ,229.90,227.13,229.14,260.38,95.01,144.08,183.77,191.82,59.28, ,105.84,5.11,184.50,197.91,82.85,113.78,181.02,291.37,125.29,214.15, ,209.63,189.68,122.12,66.72,224.91,287.24,254.89
144.21,122.41,190.68,119.83,257.33,31.01,141.27,125.24,149.37,241.96,128.27,120.54,245.48, ,232.72,99.66,149.38,279.65,98.18,275.26,13.28,168.82,132.51,49.61,60.87,44.04,212.75,220.46,53.60,252.51,271.07,143.56,259.66,275.87,179.15,242.36,275.97, ,220.99, ,271.38
69.03,114.63,293.54,107.38, ,90.60,156.78,176.52,37.63,292.38, , ,194.89, ,167.34,44.61,269.74,246.67,102.24,144.81,235.88,230.03,48.28,63.27, ,120.41,86.58, ,0.09,278.52,62.70,24.91, ,19.77,222.94,154.50,222.37,154.17, ,0.91,161.12
 ,83.89,167.08,146.06, ,35.72,13.28,275.98,283.72,265.95,30.12,85.56,84.09,38.29,179.85,218.55,123.17,222.73,135.49,160.06,196.56,299.28,214.36,3.30,92.42,214.40,276.78,56.06,202.27,82.69,56.64,19.24,34.30,55.98,39.60, ,45.68,14.39,140.43,243.22,242.07
202.96,188.90,2.87,122.55,37.18,113.20,58.37, ,53.54,108.73,112.63,195.42,139.25,271.44,58.07,58.64,97.88,174.01,198.66,29.88,194.90,253.90,258.18,100.40, , ,8.98,157.16,115.14,47.94,265.45,8.63,6.32,33.55,257.21, ,3.26,133.83,136.12,100.81,268.02
 ,4.33,261.54,73.85, ,121.25,11.36,35.47,106.07,34.64,163.51,190.74,32.69,199.75, ,261.17,91.26,12.94,196.35,152.57, ,107.40,170.29,12.04,135.11,95.83,276.02,221.86,36.29, ,227.46, ,172.55,76.69,159.57,286.75, ,69.15,285.79,181.35,274.69
152.23,181.12,101.47,160.25,147.00,109.77,271.89,272.44, ,172.30,51.27,159.50,263.45,152.97,81.98,121.12,298.25,258.97, ,99.25,48.53,256.11,27.63,283.24,14.42,113.02, ,66.19,90.92,253.44,291.16,132.93, ,133.51,27.19, ,105.72,195.26,257.01,157.37, 
 ,27.61,178.39,158.35,282.44,165.31,226.21,195.91,63.56, , ,49.79,283.18,143.04,269.18,152.76, ,217.73,138.19,137.92,121.35,124.99,252.22,4.64, ,190.59,47.69,259.26,65.83,229.20,265.45,129.52,110.48,99.85, ,236.07,285.79, ,220.91,270.88, 
285.85,111.04,242.11,11.84,242.87,91.95,97.08,208.05,229.10,56.01,184.18,77.31,278.66,253.96,88.39,128.12,94.86,135.56,23.24,181.87, ,78.48, ,86.69,120.12,235.30,135.88,21.46,22.03,103.08,53.24,60.48,48.90, ,9.02, ,204.70,256.40,248.97,183.05,2.29
11.37,160.43,244.83,56.39, ,78.30,108.90,76.56,32.02, ,161.50,213.38, ,208.09,52.49,123.22,259.06,73.51,85.39,214.23,189.37, ,155.37,67.11,154.97,139.84,251.38,163.00,16.63,251.76,101.79,236.58,68.15,278.36,277.44,234.07,3.92,46.20,48.61,59.36,130.48
170.06,234.77,70.47,246.96,232.56,187.54,292.54,171.25,271.24,263.50,11.96,75.39,4.36,130.11,108.13,33.85,295.87,248.84,260.29,104.15, ,162.66,253.82,132.46,81.11,298.11,62.53,109.00, ,46.15,204.16,262.37,108.70,236.45,155.21,96.40,129.02,141.47,203.55,16.42,245.16
7.76,77.62,28.82,238.03, ,119.39,15.53,203.08,89.18,186.66, ,20.63,60.46, ,257.41,219.09,160.45,276.52,186.02,33.21,237.25,116.46,165.36,221.33,135.32,97.94,58.96,132.18,142.60,173.16,79.73,29.62,294.86,223.96,29.40, ,139.96,2.63,202.44,25.42,104.82
76.55,238.84,149.32,93.36,163.49,108.16,185.21,281.44,261.97,76.08, ,280.57,115.19,28.74,170.24,238.18, ,282.43, ,286.69,2.87, ,21.91,6.92,187.25,226.53,120.67,223.51,160.58,252.00,164.47,216.09,275.43,34.57,247.34,177.40,234.77,57.45,197.89,62.00,249.07
103.57, ,53.69,204.72,296.82,107.67,50.53,99.70,212.54, ,110.62,77.70,251.38,286.73,298.97,177.42,262.30,188.17,39.74,112.90,228.10,276.38,275.04,173.52, ,272.62,14.76,73.24,86.47,143.44,30.76,168.65,144.76,40.55,16.77,187.79,94.54,93.43,241.94,76.76,66.07
276.59,224.21,87.66,211.76,156.11,287.52,25.90,292.57,284.83,286.63,13.89,63.13,96.63,234.58, , ,6.19,281.60,123.42, ,114.47,199.75,5.15,255.19,13.53,238.84,100.86,286.17,257.88,3.16,158.25,91.63,3.96,120.91,98.85,43.55,123.52,297.35, ,162.34,199.43
248.57,282.00,187.26,147.62,95.89, ,177.36,7.30,56.86,99.47,234.36,111.96, ,22.60,142.08,223.60,107.49,197.82, ,187.41,169.53,84.52,277.27,15.35,271.93,66.46,295.91,18.06,87.08,198.88,261.05,273.74,38.80,223.64,177.16, , ,293.67,271.44,38.23,130.86
