Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146
138.92,2.65,170.75,188.20,205.10,76.70,188.31,13.66, ,114.81,76.49,118.67, ,181.20,118.14,206.63, ,45.55,54.92,107.53,53.19,61.24,271.23,84.33,77.49,199.14, ,275.63,198.97,238.45,257.72,56.14,287.75,209.90, ,74.88,19.47,226.59,24.08, ,108.41,222.04,268.65,19.35,171.47,162.13, ,119.84,54.64,154.27,194.09,26.38,110.85,97.03,126.56,235.28,229.52,193.14,273.43, ,217.71,106.25,288.88,199.68,159.40,9.67,77.96,48.83,199.32,143.96,221.24,172.04,194.60,85.49,150.26,251.09,271.93,147.81, ,47.49,21.49,125.87,9.33,92.77,113.65,200.22,108.70,222.46,59.89,86.53,249.54,74.16,151.42,165.32,293.59,228.43, , ,59.03,268.63,209.79,39.25,132.69, ,55.15,35.20,235.51,103.98,232.42,266.44,286.82,57.51,7.09, ,61.39,197.36,283.42, , ,217.15,170.62,0.15,227.65,255.12,258.57,18.34,36.57,66.89,139.77,122.33,10.36,44.00,213.74,14.86,50.09,271.03,124.46, ,52.11,195.44,84.33,156.36,2.15,231.29,78.39,239.71
208.17,34.76,37.17,130.74,112.27,34.24,187.20,273.31, ,168.76,215.51,233.70,136.48, , , ,209.01, ,117.18,276.25,54.16,63.81,150.70,151.60,13.76, ,253.08,25.76,203.71, , ,296.57,294.82,87.17,144.01,21.01,4.90,215.17,17.89,194.03,184.14,158.21,234.72, ,260.48,233.06,105.82,117.14,211.50,29.44,211.58,136.33,62.98,287.75,108.29,0.33,204.42,110.94,12.76,274.93,63.93,93.81,124.68,112.02,278.53,151.51,199.54,262.69,78.25,68.83,270.73,139.28,147.21,120.73, ,95.67,236.38,227.01,128.35,218.16,116.48,16.04,259.16,269.29,82.13,290.51,190.46,107.94,206.88,186.35,230.62,200.05,285.68,273.13,265.02,278.57,250.90, ,210.06,57.38,80.61,122.25, ,181.92,233.18,215.39, ,146.01,55.69,87.23,286.14,147.77,179.84,128.33,17.37,172.93,170.12,51.86,2.82,174.29,152.62,75.42,118.72, ,174.41,160.93,220.57,204.94,242.04, , ,151.59,289.41,134.83,278.21, ,197.65,105.80,264.56,22.41,102.65,257.70,257.04,257.65,219.81,261.28
281.97,205.63,67.17, ,10.11,208.70,7.84,61.67,174.75,80.51,45.54,215.74,133.66,40.27, ,95.92,204.46,191.94,24.57,242.06, ,52.25,225.09,224.97,118.19, , ,57.76,75.32, ,208.98,98.10, ,194.02,258.98,68.01,296.49, ,102.58,63.38,221.44, ,208.20,142.06,140.36,113.07,173.31,124.66,269.00,131.94,62.62,134.94,159.98,157.76,234.01,234.49,75.53,93.71,299.61,121.60,135.58,55.64,105.57,86.30,66.85,237.59,9.16,260.10,203.97,40.24, ,274.73,47.50,283.07,32.30,152.84,54.42,227.91,193.08,149.62, ,67.86,4.54,277.78,246.15,82.50,19.75,261.12,101.96,192.18,26.12,286.03,165.45,126.30,266.62,78.38,109.58,139.52,223.24,78.76,299.06,155.78,215.73,227.91,110.72,150.88,231.12,35.22,210.45,25.33,96.04,111.35,249.93,19.74,68.17,42.56,259.76,86.03,15.25,193.18,134.04, ,65.16,298.03,91.42,187.05,255.59,79.85,240.69,180.94,98.89,156.42,239.21,252.15,70.02,7.88,100.14,158.80,232.91,27.03,16.38, ,271.97,72.68, ,103.41
259.38,293.56,68.42,170.57,47.47,286.68,136.59,107.28,252.11, ,279.14,168.61,57.35,98.05,273.75,233.45,202.96,281.42,204.17,189.34, ,129.93,17.01,298.24,261.92,164.48,229.49,282.75,286.35,220.77,97.07,49.84,67.30,66.35,89.75,275.39,242.21,225.92,71.85,83.50,174.51,147.91, , ,226.71,253.98,279.73,11.81,135.98,215.15,165.17,182.88, ,125.09,245.33,17.74,167.81,43.99,199.42,292.78,74.69,284.06,135.84,233.98,171.09,80.56,178.27,256.31,104.88,264.72,165.71,219.69,33.97,149.31,111.67,263.47,298.20,108.53,282.65,299.46,55.61,227.17,165.50,252.70,264.87,20.58,199.88,164.10,203.95,167.24,155.50,201.98,78.25,287.75,53.02,214.64,67.23,42.50,25.28,203.10,212.63,120.73,163.95,46.37,298.23,83.51, ,285.49,122.57,295.18,49.01,98.10,49.62,200.13,265.18,185.44,107.96,76.06,273.07,266.84,59.11,124.48,224.77,220.27,105.96,230.82,197.83,12.61,268.83,229.79,108.08,189.34,224.36,136.52,26.27,238.40,283.81,298.21,172.86,255.93,133.93,133.80,215.67, ,184.50,209.00
167.23,7.84,248.59,219.79,299.50,84.43,6.97,83.09,20.17,171.49, ,58.24, ,273.91, , ,38.34,276.91, ,284.75,28.29,208.64,257.49,258.74,238.76,125.46, ,127.03,125.23,84.04, , ,237.22,216.35,31.71,181.14, ,169.98,136.00,14.01,10.41,135.86,78.81,103.49,88.35,30.28,213.32,180.66,225.52,187.62,188.61, ,0.02,252.21,94.89,153.72,41.25, ,290.42,285.55,110.32,223.19,124.78,128.90,107.78,162.35,255.51,76.27,50.98,289.94,130.05,44.40,62.02, ,52.44,28.22,186.47,69.53,226.90, ,232.35,210.38,9.21,145.66,203.62,120.64,87.33,214.33,269.12,2.60, ,78.75,175.12,142.13,292.28,150.69,1.38,58.62,173.71,241.73,128.12, ,21.67, ,236.00,299.62,60.03,241.12,51.42,103.98,60.89,262.57,244.50,76.08,60.02,227.61,208.97,140.12, ,65.81,13.40,18.92,183.26,166.87,81.74,126.02,43.99,237.86,166.77, ,169.88,281.43,263.58,153.23, ,230.63,198.47,292.75, , ,247.71,198.05, , ,4.74,246.34
19.31,144.40,283.00,32.38,69.81,233.72, ,164.35,0.43,35.76,278.16,165.53,109.82,34.55,199.72,80.23,117.59,286.72, ,92.95,256.85,123.69,36.27, ,79.29,163.31,143.88,26.83,156.27,204.40, ,104.12,50.78,106.69,233.17,120.48, ,77.33,299.83,225.16, ,4.44,186.14,295.42,146.32,183.87,209.23,253.52,63.78,259.80,248.42,145.69,219.09,146.23,21.66,33.13,136.97,98.66,157.07,50.72,98.90,286.36,9.28, ,73.06,281.29,192.60,89.22,93.35,107.73,132.71,234.45,58.84,178.50,129.09,132.67,71.47,118.85,76.54,101.09,2.90, ,195.50,182.36,49.99,264.74,126.13,185.76,245.45,84.46,286.87,160.07,128.50,238.20,3.88,9.20,299.83,246.61,48.23,52.34,122.38,49.52,203.69,154.47,93.07,176.55,295.96,199.30,263.96,32.57,134.43,121.32,133.35,29.60,196.90, ,19.28,29.31,2.72,122.26,57.66,28.42,57.16,36.90,29.00,214.19,8.83,118.15,89.30,172.69,82.98,250.66,53.67,70.04, ,192.31,2.24,236.68,10.66,176.74,30.71,106.48,59.97,145.69,151.74,75.75
114.74,73.28,84.06,287.05,297.83, , ,132.86,139.90,287.10,35.81,67.78,45.36, ,191.05,56.45,106.57,37.56,252.34,221.03,241.61,3.42,110.19,253.81,143.38,82.68,133.14,227.81,145.85, , , ,236.59,192.94,297.27,67.99,250.93,193.43,77.00,122.60,268.21,223.86,0.86, ,101.36, ,247.21, ,284.10,290.82,46.58,241.08,174.46,27.41,86.34,25.04,162.42,68.94,29.38,81.47,33.17,124.97,130.03,261.51,45.87,57.95,58.80,168.93,191.94,181.30,236.17,79.02,11.86,179.20,282.45,154.51,143.49,222.88,171.72,87.67,136.72,10.04,144.64,128.78, ,10.09,11.49, ,110.08,241.84,269.53,249.94,239.90,103.53,66.96,47.17,192.84,0.24,79.40,81.86,181.47,218.27,168.67,290.21,62.98,268.02,156.34,156.55,11.40,259.03, ,6.19, , ,233.23,269.48,112.92,259.59,95.94,138.76,146.14,293.63,85.52, , ,182.69,14.88,289.80,78.10,26.23,186.08,237.32,37.57,33.23,20.33,153.09,59.82,276.60,77.42,79.58,65.60,42.74, ,32.54,183.14,199.94
214.62,26.73,196.98,103.42,97.30,47.23,292.42,232.99,123.88,125.45, ,87.72,141.20,211.13,75.89,214.86,154.29,192.02,271.24,27.89,66.29,212.61,252.91,255.68,82.95,124.21,11.51,97.38,104.69,167.63,248.18,45.88,156.75,26.94,206.89,293.37,15.33,295.87,165.05,267.00,202.35,166.80,3.15,66.57,272.69,288.42,16.69,23.33, ,50.28,179.09,294.81,120.44,148.15, ,99.71,13.84, ,180.64,150.05,282.50,117.51,246.31,233.39,61.70,252.80,108.28,217.10,284.16,3.88,126.22,232.02,83.56, ,264.20,178.85,132.49,226.52,83.04,282.59,26.60,16.44,197.71,55.68,132.49,4.67,219.44,196.83, ,130.90,122.14,8.99,113.39,157.68,228.77,145.18,149.18,8.86,132.31,43.44,289.68,137.78,56.10,151.32,70.12,287.58,263.11,123.42,142.30,239.09,103.68,63.48,18.87, ,151.19,284.07,219.21,122.08,176.83,25.01,104.37,21.86, ,18.43,46.85, ,285.94,204.83,295.27,89.09, , ,297.13,224.57,203.11,90.04, ,115.05,185.28,136.07,92.62,1.97,15.23, , ,7.95
242.29,284.71,263.97,7.04,149.56,249.47,13.42,277.12,143.63,250.76,44.32,134.21,182.85,149.41,96.45,203.89,23.01,48.65,113.60,33.32,279.07,159.37,12.20,120.97,298.90, ,43.22,269.74,297.96,238.92,215.63,210.12,119.29,3.03, ,58.72,175.48,122.37,30.29, ,151.26,170.24,125.95,38.09,2.97,214.87,42.27,38.16,84.88,51.12,263.71,146.63,138.92, ,173.77,60.24,65.98,215.34,176.59,27.06,131.76,187.15,105.38,111.81,102.52,108.89,232.96,37.06,211.25,261.91,136.20,130.12,72.80,191.15,174.25,221.67,281.32,79.65,126.46,144.46, ,253.35,93.67,156.46,236.92,91.83,214.15, ,116.33,197.51,136.16,225.69,77.76,166.64,293.70,48.87,222.08,91.52,3.25,197.94,54.12,225.00,190.04,228.11,225.76,13.86,197.37,119.75,146.56, , ,279.49,278.43, ,69.95, ,187.14,227.42,116.89, ,6.93,245.42,117.16,27.17,268.41,298.82,113.29,76.10,264.71,231.99,48.52,109.34,189.08,70.19,67.24, , ,114.02,87.48,164.10,110.25,81.37,76.06,94.29,148.21,109.68
225.28,82.13,0.98, ,71.17,52.20,249.19,107.80,213.85, ,28.50,38.87,258.29, ,52.58,152.72,76.78,36.86, ,71.48,286.25,7.14,108.65,36.97,108.73,148.88,285.58,296.92,287.24,139.39, ,106.49,119.37,77.40,118.26,227.70,78.69,61.36,92.80,203.45,171.01,176.70,268.26,15.63,41.31,132.11,278.63,177.54,121.87,254.22,47.38,294.34,166.07,292.55,117.98,286.68,178.68,7.69,217.45,139.66,294.16,291.82,210.36,70.80,124.30, ,171.68,266.70,73.01,290.30,140.38,18.56, ,181.94,211.92,160.38, ,154.55,49.96,233.71,198.15,43.61,238.30,130.12,213.04,227.40, ,67.78,253.57,154.62,34.22,234.90,118.12,49.15,43.00,75.17,74.64,5.93,279.40,127.93,134.26,111.80,266.07,127.24,76.73,55.16,48.41,5.55,283.10,7.99,231.19,288.41,124.27,3.65,215.55,288.07,162.65,87.41, ,214.65,56.19,103.52,244.92,172.69,76.67,119.45,158.58,91.17,26.88,168.07,1.06,118.63,162.31,138.27,197.96, ,254.14,142.92,194.36,293.97,13.16,125.27,79.93,207.11,54.76,112.42
