Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52
68.78,64.86,61.81,37.45,57.31,78.79,80.73,67.46,99.44,97.21,42.70,20.02,90.01,48.53,17.00, ,66.36,32.84,38.92, ,13.72,20.52,41.15,69.26,38.41,4.77,47.37,27.85,38.59,2.59,49.12, ,90.37,74.32, ,58.24,26.99,2.86,60.62,25.29,56.09, ,1.48,84.71,6.12,53.52,38.93, ,88.37,5.18,77.12,95.35
41.31,10.15,32.35,93.44,77.61,90.53,39.65,49.59,17.83,59.64,29.51,77.59, , ,75.02,32.27,28.24,83.34,93.49,25.08,25.14,45.07, ,62.90,33.73,73.61,84.83,20.82,28.15,88.44,16.80, ,32.41,69.26,13.61,40.39,67.40,51.56,8.26,17.41,23.77,85.82,58.83,63.99,58.79,42.22,72.50,42.60,63.54,82.40,22.79,31.04
22.46,81.29,44.56,54.22,2.65,51.87,49.22, ,84.98,64.12,6.67,81.47, ,76.47, , ,64.01,76.49,9.96,90.35,64.35,44.46,52.43,48.64,43.27,51.29,11.53,99.45,24.70,7.15,75.73,0.17,55.01,47.69,73.06,64.70,49.54,54.59,65.77,62.85,1.82, ,13.35,74.86,17.29,93.43, ,84.09,92.39,83.77, ,56.83
35.80,80.02,19.62,3.14,79.71,91.36,49.26,67.42,5.28,56.14,74.84,2.57,13.47,37.05,83.46,74.82,69.41,37.11,80.31,70.23,45.06, ,47.63,36.89,51.77, ,60.16,58.43,20.49, ,89.90,59.87,28.95,30.00,84.49,89.11,56.12,80.82,74.13,27.61,14.80,53.61,83.12,66.87,91.91,48.84,17.66,78.65,62.84,81.48,56.86,73.41
31.89,56.40,56.64, ,84.13,10.83,5.72,30.77,6.26,97.85,1.09,94.37,61.03,25.07,76.11,1.06,55.22,78.08, ,34.94,15.51,88.69,9.70,57.85, ,60.93,27.82,20.41,7.19, ,60.55,8.28,51.17,88.79,51.52,39.10,77.47,15.81,96.87,23.32,92.71, , ,33.86,72.29,97.36,90.96,49.89,68.82, , ,24.51
4.57,56.42, ,79.64,2.95,15.06,56.85,12.84,75.65,95.96,71.14,27.56,7.34,28.01,25.35, ,57.76,95.97,21.87,78.46,66.55,14.37,88.54,65.25,89.31,23.59,65.06, ,80.09,33.51,29.66, ,74.84,4.84,86.05,13.49,47.15,90.83,69.75,9.36,48.31,14.90,96.11,23.72,86.31,44.38,92.69,0.24,1.36,7.29,82.16,74.01
24.04,94.99,15.52,37.53,30.22,82.85,84.22,46.97,37.70,91.11,65.59,29.05,7.39,11.51,21.70,18.57, ,2.45,68.20,45.28, , ,33.05,9.60,68.18,95.48,21.25, ,44.47,79.28,73.42,53.51,76.92,44.17,53.27,6.78,83.70, ,40.01,68.72,23.65, ,93.15,14.58,74.08,59.12,0.81,15.43,47.50,9.68,82.99,64.55
7.14,73.48,21.64,11.16,80.26, ,35.14,95.77,16.57,50.13, ,92.08,90.18,92.91,15.20,55.70, ,72.27,13.49,28.03,68.72,86.41,90.26,71.58,55.42,11.11, ,93.30,71.81,92.02,81.53,89.96, ,91.97,63.55,61.54, ,13.46,34.80,25.80,25.90,63.33,81.02,25.91,61.84,85.97,93.11, ,16.68,52.34,92.71,73.90
55.32,6.50,69.84,93.89, ,24.72,35.47,15.91,14.96,59.01,80.68,9.22, ,75.53,98.47,25.67,1.19, ,75.79,45.67,77.09,47.86,82.79,7.44,77.45,45.20, ,8.15,76.18,3.69,56.80,74.59,72.93,10.05,93.08,41.98, ,4.77,89.80, ,13.83,76.59,74.05,90.19,59.44,69.63,56.23,4.37,18.21,70.08,80.43,44.65
90.75,31.91,77.09,69.87,86.39, , ,85.79,8.99,48.99,27.16, ,33.30,38.44,53.61,8.72,3.97,44.67,49.46,36.30,2.94,88.70, ,25.20,78.64,64.98,95.12,67.90,9.13,60.22,85.68,31.60,49.65,83.50,61.78, ,64.11, ,27.27,50.23,66.23,28.22,9.23,67.52,72.06,52.56,28.96,47.26, ,8.18, ,36.28
37.51,26.40,58.82, ,49.49,76.59,22.91,9.18,67.88,6.32,14.48,51.54,51.11,51.15, ,28.58,31.46,79.68, ,79.32, ,10.35,89.41,68.73,96.64,82.13,44.17,63.95,54.73,91.35,96.52,49.79,56.04,54.92,91.19,12.02,59.92,56.67,39.40,30.76,76.45,73.79,69.58,36.44, ,11.36,15.30,99.08,79.44, ,38.74,33.91
93.31,40.11,77.16,90.97,87.01,16.68,48.97,64.46,52.51,54.74,92.87,0.52,96.30,42.36,97.10, ,79.48,2.72,95.65,62.70,28.74,87.94,83.79,80.37,24.74,43.67,31.61,65.14,96.00,2.24,37.08,45.28, ,78.21,67.41,62.87,36.23,64.34,45.32,60.60,5.17, ,50.49,83.28,26.59,28.20,97.99,82.95,80.37,48.67,11.97,38.81
2.34,58.66, ,34.93, ,85.90,55.13,27.42,61.60,19.13,36.87,82.45,86.32,32.89,29.65,68.59,14.96,34.17, ,72.57,47.70,54.90,45.19,68.35,11.85,64.36, ,84.50,12.74,53.79,18.67,81.17,96.12,56.28,57.53,56.32,47.08, ,93.95,57.12,86.60,24.42,94.38,88.99,90.72,14.88,70.81,67.08,48.21,21.01,1.06,31.82
66.95,20.11,65.48,88.16,1.87,64.81, ,12.24,34.43,34.11,2.69,60.17,84.20,18.59,53.36,14.14,74.03,8.39,81.65,95.50, , ,25.03,42.17,58.84,89.13,99.98,22.63,93.83,75.93,19.03,46.17,39.40,61.55,19.01,30.33,48.55,89.76,30.20,79.54,34.88,1.50,89.32,45.63,7.97,93.03,78.55,31.91,43.46,79.99,31.78,66.35
46.55,21.50,88.13,55.23,46.15,52.99,20.16,28.58,75.85,73.04,9.16,3.37,55.34,52.63,46.58,96.57,16.22,48.30, ,44.02,40.95, , ,57.19,70.57,59.61,31.56,73.59,42.68,5.58,37.15,5.30,65.06,9.36, ,94.20,58.07,84.58,88.93,0.14,79.62,94.47,90.34,23.36,91.37,70.99,19.85,28.66,54.04,73.89,84.08,51.80
70.85,27.52,73.03,55.20,46.65,34.91,18.17,68.64,23.83, ,66.52,65.24,35.47,83.77,23.47,78.50,29.65, ,55.73,44.91,86.56,8.35,86.95,95.48,73.23,60.18,31.09,83.70, ,35.22,66.83,29.76,82.73,87.36,89.11,32.97,90.88,50.99, ,9.28,82.20, ,76.43,98.23,39.19,67.07,99.04,58.38,60.86,37.84,24.20,92.63
52.23,14.54,8.90,49.47,39.72,35.90,80.21,45.85,34.07,2.80,61.24,34.44,91.43,52.67,42.73,96.76,67.50,8.68,1.53,85.01,45.36,99.92,35.82, ,38.87,3.54,14.26, ,91.71,95.27,48.28,11.08,15.27,47.86,89.22,10.05,4.30,14.77,19.46,17.93,89.88,65.18,1.00,96.00,1.23, ,8.07,41.68,47.55,24.18,96.06,76.33
46.12,91.02,50.48,85.06,93.13,94.22,27.80, , ,95.71,31.82,77.94, ,25.06,96.97,49.91,31.76,66.75,40.07,52.71,48.15,99.74,21.36,22.30,86.96,19.03,33.45,98.69,6.97,61.38,6.69,56.65,4.75,3.73,95.36,50.88,76.61,77.36, ,55.85,29.04,33.10, ,22.01,75.90,12.20,89.84,4.98,37.39,34.84,58.95,77.22
95.88,39.71,29.92, ,1.86,71.16, ,33.48,52.76,14.49,86.30,27.43,20.81,69.26,70.29, ,35.65,14.25, ,98.11,91.10,20.01,55.77,48.17,0.23, ,56.92,9.13,99.87,18.43,60.42,50.74, ,90.73,52.47,46.16, ,66.22,57.49,18.84,5.83,32.66,85.51,56.43,11.83,97.87,62.04, ,98.23,26.11, ,55.05
13.76,39.68,26.18,88.83,23.04,63.02,67.67,31.83,89.41,40.62,95.66,26.08,71.87,22.21,82.77,25.16,30.97,17.79,27.74,27.56,87.43,78.80,32.06,97.86,3.07,6.65,42.00,70.15,6.97,31.51,49.00,7.69,16.19,62.62,86.20,44.29,50.95,46.20,23.15,99.22,80.52,97.22,73.15,71.76,80.27,80.88, ,35.65,6.72,28.47,8.56,2.71
99.78, ,60.63,20.96,88.54,17.16,38.21,62.94,31.86,66.25,90.24,55.20,89.45,81.22,5.68, ,60.93,8.36,59.53,87.94,39.25, ,88.52,42.12,37.81,13.13,24.74, , ,42.56,97.31,93.44,34.32,31.63, ,45.18,72.37,40.88,19.52,8.67,78.57, ,47.19,54.68,88.19,94.46,10.46, ,19.14, ,48.95,47.20
86.48,97.44,40.11,30.28,3.90,16.85, ,37.73,45.84,42.13,12.40, ,74.61,19.40,12.60,37.35,36.73,9.03,13.51,2.58,21.32,6.07,82.52,36.41,29.54,45.07,16.72,81.59,18.21,3.70,35.02,78.92,76.09,48.50,81.22,31.24,16.39,83.02,63.74,5.19,7.04, ,88.66, ,78.16,2.27,76.72,37.32,1.93,24.47,38.62,58.89
33.04,24.28,58.77,27.58,59.17, ,42.18,29.02,88.23,64.99,96.93,97.24,56.28,75.41,42.74,50.75,87.21,52.54,36.35, ,33.28,62.11,43.62,97.83,52.88,27.03, ,90.20,39.06,53.77,85.82,38.71,3.89,80.15,47.02,33.48,73.67,34.47, ,12.24,74.57,12.72,30.37,90.34,77.65,54.90,81.14,49.62,46.00,37.22,98.44,59.18
38.87,28.74,22.75,58.94,20.88,62.48,83.76,67.45,75.05,7.14,27.70,13.26,8.17,99.40,15.68,0.88,79.00,86.02,70.60,99.07,16.61,42.73,14.38,61.78,32.52,45.62,25.67,33.92,9.36,91.90, ,65.62, ,33.28,85.92,82.72,50.96,76.01,8.71,81.36,45.06,86.56,6.74,34.15,16.45,62.36,78.03,99.26,31.07,90.07,77.77,92.27
68.39,51.47,31.56,92.67,54.21,31.98,82.77,75.37,5.13, ,61.00,60.21,57.16,67.07, ,49.84,70.79,69.39,4.42,22.66,36.70,53.28, ,35.66, ,96.02,17.57,59.49, ,72.77,13.54,5.10,6.37,85.03,5.37,0.77,97.36,2.46,64.25,69.98,26.68,4.84,41.85,34.03,39.40,77.80,8.03,99.58,26.26,58.94,18.13,17.50
68.96,65.88,96.47,2.88,25.28,95.52,9.04,47.38,57.53, , ,65.53, ,62.80,39.60,81.50,43.43, ,11.14,90.31,78.02, ,32.10,76.29,9.34,18.21,60.93,63.69,34.18,69.67,72.41,47.62,67.20,93.63,31.92,33.78,90.05,23.17,14.98, ,44.02,11.22,12.40,62.32,60.36,9.30, ,96.43,82.79, ,96.28,91.96
0.29,44.55,83.47,76.46,12.26,35.53,96.15,80.49, ,65.05,11.37,45.28,33.96,53.64,79.60,57.24,40.53,67.04,7.73, ,75.00,19.24,9.83,63.22,29.60,87.16,28.30,32.66,50.59,41.85,78.38,34.44,41.86,14.84,20.01,70.19,91.98,96.61,51.68,22.06,29.15,86.94,43.95,4.59,12.45, ,10.88,20.31,27.17,78.75,31.67,39.37
5.98,67.35,75.76,76.46,1.21,85.91,62.75,51.61,4.33,96.43,72.64,42.26,4.29,89.09,70.72,94.33,37.27,62.76,37.74, ,0.65, ,54.90,46.08,46.45,58.46,91.55,76.87,70.34,26.06,16.81,28.44,45.25,52.87,68.65,34.64,37.66,13.74, ,83.98,71.14,44.74,89.89,82.06,68.08,27.69,49.35,19.56,33.01,66.29,30.47,40.53
50.42,58.16, ,70.43,22.88,78.81, ,67.25,13.59,72.53,68.00,45.18,57.89,50.10,22.63,65.59,62.72, ,31.74,93.87,11.14,44.13,41.46,65.21,30.41,12.73,83.83,89.88,93.31,16.43,8.93,70.23,24.37,19.05, ,3.35,96.78,96.57,76.58,75.07,72.69, ,34.90,29.34,26.01,27.32,73.59,95.94,65.43,85.33,40.85,6.54
84.93,86.84, ,36.06,74.56,94.51,2.48,65.70,37.32,3.50,14.30,46.30,90.23,87.61, ,23.65,43.91,27.29,51.65,85.76,89.53,54.68,44.36,59.00,76.46,77.67,36.25,23.18,76.20,84.03, ,19.81, ,41.35,52.26, ,38.66,54.96,8.46,5.14, ,63.85,33.77, ,19.84,71.65,28.54,82.85,93.86,95.90,94.85,84.00
32.98,6.50,86.23,55.44,38.87,6.39,73.48,57.40,97.53,11.01,67.39,92.27,42.20,92.81,76.43,67.71,72.20,31.88,65.62,54.96,10.94,75.19, ,59.15,53.12,18.73,14.42, ,12.83,79.09,50.52,37.49,7.69,23.03,22.51,1.28,31.30,67.08, ,16.95,1.97,86.22,14.76,99.34,89.24,13.50,91.41,99.49,22.98,3.76,78.25,25.92
83.34,22.40,36.97, ,55.55,73.06,63.31, ,80.30, ,28.57,5.49, ,8.44,13.16,23.63,74.37,45.69,52.79,43.22,99.19,14.42,19.35,28.35, , ,57.69,33.75,27.64,78.39, ,64.14,97.28,63.71,1.26,32.44,6.83,59.20,47.27,52.53, ,73.15,26.53,32.44,73.69,60.75,26.76,56.48, ,54.35,95.92,72.41
40.09,98.79,7.04,97.33,85.47,53.89,4.33,5.38, ,85.20,23.48,43.48,36.54,35.33, , ,36.69,1.97,12.46, ,66.11,72.84,20.05,64.65,0.89,44.17,0.99,3.50,71.43,20.21,22.85,54.15,35.59,71.79,16.22,16.85,88.96,2.82,14.09,38.74,88.72,65.16,3.40,49.37,70.30,91.47,2.12,31.11,55.36,41.69,78.73, 
53.29,92.87,60.21,3.13,61.66,0.79,22.28,55.53,27.02,3.59,63.98,25.58,65.17,49.28,23.15,81.33,52.95,77.90,65.18,84.66,28.28,60.53,38.35,61.47,48.92,30.25,99.37,67.13,77.25,11.43,51.60,53.08,88.90,58.48,98.99,70.90,54.26, ,43.16,20.57,76.62,86.60,39.70,59.23,23.78,78.42,78.75,91.58,34.20,65.60,68.79,28.02
