Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78
78.97,96.25,197.80,99.84,130.16,93.19,115.85,250.33,41.58,247.66,196.89,188.85,138.71,18.18,2.49,92.17,70.00,235.57,172.03,162.57,269.31,281.21,265.16,85.94,5.52,251.35,233.27,68.84,125.12,34.95, ,127.12,277.50, ,245.29, ,107.86,149.36,170.95, ,102.49,35.52,54.05,10.42,127.07,59.29,166.27,79.80,221.36, ,236.89,296.56,13.56,14.21, ,185.16,196.82,117.88,95.66,219.22,159.25,185.34,298.49,12.79,125.39,67.17,171.04, ,295.50,277.65,77.17,194.86,42.51,292.48, ,164.41,84.25,240.37
242.21,21.20,17.15,189.14,23.25,285.00,55.67,174.12, ,19.81,151.02,142.74,37.17,7.91,205.17, ,174.76, ,195.96,127.62, ,211.94,178.10,262.27,96.20,299.15,156.19,223.64,102.13, ,223.05,186.93,106.63,2.98,169.02, ,296.64,127.13,7.30,105.53,239.02,105.95,274.34,197.56,180.65,265.12,222.74,23.26,146.80,53.95,250.83,236.43,194.39,156.05, ,261.58,7.82,277.20,137.64,143.55,120.00,0.74,65.99,279.60,187.71,170.89,12.24,51.36,18.17,115.76,183.72,91.11,240.63,137.53,7.67,113.90,124.32,84.00
 ,63.60,43.27,178.15,137.25,209.56,20.11,212.71,208.21,31.09,230.67,237.28,107.07,122.86,42.68,18.74,93.06,240.24,207.36,294.53,120.33,141.55,228.57,80.42,44.30, ,274.98,173.81,17.98,106.78,134.86,271.47,137.34,8.09,261.17,268.20,246.82,147.33,100.86,167.68,245.89,174.17,190.09,204.79,140.16,160.80,55.86,42.86,186.09,166.88,177.44,153.03,7.36,211.52,201.95,45.85,58.38,68.70,268.01,156.56,285.07,83.18,149.63, ,35.72,101.02,54.44,36.01,243.46,90.22, ,169.42,86.15,17.54,176.28,128.34,93.71, 
176.89,199.83,88.48,179.93,118.52,125.60,113.06,190.90,120.73,72.70,215.36,235.79,176.77,198.55,15.06,259.80,166.30,194.88,95.17,144.29,9.18,68.23,38.95,25.52,88.34,77.92,98.71,73.91,235.06,185.09,284.41, ,150.71,36.95,99.69,249.78,120.94,81.62,258.61,268.71,129.09,196.21,165.63, ,141.12,179.16,95.11,171.11,14.28, ,119.77, ,69.54,206.82,70.33,247.82,118.71,240.17,262.32,51.27,279.66,17.24,218.60,22.40,49.52,265.35,156.44, ,225.99,16.35,299.73,163.02,285.07,50.97,191.45,221.98,103.59,80.94
32.97, ,122.68,21.49,266.45,28.71,103.92,92.32,257.82, ,68.63,111.26,114.46,243.53,66.41,150.80,9.54,40.63,6.45,15.83,249.89,123.19,297.68, ,16.80,76.86, ,20.60, ,135.06,170.87,79.32, ,226.67,206.06,221.88,250.74,7.00,131.47,226.49,211.47,145.96,121.53,58.32,55.10,277.19, ,148.68,74.52,74.01,77.03,223.93,292.06,296.55,293.11, ,122.27,163.85, ,285.38,47.11,68.22, ,136.24,253.39,263.83,57.58,201.39,189.81,90.95,187.48,44.56,102.82,52.42,135.05,252.06,88.33,216.39
184.28,10.41,36.20,262.02,240.11, ,129.92,283.64,241.83,225.93,70.10,8.48,227.81,288.84,138.02,292.37, ,45.00,90.35,243.77,174.99,215.78,13.81,51.31,211.97,121.11,88.69,176.49,141.67,114.31,64.21,210.02, ,255.02,225.76,236.63,211.21,193.92,134.32,30.19,76.02,150.60,137.47,120.53,206.14,77.26,110.93,33.81,95.40,127.12,25.05,299.29,184.27,215.14,57.27,48.08,294.11,77.33,263.15,94.53,244.58,293.08,131.78,189.77,15.73,248.33,80.64,277.04,140.84,283.50,137.52,31.39,230.26,263.21,6.58,62.70,229.54,6.66
82.67,288.49,213.32,139.19,184.46,258.87,8.42,223.41,273.95,277.56,63.52,97.61,298.53,21.26,216.09,289.39,224.35,97.17, ,236.35,99.17,90.50,61.00,47.87,6.82,184.50,66.20,8.64,123.81,157.55, ,185.47,83.79,19.14,247.48,117.31,33.02,169.61,230.90,205.36,209.30, ,120.33,147.62,110.53,297.92,23.31,153.55, ,263.36,47.70,17.57, , ,34.91,208.08,62.03,103.65, ,126.00,295.71,220.64,245.05,74.32,1.50,32.93,191.22,215.95,134.21,92.01,115.88,92.88,13.59,185.34,227.80,76.60,284.96,29.75
215.79,198.37,31.92,85.53,47.94,25.20,82.45,66.96,68.77,280.02,66.15,67.29,176.70,217.46, ,247.21,56.91,290.05,83.20,59.73,269.29, ,151.45,148.75,42.00, , ,299.88,187.38,138.35, ,55.81, ,3.02,109.10, ,83.30,228.82,143.83,204.25,49.56,24.13, ,241.65,111.94, ,299.32,28.94,219.76,289.15,87.78,81.05,14.05,279.57,7.38, ,211.63,190.53,22.91,49.47,204.69,206.09,160.72,124.23,134.56,213.28,296.76,187.55,233.91,118.40,59.27,17.75,240.58,230.45,66.77,228.05,141.32,66.74
 ,190.97,183.49,139.44,96.72,177.55,293.20,53.95,288.72,187.72,236.33,190.07,162.76,127.87,11.31,200.96,10.96,239.50,191.89,184.45,138.24,224.16,291.45,1.42,273.86,239.80,285.13,110.02,299.86,282.12, ,183.08,210.87,264.02,166.91,289.77,181.20, ,12.64,57.79,23.40,203.19,241.85,93.06,36.23,289.76,104.09,201.43,100.54,92.63,43.35,195.63,16.79,278.55,290.63,43.48,68.00,277.22,135.00,61.72,163.21,189.57,241.15,95.91,267.45,247.54,24.12,209.67,90.56,70.33,224.56,95.21,60.49, ,195.50,64.13,5.92,256.30
56.75,69.13,14.75,45.97, ,189.13,22.69,123.44,60.89, ,156.10,267.34,42.98,71.24,229.56,222.71,50.39,233.16,77.89,77.18,273.45, ,208.66, ,32.10,53.58,81.52, ,48.85,163.64,209.46, ,286.62,27.10,172.91, ,250.79,233.70,181.61, ,90.27,80.33, ,133.91,30.49,23.14,181.80,291.03,157.53,77.88,159.37,223.88,271.41,27.79,249.33,197.77,299.67,117.30,221.05,24.52,294.80,30.89,234.45,267.87,154.19,142.95, ,66.83,132.05, , , , ,234.93,70.05,45.10,128.04,216.62
