Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20
85,76,58,96,18, ,82,37,99,79,55,77,86, ,9,70,35,15,82,42
4,83,42,49, ,91,95,7,22, ,81,43,83,7,91,73,69,94,90,58
 ,62,9,78,31, ,81,13,33,5,96,32,30,47,54,63,77,75,56,86
64,83,68,71,94,44, ,76,3,7,33,92,22,22,96,16,20,53,71,38
45, ,36,95,92,4,8,14,72,77,49,19,55,72,94, ,69,75,4,83
55,6,66,91,29,99,94,51,88,85,69,71,76,27, ,11,65,89, ,46
58,78,8,92,85,34,92,79,43,10,38,82,86, ,29, ,63,33,4,14
1,77, , ,40,33,7,55,64, ,51,78,77,45,69,29,1,12,3,74
90,6,33,30,15,46,57,48,61,60,80,41,15,84,3,91,84,68,48,97
 ,44,24,78,30, ,60,9,34,57,43,78,55,33,81,23,45,22,15,54
22,96, ,6,13,42,74,11, ,74,83,25,33, ,56,11, ,87,29,53
89,22,81,95,66,44,49,96,34,46,87,42,97,6,13,35,98,24,13,64
25,21,37,50,48,2,91,71,75,16,36,92,10,14,37,3,88,38,42,98
85,25,46,66,74,11,34,45,22, ,60,72,27,62,39,52,36,55,99,79
26, ,37,39, ,61,10,81,45,78,63,58,47,68,8,55,91,49, ,46
2,26,97,27,93,58,0,59,24,85,63,82,45,0,85,35,34,33,9,12
97,3,48,14,18,99, ,82,99,32, ,79,20,66,47,14,78,32,11,45
52, ,52,80,76,82,49,89,34,21,52,3,75,46,27, ,53,67,32,60
88,48,89,88,98,66,46,90, ,7,97,32,88,68,45,29,69,60,59,56
22,70,96,0,74,62,42,73,7,99,23,64,97,60, , ,61,67,81,66
20,89, ,31,87,85,61,53,3,88,6,78,6,92,31,5,77,2,59,37
96,77, ,30,66,37,83,74,89,0,56,34,33,73,40, ,87,55,63,95
85,49,55,55,22,63,36,84,54,80,5,80,92, ,55,53, ,26,20,49
45,55,22,29,99,72,32,68,71,48,16,83,42, ,62,51,36,93,44,75
84,23,91,32,72,52,10,85,98,96,86,98, , ,68,77,66,3,26,91
99,52,65,8,57,46,67,1,55,58,85,68,96,41,67,82,97,20,98,14
35,10, , ,69,83,72,63,21, ,63,80,65,93,69,99,71,34,65, 
77,74,35,30,88,59,15,83,8,6, ,63,98,63, ,29,92,78, ,14
98,3,72,66,89,23,85,21,40,82,53,33,42,3,7,24,30,57, , 
19,3,43,75,36, ,19,39,53,12,67,0,46,16,65,8,38,92,75, 
 ,17,26,92,6,31,38, ,39,87,99, ,19,2,1,39,76,17,69,31
11,8,57,41,86,85,24,46,17,2,44,96,38,15,58,70,85,11,26, 
 ,77,47,73,46,43, ,87,6,29,23,78,7,56,59,12,39,90,73,39
39,10,40, ,46,8,29,44,53,56,52,53,94,55,52,0,87,29,71,55
33, ,62,29,63,19,74,57,69,94,88,30,30,37,32,61,97,35,34,23
87,1,17,1,95,16,37,91,8, ,41,35,91,28, ,93,91,19,43,52
24,39,31,88,45,52,38,54,38,58, ,52,0,86,76,46,48,60,26,76
82,3,11,56,87,0, ,53,79,31,63,20,4, ,92,81,91, ,94,54
 ,97, ,97,73,55, ,87, ,43,84,61,40,11,94, ,89, ,33,5
59,75,54,86,18,92,60,9,7,25,60,93,9,22,2,8,30,95, ,82
33,69,56,5,54,4,16, ,29,3,76,79,67,68,95,45,16,41,98,17
