Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69
16,6,19, ,71,91, ,59,71, ,54, ,71,69, ,58,85,75,18,74,85,87,33,7,38,7,25,30,34,23,49,20,85,2, ,76,47,92,25,11,11,69,6,3, ,44,85,67,29,2,56,8,11,54,26,27,37,58,14,14,56,59,54,47,79, , ,14,96
24,41,77,40,76,25,88,66,99,86,52,37,85, ,99,63,1,68,91,93,14,31,79,72,71,11,51,63,31, ,31,13,93, ,46,63,26,31,84,29,35,54,27,93,88, , ,55,52,92,39,0,79,81,84,21,22,15,3,81,33,21, ,77,61,31,30,42,50
15,52, , ,3,81,43, ,40, , ,97,38,2,67,59,86,89,9,7,33,94,55,15,36,38,17, , ,73,85,56,80, ,69,48, ,39,79,25,9,16,97,14,91,70,37,6,0,38,55,87,42,28,61,57,96,16,28,7,56,84,33,89,77,74,63,8,89
27,91,22,58,81,70,7,67,21,82,36,38,92,72,7,38,13,20, ,79,99,45,73,56,93,47, ,7,5,43,1,39,86,69,89, ,64,52, ,25,34,75,38,87,20,46, , ,16,87,63, , ,45,17,49,11,9,65,38, ,26,83,96,90,64,32,64,78
36,35,24, , ,71,64, ,68,93, , ,16,2,15,93, ,83, ,19,20,62,71,54, ,10,95,58,31,30, ,91, ,85,44,44,88,49,44,49, ,48,96,27, ,42,42,39,64,92,21,18,65,48,85,46, ,33,31,96,54, ,11,75,25,90,89,54, 
19,27,1,81,19,19,44,10,84,11,87,19,52,17,91,42,42, ,43,28,9, ,60,15,87,83,94,61,99,51,78,43,54, ,0,81,8,72,50,24,48,4,18,7,75,82,0,35, ,21,80,93,58,82,34,90,91,61,33,46,12,48,68,40, ,62,34,95,70
26,14,28,61,32, ,69,42,14,87,64,71,90,52,69,73,23,62,40,54,65,61, ,3,14,4,58,68,23,29,11,99,48,22,51,96,22,97,50,74,95,61,12,31,72, ,84,62,35,66,25,73,45,58,73,77,54, ,9,31,6,0,87,32,22,98,31,72,67
50,70,48,64,9,76,13,44,52,2,64,90,24,84,14,94,22,74,73,76,12,23,35,40,0,72,67,27,85,90,64,63,48,58,76,4,87,15,97,10,98,62,47,58,3,31,33, ,82,14,11,8,36,15,34,69, ,53, ,0,94,89,64,77,13,94,63, ,72
12,21,43,41,61, ,97,57,27,36,3,52,73,44,52,9,34,79, , ,47,32,10,36,22,13,54,72,34,53, ,6, ,64,11, ,73,88,47,22,66,0,4,84,31,56,45,61,37,15,65,14,73,51,33,98,64,30,57,90,6,67, ,29,20,19,49,7,51
40,44,71,79,75, ,90,17,85,48,15,89,71, ,49,37,0,74,91, ,71,64,44, ,62, ,48,13,52,63, ,11,74,73,26,18,93, ,9,9,28,16,12,79,28, ,91,12,26,52,61,47,96,88, ,62,4,62,69,85,0, , ,5,41,62, ,62, 
