Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
94,37,42,65,81,72,59,11,66,60, ,92, ,0,84,42,70,91,25,15,79,88,2,97,34,4, ,25,61,88, ,35,38,26,14,63,43,26, ,29,93,15,47,46,97, ,85,91,44,27,59,22,71,66,99,27,55,95,17,60,2,29,23,9,51,38,78,34,28,48,63,7,47,32,8,54,61, ,85,8, ,45,67,53,73,2,8,99,85,19,11,11,38,50
58,47,12, ,80,56,89, ,11, ,10,38,82,68,68, ,41,87,41,10,26,35,69,31,3,55,53,94,1,80,18,61,0,58,83,96,82,53,49,60,27,9,34,93,54,48,88,33,58,31,61,53,59,96,91,62,72,1,76,43,68,4,0, ,59,78,92,56,66,32,55,38,61,77,88, , ,40,24,3,43,93,66,29, ,95,56,42,10,7,94,10,87, 
90,3,16,58,69,97,47,94,76,76,76,29, ,5,54, ,61,92,77,11,20,60,79, ,74,14,18,16,66,0,24,64,16,55,25,93,85,22,54,41,73, , ,92, ,58,5, ,61,89,42,59,10,29, ,51,82,39,56,80, ,66,47,58,93,72,97,27,82,9,33,64,19,71,3,11,56,4,45,82,83,21,69,38,86,65, ,29,5, , ,79, ,31
 ,35,72,33,82,32,58,3,67,76,37,38,82,81,52,93,56,52,28,40,74, ,33,79,20,21,69,45,9,94,59,64,80,12,23, ,34, ,10,75,51,21, ,90,50,8, ,80,21,77,39,11,88,96,83, , ,97,56, ,60,91,12,68, ,85,24,33,53,26,6,3,30, ,28,6,83,57,78,74,79,32,78,44,48,68,96,94,22,38,58, ,42, 
16, ,91,6, ,17,66,66,52,5,27,36,66,1,19,66,57,23,74,90,31,44,70, , ,46,71,18,23,83, ,3,76,82,58,34,56,51,99,35,62,57,30,99,55,22, ,25,70,86,19,64,9,91, ,40,30,69,85,20, ,75, ,54,87,34,45,67,28, ,48,82,38,99,62,27,8,1,82,38,50,80,42, ,40,71,21,30,8,89, ,76,47,91
68,11,20,4,59,44,88,96,39,67, ,91,26,95,24,96, ,70,57,46,91,10,31, ,28, ,94,24,95,96,39,95,97,70,53,59,90,6,87, ,42,36,61,61,35,27,43,3, ,72,94,62,27,5,53,72,36,90,0,34,66,58,83,77, ,50,7,44,4, ,38,60,5,49,70,27,80,44, ,28,46,37,57,74,6,0,16,34, ,32, ,2,82,7
 ,46,81,91,9,14,62,61, ,35,71,84,2,85,88,13,43,41,47,80,23,19, ,37, ,56,30,46,57,77,54,10,60,35,42,15,88,91, ,23,57,2,26,78,87,18,83,40,45,86,37, ,59,2,66,74,76,14,96,88,31,56,99,2, ,97,34,8,94,0,33,19,97,60,85,95,35,80,12,0,8,1,32,40,77,71,60,56,80,65,20,89,73,54
91,48, , ,42,60,10,22,47,72,42,20,18,68,97,78,26,6,69,25,44,94,22,36,1,75, ,95,80,19,34,66,87,93,6,88,96,13,97, ,67,97,75,38,39, ,28,7,96,31,58,42,56, ,69,18,78,31,29,34,33,43,2,88,49,28,42,82,22,10,12,91,14,67,29, ,63,54,79,32,57,4,58,78,93,57,13,75,0,71,28,55,50,36
17,5,84,70, ,49,74,47,63,35,34,39,61,34, ,43,92,58,35,8,85,56,65,22,70,59,90, ,69,90,9,47,46,57,43,53,86,5,8, ,33,40, ,31,97,41,4,41,50,60,32,8,54,28, ,36,40,55,62,13,73,90,19,3,91,31,22,7,90,36,58,23,43,81,54,55, , ,89,88,99, ,31, ,68,14,90,9,23,48,10,73,24, 
34,82,63,62,58,23,62,78,1,30,52,99,73,93,54,31,98,51,89,6,8,12,41,92,19,93,85,92,22,97,8,65,43,68,30,80,4,10,83,88,25,76,74,69, , ,74,96,69,56,72,11,26,46,61,39,33,30,76,78,2,12,95,16,48,2, ,14,87,20,91,65,84,72,6,72,80,64, ,73,66, ,69,9,16,14, ,6,87,71,19,24,38,78
41,46,9,35,82,67,94,80,86,17,34, ,53, ,51,93, ,35,83,75,85,78,0,57, ,88,12,24,94,0,32,42,81,61, ,11,59,54,60, ,18,9,69,12,67,10,57,19,69,79,46, ,68,39,40,77,18,32,66,38,21,70,3,9,84,82,56,58,25,47,98,89,22,42,76,49,27, ,31,97,18,16, ,40,87, ,34,89,22,82,50,21,20,59
8,75,24,13,28,81,63,12,80,58,9,46,12,91,88,72,40,3,41,5,92,90,35,54,4, ,14,65, ,33,98,15,18,19,20,38,30, ,21,48,41,29,82,8,16,80, ,2, , ,52,43,25,99,12,78,60,40,31,7,2,91,35,50,70,59,59,95,85,41,7,96,21,93,31,27,55,11,92,28,56,85,91,0, , ,74, ,71, ,8,35,45, 
0,85,73,19,4, ,20,1,76,62,61,22,5,57,71,3,4,31,57,15,84, ,4,15,0,87,54,73,15,25, ,28,22,43,27,34,94,66, ,89,47,16,41,45,38,20,17,91,19,20,51,7,16,61,48,48,41,30,36, ,74, ,38, ,29,33,51,5,15,90,62,89,64,54,16, , ,34,29, ,83,9,99,66,68,22,31,31,53,11,99,56,8,71
78,29,90, ,90,43,70,19,15,70,36,73,15,31, ,80,73,48,21,40,30,41,12,48,41,22, ,38,43,92,6, ,30,14,90,18,34,74,77,2,38,56,47,0,68, ,43,32,91,13,11,89,84,17,15,63,43,98,54,5,91,95,20,33, ,47,60,70,81, ,42,25,66,12,74,88,45,39,14,69,71,95,79,23,75,4,58,23,99,90,2,53,57,90
52,20,78,76, ,99,84,44, ,75,16,61,47,84,12,93,14, ,34,41,46,59, ,43,84, ,59,86,31,81,77,8,76,33,73,93,18,14,85, ,65, ,35,38,31,15, ,92,74,71,45,59,87,32,88,13,33,80,14,40,9,52,77,17, , ,38,83,17,72,98,61,3,90,96,62,41,47,93,39,76,0, ,84,17,85,54,28,49,57,19,96,3,2
62,36,4,73,33,31,14,17,63,35,70,47,54,46,11,55,76,47, ,21,58, ,9,49,62,74, ,44, , ,45,81,28,58,7,49,76,89,50,44,72,6,45,10,96,25, ,7,27,3,46, ,35,49,65,47,44,81,4,56,17,98,94,49,26,43,34,35, ,84,93,43,28, ,79,11,83,88,71,80,22,9,62,64,14,82,86,53,96,75,85,12,15, 
86,31,6, ,73, ,37,75,81,16,39,45,81,42,33,84,62,18, ,25,96,34,35,34,14,81,60,8,69,58,64, ,98,93,27,42,69,95,77,62,44, ,7,12,60,47,20,89,9,35,50,69, ,10,5,36,30,52,89,67,56,52, ,64,12,87,0,56,50,80, , ,94, ,76,55,57,71, ,24, ,88,56,42,62,60,30,13, , , ,43,60,37
61,96,34,64,8,33,60,32,99,71,79, ,62,72,4,82,38,26,77,77,55,88,56,58,26, ,20,30,65,20,80,92,36,36,12, ,67,24, ,81,21,9,49,49,78,55, ,35,17,34,81,64,12,2, ,66,71,97,33, ,83,89,82,23,87,62,92,5,9,88,55,77,47,71,99,39,45,81,19,45,45,28,52,95,53,73,60,83,16,36,73, ,19,80
26, , ,31, ,69,97,14,47,59,38,16, ,53,71,71,36,38,38,95,31,38,54,97,50,65,24,75,6,51,57,69,75,55,38,82,8,53,23,69,36,33, ,8,49,91,94,96,89,43,43, , ,4,66,31,37,54,39,16,55,84, ,78,90,51,10,38,41,9,17,81, ,87,87,4,74,69,6,37,53,19,13,86,15,28,54,46,20,79,60,11,43,94
43, ,96,37,50,31,27,97,23,39,23,92,33, ,69,24,68,96,64, ,9,35,51,10,55,52, ,76,39,1,52,34,34, ,30,9,13,45,60, ,70,67, ,62,76,92,31,37,43,36,58,36,30,86,99,73, ,20,23,41,96, ,82,75,6,33,65,10,59,52,16,93,62,10,35,83,27,78,59,28,72,9,53,40,61,58,43,67,64,47,8, , ,86
44,41,12,35,52,42, ,3,60,28,49,76,81,36,85, , ,16,15,56,24, ,13, ,15,59,6,88,21,84, ,20,26,12,8,15,13,22,27,14,51,61,47,15,69,88, ,8,46,99, ,56, ,70,28, ,64,38,19,43,49,70,38,91,66,5,77,75,15,5,9,60,47,89,99,33,91,67,61,88,36,95,47,49,52,86,23,35,45,38,57,92,75,77
18,66, ,61,7,18,84,56, ,3,68,6,92, ,85,55,90, , ,59,16,87,53, ,38,51,76,66, , ,52,36,81,87,38,90,39, ,60,36,3,52,83,60,3,41,58,11,19,78,98,37,97,5,43,71, ,24,56, ,94,98, ,57,52,91,26,11,75,82, ,40,53,14, ,45, ,38,63,13,94,56,77,69,81,91,36,98,80,89,78,40,24,39
 ,52,10,48,16,22,0,24,12,86,19, ,14,4,78,32,17,71,58,57,26, ,59,10,64,23,12,89,56,96,85,44,43,75,51,10,11,96,64,55,30,80,21,34, ,31,61,33,0,40,77,63,37, ,8,44,43, ,24,63,52,69,32,41,96,92,95,63, ,0,48,24,72,69,92, ,86,21,24,88, ,85,12, , ,86,94,72,95,36, , ,83,93
