Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
 , ,11,7,2, , ,50,0,1,31,27,33
8,85,43,16, ,42,8,11,1,11,59,46,27
98,20,90,58,88,63, ,76,51,69, ,69,1
96, ,43,34,26, ,77, ,36,49,66,38,75
23,40,15, ,96,78,31,39,33,25,14,46,35
83,14,24,49,45,84,81,25,85,66,24,55,10
35,87,32,19,96,51, ,96,99,93,58,66,19
39,46,29,24,3,19,15, ,60,16,14,73,20
 ,73,20,10,12,48, , ,29, ,48,84,21
32,18, ,92,86,99,66,53,79,35,8,1,86
 ,38,1,99,97,80,10, , , ,9,95,1
 ,36,36,5,33,61,31,31,97,48,92, ,41
28,40,13,99,79,78,8,58, ,29,78,46,90
54,55,25,37,13,89,60,34,8,73,18,76,74
9,31,16,83,94,43,84,93,12,4,17, ,90
26,52,22,84,39,59,67,19,75,60,44,44,39
16,99,28,56,99,88,23,68,53,14,13,24,22
8,68,58,0,91,83, ,82,99,50,35,80,48
85,78, ,47,27,15,0,44,46, ,56,68,77
83,53,85,16,40,29,42,29,13,58,60,76, 
32,60,76,71,32,74,51,75,74,89,6,85,6
83,91,48,70,13,88,36,20,55,56,19,7, 
13,89,62,18,97,67,61,35,64,44,40,40,12
32,78,48,97,27,43,78,37,61,21, ,85,51
58,10, ,81,64, ,12, , ,79,94,80,63
 , ,47,68,10,3,28,41,96,13,91, ,34
88,70,16,78, ,40,94,22,29,74,41,6,61
94,45,86,91,93,38,84,99, , ,34,99,20
22,89,99,48,3,97,16,12,94,7,32,4,1
96,3,75,78,54,16,72,96,9,58,21,73,32
 , ,8,75,40,21,4,81,79,61, ,58,26
79,92,21,64,59,35,76,39,61,60,37,41,82
51,14,11,25,27,26,73,92,84,48,25,80,73
6,52,8,29,81,18,44,54,37,56, ,41,86
25,45, ,63,86,6,18,18, ,37,20,62,19
47, ,88,15, , ,99,83,4, ,11,96,84
23,5,4,34,59,74,70, ,23,17, ,0,90
63,36,49,57,42,17,31,71,34,79,69,28,0
54,37,72,46,60, ,18,70,86, ,39,2,34
77,65,72,57,66,71,94,47,14,73,47,70, 
 ,53,82,52,91,66,83, , ,18,89,80,69
13, , ,98,24,57,36,65,1, ,68,90,11
11,30,54,93,81,26,35,66, ,44,72,26,67
41,24,0,45,96,29,63,45,5,36, ,37,98
84,2,75,99,60, ,26,37,49,87,45,13,20
29,88,71,26,66,55,84,64,81,97,13,86,59
34,81,24, ,12,0,79,43,35,49,10,36,65
15,41,72,51,54,70,35,18,59,16,63,49, 
60,42,45,77,39,30,46,66,46,87,50,88, 
91,91,25,0,40,51,40, ,34,90,16,33,89
93,45,89,73,77, ,75,33,77,54,94,52,22
 ,79,14,89,9,90,20,1,77,73,63,69,44
43,39,0,29,41,48,52,66,56,6,85, ,59
52,46, ,33,71,23, ,53,89,0,50,87,15
0, ,84,20,14,7,63,61,14,5,38,51,57
87,59,30,81,96,66, ,80,35, ,76,84,44
53,47,20,76,20,88,70,54,36,83,1,0,19
57,69,94,85,26,46,13,38,17,72,77,92,74
30,92,53, ,22,49, ,91,43,75, ,14,22
32,1,86, ,80,93,43, ,99,76,14,40,57
62,84,74,0,1,50, ,67,57,42, ,66,77
48,56,78,69,28,18,60,11,21,49,28,42,60
96, ,73,92,25,44,51,67,4,65,82,44,75
72,72,54,58, ,32,52,75,43,86,81,34,56
35,2,59,50,5,7,71,82,39,2,69,28,75
47,63,67,86,76,2,99,40, ,12,11,35, 
19,50,15,65,79,71,41,90,18,51,53,22,19
51,8,88,27,54,91,55,54,99,96,61,28,8
