Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31
86,44,9, ,51,92,67,22,23,46, ,2,1,94,6,70,46,75,60,15,36,26,97,62,64,63,76,76,64,8,22
 ,68,77,97,75,99,57,2,1,64,82,50,83,12, ,84,16, ,53,6,27,81,86,65,38,8,41,9, ,93,52
57,25,23,26,77,15,57,45,8,35,43,16,47,75,29,89,64,60,85, ,63,92,22,68, ,3,18,92,82, ,57
74,70,50,22,71,15,74,57, ,25, ,28,4,62,58,85,83,2, ,53,43, ,53,45, ,2, ,27,45,10,32
90,74,7,35,12,62,1,61,63, ,79,7,36,84,57, ,30,15,2,63,31,95,26,49,51,95, ,4,30,89,33
49,77,73,77,45,27,10, ,6,35,82,91,35,4,22,10, ,68,43,28,37,36,94,86,52,77,39,1,44, ,21
36,26,0,48,1,79,6,68,29,5, ,15,97,39,52, ,9,95,98,8,37,17,84, ,53,91, , ,52,3,14
91,99, ,92,12,46,38,30, ,15, ,68,53,35,85,34,46,25,76,90,31,60,23,61,53,70,26,86,72,11,54
91,23,15,98,69,8,6,27,87,32,14,96,38,22,25,96,78,34,20,99,62,18,39,37, ,69,42,80,66,65,75
14,21,27,55,14,22,63,62,28, ,97,80,54,92,88,78,23,53,98,12, ,57,5, ,67,0,68,30,23,71,88
24,92, ,45,35,18,97,75,96,70,47,95,57,68,16,30,9,69,34,63,29, ,27,40,55,99,35,78,84,50,38
 , ,44,85, ,0,60,47,57,66,61,87,90,22,99,22,83,83,1,84,27,67,15,13,20,61,33, ,24, ,96
92, ,75,71,76,58,37,47,60,38,82, ,64,43,76,37,69,91,5,28,44,39,76,70,43,40,15,72,9,68,23
 ,92,49,42,78,61,62,94,55,89,36,3,40,4,51,80,48, ,94,98,23,36,15,1,59,76,19,21,61,14,67
