Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
47,9, ,92,21,35,1, ,96,97,98,92,19,36,81,44,59,63,32,61,48,14
7,24,81,36,22,54,43,75,44,63,11,73,53,22,41, ,48,77,16,89,22,50
61,39,86, ,90,75,15,0,31,75,90,60,27,32,82,74, ,15,98,45,92,23
32,56,83,45,88,27,84,64,70,82,28, ,26,49,91,98,98,5,34,14,92,30
55,88,89,45,32,10,42,33,26,83, ,89,17, ,20,80,10,68, ,57,45,34
74,31, ,65,59,85,38,60,89,17,30,6,26,57,50,64,96,70, ,36,45,78
23,48,47,72,59,23,26,16,80,19,34,90,63,58,11,96,94,90,73,59,63,92
12,44,46,12,42,47, ,5,40,10,36,67,28,37,93,53, ,61,26,92,89,40
 ,69,54,83,86,19,98,84, ,78,62,90,89,31, ,20,95,57,99,75,77,3
15,44,38,79,15,86,30,70, ,91,54, ,19,97,30,56,71,35,73,70,69,92
25,58,34,87,71,48,84,86,20,49,15,7,59,40,63,83,56,85,59,54,10,22
