Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30
70,10,78,48, ,19, ,88,67,66,63,0,43,23,32,48,59,55,50,99,24,18,63,84,87,23,84,97, ,21
16,61,41,39,31,11,97,48,6,65,42,62,0,91,70,42,94,70,84,46,83,46,0,62,48,45,45,85,94,74
89,51, ,22,5,66,16,67,24,60,9, ,0,84,80,63,43,71,37,17,97,22,66,86,71, ,2,13,58,64
27,8,86,54,98,99,44,77,16,50,94,4,55,77,65,59,84,75,28,53,76,81,2,84,82,98,33,74,20,3
93,78,31,50,84,87, ,68,59,67,9,76,35,61,0,28,6,65,22,35,3,70,95,46,66,33,16,63,89,76
 ,4,44,42,18,66,65,71,1, ,56,90, ,7, ,59,43,80,41,26,99,55,22,26, ,55,40,86,23,73
75,90,34,45,68,42,2,61,22,89,48,80,78,7,42,32, ,23,7,27,18, ,24,67,96,4,40,32,42,87
12,31,47, ,30,18,36,89, ,21,46,60,4,3,22,47,96,40,4,31,18, ,77,28,85,88,36,17,11,90
 ,36, ,32,92,60,92,99,25, ,54,2,31,80,76,50,58,37,94,28,81,11,80,60,70,34, ,36, ,95
52,16,67, ,4,94,98,74,56,67,97,71,19, ,56, ,52,82,29,92,84,74,91,24, ,80,28,99,53,32
51,14,40,64,56,57,33,35,46,37, ,18,98, ,11,50,4,32,84,45,38, ,96,30,98,98,81,76,27,1
86,94,60, ,78,35,29, ,27,88,21,1, , ,32, ,60,84,32,97,0,24,75,2,33,32,16,25,91,96
78,57,13,42,82,7,35,60,91, ,25,49,6,54,31,6,79,64,87,61,88,40, ,73,47,94,90,13,92,72
 ,73,90, ,54,69, , ,49,43, ,16,18,46,71,95,23,63,32, ,22, ,77,84,90,88,30,94, ,12
7,98,90,62,52,70,20, ,35,36,9,6,52,8,82,59,77,9,44,78,50,53,85,16,16,41,81,25,84, 
 , ,40,80,86,39,75,35,75,26,92,38,88,26,89,20,40,25,65,75,2,36,38, ,13,45, ,92,85,38
 ,28,38,12,77, ,83,44,83,64,53,35,27,40,45,2,37, ,10,64,86,15,26,22,68,77,57,26,88,99
43,11,62,41,92,95,48,57, ,80,64,66,41,81,15, ,25,24,50,69,59,98,40,67,22,78,28,78,4,65
21,3,66,82, , ,9,14,30,54, ,76,31,90,66,99,39,92,8,50,21,51,76,87,56,37,95,17,2,21
82,40, ,33,33,56,93,21,0,55,4,22,93,76,39,41,66,49, ,82,22,50,47,13,74,69, ,67,24,17
81,85,65,86,41,97,97,87,98,3,36,83, ,50,55,93,93,42,16,2,37,29,74,60,79,67,57,75, ,26
17,22,31,17,89,50,49,50,2,84, ,5,2,67,16,5,47,67,74,39,29,72,1,1,3,9,42,5,79,24
1,41,72,71,49,69,62,29,43,89,63,17,14,51,94,90, ,32,77,17,90,94,90,99,80,44,93,44,59,51
61,44,32,3,18,34,48,77,66,93,7,73,82,1,84,95,80,4, ,8,34,59,77,20, ,97,0, , ,5
91,71,59,22,6,54,35,57,37,42,20,80,68,23,54,46,36,23,84,36,73,13, ,70, ,70,34,74,10,95
58,63,97,22,95,66, ,39,11,94,21,53,36,11,56,46,12,53,94,39,49,81,44, ,56,0, , ,92,38
39,93,36,6, ,24, , , ,40,24,55,27,13,49,30,32,80,59,65,57,30,96,86,2,71,48,72,37,3
90,29,2,94,83,58,32,36,46, ,49,62,96, ,72,34,13,10,47,53,75,2,78,21,65,37,17, ,93,6
56,76,46, ,89,55,91, , ,64,28,73, ,10,71,67,80,6, ,83,52,12,33,85,99,18,23,49,40,8
75,58,86,47,38,92,15,32,73,73,82,37,39,3,91,70,17,6,60,26,84,88, ,21,98,22, , ,9,53
31,88,3,60,62,92,90,0,79,35,49,39,6,87,88,13,75,63,56, , ,88,35,94,89,36,73,59,58,73
82,87,82,96,41,70, ,58,7,50,27,80,97,12,25,84,61,58,29,53,62,45,80, ,88,21, ,45,22,79
54,14,75,85,32,54,90,93,31,39,61,24,49,6,13,7, ,21,65,92,29,54,97,8,2,72,43,29,3, 
75,27,80,4,82,79,30,36,85,54,9,91,79,44,48,58,56,7, ,12,87,3,44,5, ,12,93,81,37,30
76,26,3,21,19,23,13,46,83, ,74,0,5,1,60,20,38,69,3,95,71,39, ,77,17,98, , , ,54
 ,55,89,26,56,1,30,25,25,86,82,2, ,0,59,9, ,38,31,86,59, ,61,16,98,41,49,28,85,37
32,96,10,81,54,65, ,8,29,15,79, ,26,67,40,83,39,74,59,58,64,49,25,38,47,40,99,77,46,80
98,65,80,73,25,81,44,19,48,95,76,87,54,1,11, ,10,54,27,21,19,48,97,28,27, ,23,99,37,76
55,21,97,97,94,67,12,11,18,49,17,50,97,52,4,73,16, ,14,1,57,27,5,30,65,76,39,2,9,32
57,17,77,20,75,51,14,53,25, ,91,24, ,36,24,99,89, ,7,94,94,96,37,30,82,41,98,72,76,58
41, ,97,79,0,10, ,96,62,46,48, ,90,41,68,99,22,26,45,19,39, ,50, ,46,87,3,28,23,28
41,28,82,64,77,33,33,15, ,55,69,22,16, ,49,95,91,75,79,71,67,52,44,74,97,16, ,29,17,58
95,90,76,49, ,8,51,16,77,90,21,50,20,66,36,34,8,21, ,49,92, ,60,16,12, ,3,59,96,12
63,51,24,85,2,40,99,9, ,17,71,50,34,69,92,39,30,59,53,92,44, ,96,71,0,23,36, ,46,4
 ,97,55, , ,64,37,14,50,73,35, ,36,75, ,30,93, ,10,4,90,8,74,12, ,47,20, ,55, 
91,4,23,87,53,27,98,79,29, ,60,63,14,25,71,1, ,77,59,39,17,40,82,66,47,16,56,93,97,88
58,34,43,64,13,49, , ,76,28,42,40,5,42,59,86,72,17,3,18,64,72, ,70,39,32,93, , ,14
94,80,99,6,45,47,31,71,87,26,89,8,49,30,55,93,57,84,1,1,3,54,64,98,12,10,91, , ,21
13,99,27,80,13,2,29,63,41,11,80,65,26,10,98,4,8,19,60,47,82,89,56,96,81,37,32,53,60, 
58,13,4,90,76,87,72,39,94, ,92,89,35,33,81,51,52, ,23,19,91,4,47,17,61,79,4, ,34,55
77,62,27,76,38,51,19,56, ,33, ,94,61,32,70,3,34,63,9,12,22,13,3,21, ,16,47,88,60,7
97,78, ,59, ,69,18,1,68,72,96,32,25,12,54,39,48,36,60,86,52,27, ,29,80,11,1,14,69,27
 ,0,11,59,75, ,61,45,96,28,55,30,90,11,48,99,63,75,59, ,8,67,60,47, ,64,59,15,87, 
98,71, ,46,57, ,17, ,25,43,7, ,85,39,73,7,47,86,22,25,5, ,28,7,76,21,60,0, ,14
6,35,51,26,29,96, ,1,70,23, ,99,26,70,20,68,81,22,87,0,12,62,83,10,13, ,91,31,71, 
26,77,7,68,76,3,70,5,25,76,98,77,81,61,94,54,85,14,92,22,39,46, ,52,67,19,40,81,91,31
98,28,30,32,53,45,56,68,14,9,62,86,39,72,71, ,69,34,78,20,48, ,70,18,58,59,14,97, ,37
96,39, ,8,8,27,16,52,75,45,62,26,72,43,42,8, ,77,63,58, ,54, ,70, ,23,40,39,74,25
7,17, ,26,1,10,55,77, , ,79,87,18,37,71, ,38, ,45,26,74,56,56,41,35,27,37, ,24,71
41,28,21,49,12,56,60,64,66, ,78,97,26,13,58,51,59,43,32,91,21,18, ,28,75, ,53,93, ,20
93,43,52,70,1,95,3,31,76,20, ,96, ,49, ,99,96,48,27,49, , ,86,8, ,66,26,90,48,44
28,23, ,78,78,98,86,91,60, ,69,2, , ,78,77,39, ,68,99,8,73,5,92,19,8,61,49,69,39
63,75,73,66, ,65,20,87,49,0,79,50,45,9,85,21,57,60,28,14,69,83, ,71,72,98,10,64,28,78
67,32, ,87,78,68,85,72,28,40,68,24,81,48,35,29,97,78,33,59,81,5,66,35, ,76,42,46,29,74
89,10,1,13, ,79,58,38,28,41,0,40,58,68,17,59,11,8,65,60,68,26, ,64,30,33,70,35,7,61
41,52,94,48,82,1,39, , ,43,59,59,67,42,23, ,84,68,94,61,56,93,3,67,15,88,94,62,29,30
16, ,0,27,17,30,92,21, ,12,82,22,31,32,5,87,94,15, ,38,72,17,85,36,29,20,54,40,80,57
 ,19,98,66,68,53, ,9,46,77,3, ,23,10,65,52,93,86,89,27,98,26,47,61,16,93,60,54,26,55
99,14,35,5,85,80,30, ,77, , ,94,86,13,47,13,53,11,20,96,10,6,2,73,25,87,44,75,74,17
 ,30,39,44,55,97,58,83,20,76,99, , ,72,97,72,19, , ,26,86,14,19,18,30,80,76,80,85,97
97,59,82,63,30,69, ,83,81,77,25,39,55,57,82,28, ,23,22,79,61,77,26,15,19,62,36,18,97,70
98,57,78,37,87,87,26,80,3,37,6,2,41,56,37,68,52,73,7,32, ,20,55,25,88,46,28, ,71,34
26,54,7,20,38,92,23,90,77,93,63,32, ,77,14,22,91,97,0,6,43,74,59,4,73,20,43,91,78,6
 ,28,25,33,23,18,81,79,13,99, ,80,9,96,42,70,68,78,30,37,24,61, ,15,52,84,69,33,42,26
99,14,69,27,50,11,52,54,45,90,99,51,9,99, ,26,41,10,97,17,80,83,98,28,16,71,98,66,55,66
91,3,20, ,18,40,24,72,85,26,60,36,23,42,38,57,83,50, ,64,89,80, ,67,32,96, ,57,54,6
75,76,54,51,73,76,7,48,45,54,14,93,25,56,83, ,58,95, ,18,20,44, ,51,78,9,94,75,0,27
4,35, ,94, ,20,39,64,42, ,94,41,35, ,42,29,26, ,31,29,90,27,44,51,35,83,45,22,11,89
0,69,94,37,91,25,90,94,23,76,29,55,37,62,36,89,20,79,85,41,83,59,19,8,99,0,43,4,34,31
20, ,40,86,64,98,85,0,84,67,54,27, ,83,77,55,89,28,16,82,71,70,71,14,20,98,22,74,45, 
23,49,66,59,41,45,39,85,2,66,41,32,58,63,27,59,98, ,64,42,75,72,48,74,5,67,37,70,61,88
