Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64
 ,5,90,12,85,56,29, , ,12, ,37,48,9,24,19,76,17,45,27, ,13,81,66,18,46,94,69,93,42,47, ,84,40,19,81,94,60,55,54,50,13,55,52,52,32,22,33,18,8,60,84,64,42,77,87,57,10, ,62,13,35,60, 
67,54,28, ,13,30,11,36,38,65,75,0,82,75,60,90,3,93,10,45,77,83,27,97,84,5,42,97, ,73,79,34,12,26,37,99,33,40,85,37,12,91,94,37,60,77,36,10,81,72,87,61,79,9,3,64,39, ,39,71, ,1,88,56
38,99,82,76,98,14,2,41,19,57,58,82,56,35,49,8,51,79,82,11,42,39,88,27,54, ,68,74,86,58,52,54,27, ,3, ,44,12,96,48,35,34,12,88,78, ,35,38,86,8,93,12,3,93,3,55,67,30,17,5,10, ,2,31
23,79,96,72,48,44,68, ,45,90,40,17,78,68,85,8,99,92,32, ,99,3,58,20,62,13,34,36,88,92,83,12,20,99,52, ,51,61,6,17,83,83,2,29,40,29,47,18,79,87,86,36,49,85,63,84,29,17,68,95,85,1,23,85
44, ,84,73,99,78,47,38,41,35, ,86,45,33,23,22, ,67, ,64, ,71,28,32,16,30,77,3,75,73, ,43,66,45,63,89,47,22,45,88, ,66,85,99,88,30,98,0, ,53,24,37,36,93,72,36, ,25,50,65,83,84,30,89
31,66,22,96,64, ,96,23,13,17,97,59,52,36,61,36,96,13,5,90,42,88,14,74,61,15,33,56, ,76,38,36,93,72,20,63,24,65,63,95,74, ,27,78,31,62,33,18,98,30,20,98,60,24,87,36,64,16,66,88,68,37,73,25
89,53,90, ,50, ,63,4,90,96,16,48,98,48,86,15,22,91,85,65,27,54,99,71,18,26,14,78,37,70,68,82,10,17,19,82,27,94,25,57,66, ,53,97, ,48,49,61,10,32,86,18,64,78,95,47, ,26,97,15,20,55,27,46
53,57, ,82,78,62, ,84,63,24,13,0,90,18,63,42,92,2,54,35,50,87,42,97,69,98,70,65,52,12, ,26,84,36,64,28, , ,48,80,39, , ,93,21,3,42, ,32,25,13,96,17, ,13,50,81,70,31,18,51,38,6,25
15,33,6,66,21,59,10,36,99,96,68,62, ,43,50,73,74,47, ,27,92,48,36,36,27,18,29,72,35, ,61,84,72,47,79,11,42,29,76,62,26, ,43,25, ,45,61,38,39, ,37,27, ,98,75,73, , ,54,62,1,67,56,26
53,50,1, ,85,89,34, ,83,94,31,46,64,11,81,76,86,81,49,92,48,43,76,82,41,92,92,87, ,36,70,85,30,3,57,88,5,28,79,43,17,88,99, ,86,45,64,82,59,90,71,64,19,19,92,61,25,33,77,22,42,7,76,69
