Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
21,74,95,9,72,58,52,93,58,5,15,15,88,38,83
15, ,97,86, ,77, , ,29,2,86, , ,5,1
76,12,12,92,39,79,31,26,33,82,68,63,88,28,54
32,79,67,75,69,12,86,72,71, , ,25, ,51,43
47,39,67,19,91,71,79,86,31,0,89,42,78,92,29
11,99,16,99,8,86,95,51,98,51,51,38, ,66, 
67,10,43,97,94,35,98,66,28,63,66,21, ,57,97
95,62,78,19,20,32,12,21,75,8,93, ,56,59,32
67,14,44,26,95,99,4,15,8,83,74,93,57,92,34
32,28,77,4,35,95,79,14,99,27,39,14, ,53,11
25,88,18,67,19,30,52, ,73,62,24,42,45,11,56
47,10,83,43,9,29,27,98,43,75,50,34,80, , 
61, ,46,15,38, ,0,11,20,66,50,84,80,66,35
16,60,19,46, ,47,39,33,86,43,42,14,51,48,67
36,8,65,12, ,0,48,94,90,17,57,90,4,48,29
93,79,63,99, ,81,11,97,85,68,88,98,39, ,10
86, , ,78,91,98,8,92,90,67,66,52,86, ,27
67,86,98,37,60,38,99,34,33,4,39, ,14,48,57
10, , , , ,49,5,36,27,51,88,91,61, , 
54,46,35,19,24,77,5,60,98,30,84,11,69,21,88
31,29, ,76,11,74, ,75,16,46,44,82,73, ,4
66,76,93,68,41,8, ,46,50,42, ,85,52,20,70
92,10,50,11,26,94,7,26,31,21,89,4, ,76,85
77,21,94,48,18, ,79,77,90,2,0,46,92,33,27
87,49,19,66,6,2,8,68,70,20,27,53, ,4,5
4,34,64,21,17,28, , ,27,42,46, ,85,29,93
44,6,77,19, ,83,65,79,33,76,90,93,72,32,20
9,52,75,15,5,50,2,82,20,83,72,66,94,69,24
71,37, ,83,15, , ,74,75,50, ,87,67,50,98
89,82,55,10,99,90,83,72,68, ,41,38,25,4,10
77,76,15,91,18,66,9,93,54, ,27,44,0,33,13
82, ,20,91,57,77,99,78,62,10,69, ,22,1,55
54,55,2,65,39,38,43,4,92,21,69,8, ,41,56
 ,85,32,10,84,57,50,93,59, ,1,51,62,93,53
 ,76,98,38,9,94,26,25,24,29,5,0,57,90,2
95,2,69,35,77,46,23,62,88,90,76,81, ,31,60
32,24,59,62,9,12,9,86,27, ,88, ,25,73,43
68,26,34,18,96,63,1,6,10,31,60,2,44,11,51
34,29,18,36,77,29,74,81, ,6,60,78,9, ,12
 ,35,7,80,57,9,8,17,29,87,78,41,47,22,10
21,40,46,93,88, , ,19, ,57,5,61,78,90,68
67,2,64,75,77,54,90,35,73,27,98,6,13,45,61
22,0,4, ,15,92,17,69,76,13,89,80,7,19, 
68,16, ,55,58,38,34,49,89, , ,18,24,92,27
55, ,20,16,27,24,99,0,94,11,31,81,2,8, 
64,53,70,32,84,40,68, ,2,62,91,12,97, ,13
74,63,23,10,90,86,37,79,82,52,32,59,6,57,34
2,83,64,43,26,13,71,93,94,34,46,11,85,82,31
77,92, , ,9, ,15,53,24, ,77,67,63,67,43
62,82,42,32,64,50,79,79,41,45, ,92,95,12,52
59,19,19,90,59,32,18,29,78,9,36, , ,97,77
30,85,49,17,32,47,1, , ,53,39, ,64,69,52
61,30, ,33,78,49,50,36,44, ,63,81, ,19,54
60,27,30,83,30,21,93,14,80,62,26,18,98,56,9
 ,99,72,24,76, ,22,23,50,86,49, ,94,19, 
 ,76,52, ,15,85,88,50,88,62,1,33,70, ,80
83,30,79,34,14, ,7,55,46,51, ,51,43,33, 
41,47,36,46,49, ,3,30, , ,14,67,41,68,62
90,96,0,55, ,96,30,84,11,42,27,85,58,99,16
17,21,21,17,2,70,34,32,26,73,30, ,94,97,78
83,35,34,67,10,16,80,76,78, ,99,60,56,94,36
1,0,7,87, ,13,81,75,63,49,12,36,94,95,82
73,20,32,8,20,77,57,37,34,17,3,85,17,46,24
82,80,18,52,93,72,79,62,73,90,56,81,63,65,85
40,13,75,41,35,24,34,91,0,65,51,92,14,81,36
61,96,87,27,27,93,45,37,43,26,87,83,71,31,20
65,3,46,71,27,54,37,8,40,69,15,37,20,80,42
68,93,33,42,73,81,98,79,21,86,35,72,15,89,4
2,82,3,90,25,62,54,79,37,84,49,16,42,13,32
73,39,12,48,53,90,83,95,40,69,57,58,32,22,96
