Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38
266.55,43.87,160.32,267.16,66.97,54.27, ,285.72,278.48,6.03,239.29, ,9.14,26.50,290.73,25.48,199.47,225.47,63.75,95.18,258.25, , ,40.34,298.23,122.19,170.48, ,4.12,132.22,103.31,35.30,79.49,202.88,98.71,135.28,241.40,142.75
252.20,143.89,153.49,218.10,178.83,160.37,148.73,227.52, ,262.83,126.10,158.33,234.77,32.90,245.95,262.02,151.30,193.38,270.77,165.31,80.55,168.43, ,161.03,38.00,153.85,33.74,151.79,224.69,264.27,102.29,5.98,14.67,45.16,94.02, ,102.08,64.42
290.94,131.54,188.38,35.81,72.92,33.63,250.41, ,294.37,131.94,144.03,123.60,108.49,136.08,19.70, ,290.21,150.47,36.43,160.92,220.69,97.96,238.13, ,206.69,136.53,43.08,185.23,169.75,84.29,229.40,169.35,94.20,79.96,60.25,76.87,39.50,230.44
 ,278.82,155.52,274.63,64.63,79.38,124.94,15.60,2.50,0.13, ,23.94,129.73,130.76,216.67,217.30,164.07,125.93,21.66,276.80, ,231.99,143.42,68.30,187.70,278.60,2.79,211.77,22.13,145.50,212.63,146.03,179.83,185.68,33.81,158.80,245.28,244.81
147.71,247.71,83.91,223.23,118.70,101.44,130.95,69.55,262.69,103.33,227.74,24.52,22.17,211.17,274.10,56.13,169.09, ,252.99,80.45,48.86,141.13,46.40,259.24,50.77, ,193.29,182.31,64.11,101.13,171.92,131.26,197.05,231.90,253.33,134.72,210.91,134.16
96.57,59.83,273.00,79.86,37.21, ,101.31,185.23,38.57,207.84,157.51,198.52,161.52,46.50,271.48,288.71,193.25,131.91,183.95,159.66,103.77,134.34,288.49,281.67,280.04,293.69,97.70, ,259.22,95.85,224.26,102.48,85.77,128.25,197.37,25.23,298.58,81.95
135.55,185.34,81.57,156.30,172.55,268.47,1.28,245.53,256.84,221.88,61.43,208.17,244.94,206.41,80.46,147.19,89.89, ,171.47,234.92,279.92, , ,284.71,57.22,80.23, ,122.84,182.27,125.46,264.42,70.72,20.24,260.90,250.43,281.60,274.45,37.72
131.27,242.59,206.64,34.90,284.99,178.53,188.76,294.46,35.87,198.06,283.09,166.24, ,147.84,172.94,29.05, ,178.46,5.98,226.26,96.97,198.62,78.49,279.49,240.56,138.13,71.46,297.59,54.74,85.54,69.01,75.11,56.89,273.24,38.66,103.75,110.73,111.13
89.75, , ,105.97,168.95,221.52, ,276.26,200.68,131.63,97.43,263.16,4.69,89.66,129.78,14.92,36.41,221.90,166.31,233.00,121.16,188.14,225.58,50.31,186.71, ,284.14,295.68,218.09,124.79,151.49,137.18,86.49,205.54,207.64,146.52,278.91,62.39
182.53,16.92,113.50,41.32,112.25,132.78,58.71, ,210.21,289.79, ,31.12,7.65,257.13, , ,111.13,202.65,102.19,2.45,118.43,13.34,80.77,261.01,103.69,49.69,103.41, ,134.53,213.13,0.04, ,236.09,61.70,172.08,58.31,79.59, 
