Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44
294.57,82.81,2.36,143.58,192.63,143.37,39.91,16.59,199.86,103.74,192.46,134.35,90.68,137.83, ,201.37,80.07,3.77,198.94, ,179.36,44.51,299.33,214.93,188.84,110.73,267.96,49.77,33.61,243.57, ,29.06,112.08,269.38,52.84,144.36,47.68,184.63,64.82,285.35,157.89,191.48,68.10,200.23
228.27,113.97,231.80,172.53,252.17,159.73,10.23,145.13,69.58,128.32,298.81,215.15,213.81,7.16, ,207.39,229.57,266.28,179.86,201.81,61.48,83.47,53.95,211.61,157.15,240.19,240.18,206.71,267.67,104.04,14.64,101.88,259.50, ,139.36, ,63.10,219.02,5.44,234.14,84.83,158.43,82.84,78.87
195.49, ,299.53,17.53,98.00,270.46, ,109.82,110.52,282.60,19.49, ,253.63,87.34,63.52,127.76,191.23, ,237.77,57.15,137.74, ,99.48,198.04, , ,145.23,224.28,40.79,177.29,117.41,39.33,76.99,43.05,284.40,206.00,157.82,242.36,171.76,264.50,76.55,11.49,134.19,96.55
148.09,169.40,238.47,146.42,75.82, ,60.22,189.69,147.96,107.19,201.33,38.38,225.58,282.62,285.47,243.91,66.48,29.85, ,238.58,171.69,67.87,74.63,45.07,205.97,46.66,275.96, ,247.09,169.51,268.63,148.11,15.43,130.30,246.56,283.86,158.21,192.83,72.90,58.66,156.81,59.01,109.25,154.90
75.97,286.06,179.39,257.14,48.75,240.10,73.96,120.27,222.23,245.76,263.93,7.48,137.71,257.40,21.20,3.30,136.71,141.77,123.52,210.91,186.35,167.58, ,287.84,297.19, ,292.32,142.67,85.61,66.30,227.33,155.30,184.66,219.99,8.10, , ,215.78,70.01,272.01,71.21,142.17,2.74,37.01
134.29,125.78,165.63,288.08,283.75,12.94,199.18,247.25, ,163.03,10.07,8.24,17.61,297.22,175.47,126.77,266.00,146.66, ,199.77,135.95,27.42,87.26,169.93, ,109.99,287.35,143.94,275.10,168.32,251.30, ,78.06,70.03,211.32,142.47,91.29, ,118.70,81.86,297.25,296.42,13.91,227.29
279.36,19.39,174.71,191.47,48.75,48.76,167.45, ,278.54,197.10,195.36,55.00,21.66,237.08,185.28,56.18, ,258.57, ,133.28,239.35,81.95,160.77,62.93,76.83,222.81,14.61,298.33,58.83,240.98,148.88,216.76,169.37,163.64,164.85,265.08,108.93,299.68,205.19,115.84,104.08, ,118.69,254.28
215.65,129.28,123.15,128.32,124.90,191.86,110.14,21.87,297.70,214.03,274.10,83.23,80.72,212.06,278.69,87.71,140.61,105.89,172.51,291.98, ,183.83,289.64, , , ,144.98,37.70,94.65,75.19,242.81,74.79,153.59, ,294.19,221.72,251.99,249.93,35.43,3.60,206.37,229.05,224.65,14.37
 ,135.31,17.09,106.16,299.60,254.37,253.94,37.15,285.83,161.82,228.51,238.83,201.95,182.62,243.15,193.00,71.39,105.78,106.41,180.35,171.69,221.45, ,258.60,154.40,199.34,80.19,28.47, ,46.97,275.49,146.05,276.99,196.79,5.92,294.72,109.22,20.99,292.05,289.27,43.96,228.91, ,123.84
254.90, ,171.27,199.16,64.69,234.76,258.92,264.68,126.95,120.05,104.58,37.50, ,81.46,70.58,155.94,77.13,115.13, ,11.33,299.42,61.48, ,20.41,2.18,1.81,94.10,180.66,187.24,47.87,209.31,183.76,12.87,176.08,247.05,139.33,157.60, , ,252.84,266.65,188.32,31.11, 
