Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53
101.83,273.41,266.59,17.51,251.16,164.96,290.69,161.96, ,145.23,53.09,256.57,88.57,122.21, ,250.61, ,52.43,87.32,296.11,43.69,234.81,101.39,91.57,181.33,33.67,59.18,176.93,165.62,171.78,221.05,238.43,260.74,198.05,17.05,31.71,130.59,161.62,285.89,242.34,285.72,193.78,62.77,60.65,36.21,216.20,79.27,125.80,145.49,88.07,218.01,223.28, 
84.90,72.19,222.92,23.82,133.19,261.69,129.37,240.11, ,197.37,260.90,181.07,47.02,268.94,88.93,13.64,277.12, ,15.22,186.82,116.06,107.76,223.90,267.82,298.92,61.39,34.99, ,141.39,290.19,96.60,2.54,254.35,104.46,294.88,88.59,137.65,141.67,32.50, ,196.51, ,257.90,292.30,238.74,174.02,244.02,8.05,80.87,226.23,164.16,206.92,255.02
61.34,259.97, ,143.19,253.20,248.24,92.80,109.63,164.72,170.51,46.62,216.22,43.31,173.18, ,125.93,53.02,16.13,281.11, ,271.45,256.67,15.70,210.40, ,75.12,146.48,210.52,126.68,6.86, ,271.27,218.64,289.70,206.83,87.01,158.86,243.26,278.17, ,188.56,140.96,248.19,174.14,250.99,78.24,229.04,229.12,89.59,155.42,26.66,282.52,16.96
 ,132.49,27.33,207.71,138.45,59.82,45.53,76.88,296.77,275.40,263.85,257.32,296.54,110.34,135.34, ,176.32,4.10,31.16,103.19,140.04,202.61,20.11,42.80,117.92,41.87,41.38,242.97,179.52,235.40,231.13,205.76,174.68,2.93, ,106.12,51.49,251.24, ,72.39,167.28,137.75,175.95,92.13,4.19,214.70, ,145.83,211.57,285.13,256.21,32.89,239.60
143.02,101.80,263.23, ,153.53,20.26,178.91,148.39,84.04,122.69,208.91,1.42,218.27,118.40,155.74,48.84,23.74,41.93,202.91,78.69,203.73,85.92,211.34,265.74,297.39, ,206.31,86.65,239.85,186.90, , ,97.93,91.37,47.30,240.53,137.63,154.99,82.88, ,17.19,143.28,291.81,220.89,15.16,253.24,176.28,289.91,100.25,35.27,42.59,78.39,231.84
148.84,158.24,16.32,289.85,190.01,88.11,295.05,100.28,27.93,250.61,220.47,13.13,188.73,49.96,49.57,42.48,150.21,284.88,76.15,26.13,256.39,77.06,217.51,199.74,153.91,263.28,201.21,30.13,32.13,57.06,61.88,280.10,0.26,78.62,239.71,42.57,218.98,147.55,296.97,81.93, , ,225.26,21.61, ,53.74,245.85,97.36,115.54,45.65,88.07,20.24, 
 ,111.80,63.89,281.24,30.22,8.81,57.38,97.04,296.44,48.24,286.22, ,101.76,33.34,243.12,202.52, ,118.86,4.29,196.03,293.92,117.64,1.68,110.38,187.79,249.50,49.12,81.64,37.47,70.14,179.82, ,15.76,241.13,249.86,159.53,117.80,53.03,87.47, ,186.19,37.74,51.88,71.40,123.66, ,193.81,250.02,150.91,64.92, ,14.78,88.81
33.71,3.21,262.07,85.15,47.11, ,98.98,55.35, ,164.23,227.22, ,46.57,218.50,135.81,126.27,236.59,85.43,79.65,73.26,24.82,58.02,205.45,57.45,89.50,125.03, ,17.89,64.65,263.42,197.46,2.41,47.79,34.62,158.51,232.23,299.12, ,146.83,84.44,20.00,295.14,266.14,162.91,77.86, ,254.00,85.69,71.21,35.26,292.45,80.13, 
79.24, ,226.07,75.06,157.62,125.49,215.14,165.55, ,90.12,170.57,286.37,283.35,162.25,112.30,169.31,119.21,115.42,174.62,184.90,110.67,130.46,49.04,278.86,185.74,175.92, ,162.29,264.48,45.55,94.43, ,131.41,171.53,30.61, ,215.52,10.54,181.59, ,150.76,73.70,171.69,92.82,111.91,117.29,21.67,188.46,93.93,44.01, ,74.63,166.57
62.73,39.56,0.96,95.07,211.72,275.36, ,128.17,200.50,67.28,116.42, ,210.34,89.42,242.33,187.41,154.19, ,193.75,286.97,289.52,243.49,65.99,45.47,78.07,139.63,168.14,101.10,166.39, ,42.19,167.01,127.95,179.73,214.94,100.93,63.70,190.20,257.55,230.26,73.10,291.34,44.38,19.56, , ,260.89,115.33,85.55,149.10,57.24,39.46,10.75
49.73,287.95,195.99,158.99, ,150.33,138.83,207.10,211.48, ,67.44,185.56,61.99,118.27,98.70,277.41,260.88,10.41,34.41,167.03, ,261.48,63.03,141.44,197.08,273.51,120.36,140.30,154.21,91.62,273.66,250.86,210.22,93.52,12.41,26.08,175.40,249.55,87.88, ,284.96,182.06,264.28,80.01,128.50,29.24,228.63,52.81, ,30.80,47.85,105.17,249.02
61.49,218.99,289.56,134.33,9.61,97.75,154.04,112.38,64.62, ,43.20,49.37,297.94,279.85,259.80,290.17,115.27,159.35,178.30,98.97,296.51,109.52,27.04,92.78,209.52,173.68,274.24,184.73,77.67,13.33,218.36,277.83,192.23, ,70.53,97.23,120.59,191.83,297.27,193.76,246.25,7.00,175.11,83.70,7.72,160.62,166.63,23.03,56.34,198.52,284.30,209.17,265.98
 ,263.26,99.65,83.98,103.58,175.63,66.66,41.34,183.55,181.57,109.56,104.00, ,230.87,276.10,58.97,241.05,205.34,64.50,162.76,105.50,240.65,212.38,180.47,147.12,108.89,76.57,298.78,171.07,0.42,69.70,89.26,24.25,89.53,296.52,153.77,98.02,241.15,58.01,237.72,88.62,99.91,237.33,211.53,28.35,255.57,271.34,108.81,39.43,84.34,150.63,137.97,32.55
259.05,200.73,295.68,243.37,154.54,194.29,289.10,278.01,20.69,289.51,244.95, ,29.29,178.47,202.85,299.95,86.17,182.70,86.19,226.30,26.59, ,92.65,298.71,40.79,20.02,148.90,59.23,294.26, ,261.67,182.33,8.93,52.13,251.43,63.68,20.10,284.73,182.91, , ,121.63,273.60,263.18,211.15,232.83,195.13,62.22,156.12,45.95,262.78,46.56,175.11
116.72,162.83,240.68,253.21,71.99,214.24,165.38,175.10,160.65,292.71,147.68,294.03,57.07,191.01,283.27,170.29,225.96,99.62,290.83,228.95, ,143.19,145.02,273.09,129.23,235.94,191.00,46.14,141.84,275.65,286.22,115.77, ,148.89,134.36,238.66,202.54,206.51,63.32,273.62,4.33,242.50, ,27.27,292.57,105.53,114.58,9.99,177.96,79.24,112.07,2.44,121.49
81.89,284.06,95.64,261.31,233.12,20.52,120.32,129.50, ,244.08, ,174.43,269.01,259.34,172.61,256.46,182.52,116.13,295.34,157.20,24.35,274.39,50.71,57.96,20.56,124.29,30.58,233.72,252.37,80.66,154.84,119.09,75.48,203.94,146.98,27.46,151.46,216.20,96.56,82.38,13.43,155.29,205.38,43.59,282.06,282.74,161.38,174.27, ,78.21,184.03,35.13,290.81
271.56,133.55, ,250.67,182.03,3.15,194.96,245.16,171.00,13.93,29.73,269.24,266.40,250.80,12.04,96.57,277.71,182.58,264.92,182.56,239.20,234.37,232.45,11.19,107.43, , ,213.31,203.92, ,154.72,94.01, ,143.04,71.59,62.02,158.86,183.46, ,117.83,62.75,243.42,104.79, ,241.94,107.09,61.57,0.58,283.08,129.08,0.05,151.74,237.17
6.65,108.67, ,40.90,235.83,65.90,252.86,282.56,175.01,196.29,129.00,47.15,72.40,290.51,25.00,210.24,59.23,144.27,269.35,95.87,169.50,245.80,229.69,257.08,56.77,168.78, ,215.93,169.10,166.73,114.19,52.41,278.53,294.07,52.63,270.59,48.74,203.61,62.05,128.18,188.73,35.53,78.24,250.72,40.64,89.51, ,141.91,15.28,298.71, ,177.95,235.64
292.94,97.79,271.20,221.73,207.52,234.43,208.71, ,249.36,22.61,39.33, ,54.62,107.54,67.54,105.19,212.18, , ,153.11,235.94,273.56,32.11,129.22,93.14,190.17,84.93,135.06,103.20, ,210.74,106.71, ,109.89,37.60,118.37,65.94,265.56, ,297.66,26.99,40.63,128.66, ,123.02,123.69,161.08,136.96,269.56,234.84,141.58,31.77,163.16
14.25,137.22,126.38,239.01,125.35,193.52, ,16.54,26.25,94.20,79.73,158.66,24.41,254.49,269.88, ,67.59,288.73,140.71, ,79.72,114.88,73.49,10.60,9.70,32.79,225.94,193.47,225.43,22.71,214.74,94.35,60.19, ,265.00, ,254.54,58.55,51.50,146.00,222.07,98.93,259.61,67.38,109.48,70.97,172.73,124.79,60.46, ,123.93,153.86,104.52
61.07,148.81,19.94, ,175.64,70.03,34.71,288.35,130.22,276.38,45.03,270.02,286.14,229.42,113.99,240.64,293.00,60.12,134.50,1.27, ,71.30,15.58,133.75,38.93,136.14,238.09,11.90,223.44,272.99, ,204.92,297.34,114.77,84.02,28.48,259.42,156.59, ,65.30,184.68,131.63, ,69.73,158.00,181.57,86.30,216.06,241.34, ,56.11,273.16, 
58.45,8.68,69.62, ,8.19,84.56,239.11,209.55,88.66,78.81,109.15,134.76,261.29,289.51,19.01,22.78,21.13,27.02,57.19,216.51, ,1.08,218.02,114.74,20.40,194.07,246.74,73.85,175.31, ,192.71,299.30,159.36,203.06,256.61,247.00,25.63,174.20, ,105.94,259.18,183.15,65.44,67.27,177.01,261.31,135.29,212.94,261.68,253.84,189.99,95.07,239.72
237.32,164.91,216.10,169.60,277.34,229.15, ,106.16,35.65,122.48,232.72,99.66,127.10,56.08,42.80,280.91,56.51,228.68,67.55,269.37,30.10,95.95,278.77,61.90,221.90,152.40,57.63,20.71,199.78,225.93,195.98,6.36,58.28,52.26,287.81,292.63,226.05, ,204.82,154.52,212.59,71.63,96.53,87.92,223.47, ,166.05,114.02,13.19, ,65.45,95.26,290.77
13.13,205.80,70.04,137.18,99.22,49.84,232.50,177.01,2.46,22.03,198.22,76.34,1.89,68.66,228.87, ,242.00,116.13,208.82,297.13,275.67,241.29,138.45,48.43, ,132.63, ,30.86,221.00,212.79,170.05,291.66,220.28,68.26,93.60,212.88,168.53,296.68,59.97,188.86, ,270.36,146.01, ,56.91,73.28,98.80,279.65,172.82,24.12,236.36,218.15,208.46
