Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
270.47,34.74,162.73,296.65,126.88,12.47,186.49,191.68,207.53,57.71,279.66,185.18,195.91, ,41.77,264.09,132.12,129.80,144.84,184.95,34.12,209.73,257.25,22.55,138.02,62.96,98.32, , ,75.81, ,117.57,199.71,150.30,42.43,26.66,223.55,283.79,133.64,251.55,137.21,202.15, ,38.54,199.66,39.52,216.64,93.04,174.86,85.12,48.10,83.33,47.27,281.56,140.88,293.13,233.42,107.16,269.70,243.46,205.82,144.82,258.13,57.28,243.53,189.66,266.11,289.39, ,270.95,121.12,48.08,0.58,133.29,267.71,133.32,184.81,281.89,74.44,64.55,163.27,97.09
173.05,144.28,50.32,241.38, ,289.47,182.96,30.86,255.19,206.15,194.66,74.14,96.90,266.48,157.16,101.42,46.47,156.34,221.84,174.29, ,163.75,36.92,21.72, ,31.57,198.68,38.35,128.17,266.72,139.59,268.07,135.94,112.52,247.44,263.85,127.64,285.49,154.73,140.22,243.15,280.37,98.03,114.66,153.98,20.84,205.26,234.58,3.45,33.48,81.46,72.62,115.13,27.60,194.83,234.34,39.61,279.81,233.44,63.83,175.86,80.99,73.58,122.32,62.67,27.92,153.12,53.23,158.65,238.12,248.64, ,288.25,171.28,20.62,189.72,141.61,189.03,47.97,45.05,267.27,152.92
53.97,164.63,112.11,260.35,194.10,57.06,220.00, ,240.61, ,48.66,172.34,258.42, ,3.47,109.55,198.24,258.28,85.57,263.82,240.86,225.12,186.47,293.67,115.70,8.89,282.94,186.00,3.01,62.91,151.63, ,49.87,169.07,178.99,165.39,90.44,135.13,181.27,157.79,58.31,4.96,75.03,257.96,52.56,58.57,215.90,269.83,24.45,167.33,288.48,113.44,27.52,243.05,191.18,204.86,192.92,21.44,259.37, ,11.93,22.17,259.57,40.79,277.65,92.67,168.18,294.53,152.91,190.15,134.28,266.56,183.92, ,151.87,84.60,147.69,137.64,87.84,259.45,68.51,105.85
 ,231.23,254.43,187.23,145.83, ,112.39,19.49,210.47,124.53,286.83,123.35,190.87, ,150.31,283.83,30.22,296.78,177.55,45.60,95.79,86.28,3.82,250.85,102.02,117.12,109.04,220.46,280.20,148.84, ,132.67,86.26,116.75,243.64,93.31,163.74,94.69,288.57,45.95,88.26,98.29, ,187.62,210.71,237.48,298.34,192.21,79.77,235.06, ,3.02,210.36,205.55,261.86,291.29,175.29,175.96,264.92,161.20,63.86,8.22,27.36,15.62,81.51,80.72,175.86,129.80,250.50,91.27,229.47,220.16,162.10,78.34,249.28,197.76,268.55,136.55,207.71,141.57,126.09,198.22
6.04,88.17, , ,168.89,261.99,97.60,185.17,251.10,115.47,147.59,54.83,79.94,136.31,251.77, ,149.98, ,178.00,106.38,231.95,234.22, ,31.82, ,207.76,83.92,117.99,107.26,215.66,135.37,108.71,14.36,237.12,102.37, ,208.75,263.17,290.71,248.32,175.14,230.30, ,253.53,213.23,135.07,248.00,180.86,57.57, ,294.68,111.60, ,20.34,168.31,157.01,152.67,200.56,109.84,32.18,7.07,124.17,74.31,112.58,128.88,150.38,164.83, ,274.63,270.05,97.76,297.94,27.07,23.73,287.33,109.71,75.62,174.88,129.43,30.34,75.93,234.98
65.31,163.75,188.72,180.87,8.20,109.65,56.29,112.80,201.94,94.32,277.63,195.33,216.25,191.65,126.15,206.22,85.91,231.41,203.77,261.11,291.09,247.25,204.15,91.00,282.56,83.66,154.52,67.25,204.65,62.95,85.53,222.28,39.14, ,242.91,107.18,257.06,102.13, ,162.18,188.19,280.78,104.93,250.84,206.07,131.08,186.30,238.19,88.05,262.26,220.23,41.31,185.29,177.25,1.36,285.20,184.17,161.41,101.28, ,7.35,292.35, ,208.96,262.60,191.88,231.13,153.09,187.23,191.69,228.13,103.92,82.61,179.31,277.18,56.25,287.94,130.80,178.01,178.88,36.76,65.46
182.87, ,70.11,132.02,185.06,238.51,107.68,277.70,203.78,107.95,246.23,173.03,9.94,89.43,249.54,216.01,43.06,157.76,91.50,247.76,14.85,74.96,112.87, ,16.65,282.18,257.17,231.91,124.05,257.15,94.23,190.61,160.40,169.41, ,159.19, ,174.04,168.19,220.47,170.81,231.79, ,188.96,227.91,91.16,13.84,166.82,256.37,291.58,47.88, ,207.07,191.44, ,59.63,214.54,248.51,212.26, ,101.23,75.57,159.77,171.75,14.99,181.89, ,163.43,259.65,148.42, ,229.54,212.71,54.73,255.74, ,57.24,206.68,129.64,285.61,236.35,292.80
93.03,233.79, ,193.44,276.02,71.17,179.75,212.79,177.08,140.88,225.76,189.22, ,253.81, ,190.16,295.18,41.38,63.22,9.05,215.93,296.22,190.62,270.99,110.45,271.94,130.60,146.27,249.30,273.63,173.25,234.87,293.22,49.87,274.09,13.10,43.98,177.12,185.29, ,295.74,9.96,126.78,93.34,156.96,120.22,137.44,78.35,277.22,55.74,28.69,46.77,158.65,95.84,241.38, ,237.12, ,184.18,48.89,213.50,241.72,49.32,17.72,85.03, ,140.78,210.96,75.39,114.09,225.51, ,169.46,9.98,179.85,176.50,171.69,134.58,123.72,192.57,11.56,136.39
118.38,104.78,240.40,187.91,159.97, ,29.43,154.72,13.72,15.52, ,105.52,33.97,260.92,70.68,204.15,166.31,72.08,96.35,205.55,84.36,79.51,94.95,83.82,227.09,249.49,53.27,246.57,284.25,13.79,179.98,262.00,240.46,17.37,46.57,21.07,288.44,60.04,13.95,17.36,276.56,110.59, ,57.16,6.11,130.87,144.63,23.03,289.26,208.28,103.69,47.15, ,147.72,203.02,138.51,102.72,187.23,144.91,270.46, ,235.12,276.23,141.66,270.66,56.39,157.00,10.14,94.69, ,89.34,213.54,253.19,42.93,229.56, ,200.02,264.72, ,240.95,84.34,185.55
296.61,72.27,74.63,251.38,28.28,237.23, ,190.42,11.50,187.64,80.36,49.17,222.80,286.03,76.20,23.23,222.87,63.74,162.36, , ,68.43,4.00,40.22,268.33,225.26,251.06,243.64,50.69,292.09, ,68.30,27.36,185.85,123.50,277.44,296.33,232.08,48.21,108.20,210.67,167.88,110.99,10.28,224.19, , ,180.85,223.90,231.37,23.30,75.15,218.53,44.94,139.46,92.94, , ,107.58,70.25,77.15,29.79,257.26, ,138.11,186.15,236.09,69.61,71.06, ,142.55,60.10,208.45,229.67,156.65,147.88,255.83,7.44,226.36,118.72,102.80,74.77
