Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115
246.11,75.85, ,94.76,45.78,18.27,293.18,0.59,38.98,277.09,120.00, ,162.08,26.49,210.17,254.89,113.04,250.43,180.68,297.78, ,25.47,131.43,237.97,281.38,52.94,285.14,183.61,109.92,59.20,147.44,262.45,268.08,217.56, ,290.80,242.73,217.97,227.88, ,210.25,136.64, ,280.01,228.13,40.44,189.87,233.98, ,179.20, ,215.58,225.72, ,223.18,173.75,175.49,125.34,116.92,208.47,268.71, ,205.53, ,142.73,30.93,176.84,229.30,25.33,205.30,215.23, ,40.57,263.44,66.59,288.36,138.45,26.93,215.15,219.27,75.18,243.04,133.63,79.70,174.79,193.94,189.00,44.92,93.54,269.24,238.34,218.36, ,245.29,211.16,102.33,252.93,66.32,192.75,183.02,90.57,75.32,45.79,187.83, ,196.19, ,134.53,91.23,198.20,94.38,214.26,232.64,255.83,270.51
214.73,29.96,10.32,148.22,24.48,31.47, ,276.07,66.77,1.32,76.48,72.45,252.10,118.47,224.98,89.81,32.16,103.52,253.66,185.69,233.29,41.24,96.05,59.03,215.10,115.02, ,126.00, ,124.11,108.30,42.59,257.69,164.39, ,153.02,51.86,240.91,7.68,196.46,182.62,297.22,232.74,224.17,92.99,201.12, ,254.33,71.16,120.02,209.32,209.50,258.47,45.77,4.37,195.87,114.95,249.09,98.73,17.43,189.63,266.60,137.21, , ,145.73,62.75,244.70,64.56, ,110.33,56.83, ,37.22,40.88,96.09,118.06,147.15, ,113.75,199.41,250.58,193.11,170.54,114.24,12.73,195.26,264.81,255.36,289.30,148.96,298.71,93.66,135.72,174.43,252.99,296.85,181.63,73.12,138.14,194.97,204.77,273.94,42.31,277.66, , ,7.22,115.20,242.85,202.23,200.40,191.13,58.80,87.22
124.93,19.27,76.24,110.14,93.62,279.48,184.07,197.90,242.02,292.17,264.02,2.16,49.62,61.66,266.04,240.33,74.25,110.88,183.64, ,277.26,180.15,257.54,246.44,233.57, ,118.44,35.39,87.97,13.88, ,279.92,133.77,72.77,181.78,277.02,123.92,176.27,2.83,295.62,282.63,208.82,47.63, ,168.23,244.04,69.99,162.03, ,232.93, , ,64.54,217.51,295.94,192.53,227.59,248.05,117.34,33.85,289.24, ,209.59,215.30,274.38,48.08,10.26,10.26,253.90,42.48, ,136.27,46.62,223.04,274.09,268.76,274.30,105.99,224.19,176.02,106.09,21.56,138.88,120.24,5.53,221.51,221.38,2.53,247.27,19.92,214.81,21.47,66.84,214.05,19.02,196.87,150.70,224.58,55.53, , ,269.41,295.94,106.92,172.10,162.75,243.82,180.69,266.66,92.76,238.55,270.78,236.90,53.85,111.07
206.30,170.45,249.95,66.49,164.86,111.05,130.60,105.16,20.17,258.81, ,197.37,223.31,161.61,86.63,155.86,229.39,66.46, ,232.85,82.44,110.17,125.32,248.36,252.05,2.30,81.46,108.23, ,141.02,222.93,190.88, ,120.26,190.12,179.98,96.94,220.68,155.90,147.87,276.47,114.14,100.66,245.15,279.08,167.48, ,204.55,219.41,176.10,7.96,69.60,56.07, ,22.54,268.18,60.54,268.96,106.90,242.04,186.67,281.75,162.69,258.70,80.00,230.60, ,42.40, ,98.47,282.61,118.53,18.84,151.72,53.74,57.42,10.66,216.89,298.24,153.01,134.09, ,64.69,157.87,129.93,205.55,27.30,138.80,45.40,129.81, ,88.43, ,99.09,284.26,32.94,244.50,197.94,193.30,24.18,69.72,95.85,174.39,1.82,101.24,31.05,80.41,19.47,170.01,205.72, ,238.65,154.57,116.07,121.83
56.26,148.41,268.85,84.77,125.50,193.24,129.01,253.13,143.76,224.59,181.20,30.82,10.20,80.27, , ,167.71,46.13,272.33,287.40,156.93,63.48, ,30.81,241.50,285.84, ,160.94,13.95,161.58,59.69, ,197.75,143.22,44.82,138.51, ,195.99,205.40,78.78,290.28,169.59, ,275.41,212.30, ,104.06,196.11,65.87,61.49,14.84,109.38,66.18,95.75, ,1.15,187.01,252.53,3.90,31.79,36.68,160.69,184.00, , ,291.12,173.16,239.34,201.51,144.82,35.07,208.84,148.72,144.50,215.74,202.06,110.96,232.61,208.70,137.32,20.17,164.56,140.49,94.09,10.58,176.59,134.02,208.69, ,219.86,55.47,16.30,237.96,164.58,204.64,230.96,236.11,68.44,33.76, ,157.71, , ,57.25,245.76,153.01,232.51,93.41,41.01,47.88,232.62,65.01,268.05,35.15,171.34
248.20,253.28,230.18,189.24,157.60,15.15,225.53,276.56,27.75,219.41,177.94,112.72,251.07,45.85,295.22,153.38,33.17,49.33,101.75,250.76,73.57,269.95, ,246.51,241.33,237.45,142.03,129.68,40.55,130.83,205.67,180.14,81.19,198.42,88.55,295.30,210.56,17.85,174.79,227.70,228.45,133.07,254.63,155.46,173.20,21.94, ,202.08,115.51,126.38,277.43,155.35,173.94,43.17, ,7.53,107.46,176.45,6.46,203.28,86.98,95.11,58.65,238.04,46.03,97.21,60.81,97.37,43.83, ,281.59,9.88, ,184.41,164.18,30.05,128.01,82.96,28.96,159.95,73.85,224.76,256.96,271.03,149.61,133.35,296.44,292.33,4.47,116.17,141.64,249.81,263.25,192.78,174.38,259.21,258.72,119.29,169.54,270.02,105.17,1.60,16.39,242.21,170.68,189.51,204.61, ,167.85,174.74,46.46,119.26,186.18,113.98,172.77
71.88,9.47,193.52,191.64,53.29,58.14,102.02, ,241.33,184.14,227.15,159.88,163.46,40.80,268.55,39.47,214.55,182.32,124.91,281.44,46.69,70.51,295.96,174.66,193.37,166.43,82.07, ,172.85,51.94,195.52,126.78,165.15,30.92,267.69,211.63,176.00,70.45,19.76,145.07,147.91,204.40,147.16,169.67,139.50,277.08,119.61,74.46,87.44,179.85,12.83, ,188.83, ,173.51,177.01,122.56,83.67,139.08,169.55,250.84,230.35,44.06,31.78,34.72,223.90,174.36,6.05,125.56,45.62,155.46,17.65,247.56,4.98,32.16,95.38,183.57, ,227.63,242.72,110.42,270.05,236.30,31.03,32.34,56.69, ,279.32, ,226.88,240.37,182.56,108.90,298.47,76.50,210.33,272.25, ,242.30,17.45,76.76,181.42, ,212.83, ,261.89,291.41,11.79,294.84, ,10.95,87.78,183.35,298.62,97.69
274.39,140.89,108.74,254.58,198.48,80.78,234.58,281.49,43.58,280.30,279.08,44.06,99.78, ,98.40,70.12,261.37,252.37,193.06,133.65,59.74,21.43,226.51, ,277.59,52.61,271.81,249.15,98.55,243.28, ,230.26,258.80,225.43,70.71,72.43, ,132.17,80.57,122.80,0.69,117.75, ,89.56,7.44,183.54,48.70,203.69,95.64,170.61,73.66,139.55,145.68,278.27,279.26,164.78,204.65,24.38,23.46,42.93,219.37,87.27,181.00,247.04,153.45, ,227.11,137.25,204.65,51.48,15.21,111.41,160.09,246.23,100.05,160.96,173.16,169.67,136.33,256.01,244.72,142.66,231.51,248.54,113.40,208.91,163.21,233.71,299.26,101.46,171.08,42.95,91.34,238.50,284.83,233.55,44.25,257.91,34.62,173.73,235.74,95.64,103.82,140.34,205.60,228.83,178.27,120.92, ,59.42,169.23,130.83,298.17,56.69,241.66
147.65,198.88,185.33,34.12,138.17,120.28, ,196.96,37.82,227.84,77.30,91.46,255.94,29.39,246.92,104.65, ,194.34,81.26,294.35,252.58,24.91,11.59, ,106.77,292.05,167.38,259.69,226.27, ,228.04,189.52,245.96,233.13,225.18,162.36,88.26,127.62,216.98,219.87,111.30,140.38,250.65,177.20,220.36,107.34,250.48, ,194.60,75.29,176.42,109.73,184.86, ,8.22,4.93,32.61,39.30,163.95,190.17,52.37,20.24,52.34,188.25,165.31,133.51,109.13,286.97,108.49,78.52, ,83.46,183.96,285.07, ,275.02,104.81,57.64,187.09,95.76,168.20,8.05,138.31, ,125.28,33.82,9.18,146.08,96.30,292.33,86.99,56.40,160.78,91.74,270.87,81.58,69.92,54.27,180.96,296.95, , ,0.97,181.29,203.91,177.10, ,264.08,115.37,112.99,89.92,170.02,180.39,61.56,270.50
 ,141.95,110.23,160.89,55.33,258.25, ,135.35,78.75,107.69, ,183.96,247.18,122.99,299.48,122.26,118.29,295.66,71.13,51.88,113.32,186.18,8.44, ,200.01,267.13,296.67,103.51,44.93,62.95,277.02,55.11,268.10,211.28,49.75,285.93,277.76,120.04,153.00,96.05,125.42, ,98.13,130.09,192.25,15.41,208.21,105.62, ,224.08,41.98, ,27.91,27.41,242.42,294.52,21.95,155.01,296.06,261.98,205.61,57.33,204.75,18.36,26.17,234.44,125.77,47.74,30.66,295.21,1.06,2.67,259.21,137.67,110.81,81.42,253.89,237.44,104.29,169.00,39.60,128.54,11.71,19.05,251.44,15.45,3.99,275.51,175.79,218.46,212.84,160.52,52.81,198.84,230.20,159.08,193.02, ,122.92,118.15,41.38,167.86,298.93,233.53,257.93,218.31,260.09,72.82,295.49,297.49, ,214.60,111.53,216.57,196.19
