Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110
298.13,161.25,23.88,202.04, ,213.33,207.87,71.48,43.51,130.95,187.98,174.08,127.37,208.37,288.16,277.89,8.63,133.19, ,70.69,197.33,17.30,250.62, ,216.09,23.56,285.90,28.40,51.34,291.52,163.02,270.23,251.62,50.33,180.79,155.50,180.97,2.05, ,254.22,64.97,253.74,235.80,140.41,216.62,87.29,159.21,146.57, ,125.43,103.40,34.08,290.97,157.16,84.88,247.24, , , ,183.01,134.08,228.73,19.61,227.04,82.99,178.93,199.03,204.99,263.46,196.21,21.06,263.39,136.47, ,33.62,281.12,81.32,95.29, ,111.31,202.97,132.66, ,31.69,200.89,274.74,133.15,85.85,116.63,158.85,211.05,42.33,59.04,196.71,255.67,265.65,123.83,147.38,155.86,217.01,116.00,121.54,44.99,271.54,20.34,256.70,22.86,123.56,122.68, 
78.35,201.89,64.98,240.45,217.71, ,274.46,79.47,184.68,3.39,286.08,286.60,255.12,241.81,91.37,98.95,142.83,229.50,105.07,176.35,209.06,263.50,231.40,279.51, ,282.89,153.50,258.89, ,268.36,40.41, ,139.36,245.39,16.85,284.53,57.64,217.25,23.81,284.91,80.27, ,63.16,87.70,32.16,31.50,222.05,60.26,211.27,270.00, ,151.30,172.65,135.57, ,159.38,247.35, ,48.34,34.08, ,103.86,132.03,154.30,207.28,78.69,62.16,209.28,199.99,99.26,120.11,71.37,79.81,205.65,67.06,84.82,14.06,42.44,24.04,200.16,111.29,49.87, ,259.15, ,243.69,36.46,88.47,43.29,126.56,219.01, ,3.83, ,192.51,175.10,21.46,147.87,54.12,6.20,156.89,9.21, ,45.67,94.04,207.68,280.07,181.33,171.57,255.98
77.68,75.69,102.16,142.11,205.09,241.10,196.74,295.97,52.93,161.70,195.15,109.29,225.99,48.90,175.79,298.16, ,73.85,187.74, ,122.64,129.68,116.66,111.10,23.73,154.27,11.00,254.80,224.63,110.91,278.36,278.41,240.18,50.36,251.73,277.72,105.08, , , ,249.22,157.55,188.63,124.25,297.78,162.67,55.44, ,42.14,133.43,178.61,170.22,158.98,204.72,255.34,185.79,292.07,246.71,108.78,229.57,287.46,209.50,229.54,22.95,160.32,254.00, ,124.22,199.16,73.99,227.50,49.00,108.90,263.36,77.94,143.79,240.50,34.27,247.43,129.47,240.28,173.12,26.04, ,225.19,222.46,196.99,137.41, ,106.56,62.42,130.04,9.27,224.10,177.07, ,6.54,63.79,263.77,18.44,191.48,230.60,32.04,153.24,41.23,276.01,63.86, ,270.08,118.81
213.33,65.71,2.42,100.64,120.13,13.25,35.12,11.83,288.92,2.30,180.65,134.37,67.61,147.16,164.67,231.86,261.85,114.84,153.94,259.09,59.12,55.30,229.22,243.30,206.55,76.50,249.34,186.08, , ,54.63, ,286.49,261.06,263.27,138.01,184.42,237.87,167.37,85.98,275.40, ,221.00,228.25,291.49,187.28,147.57, ,146.78,116.08,212.46,33.18,258.09,162.55,74.36,228.06,264.42,164.47,124.46,33.72,236.58,182.08,295.61,101.47,52.38,250.23,296.90,15.32,201.01,150.95,207.79,135.72,282.48,277.68, ,11.40,181.85,283.81,155.05,117.14,160.18,247.67,31.59, ,286.58,18.21,107.47,216.55,98.21,243.38,5.97,87.29,70.51, ,86.18, ,203.31,59.49,46.89,269.59,24.85,110.06,93.70,269.05,160.72,209.28,143.14,292.75,22.95,177.16
149.44,13.77,78.16, ,125.05,260.34,282.62, ,25.67,130.62,20.46,61.98,95.43,144.98,135.56,151.45,282.39,291.66,53.64,69.41,194.87,4.73,9.79,210.99,231.44,30.19,32.95,181.64,297.30,216.56,194.55,145.58,68.90,173.09,207.06,166.92,269.67,99.82,92.88,14.93,52.42, ,85.37,157.86,134.60,130.31,79.03,113.04,267.22,129.05,157.34,256.67,41.22,59.09,221.19,35.61,122.32,221.74,218.02,121.43,264.08,20.08,150.06,299.06,83.40,207.03,199.65,200.00,292.01, ,213.20,297.16,151.31,80.46,295.92,180.43,124.13,68.62,282.23,166.29, , ,6.54,194.06, ,134.93,84.97,75.45,93.65,265.27,14.62, ,174.67,215.99,36.86,166.03,186.34,118.61,26.73, ,220.79, ,55.72,8.20,233.08,245.85,87.44,181.86,284.84,16.40
 ,53.26,221.37, , ,190.97,280.43,40.62,11.51,256.93,272.06,102.21,54.98,181.66,151.31,157.21,9.76,263.18,243.48,135.38,138.25,258.53,42.47,19.89,263.01,223.11,85.96,29.29,294.77,13.32,204.31,53.93,228.58,277.09,201.66,187.33,138.82,158.59,145.01, ,108.02,158.37,241.28,72.37,178.47,95.54,187.62, ,101.69,95.60,66.72, ,254.05,30.07,195.77,244.92,146.62,229.58, ,170.86,168.39,67.16,48.63,39.33,170.21,209.36,219.80,263.08, ,0.26,30.04,52.48,270.29,27.90,204.10,70.73,292.31,159.96,72.45,183.36,121.90,296.52, ,272.61,55.24,51.04,232.78,248.85,217.36,235.64,52.06,187.97, ,211.79,195.90,256.50, ,78.40,67.93,47.82,216.89,243.27,299.43,215.00,83.79, ,19.43,148.28,137.57,130.86
297.96,33.60,106.02,32.86, ,198.97,213.46,60.54,83.78,32.78,8.24,131.14,135.99,252.75,218.30,45.84,243.84,1.26,178.63,231.16,279.19, ,192.65,106.30,29.77,82.17,174.51,159.68,34.72,231.71,158.72,295.55,121.44,127.64,246.78,250.90,213.09,80.83,27.01,155.13,53.40,85.32,136.03, ,170.75,138.58,44.14,116.00,137.62,298.15, ,232.05,166.01, ,246.84,216.28,106.01,187.37,58.37,179.33,22.14,188.80,170.53,176.91, ,14.52,101.60,1.63,280.13,178.79,114.48,85.69,235.68,135.82,117.12,158.32,273.22,9.29,78.93,10.86,45.68,236.16,197.26, ,177.39,59.73,219.92,132.49,125.09,4.19,8.36,262.40,228.49,138.15,249.73,73.30,126.06,251.36,295.94,154.29,294.60,220.13,103.43,82.89,243.86,32.59,42.34,81.07,165.79,33.28
299.61,130.72,205.27,99.02,271.23,74.54,167.33,180.35,47.29,199.28,50.31,243.36,226.86,63.49,243.66,208.16,203.35,68.93,120.96,9.83,121.26,58.02,79.04,259.36, ,158.63,251.91,60.82,17.35,108.05,28.91,18.15, , , ,216.79,209.05,270.18,10.99,18.91,266.57,216.35,136.89,120.08,94.64,244.74,272.69,208.80, ,180.98, ,222.08,7.91, ,278.09,140.09,180.35,272.86,146.46,295.51,261.11,274.91,167.65,98.44,63.61,295.28,261.62,166.67,133.11,293.19,159.25,117.49, ,90.35,209.86,193.73,192.49,65.05,284.28,116.68,283.47,201.94, ,27.14,218.35,92.53, , ,44.82,291.39,179.31,18.07,83.34,3.18, ,21.42,93.11, ,76.57,292.87, ,20.01,203.32,191.89,151.73,159.69,135.06,119.99,285.98,108.02
 ,7.99,255.29,60.55,283.18,24.12,141.75,296.06,212.41,133.00,28.06, ,268.74,154.86,136.40,19.42,235.03,252.41,208.57,263.02,127.84,26.08,241.89,99.95,247.58,16.00,4.33,161.82,104.40,61.81, ,81.23,92.55,137.63, ,282.29,245.05, ,271.12,0.06,13.97, ,290.24,228.73, ,90.54,296.15,29.45,264.75,122.17,145.19,52.31,242.09, ,52.22,4.45,68.57,280.21,264.61,150.72,265.03,283.88,38.61,262.12,55.85,97.73,217.99,165.45, ,175.79,51.83,44.04,12.87,298.28,19.38,115.23,233.77,196.60,196.30,128.55,43.55,269.59,119.34,22.13,26.72,165.20,142.21,96.62,264.02,119.60,63.64, ,297.41,92.72, ,80.42,160.69,193.74,280.65,157.39,138.68,200.70,262.65,213.12, ,177.14,17.59,217.81,56.66,44.93
79.05,229.80,194.44,265.18,34.40,182.11,116.93,237.88,28.87,33.94,178.79,242.30,71.61,148.79,75.32,277.65,227.48,225.81,261.21,146.64,169.24,32.79,94.96,106.99,251.47,211.96,52.00,26.63,14.37,251.89,69.15,244.06,136.99,118.55,60.86,93.81, ,126.60,88.90,23.26,48.75,124.69,216.18,205.63,293.33,291.69,150.19,27.08,58.22,265.37,257.81,250.23,224.49,104.18,174.12,226.13,291.62, ,207.80,7.49,23.10,239.29,238.72,133.20,218.75,50.90,287.96,25.40, , ,280.04,276.36,145.48,99.09,1.08,226.08, ,249.19,193.78,35.82, ,121.36,218.65, ,206.61,73.62,59.68,62.51,152.22,124.51,269.08,52.52,246.90,230.47,158.19,251.39,178.56,15.38,58.55,199.83,41.38,47.63,149.32,80.09,280.13,52.98,225.42,225.19,166.59,68.40
