Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109
112.16,277.33,91.47,82.75,7.59,89.10,286.25,61.45,110.50, ,10.39,187.07,263.61, ,140.81,189.48,217.71,230.02,181.98,297.75,154.05,215.53,141.77,231.29,110.18,91.45,52.19, ,194.15,78.88,282.35,261.41,264.47,270.87,145.03,157.27,146.41,25.30,4.38,20.85,37.26,299.05,114.84, ,8.99,135.44,0.85,42.34,146.67,12.58,150.42,163.47,151.36,285.49,30.47,261.77,249.83,237.12,139.25, ,148.24,245.20,133.46,271.50,274.07,187.74,127.31,143.73,44.03,73.00,200.28,246.71,235.40,75.47,110.37,98.38,22.17,187.77,170.98,30.79,136.16,125.31,111.20,50.97,138.85,140.19,109.54,177.47,58.03, ,168.40,131.93,164.68,14.78,46.50,51.10,10.20,16.87,80.83,24.64,124.75, ,163.88,163.16,3.09,294.28,89.58,168.57,1.47
231.37,90.59, ,282.14,42.50,89.29,284.91,59.40,262.55,273.54,298.81,223.79, ,260.43, ,129.00,147.43,157.54, ,262.95,245.82,284.59,167.87,229.74,167.31,244.35,12.95,1.77, ,221.76,49.26,182.97,157.50,51.35,199.61,277.99,260.85,126.28,224.43,135.42,101.51,150.58,187.78,106.25,104.46,252.63, ,135.61,116.84,83.34,65.61,109.86,59.22,33.57,90.84, ,297.07, ,147.65,162.93,279.99,267.74,31.19,267.34,153.44, ,236.78,98.41,25.91,94.36,39.28,283.17, ,280.24,134.72,250.06,291.17, ,258.90,107.39,205.39,233.80,6.98,205.62,205.72,111.10,123.85,59.33,157.42,87.26,53.62,183.80,206.32,127.48,51.90,245.58,209.06,246.87,49.96, ,255.68, ,255.75,282.90,14.90,233.99,74.05,17.31,38.89
71.70,88.85,101.24, ,10.30, ,226.34,180.26,219.45,80.30, ,63.20,187.06,124.28,277.58,6.53,150.79,7.13,19.01,118.40,211.63,267.25,55.04, ,2.81,83.95,25.67,146.31,143.17,40.24, ,152.14,262.84, , ,20.08,100.70,141.52,267.18,251.74,39.79,25.03,155.35, ,111.46,131.90,4.30,87.01,24.28,294.55,295.00,47.29,65.22,224.59,152.95,29.28,73.15,200.20, ,8.35,67.48,11.24, ,183.38,298.82,35.04,234.87,257.88, ,23.09,37.70,20.88,129.93,144.21,96.25,186.64,286.97,67.41,276.23,181.59,33.34,120.39,24.13,284.58,263.55, , ,108.32, ,238.25,216.53,187.40,55.50,11.12,59.42,285.85,190.93,127.28,191.60,4.32,138.57,5.58,184.83,254.57,79.15,171.09,61.68,19.83,50.50
126.79,40.29,203.86,183.86,211.41,185.13,117.49,226.34,169.95, ,124.52,209.05,62.19,79.01,224.56,171.18,22.98,295.80,184.95,19.48,138.43,101.22,212.43,280.49,294.87,165.40,282.77,136.73,279.18,165.64,111.92, ,134.90,155.04,202.86,290.02,220.49,220.18,297.39,255.14,39.98,198.29,29.57,296.10,251.92,240.18,23.76,14.89,294.91,129.19,251.99, ,172.48,236.91, ,282.02,234.44,149.07, ,178.64,177.47,57.38,193.35,113.07,227.92,165.26,100.92,49.84,79.76,124.29,69.45,298.69,260.28,20.77,202.07,198.48,152.59,168.84,168.89,216.29,253.64,194.65,144.57,274.69,166.82, ,236.26,239.69,85.11,128.75,162.45,76.60, ,32.45,226.69,92.74,298.14, , ,100.94,137.29,293.42,174.60,240.37,174.11, ,134.49,262.66,205.25
238.93,71.71,12.69,142.50,271.19,80.18,289.82, , ,142.69,240.04,245.73,251.22,24.01,171.16,82.65,25.92,162.41,71.34,70.68,30.76,102.72,205.84,260.21,157.98,212.48, ,158.21,131.23, ,216.94,48.16,99.86,21.17,171.71,137.36,6.36,284.25,279.05,201.61, ,59.59,9.69, ,167.90,53.40,256.59,43.63,269.93,78.84, ,250.55,243.11,89.98,177.20, ,67.29,29.55,160.26,174.18,293.88,212.96,62.27,17.62,174.31,249.39,278.67,203.71, ,96.65,109.48,51.33,41.14,229.30,12.25,79.82,294.89,243.08, ,112.64,290.07,47.35,240.10,294.59,88.31,240.46,102.32, ,2.08,143.90,161.08,232.39, , ,62.81,269.46,241.98, ,228.93,176.51,102.62,12.84,163.95,131.50,167.61,268.34,267.30,284.14,132.12
 ,59.40,139.06,234.83,58.11,9.98,48.39,237.34,191.85,83.44,259.77,12.76,18.05,50.47,119.95, ,44.99,109.29,22.70,267.68,196.26,113.72,187.96,268.31, ,96.57,29.74,240.61,139.51, ,189.99,298.28,226.34,247.54,76.11,173.78,73.98,183.35,101.01,180.43,178.76,165.90, ,222.24,137.27,268.94,251.74,13.87,71.72,263.19,133.25,281.13, ,51.17, ,152.18,75.53,10.46,87.40,235.31,90.40,71.39,88.17,204.72,38.78,159.18,83.78,235.39,169.47,116.09,137.89, ,213.42,72.01,277.18,289.28,242.53,58.21,150.02,206.58,120.11,111.23,266.80,57.47,273.12,147.80,138.15,264.53,5.84, ,283.02,94.82,131.21,28.05, ,109.39, , ,222.67,51.58,173.63,221.19,109.30,49.74,185.06,299.02,50.81,173.92,199.37
70.70,171.81,62.73,243.44,210.70,91.45,55.59, ,276.78,180.63,161.57,230.82,127.10,226.65,295.65,131.03, ,187.07, ,249.80,84.07, ,250.19,165.40,27.79,282.56,117.36,1.20,259.15,72.55, ,4.20,269.84,215.92,22.31,47.32,219.56, ,122.68,6.09,87.36,224.81,173.51,98.24,287.62,51.76,138.26,64.37,125.29, ,31.98, ,79.30,277.40,137.40, ,143.49,79.63,12.98,50.89, ,225.61,5.17,102.95,132.82,58.21, ,188.91,288.85,69.39,224.16,20.27,272.34,112.40,41.14,201.52, ,149.30,223.33,295.00,297.91,193.60,85.93,245.03,249.39,145.41,115.94,152.54, ,16.30,149.80,77.97,149.47,200.62,181.84,162.10,53.01,101.72,75.85,54.16,11.64,297.28,61.87,296.44,220.60,154.63,70.18,121.72,191.10
86.74,77.43, ,130.44,82.77,14.61, ,166.49,239.66,0.58,286.54, ,207.14,58.20,79.93,99.25,181.90,86.32,199.02,235.90, ,18.67,288.54,262.75,20.37,18.80,203.93,17.97,212.47,165.71, , ,289.26,38.41,193.55,9.87,229.16,202.65,8.36, ,271.11,131.91,65.01,77.44,170.82,282.81, ,172.81,207.17,113.43,272.92,238.84,235.70,22.12,115.83,29.55, ,75.76,175.09,212.12,211.12,137.48,281.49,66.75,95.31,101.11,201.73,279.73,43.80,206.64,263.56,211.70,238.70,250.18,128.24, ,39.36,203.80,226.73,0.04,187.24,15.53,130.59,207.87, ,55.60,49.57,158.87,210.08,248.73,211.36,22.56,116.33,181.48,194.55,49.66,160.67,124.49,109.12,296.67,115.53,45.98,71.43,126.37,2.42,141.77,152.06,191.47,132.15
18.01,46.37,135.66,46.19,295.84,208.26,279.54,44.79,188.90,230.36,97.73, , ,146.56,103.83,210.82,110.98,262.68,296.50,64.39,58.49,198.00,52.74,290.55,203.05,213.74,194.72,66.19,250.98,227.51,250.78,290.79,67.16,219.11,51.80,106.34,43.72,77.03, ,67.58,84.92,107.73,141.74,284.52,70.18,54.34,148.06,115.78,259.84,128.93,121.05,129.83,156.16,8.37,16.04, , ,22.98,19.29,73.54,291.55,201.09,268.71, ,84.50,198.41,87.90,274.79,51.73,56.49, ,9.11,290.44,2.89,110.05,178.14,25.99, ,227.08,296.03,154.16,235.20,234.27, ,209.06,26.19,279.93,29.68,114.02,144.76, ,254.80,211.68,165.09,165.71,296.96,68.40,242.25,203.69,26.71,85.58,204.35,230.08,230.45,230.46,63.88,284.12,186.47,157.08
277.18,143.72,184.51,125.27,215.72,3.29,207.12,192.57,289.64,227.91,41.77, ,105.65,154.79,92.21,281.41,27.78, ,1.92,199.60,15.48,156.15,57.74,107.64,174.74,72.96, ,114.74,188.05,166.75,44.73,93.44,102.72,30.34,123.14,289.81,234.53,106.48,162.88,60.95,44.48, ,147.13,0.89,63.67,274.89,266.01, ,292.16,21.16,126.78, ,116.60,176.09,201.10,84.60,190.34,115.33,83.94,224.19,70.59,6.12,94.36,279.33,264.29,15.47,142.68,228.35,254.39,181.01, ,265.61,124.16,41.66,247.35,96.92,74.71,38.30,179.14,99.52,274.73,188.92,258.11,189.88,3.07,98.40,228.13,84.88,227.41,225.02,130.65,206.94,106.71,25.56,255.69,159.29,240.50,191.95,96.89,116.00,76.13,258.51,278.40,56.55,169.93,80.57,3.50,205.95,232.76
