Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111
157.26,242.23,21.13,286.53,44.78,9.96,123.29,34.87,204.29,218.09,26.72,66.10,256.36,19.83,5.34,142.37,136.23,7.37,202.69,47.70,186.44,225.84,113.41,122.04,111.70,143.86,82.90, ,39.26,153.02, ,22.06,131.69,251.97,15.65,132.96,102.13,121.01,29.12, ,151.16,100.38,95.98,274.19,71.99,269.70,38.46,247.07,70.49,157.81, ,12.47, ,114.60,5.37,91.03,131.26,191.90,133.49,170.43,293.81,121.13,167.43,202.31,65.42,219.85,182.35,235.70,225.21,286.77,192.87,170.36,19.98,255.76,50.13,261.14,68.61,7.46,241.85,50.53, , ,230.50,11.23,289.79,216.49,167.02,54.34,133.48,99.64,227.79,215.43,193.73,271.20,220.07,110.96,220.32,240.97,58.45,17.02,188.64,24.79, ,79.13,176.35,192.69,81.24,181.03,236.20,241.37,85.13
 ,55.73,241.87,225.56,248.90,48.57,176.09,193.21,152.49,95.31,178.94,87.19,241.94,157.61,298.72,192.13,243.34,227.88,244.56, ,193.46,234.11,272.11,224.21,159.96,286.38,89.40,253.09,289.23,168.42,9.17,288.36,106.76,90.18,180.77, ,74.23,111.62,11.74,29.44,279.05,189.20,29.30,98.05,225.72,208.54,117.67,10.31,178.72,70.15,127.30,48.20,53.40, , , ,36.20,257.97,157.15,5.40,200.99,19.36,254.05,127.15, ,107.12,298.14,75.41,191.04,26.96,283.44,9.58,69.93,220.34,134.69,51.43,224.26,247.70,51.00,60.91,40.62,281.74,45.30,164.19,180.77,180.78,224.88, ,294.81,46.91,2.60,92.26,294.45,178.62,240.21,289.11,208.25,298.96,202.44,111.20,236.88,19.56,227.24,227.66,77.83,262.88,44.77,11.36,244.35,267.42,57.62
201.78,113.67,212.88,256.85,154.90,26.44,294.81,84.39,175.73,197.05,242.66,193.75,281.04,144.00, ,201.62,224.45, ,125.19,34.77,104.44,275.76,64.12,84.57,193.04,10.74,98.91,31.91,207.41,130.76,261.41,253.03,77.87,185.05,200.87, , ,109.48,136.20,231.41,22.11,181.07, ,279.97,246.46,193.65,103.38,220.82,198.08, ,18.59,237.73,192.08,224.77, ,60.97,115.08, ,239.53,230.11,142.77,100.54,110.00,218.78,280.78,253.13,210.26,40.26,191.19,70.80,233.89,176.93,69.55,6.30,21.47,163.16,152.77,279.64,23.66,17.82,74.00,72.43,242.68,132.24,45.03,249.82,157.51,87.95,285.41,236.13, ,99.29,183.44,150.76,86.65,164.02,123.18,163.53,77.65,239.68,21.25,161.33,0.24,88.11,273.49,163.43,213.05,151.50,25.71,242.70,51.44
203.46,241.69,282.06,43.21,230.86,64.46,64.62,80.27, ,53.77,155.42,248.16,185.64,143.85,287.35, ,94.07,113.97,226.67,55.11,17.77,34.35,78.16,146.93,251.70,212.20,294.35,234.97, ,279.62,19.90,212.55,61.04,73.21,298.90,151.91,187.00,3.14,216.04,116.16,53.80,286.67,249.43,275.58,65.01,18.25,222.17,44.14,3.04,80.02,286.59, ,173.59, , ,285.85,258.98,129.77,46.99, ,280.01,225.42,101.17,129.92, ,174.07,177.51,86.57, ,18.50, , ,124.05,74.15,253.39,29.79,181.46,30.96, ,256.37,147.30,36.41,74.52, ,252.03,263.77,179.91,281.66,70.57,25.91,5.72,279.19,146.76,235.68,22.12,134.09,129.11,265.02,108.65,176.95,77.41,192.15,122.98,288.83,279.51,38.27,294.04,20.74,178.10,18.51,238.22
128.83,186.74,67.09,269.36,56.06,84.76,4.09,122.02,101.30,7.65,86.76,157.02,142.49,63.91,235.35,13.60,69.47,158.03,195.72,80.60,174.15,199.99,73.11,171.15, ,178.81,210.30,170.99,22.99, ,183.99,83.84,205.65,97.93,289.86,191.06, ,65.21,145.44,8.92, , ,290.99,197.29, ,68.29,196.90,0.78, ,84.62,21.53,76.41,227.78,276.27,15.52,234.06,284.94,28.40,126.30,92.95,220.67,91.89,163.76,140.53,182.17,223.12,163.08,288.91,69.61,89.10,6.66,246.08,266.14,91.14,293.86,116.04,150.96,54.28,274.22, ,156.39, ,60.10,182.01,73.90,14.19,36.74,186.16,12.45,257.29,244.74,287.69,165.68,268.70,153.36,114.78,99.32,295.19,217.78,208.42,128.81,154.68,243.45,148.36,193.14,59.49,56.80,198.65,185.83,142.45,110.27
151.90,191.96, ,109.74,277.42,153.09,256.11,143.48,167.00,190.09,158.87,29.45,226.61,91.88,94.38,204.24,282.97,243.57,182.83,154.33,154.74,60.27,26.07,107.80,3.12,165.73,25.85,68.05, ,159.93,241.50,250.66,273.96,236.67,247.31,258.35,144.72,167.83,291.85,63.37,74.71,50.65,87.11, ,39.57,164.68,34.44,36.66, ,101.14,233.66,254.19, ,98.91,23.86, ,95.44, ,170.14,85.21,266.22,111.59,123.99,91.78,131.96,185.97,229.59,195.26,104.38,134.07,245.05,257.77,253.36,129.24,254.72,230.35,245.50,226.73,18.22,227.91,146.95,111.77,264.06,54.58,94.29,271.73,46.57,134.02,5.12,123.43,177.72,180.79,95.72,192.69, ,120.60,272.98, ,49.51,82.90,266.99,292.74,216.52, ,50.54,173.35,162.67,191.51,13.98, ,121.50
126.10,28.02,220.50,166.08,161.04,74.10, ,66.84,42.69,234.97,145.39,107.02,241.52,224.51,13.26,77.00,62.78,248.70,245.02,19.06,72.23,289.13,94.21, ,136.89,201.97,7.53,37.14,251.82,240.10,48.94,284.32,239.56,218.32, ,129.51, , ,79.64,101.99,214.01,10.74,270.97, ,281.26,99.26,13.67, ,62.61,124.72,155.71,250.54,87.44,59.85, ,139.49,83.78,28.39,24.07,123.74,188.20,242.91,38.09,26.83,19.18,3.21,98.69,1.95,224.21,106.78,63.79, ,147.57, ,0.35,127.85,248.59,229.10,3.52,148.08,145.67, ,148.88,72.02,220.61, ,2.61, ,66.41,85.35,131.59,214.33,236.51,63.86,267.53, ,234.72,286.42, ,259.75,189.35,214.93,150.72,112.58,215.22,248.44,92.96,109.23,195.30,45.73,298.30
214.51, ,17.95,28.37,200.55,177.99,172.58,83.03,100.54, ,279.52,213.17, ,22.40,83.25,125.51,66.44,256.92,86.75,261.60,263.50,72.77,94.46, ,177.49,229.98,155.32,144.89,281.99,90.88,116.10,187.28,225.46,115.44, ,90.30,227.91,70.01, ,164.48, ,41.97,254.73,44.06, ,112.54,256.69,208.00,62.45,231.30,121.33,234.18,137.04,162.04,212.06,86.15,108.75,118.51,65.63,41.55,121.29,76.10,57.52,150.77,79.38,107.88,128.81,134.84,184.11,156.71, ,242.86,268.35,291.22,119.39,7.38,9.96,125.36,218.99,238.71,188.85,146.84,149.60,224.41,73.01,272.16,80.89,41.89, ,33.10,88.17,22.45,231.74,262.79,102.92,258.39,261.11,288.72, ,177.62,244.23,196.36,119.81,131.42,26.48,194.80,188.37,64.01,48.31,288.59,50.86
26.37, ,5.55,72.63,59.08,78.56, ,294.96,221.32,291.22,226.58,289.36,2.59,140.75,1.30, ,52.15,145.26,212.15,126.35,285.14,32.49,195.15,58.66, ,185.05,145.68,201.91,226.57,188.40,255.40,196.66,241.85,219.53,299.01,13.09,55.48,16.28,93.67,177.85,190.71,134.24,174.52,171.42,240.64,168.41,249.51,270.32,151.93,78.10,260.20,134.74, ,151.02, ,143.86,201.73,75.60,70.97,72.12,51.20,2.21, ,251.72,179.12,136.63,221.18,29.17,122.31,2.08, ,85.47,192.41,151.76, ,222.73,95.29,269.32,167.33,16.85,173.63,262.13,264.94,297.83,195.67,38.95,93.48,283.23,111.06,62.43,293.61,297.17,150.28,196.95,155.43,136.66,109.77,39.32,282.09,68.82,157.30, ,250.78,58.74,137.48,223.88,22.78,213.71, ,180.20, 
35.63,213.59,32.21,104.01,294.46,175.74,298.47,247.74,9.93,110.69,35.66,63.94,243.62,170.12,157.85,79.88,101.19,258.17,5.85,240.32,203.35,172.53,99.57,151.06,126.76,256.91,296.32,220.86,298.50,242.88,269.74,49.83,16.23,204.33,70.19,22.39,260.72, ,60.29, ,169.80,288.17,4.36,147.56,224.43,16.21,2.40,190.07,56.88,60.24,228.38,105.87,103.98, ,279.34,160.87,296.69,293.93,7.19,270.95,202.86,248.62,119.41,260.24,291.45,231.88,94.92,58.54,166.29, ,145.62,52.23, ,55.05,72.09,123.74,294.65,160.05, ,279.45,57.01,169.28,82.97,18.47,180.47,11.57, ,157.19,7.73, ,62.79,278.41,277.64,119.67,181.50,101.01,240.76,12.05,81.58,231.98,240.31,164.19,118.06,109.07, , ,281.99,271.54,15.23,281.86,253.42
