Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62
97.04,121.49,145.53,178.95,282.08,44.89,246.13, ,172.90, , ,56.80,55.76,88.79,202.18,173.63,48.10,3.97,10.78,252.60,252.79,247.14,130.48,76.15,157.66,81.85,195.63,259.49,113.92,239.93,284.26,223.03,2.85,139.44,0.84,278.69,177.63,83.65,261.06,103.66,108.85,152.32,24.16,255.87,160.09,154.17, ,77.21,12.21,16.16,5.06,4.53,285.84, , ,191.42,97.61,10.99,162.47,7.28,271.35,134.37
299.54,176.51,155.44,80.96,214.56,279.80,44.71,149.46,259.59,289.19,51.02,40.31,15.66,187.77,192.96,154.16,0.85,269.24,219.40,27.89,136.22,53.05,273.33,267.98,243.38,290.11,257.35,207.90,78.02,260.02,117.81, ,118.66,132.72,64.24,2.83,19.15,251.25,283.85,168.06,97.14,206.87,82.58, ,55.59,95.12, ,212.93, ,31.58,282.50,38.87,9.36, ,19.88,84.65,42.07,220.50,77.95,230.75,64.67,216.11
25.32,66.29,61.50,269.83, , , ,63.99,12.07,5.61,33.21,242.46,229.84,63.88,12.43,121.88,140.51,267.95,268.15,133.73, ,169.86,152.39,146.77,256.94,143.72,128.54,99.80,82.90,178.35,193.90,261.99,243.26,104.48,132.01,149.22,186.71,99.00,263.96,177.20,41.09,78.24,173.98,284.11,59.51,96.99, ,58.98,208.45,194.42,54.84,73.17,91.81,170.06,56.21,8.10,156.92,55.35,203.00,10.66, ,173.11
246.30,15.84,46.76,230.67,293.50,43.87,227.58,234.62, ,50.45,169.46,95.61,233.92,158.19,158.49,117.69,97.38,131.19,2.76,64.30,63.36,17.34,127.66,62.54,45.81, ,215.27,48.34,254.27,298.26,205.44,16.54, ,272.53,80.36,221.83,248.76,44.73, ,172.39,175.64,165.39,11.26,8.97,220.73,106.56,162.08,68.33,32.80, ,184.78,126.45, ,75.21,284.80,204.90,160.88,215.72,69.16,106.92,286.59,41.36
246.65,105.15, ,137.95,233.22,125.44,129.33,134.88,50.32,126.02,37.07,123.23,275.72,170.26,36.80, ,129.95,298.65,159.54,73.05,13.94,15.02,225.11,208.48,130.85,272.25,121.74, ,185.07,211.81,208.37,253.25,78.57,2.23,257.35,86.71, ,182.49,170.49,242.47,253.82,163.64,111.68,104.89,170.45,185.09,167.80,179.03,212.27,173.61, ,256.55,81.12,195.14,223.92, ,2.89,258.84,182.63,151.90,43.80,246.95
248.13,62.59,286.12,104.00,200.80,116.28,119.31,108.59,93.64,247.89,67.88,263.06,277.25,238.04,137.31,249.93, ,12.53,285.86,16.60,188.19,261.86,174.10,210.23, ,21.55,21.76,91.08,39.94, , ,89.38, ,39.32,162.70,235.12,39.23,294.14, ,256.01,180.62,239.29, ,260.84,34.57, ,19.39, ,119.18,250.24,231.16,78.79,41.41,242.42,265.64,8.06, ,37.12, , ,269.86, 
271.30,287.53,46.94,224.68,145.93,222.38,164.49, ,205.89,113.37,280.74,294.60,242.50,105.67,8.14,215.64,46.82,232.93,290.13,35.33,156.60,78.63,74.74,104.65,94.91,267.17,267.95,28.54,293.49,133.11,209.73,247.03,291.93, ,282.06,102.52,47.23, ,280.93,296.75,68.15,3.59,167.31,297.08,181.99,30.05,292.20,63.84,196.34,119.18, ,9.81,176.15,78.84,37.98,89.84,234.50,127.14,48.80,266.89,280.66, 
295.76,214.49, ,110.83,8.07,153.22,74.93, ,112.91,212.30,20.13,63.60,142.59,256.83,142.94,61.94,163.95,198.30, , , ,161.63,78.79,196.28,221.33, , ,231.03,27.09,266.70,167.42,273.86,271.91,16.61,52.10,80.30,165.85,243.99,104.51,268.10,216.39,182.45,146.28,235.43,214.32,144.28,209.29,95.27,281.25,280.31,254.85, ,147.51, ,11.15,247.00,14.66,296.49,24.13,19.34,105.04,244.07
223.92,215.60,230.34, ,67.11,158.38,65.11,51.15,107.06,219.83,259.20,128.27,162.30,119.24,212.79,266.89,28.04,161.56,110.90,182.63,290.85,220.11,89.75,37.37,135.67,198.63,218.10,86.94,191.56,243.19,75.89,247.82,283.44,282.34,147.94,96.48,132.96,140.49,257.35,98.30,195.40,292.55,54.01,196.19,191.63,275.49,257.00, ,15.97,289.54,297.17,182.51,3.80,48.47,156.35,118.63,82.17,227.17,46.82,3.38,262.44,239.14
143.59,64.52, ,235.90,14.85,74.35,279.22,207.30,211.62,170.06,266.87,170.01,251.89, ,183.10,211.34, ,138.95,157.75, ,143.47,176.12,125.53,223.76,93.63, ,101.66,198.92,68.45,12.30,122.88,211.61,42.65,99.75,270.33, ,146.48,170.78, ,284.23,96.48,280.99,283.01, ,171.50,236.32,173.92,30.88,197.01,198.94,201.78,203.71,169.84,298.21,131.70, ,122.28,214.88,57.85,190.37,273.59,225.14
98.61, ,277.13,221.94,48.04,204.97,180.41,25.30,208.46,231.95,289.38,287.23,124.62,44.96,110.89,4.51,171.95,276.54,293.03,232.89, ,14.73,113.31,100.19,30.61,61.98,190.40, ,224.89,75.07,268.50,213.16,124.65,102.72,133.58,87.33,208.17,265.69,131.02,78.80,244.36,166.81,265.55,222.66,69.66,149.27,24.15,111.50,238.64,110.95,199.79,45.18,137.86,68.23,91.52,97.12,188.76,39.59,174.26,274.07, ,114.52
70.75,47.11,296.57,37.80,122.31,209.74,29.35,241.54,212.11,172.51,283.66,152.13,255.18,259.11,9.56,88.57,91.87,26.87,102.97, ,110.91,84.74, ,277.68,109.19,192.76,70.64,129.79,125.12,135.62,22.88,220.99,102.21,108.46,83.21, ,284.41,257.10,272.81,287.86,253.18,294.22,4.82, ,283.24,100.03, ,166.70, ,142.72,50.10,104.83,40.89,116.47,250.65, ,280.63,104.00,106.27,228.91,16.95,254.95
200.09,101.96,117.76,293.88,226.74,14.49,76.50, ,86.66,42.55,186.69,200.02,24.19,79.27,234.98,234.87,55.07,56.72,134.36,258.62,198.79,160.78, , ,113.14,226.98,285.73,222.51,250.07, ,92.69,105.14,53.18,1.68,262.95,15.78,245.46,225.27,271.43,165.18,270.79,162.62,23.35,52.25,145.02,33.95,155.09,31.39,165.82, ,36.73,220.45,44.16,261.00,170.02,263.70, ,299.86,192.57,21.63,36.22,66.43
160.84,141.18,100.61,1.56,294.21,246.92,109.97,194.52,103.30,276.28,233.80,153.94,154.77, ,19.42,202.21,255.05,9.88,236.94, ,90.12,54.66,267.74, ,296.69,69.61,98.86,189.17,27.83,39.10,166.88, ,225.45,102.03,162.64, ,74.88,63.95,61.60,54.59,140.19,33.15,107.97,18.05, , ,183.86,285.78,226.09, ,117.29,86.20,208.97,106.11,298.39,298.35,127.72,234.03,279.02,79.25,8.97,187.11
 ,154.63, ,217.11,249.09,177.23,157.60,162.19,289.77,34.07,67.26,261.83,100.91,185.70,125.74,25.10,240.12,123.16,105.78,186.96,277.32,223.30,63.52,210.24,38.51,206.67,168.61,26.32,108.27,17.66,79.58,244.94,60.39,88.87,35.96, , , ,53.30, ,237.15,119.85,105.56,186.38,257.50,287.80,90.54,126.22,157.15,42.51, ,25.63,108.55,208.25,25.45,93.90,64.38,94.48,252.97,111.50,76.40,110.11
175.55,150.69, ,148.53,227.78,26.33,88.63,154.34,270.40,197.87,253.93,85.96,56.59,122.69,7.24,282.27,288.54,146.67,79.39,57.60,199.86,246.43,219.77,154.71,233.85,297.75,136.41,183.46,36.87,237.55,27.27,133.55,137.44,216.27,2.09,159.12,106.18,292.80,259.66,87.64,285.88,215.16,76.87,54.59, ,201.23,92.07,132.08, ,270.29, ,212.67,112.61,111.08,226.59,171.01, , ,41.69,195.90,262.00,84.75
6.90,199.61,149.24,88.55,147.71,270.18,53.93,278.74,158.19,146.78,201.54,4.99,120.33,196.32,79.99,47.83,81.33,7.73,224.13,199.36,261.52,49.90,280.58,139.51,6.51,91.14,250.63, ,219.47,261.78,178.81,207.10,141.57,58.38, , ,230.16,149.10,147.76,262.93,23.66,241.13,60.36,223.85,36.08,140.78,278.98,9.54,64.52, ,122.91,289.83,265.66,169.91,278.85,126.09,235.75,14.82,196.30,280.45, ,145.95
