Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149,Col150
238.42,170.68,14.38,202.92,266.22,135.06,25.46,39.83,44.24,51.11,163.15,211.52,133.72,75.20,137.11,135.47,229.85,160.29,53.57, ,19.79,269.60,176.12, , ,154.08,107.82, ,260.81,54.98,39.76,54.83, ,190.31,89.09,112.69,250.03,167.86, , ,108.68,247.31,259.40,277.82,203.26,28.03,186.41,256.41,177.39,175.84,85.68, , ,298.26,74.27,184.02,3.59,3.52,280.06,52.28,30.13,89.31,172.19,180.72, ,58.11,168.15, ,133.08,245.93,4.16, ,188.18,1.05,124.55,160.93,4.22,117.61,208.12,131.96,56.49,176.15,222.43,240.40,177.38,215.92,34.53,6.19,57.15,103.58,259.18,269.18,83.31,223.17,262.55, ,19.04,51.41,238.11,74.04,273.09,124.02,138.94,288.00, ,295.23,299.00,129.73,217.82,54.96,204.48,196.11,36.55,131.16, ,226.87,58.00, ,182.02,187.58,169.77, ,165.00,58.45,244.19,37.23,81.58,61.71,74.32,135.65,272.61,136.01,250.07,99.43,76.02,186.29,150.97,77.63,249.98,135.38,162.70,51.41,50.83, ,125.15,179.03,227.19,247.26,134.93,226.10
217.29,19.93,58.26,13.10,105.43,209.61,11.88,51.00,133.05,299.54,118.70,69.45,63.44,172.55,157.98,32.02,5.94,10.74,207.40, ,12.83,48.05,184.89,63.43,263.32,140.60,46.25,290.97,82.62,264.68,165.67,13.02,69.26,251.68,272.37,271.90,148.53,297.62,150.22,174.48,288.60,35.05,34.25,126.98, ,91.66,199.36,110.88,224.24,91.98,148.22,29.61,216.03,131.04,199.78,123.93, , ,48.36,173.26,42.50,108.06,87.99,289.14,147.72,74.73, , ,7.19, ,223.21,187.40,250.03,296.60,260.17,11.70,8.86,218.20,194.13,86.99,41.49,49.27,60.60,225.96,296.14, ,219.36,227.31,226.95,88.62,266.97,201.99,233.09,60.86,182.19,19.07,154.71,133.01,65.53,35.54,118.11,88.99,239.11,129.50,23.11,56.35,142.35,132.73,246.40, ,128.59, ,212.33,31.53,271.10,167.31,146.15,268.84, , ,251.45, ,274.56,130.35,212.85,97.36,35.10,295.81,297.76,76.02,53.94,130.37,288.68, ,274.10, ,297.00,183.75,87.80,219.89,122.93, ,220.29,41.95,116.85,209.00,281.66,193.20,198.65,91.71
41.37,141.51,62.81,157.42,243.12,132.09,138.66,168.13, ,210.08,202.73, ,41.99,247.46,200.41,279.41,181.77,57.94,294.44,178.60, ,121.71,165.04,6.23,151.11,215.76,35.37,176.91, ,274.29,95.68,8.13,166.83,95.86,213.19,45.52, ,78.46,109.73,196.49,73.39,181.14,108.80, ,285.70,268.13,293.08,134.70,138.90,191.12,226.29,25.06,196.10,50.27,76.95,6.10,67.16,74.05,162.49, ,148.20,132.08,114.70,242.89,34.79,7.03,170.71,294.62,7.45,192.80,38.78,123.15,253.74, ,10.05,296.29,187.54,6.08,232.61,238.62,236.75,55.56,53.75,200.92,174.36,89.06,201.53,114.55,229.38,138.96, ,135.25,218.27,119.50, ,21.46,234.31,35.66,164.52,156.78,285.67,228.19,22.54,50.37,262.95,128.49, ,159.23,32.60,190.33,291.51,173.57,10.41,179.79,296.30,157.07,254.87,289.94,210.74,79.97,82.61,176.33,278.89,121.69,113.06,163.59,88.12,248.70,168.94,98.82,97.68,226.99, ,216.92,54.83,162.12,119.20,278.99,200.73, ,212.22,137.42,232.17,112.98,24.07,9.35,147.16,78.78,159.58, 
241.74,27.65,80.35, , ,150.57,73.89,138.65,113.39, ,38.93,14.52,9.36,185.89,130.90, ,290.48,221.74,165.22,36.08,96.24, ,246.80,78.80,126.86, ,41.33,75.09,128.46,78.14,23.98,283.22, ,273.70,87.08,41.39, ,286.96,3.78,79.51,70.68,118.84,38.45,164.91,228.95,251.62,145.68,241.76,264.24,102.60,194.18,181.81,250.52,63.36, ,142.87,231.33,65.12,183.61,147.20,154.25, ,161.35,224.36,115.14,210.22,29.01,226.26,35.05,79.58,131.08,241.28,171.56,142.48,270.04,1.05,222.04,215.94,127.85,186.50,28.90,160.73,201.12,268.72,263.77,34.57,288.54,172.20,62.29,13.95,82.47, , ,156.60,87.89,55.76,227.43,71.11,142.56,175.15,208.40,159.59,233.76,218.82,8.22,120.65,13.44,37.16,207.62, ,295.51,284.18,105.64, ,193.80,13.25,22.69, ,182.28, ,30.40,247.59,64.55,60.79,271.36,90.95,291.71,174.50,3.55,275.56,185.42,283.80,238.31,120.32,188.76,287.81,68.38,257.79,3.65,210.92,116.53, ,108.24,28.49,24.80,253.72,58.31,80.99,61.40,77.29
276.23,195.38,130.60,153.19,134.43,174.45,288.31,263.44,197.58,74.70,164.81,19.56, ,100.55,212.90,257.39,164.26,15.86,150.22,212.85,281.08,288.21, ,164.54,169.48,45.89,284.49,272.60, ,124.11,13.92,292.63,157.49,290.93,216.54,20.00,254.91,214.03,91.61,107.66,156.44,191.46, ,102.16,158.32,197.34,249.90,255.56,91.83,212.14,28.98,285.19,8.20,72.40,77.88,58.98,215.81,114.92, ,217.07, ,153.05,204.27,221.35,24.16,272.26,278.37,289.59,159.62,249.83,249.10,291.40, ,207.21,66.09,19.85,13.31,136.22,165.46,221.66,263.33,297.55,213.22,189.22,158.42,126.61,136.10,81.85,105.51,81.01,212.70,154.77,62.05,226.32,230.16,252.80,82.83,93.13,249.15,172.82, ,299.43,5.45,279.87,259.27,230.64,181.62,285.64,93.56,33.95,206.78,273.87,264.75,193.41,173.37,133.62,45.10,178.96,286.81,200.18,127.75,76.96,162.33,117.00,39.21,276.96,32.87,46.28,175.06,258.42,115.44,29.36,225.09,211.09,67.15,157.99,242.10,204.27,297.54,60.33,172.21,282.75,288.12,202.70,268.71,211.60,253.16,244.69,149.29,90.15
267.05,111.35,183.09,13.59,36.88,217.38,111.20,114.17,229.16,262.51,177.99,282.02, ,226.71,264.37, ,180.82,47.69,258.68,7.78,111.41,46.18,253.76,228.91,256.71,84.81,55.94, ,37.96,208.41, ,172.79,202.90,96.69,45.76,181.38,27.64,98.21,21.57, , ,119.90,108.55,107.14,167.51,202.45,108.88,64.81,214.28,35.27,218.31,66.34,134.57,92.48,167.80, ,99.00,104.65,173.09,94.05,176.86,240.04,103.40,203.13,21.44,120.33,89.16,98.74,35.93, ,268.71,95.38,159.51,58.11,33.01,240.48, ,235.00,82.64,117.79,123.45,156.61,171.64, ,270.38,181.07,115.95, ,211.33,83.11,161.35,104.26,170.02,173.14,185.49,143.41,241.55,142.51,210.64,43.94, ,178.55,147.62,86.62,205.82,154.33,51.22,81.33,253.88,153.18, ,108.96,144.95,169.16, ,79.80,192.62,286.14,72.41, ,159.03,271.49,59.30,100.12, , ,97.04,233.34,127.75,58.23,92.82,260.16,7.18,134.12,247.92,215.17,270.97, , ,123.10,191.03,189.13,3.37,207.00,142.11,279.00,7.45,127.73,13.32,229.40
277.66,52.75, ,23.71,245.66, ,291.62,13.34,78.13,166.92,253.41,19.88,209.36,4.23,294.96, ,224.36,149.66,217.75,60.68,9.52,207.64,297.96,112.98,142.97,45.62,83.10,147.98, ,175.32,1.10,37.30,94.64,22.76,120.06,256.99,74.77,269.17,261.28,287.39,176.98,185.61,200.18,153.06,204.26,235.43, ,272.73,293.30,101.21,295.11, ,56.64,109.92,115.64,59.82,211.19,220.10,241.88,37.05,35.97,123.33,146.66,244.13,15.30,26.33,114.29,51.52, , ,196.74, ,256.56,143.83,272.78,135.25,277.67,129.02, ,100.42,75.53,290.76,163.73,295.75,209.87,148.94,208.71,293.53,2.25,285.19, ,225.81,112.04,261.06,122.46,41.48,90.13,178.87,249.76,176.72,105.83,76.72,132.70,143.24,124.65,259.25,208.42,51.13,88.55,261.52,26.79,99.12,89.03,297.88,173.94, ,279.77, ,129.48,165.69,205.36,162.16,10.60,49.67,91.04,73.92,49.23,55.56,217.63, ,215.51,0.27,149.95,188.71,109.51,58.92,25.36,244.39,59.86, ,121.59,77.85, ,127.07,214.14,213.86,101.75,242.12,219.48, 
108.19,191.57,44.22,253.57,218.19,153.35,83.17,39.17,170.46,288.09,111.89,80.54,65.26,112.74,129.39,249.34, ,140.91, ,114.71,27.82, ,181.17,46.05,5.24,26.56,195.15,14.87,273.78,223.92,298.23,13.07,40.54,93.16,116.42,296.16,55.31,198.65,295.13,92.58,151.75,203.35,12.39,205.57,103.72,169.85,220.69,4.99,133.57,142.69,125.64,185.76,167.92,117.43,29.10,163.41,29.16,227.76,284.98, ,88.70,197.57,183.51,195.64,214.05,287.44,119.43,49.81,294.22,117.82,163.31,20.68, ,87.44,98.55, ,126.26,68.07,51.77,104.31,96.34,241.20,182.41,210.07,61.02,66.43, ,229.74,82.23,263.68,245.82,242.10,188.48,119.14,154.99, ,102.40,34.99,250.84,104.24,149.62,65.20,44.10,145.79, ,119.69,78.66,276.67,116.58,123.97,77.47, ,94.09,173.51,124.96,46.49,285.26,94.46,112.16,177.22,89.34,77.64,164.86,280.47,259.73,9.59,223.09, ,17.18,75.42,194.87,192.75,185.03,218.54,201.02,112.71,146.44,236.60,63.77,130.71,39.49,258.98,199.43,136.86,17.44,62.88,112.05,36.39,44.48,232.57
 , ,104.46,244.19,8.71,120.82,257.36,115.76,95.26,163.87,231.80,144.39,93.62,250.30,253.51,84.94,240.27,231.36,255.44,85.80, ,206.62,140.87,219.33,162.18,221.08,166.31,238.68,196.01,111.28,148.63,110.96,46.33,266.08,163.36, ,127.51,83.48, ,150.40, ,12.58,144.32, ,246.70,112.22, ,223.51,89.31,279.69,75.90,90.10,50.98,43.83,256.89,109.58, ,259.99,290.29,190.47,296.15,142.72,279.89,31.88,172.71,128.32,137.34,86.83, ,18.57,245.42,175.44,98.38,14.98,143.44,35.01,56.03,83.33, ,166.73,0.71,257.72,36.17,144.97,99.38,141.57,157.31,22.96,215.41,227.28,19.55,94.95,43.20, ,207.61,210.22,119.93, ,248.96,156.68,108.82,5.83, ,163.14, ,75.44,2.63,42.78,289.89,282.33,104.87, ,224.10,44.58,185.69, ,171.51,86.93,218.92,230.73,255.90,149.01, ,151.64,23.76,23.95,156.14,266.36,297.74,117.99,234.48,148.51,175.19,14.40,30.31,86.26,63.05,201.81,65.39, ,89.15,152.39,83.39,216.99,207.17,83.34,41.93,98.00,262.21,283.80
239.69,203.99,154.01,194.29,53.79,76.84,174.99,93.57,138.67,223.73,118.01, ,159.94,93.33,56.28,113.15, ,204.11,234.89,66.41,6.52,76.92,263.14,12.60,210.28,67.27,197.11,141.07,45.23,285.76,291.43,287.73,230.88,243.46,249.96, ,256.47,71.87, ,23.78,149.92,203.71,68.07,102.48,293.26, ,279.02,135.73,10.01,198.38,244.65,151.81,59.11,84.60,148.12,154.76,27.73,104.27,156.89,47.40,198.34,210.33,217.40,144.86,47.24,129.26,107.38,246.41,89.35,297.47,208.81,138.02,241.05,181.46,147.37,163.97,123.97,223.07, ,67.93,167.60,98.04, ,79.11,85.03, ,82.50,45.72,243.95, ,186.24,273.71,92.57,79.32,211.98,257.90,70.32,199.95,24.71,100.02, ,185.05, ,267.55,47.96, ,30.22,208.38,51.74, ,189.42,203.03,23.71,133.75,87.60,275.51,93.14,216.13,260.58,260.73,266.61,130.40,38.91,197.14,260.18,219.33,160.45,251.00,283.28,278.19,118.46, ,211.60,99.32,289.81,130.81,254.34,48.34,178.42,140.23,216.96,30.59,139.81,17.56,136.23,2.15,220.76,90.30,285.07,2.44
