Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120
152.33,181.96,115.92,97.94,41.29,147.70, ,227.75,296.43,256.87, ,118.94,65.59,257.81,120.81,250.22,142.53,166.70,129.01,42.68,176.98,156.16,94.00, ,30.67,274.02,114.96,106.48,253.26,201.60,151.37,243.34,201.92,295.52,174.91,269.08,155.12,258.01,147.06,132.23,230.37,165.27,293.92,289.13,2.31,240.30,250.12,282.50, ,278.02,104.45,47.52,111.29, ,291.09,110.28,125.37,229.57,85.98,262.38,170.67,265.84,118.37,294.60,67.98, ,146.42,35.05, ,146.34,99.20,242.15,260.75, ,190.32,36.12,20.53,284.48,77.07,103.58,90.04,61.00, ,207.42,18.39,277.66, , ,2.16,286.34,105.52,153.24,272.60,184.20,251.52, , ,272.99, ,177.44,151.19,122.33,179.17,171.62,19.54,46.07,234.82,163.07,162.22,143.90, ,227.73,80.35,127.75, ,264.76,157.45, ,279.78,270.74
181.52,223.00,60.72,64.82,143.62,231.92,80.02, ,7.74,161.65,269.73,38.90,145.77,50.44,176.13,208.08,241.87,2.60,283.45,136.69, ,72.80,297.14,46.26,160.56,240.08,157.97,295.83,0.84,142.90,68.32,146.27,145.11,150.52,52.45,53.66,260.45,90.67,279.29,36.02,25.17,96.78,131.17,275.61, ,118.51,53.12,216.47,166.87,51.56,37.92,137.51,145.69,234.19,243.26,139.30,96.28,179.90,246.57,255.03,257.31,148.77,95.30,211.48,50.71,46.01,148.28,232.14,147.50,97.24,237.45,173.88,51.93,13.16,26.29, ,283.60,225.85,137.03,205.52,41.79,145.21,16.83,62.56,176.23,108.03,166.34,140.88,96.49,213.22,220.94,172.06,223.14,198.58, ,104.10,130.79,4.56,289.49, ,0.29,252.66,176.53, ,17.41,249.38,232.28, ,113.69,37.55,14.34,96.99,40.23,234.13,260.91, ,294.20,2.67, ,111.00
290.75,97.67,213.26,242.09, ,55.78,180.27,188.41,189.60,156.63,225.88,106.86,171.91,40.32,4.79,285.58, , ,182.72,162.72, ,120.35,210.50,215.45,182.83,192.72,188.49,100.46,145.52,229.92,261.99,251.37,90.08,76.88,219.15, ,111.60,22.61,54.73, ,57.85,94.08,74.45,289.24,40.58,96.59,81.34,74.99, ,165.07,9.52, ,299.03, , ,129.47,198.00, ,255.85,102.96, ,85.53,295.72,30.42,96.60,150.88,144.48,36.66,93.05,201.92,48.12,235.34,248.47,24.08,89.19,60.32,191.25,191.27, ,221.68,68.55,130.16,177.92,276.80,6.73,293.46, ,295.26,143.75,167.49, , ,238.27,252.30,107.25,16.49,65.25, ,98.69,87.88,39.61,68.15,282.73,145.14,56.87,92.66,46.79,201.69,198.77,255.77,270.34,44.79,164.59,197.28,166.48,239.89,49.83,252.43,69.65,281.47
276.87, ,23.65,28.82,233.39,282.90,162.25, ,211.78,47.02, ,213.51,149.99, ,158.03,176.61,169.61,54.21,232.21,170.13,210.16,200.22,180.16,264.32,168.37,209.22,285.15,128.91,269.31,223.40,20.55,55.03,258.08,36.63,290.58,157.12,104.01,2.82,219.25,246.56,143.23,3.02,275.10,207.73,80.44,71.75,231.13,291.14,236.01,79.51,234.53,127.34,293.97,22.70,97.29,0.84,125.04,68.89,135.80,44.54,107.75,17.23,243.07,228.10,36.15,105.67,244.24,9.21,63.16,151.42,1.17,100.97,156.13,226.34,146.48, ,254.23,225.41,30.25,221.22,269.94,15.00,173.07,249.83,11.18,262.70,282.91,272.60,271.10,35.47,288.93,171.21,93.53,236.28,30.40,33.11,86.34,240.96,296.13,70.69,172.52,178.94,148.36,264.55,293.99,82.49,6.37,226.08, ,162.37,80.72,256.80,106.22,22.01,1.04,136.33,85.32,187.29, ,38.83
 , , ,220.04, ,173.74,11.59,104.19,4.77,192.07,230.29,107.84, ,20.64,206.39,1.98,46.71,132.51, ,165.33,77.64,69.01,122.89,175.43,15.88,51.15,266.03,104.94,277.38,94.51,209.36, ,3.04, ,135.55,289.27,56.51,181.95,18.29,206.12,231.92, ,283.08, ,264.52,113.81,237.86,51.53, ,163.15,55.98,285.81,284.09,11.68,168.63,69.29,43.32,105.39,36.92,95.27,52.99,190.67,268.02,46.43,207.80,265.50,204.39, , ,237.98,239.49,67.81,280.08,271.78,76.45,173.94, ,226.93,276.23, ,75.23,285.13,177.82,246.79,201.93,270.70,96.35,246.52,218.96,275.29, ,51.73,186.01,285.00,125.32,34.75,36.45,280.34,180.82,266.27,132.89,233.73,228.35,219.32,62.87,67.79,157.99,153.05,42.97, ,168.29,191.69,135.73,143.85,75.51,121.48,207.70,272.28, ,116.19
274.33, ,42.12,103.74,285.73,204.62,4.67,223.06, ,58.79,80.27,166.57,35.48,62.78,177.39,170.79,43.11, ,288.85,5.33,48.88,240.33, ,245.01,37.90,262.84,232.43,10.70,198.19,4.10,35.13,204.26,175.08,51.03,236.22,53.05,287.15,269.15,158.95,267.07,55.52,293.55,273.02, ,171.20, , ,85.55,36.43,147.62,42.50,220.01,248.39,267.93, ,208.59,132.12,48.30,105.57,175.60,46.09,249.80,53.58,182.06,118.40,173.74,216.03,22.21,17.48,164.73,189.00,161.43,248.98,208.78,251.59,133.14,46.92,94.19,164.91,126.62,149.77, ,65.80,107.71, ,78.75,96.90,200.65,288.88,168.07,204.17,282.04,117.33,120.25,129.45,187.77,268.46,256.44,103.34, ,65.94,240.43,209.71,93.92,197.06,36.12, ,155.77,185.03,105.71,184.63,290.44,191.24,109.93,12.87,173.56,279.21,114.98, ,23.16
64.13, ,100.25,57.66,91.71,229.13, ,113.76,238.41,23.81,296.08,210.19,45.05,188.56,199.72,227.50,27.43, , ,91.88,295.03,249.77,277.03,185.70,279.76,276.94, ,273.02,231.62, , ,70.93,216.09,179.03,159.40,282.09,262.55, ,10.45,29.53,237.11,78.27,39.36, ,60.79,95.49,210.61,8.78,267.13,113.51,63.85,16.83,69.68,186.10,289.82,191.02, ,106.26,129.99,110.80,206.41,145.91,49.64,207.60, ,132.48,274.79,117.60,242.27,270.99,48.77,104.39,238.12,46.05,147.50,104.50,98.07,43.83,293.18, ,24.36,36.97, ,233.30,0.37,173.95,3.93, ,108.32,170.30,208.56, ,100.22,171.24,212.04,195.18,120.40,229.58,136.65, ,69.95,163.50,259.24,249.44,67.05,44.46,183.59,101.35,53.24,28.15,281.89,146.71,63.62,116.68, ,215.31,152.98,244.62,259.86,47.94
146.53,186.28,289.29,185.23,192.53,174.35,236.97,290.77,181.19,240.75,20.20,180.29,156.68,271.68,204.39,258.35,125.32,134.79, ,20.01,176.46,135.15,212.07,11.29,133.90,276.90,268.65,113.37,289.65,113.52,142.65,64.53,258.46,28.36,193.09,33.87,23.47,90.07,121.74,271.68,49.81,188.72,81.54,160.30, ,273.82,83.01,241.91,65.41,4.94,44.16,172.35,76.77,203.77,163.11,283.98,54.94,7.48,14.10,233.71,249.93,262.67,14.49,9.52, ,14.46,99.80, ,213.50,132.09,156.84,122.40,113.96,73.39, ,87.49,184.46,80.93,135.46,106.48,123.39,95.68,104.75,205.61,108.98,27.57,206.99,48.65,136.73,121.20,176.73,89.18,81.48,153.18,283.99,256.96,146.03,245.23,248.12,146.26,200.99,283.36,196.61,155.79,257.99,291.52,185.68,195.91,250.82,184.08,8.74,42.19,193.68,105.55,138.27,198.91,125.65,147.24, , 
 ,172.27,47.12,165.69, ,132.84,251.98,13.43,157.97,115.48,43.05,193.46,172.85,220.57,274.64,20.75,70.83,61.18, , ,216.53, ,49.37,223.04,43.35,224.26,299.23,142.01,169.37,93.11,243.90, ,11.70,125.30,188.71,133.38,254.65,263.46,99.29,148.76,36.72, ,135.69,65.76,252.02,1.03,196.88,136.73,256.63,258.56,137.80,172.55,99.69,113.43,21.75,174.18, ,206.70,279.20,42.95,190.47,257.93,174.97, ,8.23,21.41,198.64,111.82, ,211.51,122.60,15.40,111.10,72.92,179.93, ,222.88,146.72,266.94, ,169.79,84.16,176.04,227.92,162.77,44.42,292.76,11.20,96.42,210.91,140.11,221.46,13.72,243.08,197.42,290.63,180.03,96.48,125.74,91.32,23.51,62.78,2.76,24.43,196.29,268.52,26.17,132.77,120.46,254.58,101.25,85.08,20.01, ,145.75,128.67,229.47,197.04,267.16, 
66.34,205.50,203.72,224.84,271.56,112.34,63.17,171.36,194.87,29.82,37.11,60.88,165.26,68.40,292.44,81.15,206.74,93.64,218.32,146.95,63.78,116.03,172.89,275.21,178.75,299.98,240.81,87.22, ,155.62,78.58, ,137.36,284.86,212.25,249.49,93.07, ,209.09, ,196.48, ,75.23,259.13,61.27,78.31, ,233.93,184.72,82.60,230.77,253.08,270.64,202.24,215.84, , ,112.14,171.49,244.50,30.42,53.21,13.90,156.54,4.93,76.82,63.33,154.99,150.62,218.98,189.34,273.60,190.88,31.43,157.03,54.30,211.52,237.86,28.05,173.25,135.66,120.50,257.66,215.41,101.12,161.13,269.20,152.61,220.46,222.44, ,276.75,71.49,202.81,112.31,170.16,132.87,265.79,77.88,247.27,42.40,47.28,50.86,185.47,102.47,133.38,229.47,144.91,194.39,297.86, ,168.02,177.80,117.78,66.12,156.94,101.46,299.55,289.46,19.80
