Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144
 , ,177.89, ,79.93,83.72,163.40,265.28, ,46.63,71.19,152.58,241.60,247.09,212.63,47.40,63.96,195.41,96.10,197.79,153.23,198.12,200.65,250.16, ,296.79,56.27,274.62,17.07,173.51,261.18,25.44,124.99,77.50,155.21,29.49,4.03,167.73,267.39,239.07,266.98,171.12,11.32,249.67, ,123.18,155.47,31.87,9.20,115.06,246.20,170.38,269.89,83.55, , ,197.86,32.43,124.72,145.05,5.36,164.76,179.87,12.75,57.79,2.73,162.85,138.72,164.74,270.36,67.40,13.74,128.46,98.99,101.86,223.64,117.48,235.76,108.63,209.10,270.46,39.28,160.75,166.54,286.61,273.78,11.77,19.28,33.71,93.42,62.32,242.79,105.46,177.15,127.05,80.52,298.07,230.82,297.81,184.32,234.26,38.44,145.63,86.26,176.00,14.90,196.74,118.11,136.23,216.30,81.51,60.79, ,291.61,114.43,122.72,23.23,137.29,126.46,55.52,71.01, ,9.32,278.39, ,114.63,50.44,204.20,138.70, ,130.30,278.31,44.90,242.50,214.46,152.19,267.27,180.49,178.69,34.41, ,168.55,139.93,49.62
266.24, ,130.12,250.08,237.89,185.61,20.70,92.13,209.55,30.88, ,209.57,296.29,297.09,38.36,83.83,181.16,276.29,180.20,159.14,232.79,174.24,174.82,205.31,183.86,78.59,226.60,253.75,54.81,87.72,87.87,181.14,221.62,178.08,152.34,90.45,191.34,198.31,239.00,113.87,68.34,96.76,180.62,217.82,1.35,28.60,177.09,58.24,67.17,200.53,273.55,4.64,255.68,231.04,6.57,17.55,237.37,69.85,164.82,53.41, ,82.01,170.30,13.63,58.92,169.55,223.50,283.06,116.21,19.43,192.58, ,267.49,142.74,119.69,25.01,173.73,255.11,188.53,142.75,5.78,27.09,16.21,267.26,3.83,124.02, ,188.35,13.33,185.88,9.74,75.69, ,93.92,196.28,84.82,139.99,131.73,74.80,54.71,252.53,195.33,73.24,264.90,254.50,2.26,164.70,80.87,262.87, ,159.15,270.33, ,60.93, ,135.74,219.02,130.39,73.12,50.79,171.84,268.79,169.44,191.49, ,239.04,229.62,187.16,94.88,84.08,115.27,291.55, ,169.35,144.97,30.46,256.76,62.94, ,232.38,120.58,254.35, ,183.96
212.70, ,298.04,134.87,3.29,106.44, ,229.96,238.24, ,195.00,274.37,91.80,20.06,204.27,272.00,158.38,142.49,135.22,184.08,253.85,96.50,58.07,290.25,30.50,285.17,113.37,46.05,166.28,117.54,40.52,0.35,245.71,28.09,283.38,51.01,99.54,297.52,239.78,231.36,238.43,195.78,176.07,256.97,7.94,112.91,164.05,247.36,256.10,190.68,187.62,176.72,89.19,144.78,162.01,299.25,292.67,152.25,136.85,211.10,183.73,193.25,137.26,157.53,116.06,32.84, ,209.56,79.09,135.61,245.81,107.30,204.42,198.50,139.18,284.26,191.44,177.23,145.52,96.75,133.90,271.72, ,181.28,213.95,264.02, ,175.77, , ,131.64,153.35,163.34,254.80,145.86,294.00,149.86,230.26,235.72,121.33, , ,284.52,213.75,259.20,135.84,169.70,71.96,238.30,160.65,290.09,25.12,297.89,74.85,158.74,130.12,81.14,229.80,261.69,72.19,233.07,137.22, ,209.19,113.80,286.47,134.58, ,118.68,206.99,219.02,204.09, ,285.24,275.60,224.19,123.10,52.22,282.31,206.63, ,20.43,267.30,170.58
59.33,251.15,182.78,32.04,219.30,72.11,53.44,106.00,246.11,224.81,233.39,183.87,60.63,160.88, , ,288.21,20.71,257.28,109.53,290.37,67.16,210.64,185.49,293.19,267.73,108.83,297.81,26.01,197.00,86.37,218.34,119.59,13.94,142.55,66.20,152.31,195.39,253.96, ,247.15,47.32,21.31,162.95,274.44,211.01, ,39.64,82.34,18.73,236.11,219.75,294.19,135.67,135.00,270.46,36.79,261.91,204.24,64.89,184.79,129.26,294.04,125.80,28.13,172.65,5.81,266.55,164.45,189.58,191.87,214.05,42.96,130.59,86.31,165.45,181.76,17.23,163.60,252.18,287.56,155.98,217.24, ,81.69,182.95,116.63,295.20,85.95,175.87, ,71.36,228.57,193.31,128.92,88.83,248.65,205.94,69.76,227.16, ,151.92,286.02,289.08,13.82,152.38,108.19,261.05,38.42,200.10,43.10,73.05,205.65,30.15,219.20,237.43,58.20,228.42,57.89,25.43,292.53,261.41,287.66,107.50,136.63,10.31,264.61,3.93,232.79,180.53,187.40,134.32, , ,289.81,280.24,36.91,193.06,73.48,220.77,206.80,188.59,237.13,0.46
23.45,275.14,85.23,21.94,108.14,282.28, ,262.52, ,235.29,229.67,186.97,189.76,207.85,10.87,231.54,86.04, ,61.18,29.81, ,249.35,110.15,129.80,194.16,235.94,249.24,138.22,16.05,229.97,106.32,68.87,252.18,292.84,216.08,226.57,32.70,171.65,107.56,147.44,244.43, ,193.67,269.38,265.04,259.85,103.68,257.80,152.87,134.38,28.80,276.19,18.88,40.24,259.68,9.17,286.12,92.56,41.54,209.67,59.31,195.51,70.20,4.52,266.03,272.70,125.07,163.42,101.01,5.68,245.36,22.08,107.40, ,148.94,20.95,235.90,51.03,260.66,103.40,170.37,156.43,67.37,28.62,206.33,216.99,177.65,289.10,39.24,220.41,280.33,43.69,131.81, ,92.48,118.50,169.43,132.65,128.17,63.25,144.31,256.48, ,188.32,282.32,204.16,115.72,144.08, ,275.89,115.82,253.18,44.58,295.13,157.23,115.20,162.78,216.02,70.83,7.57,71.54, ,274.27, ,118.35,60.62,164.39,162.61,110.77,240.17,84.42,229.19,17.87,159.13,211.23,23.11,101.22,153.93,68.92,136.54,115.05,281.51,73.61,96.99
51.32,290.28,134.55,35.37,11.44,86.32,124.46,141.47, , ,102.31,200.19,160.27,136.00,294.66,285.90,93.99,128.82,172.97,3.74,115.80,102.84,237.86,11.56, , ,74.73,188.64, ,48.91,30.14,284.81,176.60,33.74,205.29,86.79,121.75,284.46,97.96, ,25.26,154.12,113.78,133.53,203.78,51.34,57.80,178.74,118.62,31.28,160.50, ,29.16, ,13.61,212.31,182.76,98.34,115.80,265.74,214.54,276.99,63.44,207.90,32.33,197.40,58.96,212.90,87.06,292.54,291.90,0.87,142.42,211.54,11.32,207.55,46.78,191.74,219.32,52.41,126.16,15.26,7.71,63.32,112.10,195.44,260.71, , ,295.51,61.35,67.46,232.69,153.44,224.47,224.06,24.42,226.69,235.35,267.84,29.17,54.53,183.94,120.92,118.37,52.78,123.25,148.62,234.49,180.36, ,104.42,99.25,62.54,90.00,106.77,26.12,143.19,70.65,71.64,276.80,286.03,11.31,5.14, ,7.21,199.74,52.04,181.28,98.13,296.69,126.98,121.19,228.55,84.35,143.55,63.78, ,220.31,109.91,110.18,232.66,50.42,109.83
195.98,184.12, ,279.20, ,100.38,27.10, ,114.09,158.82,47.46,98.18, ,23.63, ,256.28,173.45,68.19,166.95,143.57,97.91,126.31,223.15,223.58,24.40,111.29,215.53,45.67,249.13,37.33,141.06,108.05,264.59,273.95,260.95,214.69,240.30,255.34,224.18,258.89,216.58,131.80,228.92,145.81,195.49,27.74,176.76, ,141.35,25.00,273.00,187.59,82.83,287.20, ,166.12,101.36,275.34,214.80,110.63,82.30,243.76,42.66,245.85, ,257.89,234.77,261.24,262.74,50.95,290.34,116.07,5.08,170.84,113.56,48.87,157.40,117.93,97.64, ,191.36,171.18,135.10,271.32,64.80,8.42,5.73,130.82,217.22,72.07,143.14,204.33,4.56,135.25,56.95,185.29,274.03, ,109.13,229.70,223.33,75.02,250.81,68.90,204.39,224.11, ,71.27,258.93,223.48, ,280.44,233.12,141.91,187.12,148.13,17.65,61.90,9.54,79.83,164.75,176.92,44.06,160.13, , ,231.72, ,212.15,216.91,181.44,28.02, ,144.84,126.09,242.80,219.46,214.08,6.84,173.07,209.54,59.14,269.15,158.65
203.01,169.84,79.62,71.93,130.97,62.24,123.53,92.69,27.67,127.20, ,0.27,7.31,144.55,2.61,152.97,38.41,125.38,130.77,154.26,32.69, ,289.75, ,82.44,137.84,64.74,186.97,257.76,98.47,188.59,237.71,56.62,92.70,58.45,83.71,266.35, ,71.48,178.30,188.58,19.48,180.58,164.76,149.59,44.06,247.63,189.61,201.75,81.89,224.18,167.44,271.72,120.62,89.98,224.84,114.76,256.33,136.15,240.92,180.13,237.64,130.11,116.95,292.98,115.60,204.21,54.05,266.88,219.13,173.59,35.40,88.28,283.68,112.83,210.17,209.58,120.73,275.05,71.55,136.52,185.20,170.19,216.67,113.92,193.92,279.77,275.85,221.06,292.48,184.13,26.86, ,147.58,25.50,204.97,221.78,178.73, ,117.98,99.37,14.99,219.41,222.61,62.81,154.78, ,38.92,204.43,8.40,266.04,137.27,27.43,263.13, , ,24.14,24.80, ,18.10,210.52, ,273.33,225.48,261.96,286.57,97.03, ,63.08,55.66,56.30,197.21,136.29,286.60,147.45,252.81,118.09,106.26,136.66,114.28,152.61,151.85,175.70, 
238.78,293.05,231.97,70.08,244.05,181.04,40.18,233.92,241.77, , ,233.91,244.84, , ,251.04,199.22, ,138.00,4.66,205.50,80.94,56.48,280.97,13.85,271.51,46.43,231.56,2.68, ,101.87,145.35,263.65,150.75,182.57,279.92,29.78,274.38,148.82,110.69,261.90, ,181.47,226.68,138.77,247.22,31.23,105.96,100.29,234.88,33.10,55.47,88.95,200.91,296.63,29.36,110.85,40.95,206.49,105.35,197.00,5.87,189.20,12.36,262.36,65.05,6.40,221.99,268.33,14.02,271.85,147.99,288.08,75.03,156.58,239.83,232.94,281.81,57.54, ,19.90,176.69,247.81,237.35,265.53,57.18,32.10,78.48,88.64,189.84,124.00,223.04, ,168.74,125.31,153.56,246.17,113.64,42.79,198.88,76.38,143.13,291.24,85.34,32.32,295.89,176.76,238.57,69.27,213.74,33.58,131.53,162.28,241.29,56.02,291.02,99.31,139.26,77.84,196.60,277.35,125.69,258.61, ,27.88,122.20,205.15,53.99,51.78,126.20,55.19,247.87,65.69, ,156.25,251.43,270.02,245.34,82.89, ,291.34,31.54,154.29,3.04
121.60,207.45,11.68,214.19,150.22,41.57,136.13,128.49,171.44,134.32,140.16,127.11,270.10,245.05,95.34,32.67,2.92,164.75,202.76,274.14,58.81,230.04,217.13,83.92,115.81,55.72,256.51,87.48, ,32.53,136.82,83.67,283.54,218.51,226.55,272.28,56.26,209.57,205.12,35.11,83.91, ,39.88,232.24,136.47,159.89,110.54,271.13, ,294.92, ,221.47,94.47,136.51,110.56,287.59,122.82,162.57,30.69,286.03,29.81,236.65,9.96,30.21,211.49,276.01,276.45,74.55,98.47,153.38,298.78,287.69,122.26,197.78,52.70,115.87,6.31, ,16.27,2.41,11.19,273.38,133.11, ,204.03,291.11,178.37,198.39,111.48, ,9.26,69.01,289.47,199.38,123.72,141.69,213.02,282.79,158.36,57.27,19.93,229.51, ,219.39,71.03,296.39,40.13,156.35,159.45,132.58,131.59,43.12,261.25,240.50,54.36,204.92,76.34,222.28,136.49,129.44, ,125.83,212.68,151.21,155.25, ,56.69,26.70, ,287.95,188.88,50.16,40.53,21.63,265.21, ,106.88,16.08, ,10.93,126.40,37.99,21.22,38.34
