Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149
193.35,146.52,21.91,116.02,97.96,273.30,245.08,289.86,111.48,102.16,227.70,175.21,163.07,61.38,36.77,79.90,155.40,281.33,106.01,119.10,20.18,49.92, ,39.78,243.35,250.51,258.59,115.17,223.09,246.68, ,243.79,121.00,30.33,276.49,199.68,40.32,187.99,185.14,130.02,263.21, ,203.18,44.01,4.80,172.47,291.11,195.28,184.35,125.35,270.96,186.37,2.01,254.55,291.38,222.27, ,83.19,140.80,52.87,207.49,31.62,11.09,54.25,279.32, , ,19.68,152.39,195.17,40.78,250.01,209.69,252.81,283.73,195.57,252.76,56.58,262.03,79.35,173.78,65.00, ,84.68,177.07,193.59,211.70,85.70,90.70,179.70,44.31,279.14,226.07,137.50,44.23,289.79,78.95,125.52,73.14,182.61,81.12,85.90,257.21,219.71,232.18,131.48,72.71, ,298.78,194.90,237.04,199.02,179.01,123.07,20.61, ,270.82,22.03,107.21,228.33,27.14, ,158.62,199.04,194.41,162.05,107.05,189.37,96.64,253.54,131.60,252.99,244.97,99.46,174.60,230.02, ,90.53,264.45,226.88,121.93,95.73,231.75,100.61,291.46,191.36,0.60,164.17,110.49
177.48,106.16, ,7.68,132.73,26.46,262.41, ,87.12,93.44,250.68,256.69,63.05,153.32,13.57,141.68,249.05,236.23,275.33,62.89, ,98.42,171.43,23.94,147.95,147.06,30.49,123.52,104.17,125.95,285.13,9.49,92.49,45.42,3.98,210.60,135.02,105.13,69.85,60.07,208.88,84.62,248.25,212.01,179.70,220.23,181.40,274.02,258.37,121.60,43.29,3.67,41.21,184.75,237.87,28.85,151.96,86.12,21.61,152.62, ,72.85,217.49,40.16,260.93, ,223.28,45.17,281.19, ,165.95,273.62,226.29, ,39.76,62.93,204.61,262.67,288.40,158.18,68.98,251.90,62.54,231.47,102.13,194.09,78.61,111.50,17.82,152.11,138.35,118.94,130.59,283.65,110.43,109.96,191.38,7.99,237.05,61.63,152.13,177.06,47.25,120.13,220.43,122.65,187.28,101.74,23.21,136.86,227.21,13.05,8.69,72.51,260.51, ,112.64,161.99,137.12,163.52, ,135.76,129.76,266.44,40.91,16.88,123.28,124.60,62.68,157.37,79.04,269.34,230.52,225.94,196.33,137.44,147.47, ,277.23,89.82,37.14,225.62,202.74, ,39.07,172.80,67.59,14.33,15.80
96.14,218.77,18.23, , ,29.41,142.94,4.20,62.79,277.29,286.40,17.21,79.40,221.92,141.85,183.92,181.10,99.39,272.54, ,63.54,185.49,126.27,282.12,273.92,155.24,52.19,268.82,81.63, ,228.62,235.84, ,116.94,257.73,65.14,72.89,58.68,106.61,169.51,62.90,154.52,95.04,220.37,284.37,222.70,230.63, ,43.17,36.75,39.46,200.91,26.45,173.49,136.21,154.33,121.34, ,39.47,286.18,156.66,261.85, ,192.47,174.32,84.48, ,123.94,272.32,191.07,112.24,138.13,30.24,292.02, ,31.49,128.73,277.45,253.18,53.80,59.56,81.30,139.18,267.98,125.03, ,126.95,70.79,189.67,28.15,129.02,213.18, ,204.51,98.70,284.06,3.35,80.62, , ,237.35,223.62,62.38,189.33,189.29,271.02, ,152.71,53.25,69.13,270.40,151.38,280.44,131.45,84.50,211.72,153.45,227.92,129.74,105.16,235.71,182.12,142.11, ,195.36,114.47,71.13,99.40,91.29,30.67,187.78,27.07,100.22,120.00,224.17, ,135.26,80.76,28.14,52.21,118.22,187.95,224.06,165.65,90.10,153.96,156.71,232.52,200.95
168.80,251.12,38.19,137.35, ,165.49,155.97,160.03,126.92,232.97,91.93, ,60.86, ,217.57,53.79,211.89, ,128.88,170.39,118.23,286.02,173.22,77.96,187.86, ,114.14,64.82,76.08,266.92,101.90,297.23, ,209.12,286.02,268.27,205.08,164.14,8.49,218.93,149.55,173.31,220.93, ,126.99,134.11,255.50,278.40,91.70,161.86,115.28,296.39,104.95,135.83,91.39,214.98,22.73, ,111.38, ,264.85,213.49,163.60,34.97,121.74,271.26,154.78,183.47,58.23,234.08,284.47,67.24,203.30,221.22,201.35,198.73,233.60,265.16,281.23,239.20, ,210.46,281.58, ,132.76,258.46,249.28,92.30,142.37,106.50,250.05,227.50,174.05,261.01,258.30,139.35,45.20,107.96,247.73,101.80,160.19, ,109.48,239.63,145.55,232.50,185.28,136.63,114.40,295.07,256.03,92.96,282.51,261.50,6.83, ,87.32,276.33,36.13,174.27,125.06,94.62,294.77,170.82,149.37,23.91, ,261.22, ,243.73,239.62, , , ,49.17,250.40,268.85, ,130.98, ,225.60,262.35,259.99,109.94, ,212.92,276.32,231.25,63.88
278.05,176.94,74.91, ,58.73, ,216.81,187.42, , , ,95.67,137.92,65.12,118.52,129.34,249.50,291.25,27.44,297.31,91.91,182.10, ,14.55,94.98,251.83, ,98.56,115.13,231.35,89.49,198.50,277.24,268.22,268.36,285.49,275.22,72.64,228.04,171.87,53.11,247.31,252.39,8.92, ,240.27,71.83,146.27,267.38,258.87,262.62,221.37,229.75,0.93,226.80,258.95,12.16,169.59,285.18,4.27,197.80,0.47,234.68,260.28,141.00,137.94,173.68,31.91,58.07,190.51,291.89,207.15,182.25,299.40,292.20,220.14,248.22,159.63,67.35,84.97,39.06,11.97,282.22,16.17,76.72,25.17,56.14,72.67,9.07,105.82,75.75,191.27,246.57,206.87,170.80,222.27,214.75,122.60,278.13,237.27,45.46,123.46,194.75,39.99,268.20,205.09,171.78,67.92, ,274.80,18.05,54.55,181.39,50.52,266.92,15.63,234.76,145.23,172.82, , ,9.57,281.73,93.95,121.45,225.34,44.58,62.88,171.31,87.92,22.63,111.12,76.62,16.32,82.24,263.22,265.78,80.76,26.31,25.59,87.01,244.00,194.32, ,65.63, ,287.46,73.48,12.03
144.46,71.96,217.49,85.29,7.96,130.77,40.77,182.02,107.29,259.37,132.90,67.24,208.73,57.81,153.28,132.32,98.19,224.44,239.45,198.94,175.78,281.68,186.07,44.34,289.72,294.98,193.80,206.66,116.91, ,270.19,217.05,132.50,192.36,60.77,47.11,77.87,289.85,262.90,38.76, ,42.47,265.90,13.46,38.79, ,123.53,171.34,68.48,161.91,152.02,162.93, , ,275.96,235.23, , ,195.12,16.46,183.44,159.81,291.53,193.03, ,64.37,159.22,17.55,220.23,282.99, ,223.80,91.80,34.17,133.02,83.61,75.65,102.22,23.05,225.63,208.81,280.46,175.59,82.00,268.91,278.65,193.32,183.59,61.48,151.20,147.06,43.98,201.87,158.16,239.95,141.01,100.16,213.20,170.14,271.41,17.44,227.31, ,110.90,213.97,47.08,175.72,152.45,183.76,256.58,238.60,249.69, ,71.16,116.29,295.76,80.34, ,7.66,190.25,119.84,147.23,212.69, ,65.14,32.58,77.96,2.39,90.95,258.87,90.30, ,86.06,183.74,200.60,23.22,9.96,195.06,9.99,180.13,172.90,191.39,79.46,239.08,123.60, ,285.71,231.82,205.18
272.86,295.27,27.66,174.21,281.18,180.70,211.53,261.83,230.89,292.51,137.61,87.14,46.96,285.55,161.96,73.45,195.18,299.07,154.84,93.55,204.68, ,116.22,186.78,244.66,21.76,222.91,295.34,259.03,74.90,230.15,11.27,160.81,64.04,234.83,177.20,142.00,295.79,165.22,287.47,267.88,18.09,221.30,280.13,81.63,118.15,20.66,76.75,209.40,265.12,78.10,215.07,293.77,178.32,93.44,268.88,175.03,252.11,0.40,276.66,287.28,93.81,224.22,189.42,11.34,277.86,296.86,9.53,103.80,149.63,53.64,258.56,105.48,24.99,142.91,187.92,96.47, ,20.69,27.55,163.62,132.17,178.94,262.59,128.90,19.20,204.07,284.69,243.19, ,49.07,159.39,168.46,218.72,276.54,34.14,234.61,263.03,95.16,150.25,117.03,283.93,204.76,127.86,64.83,195.23,61.50,50.89,10.48,236.55,40.60,117.88,186.91,162.88,69.03,246.80,13.81, ,218.56,157.09,117.19,151.29, ,205.91,171.77,251.59,203.41,79.01,267.40,102.19,247.98,143.40, ,157.21,86.51, , ,31.83,123.91,226.15,89.03,237.49,159.72,208.83,124.82,119.31,32.31,38.71,92.99
260.82,59.00,25.96,290.93, ,114.85,158.08,29.94,118.06,225.93, ,77.84,174.32,79.42,146.73,110.17,51.62,189.91,118.33,47.49,273.66,224.11,137.50,244.52,222.74,129.63,224.08,75.30,104.61,5.04,272.86,191.06,186.21,135.11,296.85, ,270.51,37.90,299.51, ,203.22, ,32.85,33.56,227.23,44.93,137.00,54.81,187.34,138.42,214.40,265.16,256.74,259.02,120.76,137.21,161.75,59.84,54.45,134.92,225.37,63.63,176.13,14.58,197.74,31.79,295.94,209.15, ,168.16,53.38,84.53,288.44,63.58,41.50,17.96,82.35,86.81,73.94,159.29,103.00,169.20, ,166.15,260.91,292.46, ,119.15,155.89,279.80,290.63,76.45, ,158.80,131.28,280.35,162.81,139.54,286.96,183.33,178.98,251.88,52.45,290.59,259.93,25.00,88.81,255.85,90.77,3.81,118.17,258.60,101.92,156.09,152.83,241.99,183.65,203.25,297.90,281.30, , ,137.23,52.61,178.24,207.73,65.44,166.22,6.89,122.19,57.02,202.40,6.84,192.87,22.14,103.93,148.60,9.75,176.78,78.91,205.74,237.08,12.55,295.23,71.43,182.42,92.43,127.45,170.86
9.36,211.10,196.45,209.24,45.54,268.56, ,174.31,78.13,123.63,140.72,252.86,25.50,50.57,208.76,281.18,159.19,140.18,70.63,181.72,245.42,245.40,108.79,180.95, ,4.58,105.92,21.20,173.16,114.62,11.27,264.65,123.64,80.54,209.46,277.84,225.86,131.68,54.36,176.68,216.59,9.62,28.92,86.56,133.34,185.55, ,150.20,289.27, ,85.39,145.95, ,71.81,216.45,63.16,244.21,84.43,14.07,154.39,193.50,178.24,242.01,260.31,107.83,81.23,34.97,119.29,64.49,107.00,258.63,148.79,174.61,28.31,40.16,233.57,239.17,28.33,134.65,273.40,238.22,215.82,34.35,71.39,226.22,79.77,48.55, ,223.16,116.00,201.94,45.40,237.88,163.93,291.85,92.46,90.79,150.15,181.44,135.36,111.48,60.04,62.30,84.02,150.38, ,52.32,142.69,136.62,51.83,291.73,48.15,295.19,76.21,76.68,194.53,72.96,116.99,270.58,153.32,255.98,53.34,252.09, ,88.70,248.04,187.64,92.54,147.63,189.91,64.45,101.32,224.35,238.39,280.18,146.96,299.97,289.56,152.39,204.46,81.50,285.49,4.94,82.84,65.80,59.35,124.13,251.65,170.27
42.12,234.03,86.68,89.38,242.26,261.83,182.88,299.22,12.46,246.39,156.72,68.04,142.44,76.75,240.65,284.14,97.47,171.85,152.17,260.39,203.01,241.16,265.53,254.25,244.54,73.29,212.82,17.33,33.50,149.36,41.10,256.92,51.67,22.72,90.00,298.27, ,239.43,170.85,33.14,124.34,222.13,146.60,242.93,96.96,51.23,78.12,28.04,236.39,239.41,246.81,138.50,127.83, ,298.68,51.85,82.08,69.66,132.24,250.62,230.09,85.33,65.75,29.24,206.44,221.85,132.86,185.17, , ,91.38,220.84, ,2.92,188.06,261.11,261.22,251.26,80.55,14.61,281.71,257.04,218.91,0.62, ,73.29, ,164.67,72.81,124.74,136.78,86.34,33.97, ,285.24,173.64,11.03,219.41,181.28, ,184.99,290.26,161.08,225.83,32.07,33.66, ,170.43,160.72,203.57,61.41,204.71,126.51,159.30,223.83,133.10,225.58, ,299.44,166.82,107.73,223.92,55.69,11.82,159.01,128.85,41.55,272.00,144.18,135.91,111.57,23.21,102.07,103.48,26.07,26.78,169.18,275.18,249.00,150.15, ,279.00,8.68,147.31,140.84,121.20,146.62,54.15, 
