Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70
225.22,216.19,77.51, ,120.34,110.40,65.85, ,29.21,177.59,170.48,121.30,176.43,82.38,189.50,289.34, ,214.55,240.35, , ,288.00, ,98.39,131.68,138.12,78.25,89.28,266.94,283.63,191.11,72.78,168.42,224.35, ,199.76,185.64,67.48,125.94,272.03,264.99,180.39,246.92,215.16,163.05, ,6.41,245.31,97.45,141.32,6.31,221.56,3.63,206.73,0.19,149.30,5.03, ,130.90,118.96, ,282.01, ,288.42,285.14,286.10,208.94,105.17, ,244.41
103.71,207.83,191.18, , ,75.11,27.11,188.18,200.55,244.97,158.61,225.53,119.72,135.17, ,162.10,73.97,160.79,100.49,116.29,111.06,232.73,39.60,68.46,173.29,57.74,97.27,39.20,11.07,158.67,193.15,195.77,213.42,192.23,21.26,171.54,21.01,12.60, ,81.07,250.30,231.13,116.99,103.18,133.56, ,272.25,19.93,27.04,224.59,247.27,227.78,78.18,223.09,9.41,171.84,250.41,113.93,8.56,117.57,69.97,148.22,44.26,210.25,101.50,290.56,80.70,167.58,167.14,249.65
 ,121.50,41.19,173.28,21.62,173.15,179.66,18.89,201.76,132.14,288.54,263.62,47.68,204.89, ,295.56,225.65,277.71,127.53,158.28,12.39,56.25,147.64,201.96, ,88.99,88.56,168.64,114.84,234.14, ,283.24, ,208.90,256.79,229.15,52.18,259.95,168.51,167.79,44.97,197.77, ,286.33,7.61,26.33, ,46.06,255.89,25.89,162.97,58.69,230.24,204.38,131.03,33.20,155.16,236.13,212.13,39.25, ,77.76,6.65,196.01,6.30,79.35,120.33,229.79,292.28,116.83
171.70,215.67,44.88,106.65,205.96,137.06,264.47, , ,265.22,24.58,32.92,142.63,165.97,65.69,113.09,40.72,72.24,155.30,250.21,214.92,143.70,185.77, ,65.31,232.02,103.86,173.79, ,27.04,118.59,232.02,275.25,216.46,229.11,164.61,33.71,35.51, ,221.27, ,286.58,30.33,168.73,1.25,280.06,150.29,121.01,30.33,55.04,143.74,18.56, ,52.27,198.99,219.40,215.26,106.85,48.04,148.85,235.56,261.97,75.66, ,157.97,181.11,37.74,197.17,33.21, 
 ,259.65,40.49,253.51,186.76,106.23,82.48,56.63, ,20.47,110.74,241.48,286.44,239.43,51.66,44.50,104.30,71.96,206.08,96.06,38.64,70.50,112.18,216.34,208.77,203.54,42.14,221.20, , ,39.86,156.37, , ,249.95,103.23,87.31,120.29,228.99,285.65, ,201.99,258.22,64.73,180.93,198.93,209.25,249.37,215.94,123.89,283.68,279.85,146.62,260.00,108.13,258.21, ,160.20,158.46,75.21,179.93,35.13,194.21,38.80,10.64,278.50, , , ,195.92
46.25,157.01,6.72,3.66,275.43,65.42,89.36,154.35,236.75,268.53,282.58,42.09,101.65,111.32,96.46,23.92,163.15,297.08,296.16,76.83,14.90,246.01,43.87,178.58,44.13,12.07,270.26,81.82,283.51,211.39,200.37,222.68,116.25,233.40, ,10.23,235.40,30.02,196.36,218.24,174.51,189.04,35.62,283.04,226.71,18.93, ,254.25,140.07,149.13,182.92,83.70,5.03,296.95,132.54,262.94,1.84,198.56,63.91,186.10,68.48,190.38,138.82,4.53,215.13,52.36,223.28, ,228.32,61.92
204.79,235.95,191.09,112.87,28.16, ,199.61,42.52,98.27,234.61,160.23, ,212.59,179.73,12.75,120.90,81.06,263.92,239.99, ,52.86,9.41,229.39, ,271.91,128.87,233.61,13.47,188.11, ,67.84,43.87, ,118.54,121.31, ,61.30,255.20,186.62,121.66,173.62, ,172.62,241.17,212.80,189.57,180.70,168.74,264.56,251.04,1.57, ,275.52,103.03,247.81,195.32, ,68.94,193.58,202.86,47.78,89.38,216.56,158.03,125.50,129.93,205.69,148.88,107.02,174.29
230.33,233.06,269.59,221.52,243.55,297.91,240.04,228.68,57.37,241.90,209.31, ,115.00,108.29,10.36,60.55,21.15,281.15,194.07,242.47,226.71,55.15,6.88,146.72,199.82,105.38,142.74,42.11,80.55,144.00,241.21,139.00,129.03,283.30,103.31,80.34,292.61, ,299.49,94.77,177.75,268.35,170.95,2.55,226.11,272.69,94.16,156.02,6.28,39.82,79.48,109.72,258.19,57.54,223.15,120.66,180.52,61.35,234.57,180.16,216.85,177.70,30.10,67.53,9.89,65.75,72.92,198.85,120.69,288.80
108.70,144.74,198.47,40.69,269.99,293.72, ,171.42,103.80,265.37,215.02,205.93, , ,203.23,202.10,165.55,268.32, ,257.54,296.76,6.52,219.08,153.58,171.66,96.59,16.79,291.81,142.70,235.14,199.43,126.21, ,72.14,252.44, ,125.92,283.15,126.31,132.67,195.01,31.31,81.12,228.37,137.61,69.13, ,268.56,121.39,162.06,54.98, ,39.90,215.92,72.86,225.27,22.12, ,53.43,290.99,40.26,239.14,133.05,106.51, ,227.91,58.57,184.20,177.79,113.49
247.14,135.94,91.88,292.70,211.48,292.74,144.84,252.14,189.71,62.68,160.53,120.54,112.03,92.17,228.82,83.53,92.01,48.38,77.52,185.64,145.66,2.01,235.04,246.67,218.17,116.07,299.95,297.80,241.34,101.80,295.62, ,87.63,94.50,182.33, ,171.33,35.54,271.74,127.48,95.32,227.78,124.36,148.00,39.70, ,141.50,207.74, ,295.38,100.11,13.98,124.06,216.93,58.65,130.18,107.09,231.79,136.89,262.59,178.30, ,90.42,33.72,170.63,293.54,139.44,16.27,84.50,292.06
260.23,74.28, ,299.78,22.69,134.29,121.56,287.56,103.01,229.50,1.98,94.71,108.28,20.53,139.65,175.47,182.34,158.03,44.02,106.85, ,241.14,116.03,39.54,56.74,241.32,172.87,252.62,18.43,197.67,147.42,77.30,2.12,89.20,177.53,137.67,241.47,296.22,32.54,69.32,206.66,247.18,220.79,256.67,207.57, ,54.98,218.35,276.24,75.35,229.38,144.73,263.82,169.84,256.08,90.66,112.26, ,191.79,192.35,261.30,2.80, ,276.91,141.05,72.56,260.21,238.74,175.55,28.48
223.90,250.99, ,63.25, ,255.04,214.81,99.24,106.30,169.62,222.29,36.37, ,296.57,165.80,172.33, ,217.72,114.54,6.82,231.96,166.93,260.61,290.51,96.47,261.43,180.04,276.75, ,203.81,175.34,14.49, ,144.47,130.25,134.09,103.48,259.74,253.06,52.15,280.20,40.40,114.70,125.35,136.84,295.25,179.24,64.30,202.84,192.29,167.79,170.15,92.44,241.67,50.25,289.08,142.43,272.07,249.92,48.57, , ,136.58,108.68,207.46,109.65,44.60,126.13, ,218.57
190.37,94.90,253.16,26.60,97.41,232.57,32.30,296.14,155.90,184.80,184.16,166.43,240.92, ,155.68,28.63,282.94, ,167.12,120.56,228.52,177.45,112.79,180.41,285.87,85.64,93.09,66.99,253.72,103.39,163.59,92.40,178.90,59.15,30.98,239.74,97.68,120.58,26.94,19.41,37.29,183.47,74.86,89.89,258.38,92.35,89.25,185.90, , ,14.17,124.76, ,222.45,80.90,98.04, ,110.85,257.39,249.54,244.78,60.82,232.72, ,21.97,211.03, ,156.08,8.59,258.20
203.29,49.80,127.35,188.55,250.85,232.51, ,177.30,239.01,172.56,105.59,130.10,184.65, ,188.94,153.55,115.35,176.45,93.05,296.83,241.99,127.55,148.07,51.80,244.76,260.45,237.86, ,254.48,4.90,228.58,280.74,266.69,252.18,130.64,128.66,197.96,239.80,224.40,124.27,190.31,272.75,194.39,94.29,167.37,276.07,250.53,171.67,294.39,49.05,79.83, ,277.79,177.08,178.46,174.53,12.93,163.51,25.45,34.47, ,133.66, ,84.18,126.24,101.60, ,226.63, ,163.91
182.21, ,60.67,232.50,176.54,114.94,89.01,151.19,264.81, ,219.38,220.93,70.42,295.72,249.15, , ,33.35, ,91.32,17.66,243.35,87.38,10.92,164.49,139.72,146.95,48.68,174.38,286.40,90.02,146.05,156.31,149.01,113.16,79.48,264.14,25.01,81.13,227.91, , ,74.91,21.08,260.96,217.90,92.36, ,238.41,210.94,272.60,10.67,77.98,177.06,166.50,181.94, ,127.55,224.12,145.43,26.06,140.65,53.74,251.89,171.42,19.31,48.07,79.61,95.79,138.05
87.60,78.54,223.12,90.47,108.56,92.43,42.29, ,96.03,30.47,37.52,223.71, ,241.52,115.00,107.16,233.92,19.69, ,242.81,275.25, ,211.14,161.74,115.57,49.46,270.78,19.18,177.57,230.73,11.70,156.41,298.78,13.63,102.80,261.27,173.65,48.49,233.80,38.22,150.54,31.03,41.54,198.05,175.85,38.20,174.51,6.42,284.95,191.76,218.45,109.12,204.36,176.89,67.83,187.52,2.80,39.69,268.75,263.44,66.52,32.15,196.25, ,181.19,6.09,277.06,78.06, ,235.66
201.64,161.18,221.86,7.70,208.31,199.29, ,265.80,153.19,69.63,21.16,250.37,219.76,186.37,296.59,233.48,151.50,103.83,158.82,248.35,176.11,19.66, ,285.46,199.04,290.87, ,241.69,240.69,268.60, ,265.19,92.75,228.42,11.66,188.54,117.42, ,42.22,203.42,14.03,287.10,115.52,119.77, ,60.46,87.66,77.93,264.45,260.69,200.39,61.95,251.82,97.85,221.59,10.81,140.45,296.76,251.00, ,8.21,227.01,281.39,4.79,78.98,294.93,75.86,33.81,219.10,262.65
134.77,37.30,229.53,141.20,123.77, ,131.98,69.86,90.97,63.64,263.38,120.14,14.97,269.04,6.52,142.43,17.00,70.31,161.03,2.63,66.85,280.19,28.08,257.68, ,21.31,197.82,64.40,275.39,102.10,158.33,297.59,1.32,261.64,90.13,165.38,271.57,207.66,111.95,128.07,192.16,175.26,109.81,223.04,91.47,240.37,9.47,141.14,167.05,173.54,7.50,184.64,122.80,149.46,50.02,165.75,126.93,32.16,280.67,21.94,280.34, ,289.81, ,0.60,265.86,24.50,213.06,252.42,1.45
270.60,79.42,293.64,177.36,143.09,281.00,230.17,127.34,251.15,115.19,94.94,125.88,54.40,28.59,74.79,108.71,81.51,181.74,94.48,100.95,217.13,102.60,43.29,99.40,257.57,246.18,295.64,171.95,111.01,56.87,230.58,231.20,53.71,87.24,172.04,85.77,270.14,236.46,118.32,7.88,250.46,128.39,26.12,296.15,200.88,22.93,218.61,143.55,67.07,120.51,118.99,28.27,94.65,102.57,0.60,288.86,64.50,197.17,117.60,227.76,246.35,149.94,204.82, , , ,257.78,43.28,239.26,258.71
