Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95
184.34,35.80,167.48,19.72,203.24,30.54, ,266.45,79.86,20.65,106.88,96.08,1.51,284.23,299.04,170.93,119.27,286.96,38.24,94.01, ,32.81,43.58,19.60,273.43,214.90,156.35,214.95,66.75,134.17,163.96,103.99,188.37,102.09, ,279.62,35.61,89.48,103.98,108.37,256.50,213.13,14.19,290.33,45.12, ,278.18,67.41,134.33,56.92,218.45,216.04,105.53,64.60,80.41,2.66,4.16,291.78,174.70,69.87,15.27,37.14,244.32,75.61,60.33,15.06,202.44,253.90,207.53,202.26,66.16,66.59,65.43,149.86,28.51,278.97,144.85,37.22,120.66,167.82,245.37,159.77,113.98,155.78,132.17,9.45,262.97, ,28.40,118.51, ,38.24,206.69,263.60,272.27
56.74,265.26, ,125.03,136.94,5.70,70.86,167.90,26.71,237.84,78.33,23.64,94.59,147.93, ,91.84, , ,90.04,150.69,109.28,249.94,6.32,118.84,276.28,96.77,25.86, ,82.21,239.79,146.65,154.49,179.56,100.37,194.48,178.84,193.90,257.42,185.77,60.71,42.09,52.61,174.60,260.86,80.02, ,226.67,288.11, ,92.56,196.09, ,74.93,86.94,251.95,140.16,89.52,59.85, ,22.16,53.10,69.68,183.67, ,172.05,67.83,283.97,236.08,69.28,265.54,265.38,185.03,235.25,201.53,212.81,17.26,103.24,95.36,183.95,296.13,190.07, ,174.04,32.07,9.49,110.60,8.45,50.74,263.34,15.53,238.10,275.71,168.90,59.13,159.94
101.38,247.86,11.93,105.55,266.96, ,77.56,95.52,31.48,69.00,225.04,294.87,3.15,159.60, ,264.85,75.56,55.02,231.58,145.31,110.95,152.17,189.84,293.54,164.39,64.50,128.10,216.02, ,174.66,74.23,243.26,267.99,268.32,241.08,136.71,146.22,130.38,138.83,37.79,127.67,198.82,68.95,264.84,85.85, ,160.08,109.44, ,118.94,291.31,76.98,38.23,77.01,267.45,131.90,50.16,246.09,8.39,239.74,202.81,112.74,185.67,178.41,144.58, , ,57.37,263.92,0.94,264.21,256.77,273.63,55.67,255.91,234.77,37.30, , ,206.55,294.71,65.95,82.31,275.18, ,239.10,145.39,199.49,236.80,87.41,51.27,199.64,241.90,152.64,16.53
286.03,297.38,189.38,153.30,111.85,100.53,228.26,30.98,59.69,123.34,211.52, ,111.16,96.14,142.58,222.98,161.64,142.64,235.78,85.93, ,78.91,142.12,238.30,134.92,140.88,145.09,132.87,163.56,95.46,265.38,292.99,132.72,253.28, ,232.59,167.04,230.19,165.87,97.73,72.29,179.85,240.81,163.41,95.81, ,165.82, ,158.82,139.39,15.51,173.39,56.02,271.85,199.86,223.58, ,295.87,56.53,34.13,189.82,84.59,9.86,127.64,109.23,155.92, ,60.66,153.49,221.26,102.88,263.07,118.71,22.33, ,48.74, ,238.56,269.65,230.27,242.25,29.28,102.72,37.52,217.55,280.05,16.36,259.92,109.40,119.17,290.65,180.47,200.51,157.19, 
87.46,175.88,119.50,136.99,45.52, ,236.53,212.58, ,172.50,172.75, ,4.48,66.93, ,267.45,35.76,237.61,227.82, ,47.32,294.47, ,294.84,103.54,189.88,38.61,288.73, ,40.21,255.29,100.80,74.60,169.62,42.39,140.02,150.33,277.37,90.88, ,68.19, ,258.07,153.51,293.09,33.97,280.73,140.45,123.12,186.30,127.25,285.59,84.57,154.62, ,245.50,120.36,154.26,271.75,88.77,151.71,26.17,134.38,25.46,138.56,102.21,67.77,116.90,115.47,189.67,233.55,83.74,148.85,289.17, , ,112.82,231.60,133.33, , ,281.89,99.31,124.30,115.00,202.12, , ,107.89,226.95, ,75.81,170.66,226.24, 
174.56,148.22,246.18,166.69,295.64,12.16,133.07,61.14,57.64,126.98,82.74,57.16,129.75,134.89,113.04,35.40,263.69,295.49,186.27,137.93, ,150.10,261.25,62.99,34.91,123.43,100.90,257.61,7.11,200.02,257.44,68.68,247.21, ,157.08,102.71,20.48,145.12,192.14,85.33,157.30,12.02,204.39,15.35,196.50,169.55,117.19, , ,100.28,2.76,89.33,252.38,36.37,132.14,219.89,117.10,20.96,134.93,18.51,194.88,10.04,144.80,217.50,189.46,94.01,275.14,297.70,293.14,25.03,262.57,42.76,22.11,208.80,289.07,7.33,142.33,248.37, ,165.87,34.06,224.38,158.79, ,86.32,258.05,226.15,56.27, ,78.37,209.10,21.69,242.74,278.74,154.01
104.71,96.25,203.52,65.05,128.35,148.63,247.08,155.35,16.24,168.01,156.88,30.03,213.52,84.21,232.88,158.13,258.10,176.36,275.01,223.93,230.45, ,177.53, ,45.24,12.18, ,169.06,173.43,203.87,131.84,79.09, ,116.68,208.65,189.78,234.44,287.02,186.27,42.42,207.52,267.59,0.90,88.76,284.42, ,130.63,291.27,38.30,26.39,154.19,256.23,253.86, ,118.75,44.47,175.01,248.82,171.69,253.59,240.97,96.84,68.64,127.36,103.37,4.75, ,24.17,264.94,195.99,96.78,34.29,27.20,206.76,157.97,123.39,97.45, ,233.55,280.34,108.40,133.82,253.53, ,79.58,115.35,15.68,127.76, ,154.96,76.83,194.22,148.15,30.76,227.90
39.60,25.23,291.95,261.16, ,98.47,245.82,0.64,125.94, ,296.00,47.72,8.11,6.14,254.58,65.82,1.21,90.73,253.43,185.49,28.16,13.06,51.27,53.86,52.81,24.23,165.61,121.65,13.89,29.97,164.68,150.96,201.22,192.33,24.36,69.23,183.27,105.75,9.16,247.31,41.87,110.79,43.49,81.19,60.21,25.85,206.96,90.78,118.49,262.82,60.92,195.38,114.34,178.73,160.74,185.47,97.58,110.09, ,191.28,288.90, ,213.79,101.12,17.58,287.68,62.46,12.45,292.79,258.97,250.28,297.56,22.33,132.00,236.22,23.70,49.58,58.98,235.55,267.95,79.71,233.53,4.22,100.01,72.76,168.53, ,166.10,201.03,290.79,197.46, ,32.14,83.30,64.44
251.21,271.97,288.01, ,292.24, ,289.25,32.09,247.29,23.88,111.83,96.88,182.58,202.43,249.42, ,13.86,257.05,276.54,34.26,161.07,33.51,15.75,166.27,205.04,197.41,188.89,107.99,65.12,236.60,205.77,285.67, , ,265.87,230.70,85.47,26.64,225.94,76.73,215.92,169.27,292.88,295.87,92.33,57.22,40.83,251.26,182.62,269.23,81.58,148.63,291.69,286.03,217.65,9.83,44.52,246.92,237.26,138.28,3.78,58.52,158.49,71.12,187.93,189.60,240.28,136.55,213.49,149.60,185.33,264.72,38.52,267.26,154.43,5.37,1.04,202.82,73.68,200.64, ,90.23,254.58,67.67,41.95,36.15,75.58,137.81,234.10, ,209.88,78.23,62.09,279.15,238.80
 ,139.44,253.16,245.54,58.13, , ,203.46,273.17,26.02,284.47,160.43,170.00,35.40,126.39,64.40,53.47, ,192.91,283.32, ,191.05,90.40,280.79,115.79,272.89,64.94,101.92,214.54,289.67,57.17,64.61,207.36,238.79,10.99,220.83,147.63,14.29,97.23,231.89,249.04,54.83,162.15,239.34,128.67,26.63, ,91.24,252.43,246.20,220.30,110.79,164.28,68.16,19.91,34.20,12.28,287.76,101.14,265.60,273.18,204.47,239.68,166.43,205.02,82.06,129.27,179.20, ,247.37,135.43,130.06,22.89,56.11,170.20,14.75,173.79,252.50,149.04,199.24,153.22,123.21, ,16.06,134.69,105.12,267.01,60.61,138.62,91.47,299.86,202.51,165.88,0.39,260.91
