Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80
17.14,0.38, ,134.10, ,248.67,132.88,272.83,96.00, ,144.76,83.54,69.58, ,58.84,138.18,87.46,289.84,223.91,9.32,124.32,203.48,36.06,261.36,148.84,142.98,202.12,143.91,5.23,238.88,114.75,5.79,270.63,6.81,285.85,128.61,48.72,183.16,68.46,93.66,201.88,277.68,172.29,71.41, ,10.29, ,87.35,5.48,243.01,252.51,28.41, ,77.13,222.18,181.67,255.57,268.58,76.65,64.50,144.00,186.77,183.62,241.64,295.53,74.00,252.14,36.22,41.87, , ,275.26, ,230.83,299.34,203.76,187.55,215.92,288.77,13.20
11.85,274.34,218.19, ,221.05,296.88,131.74,226.98,171.49, ,298.61,160.88,28.99,4.37,178.01, , , ,26.97,246.31,253.59,2.07,246.85,137.56,142.29,185.59, ,223.42, ,84.30,8.33,219.14,10.74,268.36,184.25,237.34,33.79,59.02,65.57,34.80, ,177.09, ,190.88,193.46,269.27,118.04,110.50,230.84,249.48,23.19,194.54,264.29,151.47,264.18,29.18,120.17,176.07,83.68,77.78,270.23,254.91,24.65,125.46,186.65,154.70,208.67,170.37,277.57,196.27,238.87,240.73, ,116.80,122.77,224.66,153.98,54.82,296.36,67.71
6.88,106.56,51.31,87.08,133.38,120.54,47.79,15.86,85.07,253.71,16.41,7.75,150.08,112.64,182.80,98.30,22.99,106.39,60.67,298.57,2.39,269.17,165.09,157.01,117.69,158.00,289.08,4.50,228.33, ,111.14,83.90,20.47,107.21,49.43,93.34,3.07,212.65,77.53,210.25,15.37,185.70,10.05,153.97,279.79,134.82,268.58,91.74,207.48,83.83, ,177.17,202.70,113.03,167.15,166.21,26.08,80.54,197.23,29.52,111.79,181.26,269.21,294.45,7.46,42.10,93.03,164.75,8.88,251.69,288.50,70.87,5.07,190.13,283.41,248.74,220.29,297.91,229.98, 
237.44,189.87,278.79,66.56,118.01,226.22,32.84,64.91,49.19,237.56,199.74,200.23,77.50,292.84,260.21,114.77,170.96,99.46, ,166.02,231.78,50.50,243.21,290.72,143.81,228.19,106.78,295.52,162.90,94.56,285.97,244.68, ,249.32,100.48, ,224.77,59.47,220.68,69.89,293.31, ,221.49,225.24,4.52,169.80,121.52,16.25,244.39,152.02,182.95,256.80,177.27,91.52, , ,222.44,87.51, ,9.00,127.43, ,154.39,179.92,185.41,177.20,96.04,23.51,281.73,11.05,231.96,11.55,196.77,188.05,70.13,293.28,217.68,64.91,194.88,47.98
141.01,210.09,254.41, ,236.13,227.09,145.87,106.68,226.44,138.22,110.80,204.00,146.14,90.97,108.06,266.19,176.82,98.44,145.79,29.91,245.94,177.05,286.67,41.99,24.41,123.83,108.67,161.26,241.00, ,49.06,139.22,164.86,35.85,176.39,8.64,13.83,135.36,252.31,147.63,143.50,289.25, ,17.08,91.32, ,264.35,80.24, ,245.11,280.40,10.55,232.47,62.12,104.22,150.43,15.39,66.81,5.10,179.73,185.48,280.26,235.40,57.93,231.95,173.14,226.87,260.64,152.54,57.46,190.51,180.07,223.74,249.13,292.41,251.02,99.91,155.57,218.69,74.28
216.53,63.00,131.10,2.74,46.39,240.41,268.08,142.80,67.37,120.66, ,71.68,20.70,93.25,221.66,130.30,223.28,135.30,208.82,69.42,205.31,132.88, ,253.37,289.52,76.94,80.52, ,18.19,184.82, , ,118.19,178.78,282.47,108.16,173.00,83.76,7.20,220.53,170.01,94.41,282.48,271.27,86.44,298.65, ,73.10,219.09,256.52,260.32,68.72,143.59,235.38,253.50,142.43,22.03,152.81, ,57.39,10.67,173.52,115.10,82.43,193.51,149.37,20.61,222.80,263.55,107.60,122.59,27.90,281.64,33.79,106.33,78.48,235.02,126.33,226.41,242.97
269.05, ,289.65,196.80,175.86,269.47,188.48,89.22,210.73,103.25,271.42,183.64,129.45,214.76, ,123.52, ,92.56,155.97,127.18,244.09,118.66,64.36,142.66,76.61,18.66,158.55,74.28,78.50,177.81,83.30,116.78,121.82,120.72,291.56,30.57,250.94, ,15.30,291.88,232.99,187.53,203.82, ,246.01,90.85,249.37,63.67,79.99,275.49,163.30,148.61,202.71,43.10,114.84,43.81,132.47,171.24,292.90,132.43,4.95,62.73,97.43,20.47,11.90,78.13,263.01,69.07,26.29,217.64,11.66,124.84,50.53,89.44,44.92,282.35,145.15,4.19,171.48,120.01
 ,198.14, ,124.88,149.34,239.83,292.29,28.43,95.62,113.21,122.40,106.92,207.99,149.83,194.67,236.85,204.70,212.82,241.09,90.94,188.86,157.41,282.25,298.29,264.81,262.92,269.61,191.96,21.93,89.79,63.10,231.27,284.10,231.08,181.79,15.62,52.79,251.81,58.88,112.91,61.59,110.90,145.69,208.81,44.66,84.21,25.24,75.56,159.58,234.53,28.67,112.02,123.19,116.50,13.93,205.75,5.25,106.72,19.51,18.55,14.12,171.93,118.24,48.70,254.13, ,282.80,131.21,56.57,180.76,208.97,144.38,115.42,91.20,180.54,284.91,120.85,116.63,205.91,208.91
18.26,202.92,125.52,65.32,229.17,120.72,56.24,122.62,126.13,138.02, ,122.93,141.40,68.01,116.52,210.51,150.39,203.17,228.17,216.77,166.48,230.98,219.08,127.25, ,41.07,28.88,51.70,203.02,48.27,78.82,115.14,30.80, ,182.26,219.56,256.22,261.86,90.66,83.27,271.69,258.99,134.36,252.16,223.63,162.90,293.29,243.39,74.11, ,256.37,274.17,263.36,17.25,150.87,233.83,169.88,27.77,173.68,22.50,272.01,151.21,230.26,43.65,268.63,57.24,211.98,280.39,91.61,25.91,195.83,11.26,299.06,136.05, ,158.55,59.41, ,159.67,206.77
28.42,108.16,100.39,117.06,195.49,78.41,151.14, , ,39.94,201.42,52.93,34.55, ,130.07,207.91,132.99,184.28,219.40,108.77,86.99,135.03,267.96,146.79,237.56,282.14,210.60,170.68, ,84.65,22.75, ,178.62, ,62.90, ,32.84, , ,150.58,115.49, ,262.28,254.74,42.87,182.07,243.17,93.68, ,116.43, ,295.04,151.51,34.83,90.78,163.44, ,124.20,264.97,288.38,96.13,68.57,141.92, ,223.42,139.61,179.68,137.28,60.88,232.66,26.51,91.56,234.05,14.15,202.97,248.53, ,208.38,120.30,266.82
