Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61
14.12,163.29,290.48,29.49,82.46,272.26,60.08,172.85,10.69,164.73,280.75,180.51,199.70, ,205.41,229.81,164.23,153.83,262.18,89.12,214.48,76.51,81.39,252.22,14.77,8.57,108.22, ,20.91,279.16,241.64, ,232.18,156.67,53.14,218.03,223.09,163.58,211.89,3.68, ,18.45,97.37,99.81,126.50,270.13,75.89,234.93,143.95,117.54,281.58,148.00,159.48,287.41,192.41,162.76, ,181.21,118.55,147.91,139.93
22.57,44.51,180.52, ,108.96,8.26, ,156.26,218.79,201.79,29.18,240.63,155.36,133.81,135.26,26.35,250.35,220.77,283.26,0.24,210.26, ,0.80,226.08,101.26,116.98,92.04,119.76,106.51,11.55,76.86,106.76,243.62,272.83,138.94,238.71,284.38,270.32,244.33,200.37,259.25,224.72,268.50,229.04,286.09,155.43,233.86,115.00,117.87,115.95,161.95,157.30,116.52,131.52,24.01,106.44,49.24,34.56,75.64,92.76,204.19
 , ,210.37,15.52,27.51,285.04, ,142.35,2.64,167.33,293.98,169.92,248.46,11.80,276.72,58.96,179.59,163.13, ,102.81,245.75,164.62,19.79,73.14,53.38, ,116.87,122.14,14.33,187.87,36.80,1.54,203.04,102.90,198.76,168.97,266.16, ,196.96,147.27,74.68, ,297.60,50.29,4.30,190.34,90.76,56.76,22.89,273.42,25.96,146.19,104.09,194.23,9.31,47.88,288.00,292.61,266.05,105.34,107.53
162.52,222.81,290.60,179.08,71.48,136.20, ,240.29,294.21,39.34,188.79,195.53,11.36,103.37,286.48,161.80,236.24,204.97,50.69,34.61,222.15,150.92,39.64,169.85,232.12,241.38,227.93,258.24,18.05,293.55,135.33,286.68, ,191.64,266.14,261.71,264.45,131.78,241.01, ,274.86,183.31,276.03,53.16,50.53,295.88,75.73,199.43,202.78,254.05,81.02,91.60,260.82, ,65.09,116.65,208.83, ,125.07,33.77,182.05
249.43,128.38,9.13,87.57,142.69,41.79,37.99,285.59,126.35, ,60.32,103.13,267.65,94.22,59.43,97.48,221.88,272.11,284.53,34.62,142.61,238.24,114.24,51.90,197.98,176.96,227.03,227.46,5.74,110.11,294.13,208.90,183.00,163.05,180.94,63.97,273.92, ,88.16,141.76,271.82,78.16,299.94,157.59,63.98,4.73,173.39,38.05,95.32,252.45,100.01,26.83,124.03,213.42,102.88,113.40,128.09,4.83,249.81,22.65,41.69
142.94,239.71,4.48,100.07,297.88,107.05,23.63,53.75,143.28,292.22,231.33,148.24, ,98.04,270.98,140.27,254.77,238.07,59.84,235.84,270.98,123.82,159.54,49.44,198.18,88.80, ,209.11,73.56,101.14,128.43,12.42,167.74,64.86,127.61,239.35,8.95,268.20,234.80,54.08,221.30,120.18,97.55,79.25,186.73,43.25,93.36,141.95,123.44, ,251.04,203.97, ,279.23,258.37,86.74,245.41,272.60,84.19,94.87,241.26
43.83,296.76,40.17,98.30,45.53,114.65,266.89,244.04,273.70,160.15,214.86,68.48,171.14,257.61,16.11,247.61,183.38,197.14,83.10,87.15,58.36,118.94,111.87, ,85.57,131.53,180.25,214.49,108.23,25.33,83.27,21.86,107.58, , ,49.33,118.27,94.16,296.90,131.94,90.79,25.28,63.53,159.41,273.25,45.17,41.88,222.79,271.65,29.97,61.49,47.80,257.27,199.83,261.37, ,52.16,39.34,12.81,133.89,218.11
35.99,143.41,139.48,136.08,237.13,231.34,195.88,273.71,10.93,299.22,241.94,292.00,25.87,226.14,295.64,261.30,60.95,196.06,11.86, ,248.99,1.63,76.10,239.13, ,167.01,166.37,164.55,90.22,163.18,50.18,160.61, ,221.56,86.50,128.05,192.28,298.85,42.47,6.64,188.89,148.61,296.67,166.60,47.78,18.22,107.19,224.75,67.47,234.85, ,62.90,160.60,271.46,182.41,61.14,235.29,12.61,188.11,103.94, 
160.95,82.09,238.39,86.80,153.15,159.84,84.55,282.06,103.91,106.89, ,270.90,289.14,22.94,253.68,220.39,287.82,53.71,220.15,42.76,213.70,85.85,148.96,17.21,22.21,180.33, ,151.23,140.62,281.07,88.42,238.26,95.77,113.76,140.17, ,66.18,158.89,123.17,70.34,81.29,194.16,265.08,112.86,186.25,204.27,36.02,142.39,107.98,209.83,202.57,254.19,172.16,120.78,120.92,135.71,283.67,163.83,75.50,171.95,224.29
 ,260.30,8.26, ,70.67,56.12,50.36,241.99,123.38, ,244.30, ,146.51,83.43,186.32,287.03,120.68,134.49, ,222.93, ,119.34,194.20,38.74,185.77,167.08, ,84.93, ,138.49, ,221.91,121.28,97.33,201.52,14.04,180.27,182.91,56.32,2.47,287.14,117.54,114.11,11.37,80.13,37.52,243.73,290.39,40.27, ,241.79,258.61,276.63,12.79,251.90,87.36,248.33,1.22,148.50, ,47.54
