Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107
 , ,221.98,84.74,268.43,156.00, ,63.55,190.02, ,176.43,267.20, ,230.56,120.87,65.65,284.80,159.43,282.31,1.55,147.14,230.99,9.41,244.00,64.61,98.97,20.12,111.85,54.37,266.08,169.28,69.62,101.26,240.24,248.11,281.31, , ,177.63,100.28,70.53,73.66,3.72,29.73,22.05,62.70,38.90,38.58,144.09,128.48,137.75,7.79, ,6.02,106.78,278.98,288.68,47.42,41.86,51.19,131.63,191.81, , ,102.37,197.90, ,84.59,7.33,253.67, ,160.53,245.29,179.54,244.26,136.60,85.92,71.53,96.19,50.70,28.50,262.13, ,160.09, ,139.00,3.08,274.05,79.83, ,161.96,273.55,102.90, ,170.35,155.10,160.43, ,171.52,121.15,96.68,181.40,258.46,191.01,100.65,209.06,37.93
230.86,282.61,287.97,178.98,8.46,231.19,187.41,251.73,1.19,232.04,122.74,66.05,1.29,9.74,240.94, ,255.35,239.35,217.58, ,15.95,289.68,55.73,26.57,141.22,206.70,218.86,156.09,73.67,121.53,3.82,59.55,50.90,16.66,164.92,83.78, ,66.19,118.44,47.92,188.07, ,125.49, ,155.33,15.00,262.50,126.74,147.07, ,88.61, ,64.25,16.01,41.41,91.93,65.81, ,54.37,80.62,291.71,148.31,109.17,8.10,49.51,141.44, ,59.63,263.20,216.10,134.04,66.43,224.32,153.02, ,166.33, ,98.80,262.01,185.81,191.36,45.23, , ,35.98,189.00,74.45,223.59,132.36,4.33, ,23.42,207.25,85.39,67.02,72.69,14.48,20.18,210.32,291.82,39.44,106.46,83.77,269.21,66.00,235.23,201.16
225.81,215.01,69.24,123.00,220.77,17.59,187.09,71.08,220.92,204.85,13.29,145.12,23.75,87.72,255.55,69.51,284.25,205.17,110.02,123.31,268.43,292.19,148.62,177.19,184.34,253.85,54.94,116.69,67.47,204.75,272.59,27.87,177.22,109.02,177.04,131.56, , ,4.49,209.24,181.83,186.97,15.50,94.44,109.85,181.93,210.42,33.14,235.73,109.99,183.50,216.39,247.45,282.86,68.09,274.06,41.56,213.74,69.62,125.08,146.83,94.28,149.10,241.95,100.62,119.12,295.79,65.40,76.71,66.88,89.34, ,205.15,79.78,122.00,129.56,97.94,261.98,92.20,68.02,125.12,179.56,1.55,78.95,5.41,228.96,39.69,193.23,165.82, ,27.13,298.55,99.62,178.57,232.88,85.14,199.38,191.95,152.20,43.31,70.44,54.74,40.60,238.51,234.64,19.78,113.31
256.60,293.13,195.47,88.77,152.57,31.69,154.88, ,197.22,136.01,188.78,95.24,287.27, ,220.33,9.10,161.66, , ,242.58,99.21,190.49,196.45,291.69,278.96,43.75,15.25,176.91,7.89,282.34,154.00,161.67,58.12,49.81, ,15.50,21.64,36.89,213.80,221.69,125.13,102.29,83.29,222.77,91.48,21.16,36.66,128.88,293.04, ,8.99,230.68,134.71,192.73, ,148.38,239.87,261.03,297.68,15.17,139.56,79.09,23.49,165.81,91.42,239.80, ,76.24,219.02, ,16.11,12.25,13.24,266.26,296.44,206.08,265.12,12.71,88.94,7.96,240.76,135.12,180.65,86.35,82.89,4.98,45.36, ,282.39,244.08,46.46,287.22,122.34,3.00,200.61,52.28,200.39,254.58,273.89,5.92,126.88,255.81,20.38,263.41,167.33,193.63,227.29
19.12,11.31,285.90,204.56,169.69, ,118.87,82.28,249.61,143.24,70.53,89.65,100.96,86.86,291.42,152.12,117.25,283.15, ,179.87,152.65,268.01, ,111.25,176.45,152.02, ,2.41,72.39,224.15,38.76,150.68,116.08,174.76, ,110.88,174.81,132.46,97.28,24.83,174.70,90.31,174.92,29.13, , , ,293.38, ,144.06,88.98,162.84,150.79,219.18,102.99, ,200.28, ,108.81,280.82,90.15, ,119.28,95.00,249.46,241.67,232.44,11.33,92.60, ,66.32,264.69,221.53,69.59,98.94,173.69,77.52,235.50,83.12,133.39, ,221.77, ,154.22,59.16,58.25,181.60,179.74,293.89,165.69,211.53,241.88,44.38,49.06,57.80,155.90,226.40,112.96,29.21,227.94,209.69,98.23, ,277.97,104.65,103.27,290.78
110.01,112.28,125.06,187.22,248.07,183.66,191.36,258.65,73.89,68.22,145.25,170.85,97.09,202.46,143.63,268.25,269.24,83.07,172.69,51.55,48.69,50.20,81.16,98.58,55.88,215.14,26.31,24.35,61.49, ,205.12,292.00, ,72.53,183.59,212.11,65.98,170.35,200.85,125.04,106.57,166.23,82.05,107.70,15.93,33.20,74.31,31.67,242.54,174.90,49.42,61.27,47.82,231.58,183.14,248.10,237.55,11.42,6.87,126.00,288.31,62.46,12.45,295.69,198.33,81.11, , , ,5.42,294.72,257.15,202.19,288.89,258.28,23.39,134.49,65.71,108.64,6.15,124.01,101.10,42.25,252.21,111.98,258.64,211.72, ,113.91,146.93,120.92,153.82,289.91,264.03,8.64,289.75,216.37,12.52,293.13,163.18,173.34,136.40,32.54,138.08,214.83, ,35.75
130.71,130.34,198.10,39.35,103.70,206.83,263.28,47.71,280.98,197.98,61.88,134.34,16.09,28.89,257.68,141.53,298.70,119.09,85.82,187.26, ,94.09,72.49,291.81,192.87, ,294.67,173.13,93.23,109.80,190.33,186.75,155.86,3.73,82.26,133.40,279.07,63.60,15.09,214.97,168.36,107.34,111.43,292.03,169.71,60.04,213.53,25.17,0.12, ,150.76,214.37,189.86,134.65,246.08,150.74, ,221.00,12.90,190.02,71.27,222.03, ,136.40,26.25,84.47,124.77,116.03,276.99, ,118.49,28.07,237.76,280.98,100.31,10.85,124.84,249.61,65.63,42.62,240.62,151.51,170.94,184.09,55.20,171.70,235.97,82.66, ,257.87, , ,196.15,123.51,155.74,288.29,79.30,60.60,43.32,22.15,265.48,270.21,224.86, ,101.31,205.11,246.71
24.96,254.79,82.53,80.96,79.85,244.33,280.85,282.39,151.65,209.21,51.12,103.15,5.35,246.13,166.15,269.10,151.87,116.34,15.45, , ,117.55,34.38,173.27,42.12, ,251.33,148.80, ,106.10,210.83,55.27,245.07,268.09,248.25, ,263.71,130.77,99.28, ,197.67, ,239.80, ,191.12,56.65,282.30,175.39,214.98,270.11,255.02,256.99,22.63,166.98,119.10,103.63,19.38,41.45,241.10,37.40,90.11,162.81,256.80,265.54,268.86,31.83,173.84,127.16,277.16,200.82,220.12,89.90,5.75,69.05,245.53,79.07,200.50,108.05,280.08,29.07,9.22,172.82,49.73, ,26.88,280.35,214.24,213.05, , ,222.79,289.93,16.46,229.73,133.61,238.42,116.10,216.42,60.17,226.74,179.01,54.26,76.77,144.15,122.24,34.22,72.09
74.27,49.71,46.89,91.03,90.52,172.66,84.14,106.41,292.98,264.50,144.77,15.74,31.08,123.61,183.00,89.44,284.25,261.27,22.47,16.44,259.44, , ,121.93,54.46,211.76,162.15, ,177.88,91.30, ,156.60,64.77,156.14, ,117.41,107.66, ,220.65,285.69,172.73,266.91,222.53,246.14,235.20,262.56,97.65,149.72,177.28,200.29,263.51,150.83,93.14,140.26,149.69,54.36,233.57,249.60,199.93,240.77, ,203.33,299.74, ,253.99,180.00,92.45,243.28,232.89,27.43,113.50,1.04,86.96,85.51,222.24,183.83,183.34,173.16,268.90,137.07,18.67, ,162.17,63.66,63.99,76.78,140.97,11.71,17.13,62.39,256.26,144.01, ,231.17,110.05,25.47,228.01,238.46,206.31,112.05,133.55,32.44,280.49,155.92,279.74,19.76, 
63.40,159.84,15.11,100.43,72.12,143.20,286.01,22.56,3.63,189.12,10.66,123.63,189.25,253.01,100.76,225.40,276.88,154.54,131.88,207.18,2.52, ,288.53,42.81,245.60,233.21,31.70,212.38,155.80,257.98,94.15, ,258.31,245.63,119.80,67.81,281.51,77.36,58.86,44.58,264.92,36.17,97.31, ,102.28,259.43,93.51,211.19,11.88,199.53,158.80,192.55,258.56,263.14,21.73,4.91,247.39,160.86,167.83,267.10,22.09,30.39,280.11,69.50,280.58,116.72,246.08,25.17,272.14,164.97,270.78,118.57,240.39,219.22,143.00,78.34,112.86,280.70,50.31,84.95,19.24,170.28,210.94,169.96,183.76,176.96,204.79,72.71,274.96,253.41,178.26,283.06,140.49,84.07,13.96,221.70,70.70,298.52,287.42,164.72,203.39,25.72,37.22,253.37,90.36,130.15,238.54
