Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66
32,68,56,43,95,87,75,11,94,50,33,67,17,0, ,3,83,9,71,4,60,3,9,38,18,0,87,87, ,5,7,35,39,59,22,4,85,42, ,66,97,5, , ,52,24,99,31,90,94,40,63,98,51,45,83,17,97,79,16, ,40,96, ,52,69
28,41,75,95,76,92,52,41,34,53,53,91,47,97, ,66,4,88,52,92,5,72,86,7,17,90,81,60,90,88,23,36,31,24,53,64,50,24, ,31,37,64,42,66,96,22,38,23,9,90,2,58,57,84,15,68,76,59,39, ,35,75,80,46, ,95
56,44,58,9,96, ,64,36,36, ,63,72,85,84,41,1,68,35,72,15,37,7,76, ,74,90,85,83,85,74,20,25,74,93,55,3, ,15,22,30,66,47,38,60,33,2,58,82,84,10,21,75,22,5,82,2,89,26,98, ,31,58,83,71,51,10
58,99,31,24,72,79,50,48,27,33,59,47,59,43,56,34,63,33,23,71,18,17,79, ,6,79,59,13,30,46,89,75,64,37,32,30,13,45,60,28,11,32, ,46,10,20,67,27,86,9,68,76,17,42,17,27,65,18,15,11,43,77,54,83,41, 
9,62,13,48,38,40,67,41,92,15,50,95, ,0,43,38,51, , ,48,6,51,2,75,16,71,95,72,86,45, ,88,17,80,10,1,44,74,65,27,65,16,2,61,93,91,75,9,97,46,28,31,11,25,55,22,61, ,64,69, ,65,19, ,28,78
80,46,18,39,45,80,38,60,9,23,34,44,82, ,11,96,1,76,2,68,42, , , ,9,1,26,98,88,97, ,15,49,13,96,80, ,49,28,35,58,71,63,85,58,4,46,72,83,43,81,14,20,7,98,18,87,17,88,12,77,3,51,53,59,70
30, ,50,28,47,18,59,22,97,22,1, ,25, ,79,82,97,6,45,31,57,45,84,85,15,31,27,78,58,96,98,14,3,78,78,22,90, ,74,98,88,12,8,6,3,80,75,56,62,50,56,33,50,5, ,3,63,18,94,97,67, ,9, ,66,80
71,99,24,82,96,0,14, , ,54,96,56,25,73,31,95,83,3, , ,74,53,89,71,17, , ,36,24,96,7, ,39,21,93,55,87,50,37,57,92,9,97, ,29,79,57,96,26,5,0,34,81,26,54,8,40,54,66,75,43,22,41, , ,25
47,83,1,99,16,76,99,94, ,61,82,34,80,78,20,24,94,94,51,74,75,55,28,95,78, ,60,9,94,75,66, ,76,67,91,30, ,5,52,24,1, ,58,64,92,67,37, ,59,81,45, ,63,34, ,30,94,38,62, ,45,26,68,76,54, 
32,41, ,8,96,1,73,79,53,90,29,2,74,50,77,32,37,83,9,56,35,90,72,37,45,22,64,31,96,90,87,16,17,40,92,33,53,37,94,52,3,14,0,7,27,71,20,39,88,65,76,9, ,47,17,9, ,84,94,17,82,0,60,43,58,80
