Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139
178.66,184.15,267.51,134.14,102.16,59.41,238.01,241.31,147.54, ,221.50,79.13,290.66,167.36,11.12,15.05,135.75,228.46,140.76,15.39,205.33, ,78.39,117.35,106.71,102.28,179.90,87.93,26.39,8.13,116.03, , ,87.04,191.42,286.79,204.58,93.38,115.27, ,269.51, ,105.97, ,34.38,158.73,294.29,170.64,31.58,277.12,224.20,14.35,207.23, ,40.66,112.18,234.16,94.69,151.69,137.03,96.15, ,109.42,50.33,69.00,3.16,36.62,209.33,242.53,24.33,170.26,14.12,286.52,135.11,122.65,207.28,243.90,139.06,205.86,113.41,280.60,45.86,207.02, ,213.62,228.09,140.47,46.33, ,149.75,130.35,97.46,246.38, ,119.66,59.27, ,53.05,276.03,83.91,256.13,53.59,253.28,265.99,47.93,223.08,276.13,58.47,2.23,86.14,55.44,258.43,299.74,166.04,22.48,235.29,80.96,138.38,141.76,279.96, ,171.12,107.70,188.44,242.43,82.52,269.08,225.14,65.88,99.40,40.64,148.34,122.08,232.14,94.35,117.50,89.28,153.37,181.26
45.95,168.03,286.34, ,106.20,83.43,173.16,280.05,190.79,72.05,94.67,289.99,197.21,92.33,27.66,42.89,290.54,75.77,209.97,76.47, ,127.33,249.58,47.89,233.71,26.48,105.65,110.35,81.54,191.61,166.62,234.85,292.42, ,18.90,25.36,185.26,60.90, ,37.91,228.18,119.04,23.66,221.65,224.81,23.48,184.98,63.73,183.98,112.16,245.88, ,124.65,138.08,171.68, ,162.52,197.58,285.39,192.83,156.89,233.02,12.52,0.93,170.61,68.19,262.82, ,194.08,184.41,83.22,212.38,53.38,210.51,177.37,245.56,259.87,115.69,0.11,279.46, , ,10.62,16.45,165.78,105.50,102.54,62.41,65.73,296.64,172.91,64.75,238.20,37.14,108.05,86.17,44.69,78.50,15.68,272.10,134.44,220.55,219.52,215.21,240.81,144.86,9.08,218.22,239.17,15.94, ,105.46,54.90,4.85,245.66,293.57,167.10,9.32,295.04,259.15, ,84.94,124.53,35.75,54.00,4.34,272.11,84.71,296.20,184.33,15.45,207.39,244.65,216.36,128.06, ,43.45,14.40,199.06
168.41,207.90, ,256.11,266.30,71.79,232.03,267.80,281.84,263.91,73.02,61.60,247.09,98.45,136.98,132.04, ,278.39,161.14,255.70,72.60,90.54,279.39, ,106.41,251.52,254.33, ,91.04,27.21,192.72,231.84,200.27,113.92,145.45, ,240.50,209.96, ,41.02,172.21,103.27,128.69,60.50,258.41,78.45,244.94,288.79,71.84, ,24.99,113.62,247.46,14.58,128.47,231.50,279.35,99.16,117.35,160.82,269.67,158.80,108.00,151.49,190.70,59.66,78.90,141.60,127.05,150.87,275.32,186.88,85.50, ,179.40,177.30,55.22,286.50,139.54,229.28,275.84,226.88,29.50,241.98,212.57,291.81,236.13,265.17,236.07,211.60, ,289.94, ,41.93,158.19,23.80,288.97,134.74,220.45, , ,258.36,192.50,191.35,207.80,25.49,74.11,294.56,69.71,279.88,138.95,67.97,90.44,244.92,73.41,115.17,138.53,278.13,89.44,243.32,78.36,235.58,193.54,249.98,206.74,150.52,84.76,182.85,95.93,233.44,108.95,55.63,230.77, ,194.20,14.25,150.76,54.14,244.05
65.28, ,73.14,230.52,101.52,129.31, ,213.23,1.38,116.49,156.95, ,113.50,7.45,41.44,210.56,289.64,108.77,222.01,32.37,72.17,14.54,37.26,137.91,97.15,51.46,4.32,228.70,226.45,295.71,232.70,144.73,51.60,78.57,178.50,61.03,259.33,198.56,79.41,147.10,243.40,276.57,70.27,240.63,247.27,157.47,294.31,148.34,91.96,124.77,135.21,245.85,173.42,54.92,155.20,8.09,298.02, ,222.59,91.13,109.03,293.69,272.80,140.47, ,282.46,182.39,142.15, ,177.39,188.01,122.77,156.19,36.28,211.07,163.43,5.43,186.46,272.27,89.95,18.70, ,217.85,147.26,28.08,147.21, ,57.34,181.61,147.82,119.67,91.10,272.03,72.95,169.19,44.48,265.07,115.72,296.33,56.22,230.73,96.75,62.92,217.34,216.31,2.84,176.61,7.17,196.46,214.11,223.25,293.24, , , ,60.48,156.01,149.13,136.97,234.99,206.95,158.14,194.64,284.10,23.98,97.71,241.35,155.93,15.94,295.13,34.64,151.92, ,265.84,145.54,98.50,156.68,221.57,185.11
84.61,99.38,95.68, ,170.99,298.12,21.57,255.48, ,83.15, ,254.83,102.49,80.42,244.56,84.08,47.97,109.24,120.23,146.67,224.79,34.94,196.32, ,226.42,80.15,103.95, ,267.96,229.37,271.79,6.80,201.47,239.35,187.18, ,285.63,260.64,240.58,243.52,259.73,155.25,221.38,193.53,221.96, ,219.05,159.49,42.00,205.09,94.25,296.79,15.19, , ,264.21,210.44, ,124.90,188.61,53.14,84.21, ,41.95,14.52,124.38,234.97,98.07,152.42,275.66,258.02, ,170.62,167.27,102.24,281.78,88.74,1.58,276.38,293.13,156.41,291.51, , ,43.67,124.88,58.50,250.04,23.72,31.79,68.45,226.93,290.00,233.23,293.53, ,100.09,59.71,143.68,296.78,82.30,159.87,102.48,40.48,200.96,82.58,229.87, , ,7.03,166.90,38.90,268.51,164.22,87.44,288.14,211.33,155.01,109.80,126.44,84.34,105.71,174.92,41.63,14.02,195.52,192.79, ,105.99,204.41,273.24,295.89,186.68,223.84,160.95,289.89,224.89,76.18, 
163.95,153.01,273.34,128.52,148.13,250.47,52.10,47.92,65.63,63.33, ,8.46,240.58,89.64,186.41,189.01,194.79,289.15,9.92,61.97,59.50,74.69,119.39,196.91,135.95,67.53,46.19,246.48,177.20,202.46,161.14,255.90,124.37,249.84,223.65,164.52,69.92,168.22,204.02,248.36,3.98,231.83,179.85,112.14, , , ,1.40,69.46,207.36,159.70,215.75,296.95,6.83,8.82,132.13,271.68,291.05,119.56, ,139.51,282.37,66.04,37.86, ,279.72, ,234.47,196.27,58.71,47.12,272.41,240.83,196.83,211.46,5.87, ,223.57,117.98,90.39,69.33,266.15,246.28,39.02,114.12,149.28,116.10, , ,252.05,144.76,115.39, ,263.19,127.53,279.82,73.72,22.93,181.85,194.15,257.61,61.22,211.06,214.94,25.89,102.12,15.04,123.60,155.53,224.73,210.43,80.67,57.19,55.05,184.67,234.05, ,186.31,12.96,222.55,235.26,2.97,137.74,150.31,118.13,107.62,220.79,136.89,230.78,52.26,298.95,207.08,283.92,293.59,21.95,67.81,35.37,122.61,71.12
118.94,126.70,201.97,288.77,119.19,130.61,48.08,164.76,218.02,56.84,164.54, ,8.49,34.66,224.60,101.04,100.11, ,76.66,184.78,89.34,190.35,261.98,28.99,135.07,202.84,211.86,294.12,22.80,157.44,280.49,204.84,80.74,30.96,105.56,173.36,231.21,282.79,88.61,247.93,166.43,177.42,62.26,208.51, ,298.82,229.85,77.25,21.12,267.61,134.36,38.08,220.31,183.08,169.74,144.21,76.96,92.33,174.60,60.42,104.57,19.61,189.56,258.12,103.29,187.52,253.35,126.41,271.13,235.38,43.33,284.48,113.58, ,21.11, ,10.47,10.65,11.96,64.55,125.47,134.12,20.32,276.39,95.12,286.28,130.25,41.51,241.54,80.17,200.37,25.31,234.22,109.73,104.00, , , ,177.96,93.26,291.74, ,62.81,144.82,62.02,24.18,32.38,250.08,12.90,271.45,270.61, ,207.34,216.73,65.58,166.60,293.84,285.47,79.72,1.14,183.28,37.05,237.58,214.31,28.02,95.87,168.59,44.95,127.98,11.27,138.49,156.95,247.74, ,22.29,93.30,163.48,295.98,95.68
201.07,241.70, ,278.93,225.32,140.97,148.45,198.45,30.42,284.35,88.89, ,103.18, ,278.15,36.29,206.93,63.86,70.98,135.86,151.98, ,177.74,8.50, ,119.80,179.13, ,9.79,142.81, ,155.05,233.82,138.08,295.87,127.41,37.70,218.87,248.03,196.34, ,220.67,121.98,297.54,31.69,115.83,104.24,261.91,15.90,63.76, ,136.39,155.22,267.38,250.96,172.39,247.35,75.98,170.01,273.72, , ,233.12,28.49,147.48,276.62,147.69,51.97,280.06,269.94, ,34.84,158.10, ,274.93, ,249.98,22.86,147.16,45.64,21.92,8.53,285.56,205.92,183.41,87.91,11.03, ,11.19,199.61,262.91,188.73,87.12,48.55,178.60,241.20,196.18, ,147.77,35.00,216.67,164.27,58.41,130.59,262.25,92.00,0.99,163.73,37.45,29.60,102.93,53.71,208.87,203.84, ,9.34,236.76,280.07,114.86, ,160.90,106.42,207.84,160.28,245.61,47.89,98.25,120.52,296.13,180.67,238.87, ,254.63,293.41,71.43,134.91,133.55,230.01, 
215.48,286.10,284.06,146.25,19.91,101.93,275.09,145.34,297.65,0.96,62.59,19.55,269.34,35.76,61.14,294.59,238.95, ,48.27,14.64,243.19,44.99,224.02,119.78,41.02,205.05,84.59,237.48,201.87,174.43,219.71,275.22,222.84,228.27,209.08,79.82,51.04,44.18,268.44,55.50,264.50, ,59.76,12.64,185.92,134.88,248.28,16.76,87.60,48.33,19.32,55.50,224.13,234.58,193.94,187.83,242.34,189.11,233.28,130.30,78.06, ,204.30,12.52,181.10,174.69,280.11, , ,270.76,207.13,281.99,294.82,67.90,228.44,213.60,167.57,76.34,222.71,216.68,251.50,47.59,41.87,85.85, ,13.43,92.20,121.05,226.46,25.45,33.92,116.21,247.09,277.98,111.55,258.48,276.90,119.66, , , ,78.77,286.53,38.44,117.23,112.88,285.98,261.56, , ,154.18,271.34,98.40,43.21,46.82,191.16,173.12, ,290.35,246.13,234.51,254.83,86.73,17.07,202.36,156.14,27.79,267.34,20.53,57.17,26.34,155.86,73.67,253.87,292.13,32.06,142.88,206.34,78.95
 ,32.55,133.48,165.54,95.07,264.10,103.83,130.14,284.65,191.08,253.12,76.87,79.76,48.49,235.12,95.19,297.62,284.37,105.98,228.75,181.90,51.35,42.64,211.89,75.71,187.30,135.02,120.20,157.68,203.12,232.30,254.03,296.06,3.29,211.16,220.51,298.65,105.38,227.76,113.58,243.02,16.34,49.89,116.67,256.37,88.05,77.65, ,272.10,267.65, , ,79.07,88.70,41.63,140.13,60.07,13.47, ,9.89,103.93,241.49,31.65,120.76,293.78,299.57,212.61,247.01, ,4.25,9.64,43.98,243.43,260.27,85.88,186.60,269.21,32.38,198.21,150.08,240.71, ,196.95,221.32,173.89,168.14,257.61,9.77,81.00,116.79,215.12,163.03, ,83.07,40.46,86.80,34.14,269.37,105.15,217.67,65.16,180.55,222.37,204.04,83.78,46.55,112.54,255.57,42.27,242.71,268.92,170.11,105.23,141.17,217.43,109.29,220.63,2.54,184.67,161.12,231.26, ,206.45,265.47,260.37, ,196.24,42.07, ,243.48,231.58,47.05,56.16,156.59,227.47,42.72, ,121.16, 
