Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104
270.65,0.63,39.27,75.54,154.09,32.77,256.78,67.42,86.48,189.44,213.60, ,13.77,15.54,151.11, ,178.31,95.24,297.71,89.02,280.00,199.14,135.88,10.67,202.64,232.73,267.80,89.34,135.99,273.66,266.43,86.26,294.87,246.01,158.66,124.60,172.83,191.56,256.35,237.78,154.55,62.45,125.78,225.26,41.26,82.59,268.11,75.18, ,221.10,225.72,272.09,221.35,201.02,16.50,117.64,223.35,272.41,101.72,113.81,24.35,182.92,9.48, ,6.64,162.41,58.38,163.04,55.71,26.96,203.03,231.51,170.22,246.27,222.42,8.98,287.67,72.04,172.52,278.74,210.46,137.63,87.47,50.75,168.89, ,29.86,239.42,62.38,272.82,267.04,244.79,144.83,120.24,263.19,164.10,263.83, ,86.58,153.68, ,211.50,94.54,248.80
79.06,60.27, ,3.31,116.36,279.09,159.22,192.51,80.18,227.54,5.63,288.61,79.12,154.88, , ,72.35,225.08,152.80,38.86,54.48,43.11, ,66.49,264.99,171.06,213.47,20.64,233.55,157.42,22.51,256.43,240.01,24.39,158.20,234.96,169.23,195.30,217.89,24.02,132.94,249.99, ,31.05,113.59,90.96,52.29,106.61,54.63,207.74,55.73,254.42,95.70,294.51,175.06,274.67,63.35,57.54,162.19,0.94,144.39, ,133.44,237.06,82.83,53.45,94.57,190.29, ,192.77,51.85,264.93, ,197.28,262.42,69.61, ,7.27,27.49, ,273.81,172.60,160.91, ,207.96,206.69, ,102.46,276.78,57.07,76.41,228.28,25.57,38.31,18.27,122.58,194.55, ,244.90,43.30,81.61,280.56,179.01,260.24
275.10,288.88,217.53,48.73,230.46,198.35,16.51,275.13,185.08,28.67, , , , ,161.11,269.88,115.81,84.82,95.29,135.74, ,257.35,121.66,289.95,98.79, ,215.16,281.96,186.09,51.23,102.17, ,117.90,15.52,221.11,132.98,5.54,72.24,279.90,181.90,3.58,156.66,37.89,65.14,164.68,223.24,197.03,244.80,91.10,19.23,287.67,123.10,179.41,221.25,168.02,145.58,131.62, ,118.34,299.63, ,147.83,273.11,108.91,229.43,113.63,185.38,297.27,266.65,268.37,207.53,201.49,233.06,216.37,45.12, ,163.45,96.62,69.49,274.81,299.95, ,179.94,219.22,84.76,140.10,226.64,74.19,197.06,151.23,147.60,286.52,89.43,249.40,217.17,227.83,158.05,278.06,25.40,234.08,71.74,122.24,260.80,296.01
90.44,284.46,1.12,198.78,164.15,209.47,42.43,138.23,262.55,208.49,7.59,122.04,274.43,28.54,286.23,8.19,77.68,177.37,269.38,133.51,273.33,33.21, ,47.22,104.37,264.79, ,136.67,218.91,247.02,21.75,52.29, ,118.69,127.33,213.65,268.17,232.24,225.46,232.03,120.60,7.67,38.73,289.94,20.49,218.37, , ,245.51,88.89,296.32,54.90,57.14,189.83,20.90,75.73,99.13,257.22,296.39,152.68,184.99,179.80,55.95, ,156.63,167.03,231.72,199.63,241.06,163.22,107.72,253.03,81.95,85.25,175.18,68.66,148.67,172.36,232.61,55.13,175.42,30.78,292.04,186.35,47.12,144.14,59.02,127.51,178.83,160.81, ,63.22,186.90,156.53,249.91,214.68,37.40,153.74,93.89,93.12,272.43,58.45,66.06,196.39
56.72, ,17.70,97.20,172.19, ,185.28,4.38,223.38,233.05,44.93,199.27,56.87,132.37,26.77,92.93,263.95,91.41, , ,97.61,251.72,264.66,111.69,103.32,172.95,139.20,2.83,109.35,257.52, ,79.73,263.34,220.80,226.61, ,108.79,56.14,124.95, , ,78.55,273.81,15.33,267.60, ,194.43,111.93,35.62,32.86,257.69,291.37,207.62, ,10.31,216.31,249.96,150.07,239.18,259.09,228.92,102.05,51.36,169.84,244.59,152.05,50.99,53.39,139.61,61.69,217.60,78.78,114.45,281.19, , ,15.51,68.90,156.83,87.92,155.01, , ,117.35,224.31,59.23,53.01,266.71,89.45,54.61,94.61,221.42,175.30, ,152.50,96.00,100.75,294.77,170.47,276.66,178.45,78.52,196.55,108.24
195.16,65.88,92.77,162.86,266.30,77.60,110.54,110.52,272.82,57.17,239.41, ,161.85,14.81,141.67,122.01,157.84,0.75,139.71,208.00,93.35,25.02, ,21.09,100.48,71.09,82.05,231.84,178.41, ,281.52,239.31,258.19,153.58,235.51,80.17,295.85,149.36,34.17,111.51, ,137.84,197.87,49.81,46.37,117.43,76.40,97.09,162.47,36.32,223.81,1.97,144.01,125.86, ,134.92,129.28,73.89,66.38,137.60,0.32,176.32,191.09,48.08,177.36,283.82,243.63,240.20,69.88,288.25,177.65,169.45,285.19,266.05,62.95,120.17,135.62,128.38, ,96.14, ,231.22,158.16,240.42,10.44,284.31,201.95,34.48,166.48,215.97,127.00,199.00,213.91,50.48,59.84,280.94,270.53,46.80,74.19, ,149.25,24.32,287.06,207.55
71.57,234.51,25.78,234.50,205.24,105.83,255.22,176.32,105.44,242.60,182.84,108.95,38.51,148.63,47.87,160.96,74.51,247.27, , ,96.69,0.41,131.80,100.22, ,10.16,282.29,179.68,156.35,275.96,170.94,32.35,38.46,214.95,81.43,293.31,276.25,196.09,6.51,45.64,240.37,141.50,68.45,102.45,135.12,295.20,119.13,72.13,288.77,23.30, ,108.41,165.34,68.41, ,166.86, ,88.43,10.05,54.71,97.06,281.17,152.09, ,154.04,109.95,226.29,168.79,92.67, ,104.84,252.39,122.31,296.84,227.16,127.39,194.61,162.32,81.57,145.36,9.03,18.74,151.07,162.01,30.28,171.82,176.50,120.48,23.46,54.47,175.59,184.64,66.21,38.02,294.51,264.42,35.77,217.80,15.42,263.64,255.87,248.47,189.83,147.67
268.60,44.45,186.04,52.47,129.55,23.31,154.69,211.68,240.12,256.17,127.41,101.66,216.40,206.00,141.25,16.28,122.47, ,70.81,61.30,147.61, ,6.85,188.13,189.79, ,161.36,90.41,222.52,251.22,220.52,95.67,265.10,40.77,70.91,245.11,247.76,86.13,179.88,255.59,69.86,112.62,218.71,237.57,170.77,35.92, ,212.52,107.07,126.63,31.70,229.35,102.42,136.57, ,251.91,179.14,15.87,286.64,277.36,178.54,78.51,60.85,113.44, ,74.40,7.37,163.12, , ,91.71,102.72,252.67,188.98,229.80,74.85,63.47,30.19, ,71.16,94.81,286.12,102.75,87.93,206.10,82.42,265.84,209.26,126.17,213.87,149.34,68.47,295.83,277.42,109.78,28.92,281.02,10.61,214.46,239.59,44.44,285.91,286.08,104.60
285.32,20.91,171.22,22.96,87.18,127.77,64.80, ,137.71,275.15,257.76,224.66,169.71,111.33, ,284.55,256.56,22.10,142.29,236.09,44.89,51.73, ,295.98,177.67, ,91.72,272.49, ,147.24,92.99,21.89,84.75,119.35,63.05,163.74, ,135.17,34.20,184.04,222.37,220.67,222.90, ,19.04,57.11,213.84,225.61,156.88,59.79,206.14, ,208.92,100.91,92.59,206.30,206.76, ,116.77, ,241.82,131.17,18.16,242.81,210.99,102.13,223.00,288.15,247.00,257.00,19.56,67.33,252.80,41.11,128.08,86.77,40.89,167.39, ,288.08,206.67,165.64,222.72,242.34,76.78,70.06,60.78,228.17,129.32,59.14,236.89,119.28,123.09,14.28,32.28,225.85, ,72.74,189.48,6.88,243.77,267.14,9.13,23.41
 ,50.31,17.67,22.35, ,120.59,162.41,264.25,285.73,244.12,132.94,183.25,230.90,181.75,185.59,4.26,77.73,217.33,272.61,211.25,276.32,257.84,101.69,146.24,203.85,246.65,277.40,63.59, , ,229.28,90.60, ,106.13,160.86,264.42,26.64,238.09,264.56,258.05,290.09,203.71,185.81, ,78.17,111.97, ,155.57,287.68,260.70,10.59,82.57,290.13,129.04,250.21,76.45,182.74,218.49,177.69,218.77,74.99, ,218.62,115.12,256.95,227.50,56.70,5.63,172.12,202.95,22.80,206.36, ,10.10,156.90,56.37,5.38, ,108.45, ,170.27,168.69,22.68,102.32,103.66,95.20,12.51,206.77, ,138.41,202.20,46.88,12.97,200.54,226.82,39.86,64.25,115.57,70.42,6.02,94.83,69.68,257.26,248.45
