Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48
140.35, ,281.92,73.94,254.02,183.99,112.97,177.84,274.86,253.47,26.26,85.01,252.11,105.86,70.05,189.60,160.86,281.23,16.39,33.42,60.11,241.80,249.26,229.75,25.42, ,51.68,21.08,216.51,198.60,27.77,178.86,79.97,120.56,96.68,256.16,235.84,8.89,122.83,38.67,153.94,283.01,186.29,298.37,261.81,92.05,116.08,128.90
51.21,118.79,125.19,214.98,248.52,169.95,52.40,118.29,130.51, , ,105.39,119.59,7.32,56.77,182.56,19.44,135.12,81.66,213.18,21.34,220.52,233.05,99.91,179.26,152.65,247.21,101.57,25.24,278.44, ,161.00,251.73,102.81,176.43,3.14,84.46,93.60,97.88, ,149.22,6.07,236.99,259.91, ,285.15,298.52,79.73
34.85,254.28, ,130.71,124.55,285.24, ,260.99,163.90,236.50,42.72,46.65,198.28,16.08,232.66,250.60,174.11,43.85,123.10,259.10,289.81,9.12, ,270.11,224.18,2.98, ,241.35,45.47,165.70,23.07,76.14,110.75,259.11,78.64,19.86,106.09,0.64,288.88, ,55.35,92.08,18.94, ,99.43,139.31,248.57,63.50
136.04,274.96,28.85,177.37,91.34,58.38,98.67,152.90,102.61,276.07, ,117.62, ,4.65,221.49,162.31,277.94,159.24,93.51,6.50,236.80,254.34,189.82,42.44,237.00,180.72,6.00,30.70, ,35.34,215.51, ,200.50,27.22,219.40,247.83,91.61,23.75,179.82, ,222.26,35.97,137.02,73.30,279.74,168.68, ,84.19
135.34,270.15,44.42,283.30,115.46,176.89, ,56.70,219.83,9.08,46.27, ,119.57,184.58,189.45,165.97,203.31,258.32,163.88,63.01,294.99,222.09,17.68,228.59,262.79,79.55,253.81,123.44,246.42,132.88, ,298.84,110.99,67.82,164.03,47.46,65.56,233.30,243.62,166.03, ,73.58,157.65,19.29,100.78,289.10, ,196.78
211.10,232.65,292.21,49.49, , ,265.61,52.49,17.47,223.31,292.10,114.18,36.25, ,1.97,53.92,281.15,14.66,219.07,281.13,43.07,123.65,286.41,210.61,182.32,118.95,121.24,253.02,172.15,261.00,132.65,277.68,1.34,102.71,285.92,236.17, ,59.82,91.07,97.72,107.00, ,245.84,241.56,188.83,247.15,287.83,164.76
193.59,257.84,86.51,80.15,272.74,82.51,275.87,257.58,114.18,68.24,232.54,258.88,123.51,271.20,285.83,76.85,2.06,175.73,278.44,111.26,140.69,111.03,200.95,79.14,253.05,75.16,157.17,6.96,240.07, ,225.89,168.87,116.18,281.04,182.00,16.02,77.62,244.22,110.74,273.32, ,120.69,151.47,235.07,258.55,136.58,101.03,219.45
66.88,187.38,5.01,287.66,201.93,82.42,8.18,69.42,61.13,35.08,167.98,71.02,145.28,177.09, ,96.54,225.19,40.03,224.56,184.49,66.27, ,162.38,240.43,224.17,121.92,214.17,229.40,116.42,192.79,20.99,90.04,276.29,213.68,234.15,57.60,144.30,142.08,229.65,238.49,84.08, ,298.25,42.47,166.72,176.23,138.15,250.27
203.61,225.47,194.00,134.32,147.80,32.99,203.51,92.97,199.58, ,197.82,212.86,70.39, ,230.61,284.81,179.96, ,105.43,34.74,99.46,256.73,258.63,276.82,204.18,273.71,204.54,261.23, ,31.62, ,262.23,95.08,195.54,283.84, ,18.58,48.09,66.64, ,177.85,277.00,132.37,139.59,122.24,154.30,132.43,285.31
17.30, ,212.84, ,213.81,240.18,60.59,90.35,87.28,280.22,50.24,14.99,149.49,290.64,12.26,5.51,217.72,77.95,235.64,77.08,154.33,173.17,201.68,96.91,231.72,53.24,189.72,171.79,205.45,43.00,285.49,215.28,71.32,58.69,135.06,156.42,153.04,204.32,293.10,43.68,78.37,206.79,165.14,7.29, ,50.29,226.49,203.58
170.12, ,177.09,24.17, ,177.22,225.60,56.19, ,281.02,72.54,273.29,266.38,8.27,30.87,133.87,200.14,299.80,151.97,128.82,210.39, ,273.48,285.30, ,260.93,7.73,198.51,271.14,261.59,72.27,275.97,122.13,169.72,273.06,298.81,197.84,251.98,182.69,236.51,30.21,223.06,230.90, ,202.04,280.55,58.73,157.43
95.13,134.59,6.60,215.87,54.13,60.46,7.77,241.83,118.34,143.19,70.16,175.23,251.21,153.66, , ,274.81,44.62,140.98,265.68,159.70,181.93,25.14,8.30,109.82,106.24,282.93,217.76,148.61,13.94,178.90,13.36,66.64,263.10,109.20, ,268.91,146.41,273.74,197.37,145.93,46.94, ,223.34,165.11,185.67, ,64.57
