Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129
 ,181.38,254.77,260.52,58.77,112.74,143.03,273.21,34.13,87.91,243.50,206.18,290.28,89.67,107.00,273.13,22.81,191.46,264.68,201.25,258.91, ,101.94,29.16,58.23,178.81,292.81,5.49,273.71,97.93, , ,1.69,297.99,284.60,120.89,176.82,95.49, ,197.42,229.45,273.15,167.14,271.57,77.94,124.27,77.76,66.39,154.53,50.94, ,26.51,280.71,275.95,94.15,273.62,105.69, ,84.45,54.66,279.65,35.86,1.26,256.75,166.56,227.18,122.01,244.01,52.02,229.59,241.50,101.84,211.52,232.77,192.88,51.99,120.03,276.46,201.47, ,68.03,116.11,166.50, ,120.13,76.89,67.66,155.54,268.95,233.29,63.03,189.14, ,9.16,275.16,104.33, ,172.36,135.51,119.36,87.43, ,164.33,30.03,144.75,151.66,132.81,274.83,242.52,257.68, ,232.83,97.05,101.53,94.06,127.30,259.96,152.90,79.06,252.35,286.86,113.44,284.68,173.50,109.33,201.33,256.06,143.15,275.37
22.52,181.71,282.84,64.55,64.00,277.85,105.38,168.23,163.37,85.64,96.57,0.22,255.98,132.07,9.40,43.81,176.86,181.74,67.19,295.44,89.90,147.54,238.00,114.10,168.69,138.25,94.71,263.16, ,95.23,104.15,193.62,79.53,17.81,186.32,234.67,54.00,165.05,145.97,63.39,49.51,85.60, ,224.07,108.52,73.16,122.98,151.96,55.36,276.87,157.42,229.25,294.97,39.98,283.18,7.64,270.31,16.13,28.60,263.00,259.02,95.46,11.99,41.06,218.51,61.93, ,291.18,253.87,290.84,111.57,205.77,181.95,58.23, ,298.42,42.26,166.19,39.45,85.13,245.52, ,7.45,57.32,30.45,127.02,209.31, , ,280.70,291.62,281.91,37.35,239.02,278.12,34.24, ,114.74,165.52, ,245.10,107.90,281.69,296.84,173.52,6.09,44.66,193.14,194.47,138.50,225.28,210.24,272.92,74.27,237.63,184.00,257.93,158.29,226.82,130.62,84.89,254.55,134.41,156.12,78.17,162.38,111.24,262.98,144.74
158.89,24.68,265.11,34.79,222.24,278.52,61.94,189.56,192.96,164.17,52.87,43.69,245.80,287.87,239.09,246.02,214.98,140.87,253.31, , ,137.26,228.41,45.40,215.68,141.95,287.44,22.20, ,267.99,97.94,125.16,122.79,145.52,64.00,46.80,29.09,76.91,150.76,56.48,191.79,110.68, ,5.49,13.43,261.83,213.50, ,144.04,247.78,54.87,15.17,251.43,24.02,55.34,4.45,143.50,106.67,167.88, ,161.71, ,123.54,288.73,26.53,223.52,122.34, ,137.51,237.52,104.07,237.10, ,48.92,166.56,76.53,244.55, ,46.94,19.68,100.17,75.34,205.32,55.29,35.74,263.76,74.56, ,11.66,209.45,169.01,216.18,110.44,281.74,207.67,26.26,193.35,31.82,213.39,181.58,117.22,60.85,148.94, ,160.61,239.07,44.35,137.37,125.51,271.62,205.77,158.35,258.15,194.07,79.80,266.03,92.76,237.75,189.35,212.86,241.78,271.15,167.00,276.01,106.62,124.61,12.44,174.63,149.38
55.03,44.24,106.08,61.47,20.25,110.27, , ,85.04,38.17,80.44,244.55,261.82,199.44,52.13, ,201.50,299.88,187.02,236.77,82.41,44.27, ,277.38,142.92,5.93,14.45,195.28,273.43,28.17,131.36,246.94,281.81,76.08,276.73, ,0.76,29.86,212.66, ,246.67,84.82,144.73,38.97,58.28, ,86.45,28.47,132.22,148.56,180.76,198.67,10.31,157.22,244.45,160.89,16.56,51.68, ,150.95,9.29,20.53, ,205.80,162.44,39.55,259.95,272.05,198.10,58.04,22.53,125.20,269.35,7.96,110.91,171.98,286.52,139.57,76.90,127.79,83.38,250.35,87.65,201.95,204.76,41.07,262.49,110.71,8.03,252.88,95.90,237.98,206.08, ,282.99,103.14,206.31,172.68,58.13,151.60,299.84,84.95,74.09,37.83,259.24,258.82,252.40,16.17,289.76,10.17,216.64,195.08, ,67.76,141.91, ,185.79,35.78,89.80,221.95,115.80,284.13,259.38,158.30,271.35, ,281.52, ,94.82
108.85,83.65,20.50,105.62, ,141.40, ,251.26,26.58, ,10.71,239.54,299.99,218.59, ,200.10, ,294.92,79.10,68.40,194.02,66.16,124.04,277.33, ,76.29,225.88,60.29,295.99,67.55,226.11,195.42,184.46, ,169.21,294.65, ,188.67,271.47,76.53,266.30,37.83,149.10,99.05,31.27,216.91,6.13,14.42,269.24,67.22, ,12.00,5.71,273.69,188.78,34.74,228.97, ,271.57, ,70.63,100.61,109.66,171.80,213.85,221.92, ,12.29,152.57,186.53,71.01,258.66,179.48,262.65, ,234.22, ,4.85,2.05,299.52,42.32,115.34,174.13,256.24,108.90, ,295.43,54.74,137.36,19.65,51.06,295.92,30.49,290.13,199.41, ,100.89,172.07,18.64, ,274.88,253.19,216.35, ,271.09,99.76,108.44,110.57,259.51,172.31,85.98,56.27,12.51,149.60,73.38,230.78,143.12, ,226.82, ,189.22,208.29,110.34,252.58,158.55,16.76,68.95,123.50,49.36
282.37,20.60,67.20,273.43,114.76,137.14,263.80, ,172.08,55.68,267.93,47.35,293.34,248.96,201.71,145.44,56.55, , ,111.59,85.73,124.46,159.05,193.83,264.31,200.77,254.72,296.57,48.72,80.28,85.98,71.86,19.72,275.81,240.71, ,26.44,212.20, ,231.16,153.78,216.22,215.45,223.26,173.01,201.92,269.66,235.28,219.31,169.93,33.04,282.52,137.08,32.97,60.18,243.87,159.60,268.51,31.02,287.06,163.74,157.32,176.88,174.93,47.59,291.31,155.50,201.40,65.65,86.15, ,30.01,58.10,8.29,221.12,120.21,63.79,282.46,186.08,72.13,122.65,273.58,272.49,104.67,13.06,51.23, ,81.24,295.64,186.96,192.46,249.00,150.81,0.06,144.28,120.13, ,237.12,101.04,47.54, , ,244.76,199.49,7.16,177.94,265.13,170.96,255.74,202.96,188.63,58.21,71.10,161.51,284.89, ,32.42,92.53, ,18.45,295.32,70.67,4.11,180.00,87.94,63.64,49.67,241.86,216.01
292.64,21.19,40.07,9.95,31.55,21.36,95.48,75.61,189.94,201.95,254.79,205.68,280.79, ,222.66,186.70,55.87, ,33.39,195.83, ,227.38,233.99,241.79,52.98,140.61, ,210.55,299.79,105.93,71.59,203.24,263.32,190.69,95.68,231.84,267.42,218.89,78.45,55.52,249.25,169.73,173.36,169.44,196.52, , ,51.99,102.92,195.85,242.85, ,174.69, ,19.15,298.84,98.19,126.72,217.82,129.38,76.73,264.34,274.20,241.35,175.06,41.50,37.88,62.43, ,45.47,178.19,139.51,45.58,102.52,111.69,222.39, ,221.22,148.95,285.29,221.60,134.57,231.26,247.45,128.01,39.15,284.67,108.18, ,2.05,125.13, ,47.52,37.65, ,186.60,169.10,85.77,111.48,260.71,296.31,111.94,293.56,87.46,188.80,12.22,110.90,4.58,184.87,10.50,205.00,17.78, ,103.55,285.49,64.27, ,18.67,251.52,161.97,292.33,86.91,241.62,141.90,170.65, ,181.15,172.38,198.18
252.26,50.04,154.14,207.16, , ,254.39,150.49,137.54,80.29,142.88,283.99,148.75,56.46,191.15,108.15,175.32, ,225.35,245.20, ,248.07, ,202.46, ,195.84,245.59,297.47,254.22,177.54,292.22,132.87,162.84,272.70,1.43,263.51,8.96,204.91,175.81,159.48,143.07,49.04,31.44,177.12,27.97,88.63,288.66,203.57,162.51,189.66, ,153.16,248.99,68.43,32.14,65.50,10.25,274.84,152.26,276.02,49.33,226.55,19.35,273.08,10.55,60.51,89.39, ,38.38,106.45,102.15,9.89,283.87,2.78,282.97,58.80,73.46,47.44,108.84,116.06,206.03,40.21,54.80,118.54, ,224.99,126.03,47.46,182.49, ,265.27,180.89,282.04,113.56,97.33,224.96,202.10,178.81,211.52,196.19,26.79,255.05,46.12,111.82,36.17,56.85,151.14,25.51,192.10,162.66,61.48,202.83,218.61,205.90,15.25,160.19,22.18,106.39,268.92,268.38,208.20,6.53,262.98,192.51,171.12,144.51,142.79, ,61.41
102.10,144.22,51.73,226.37,292.64,135.90,263.04,119.05,147.52,251.25,70.90,50.68,250.84,268.87,179.49,127.15,221.81,185.77,157.62,140.52, ,276.42,69.84,180.17,264.92,9.37,129.46,195.16, ,178.45, ,57.94,191.88,176.48,225.30,20.87,290.54,144.24,232.25,84.36,272.19,170.97,193.76,97.27,255.95,267.38,228.54,135.02,64.85,283.66,161.52,27.58,175.67,119.01,85.89,220.33,252.65,39.65,91.72,235.34,0.73,228.02,228.05, ,292.90,33.35, ,37.89,88.11,182.43,21.47,110.49,26.41,33.09,209.56,202.98,172.47,47.63,132.99,163.53,268.57,216.03,174.11,262.23, ,144.66,188.93, ,130.73,42.97,205.47,288.62,97.43,12.16,261.58,120.73,27.83,63.16,40.91,197.77,199.50,147.80,254.17, ,84.90,91.64,5.66,237.33,141.60,126.28, ,271.43,185.10,196.69,243.11,185.55,240.74,206.13,153.88,49.34,245.19,294.18,155.19,131.24,179.94,95.58,289.65,273.98,66.27
123.03,108.27,150.27,93.61, ,247.49,186.90, ,36.43,55.79,182.56,160.93,116.68,229.09,23.52,281.09,73.74,99.17,112.69,231.03,5.83,153.79,255.49,84.41,148.04,183.54, ,44.47,143.90,22.19, , ,231.33,299.00, ,181.02,162.89, ,168.72,208.22,136.14,175.65,60.08,11.60,43.07,183.77,57.06,137.22,131.21,195.84,103.99,11.23,272.19,6.55,3.92,232.15,126.81,268.11,123.66,277.56,35.79,53.71,67.28,174.40,259.48,28.70,179.54,15.59,163.20,292.63,236.91,7.17,32.59,250.61,255.00,22.99,89.50,83.64,267.63,55.27,28.28,290.57,123.89,59.54,28.30,154.21,276.96,28.93,136.66, ,91.66,188.79,297.22,166.09,233.12,209.28,152.41,150.80,117.14,119.77,185.26,258.44,148.91,179.40,256.48,24.27,66.67,130.59,178.55,217.90,120.80,271.91,120.43,33.44,279.67, ,164.93,0.24,174.06,194.81,76.53,56.79,120.43,255.26,148.41,102.23,72.73,231.99,49.84
