Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24
254.48,188.91,53.58,12.09,280.05,200.45,129.09,184.31,176.17,113.40,173.92,200.33, ,214.56,155.78,206.87,266.93,94.76, ,213.78,11.00,99.23,148.94,272.69
146.41,22.72,185.76,238.63,121.22,0.65,155.57,224.67,280.03,156.19,67.35,254.00,263.80,289.79,281.55,145.99,111.35,87.77,65.35,83.20, ,83.84,181.76,129.03
76.97,99.38,165.60,141.94,133.13,233.74,176.73,91.87,7.59,92.47,25.93,87.89,145.06,116.85,268.68,270.01, ,69.39,209.74,75.54, ,270.71,17.74,283.67
152.13,70.18,295.96,63.47,8.60,255.59,235.36, ,205.37, , ,203.51,213.49,178.92,249.75,3.09,250.03,249.33,182.88,237.24, ,21.09,165.93,113.05
200.95,6.65,299.88,74.37, ,53.41,180.26,170.38,100.36,296.04,61.69,243.62,157.92,20.02,66.95,258.57,197.65,174.88,142.85,142.88,51.20,71.98,199.45,114.80
62.76,49.50,289.77,123.38,194.14,293.20,140.10,129.31,94.74,106.25,160.49,105.55,145.42, ,44.87,257.94, ,68.79,7.10,87.31,206.24,273.88,242.53,151.22
151.72,76.03,183.55,207.10,148.21,166.63,97.38,249.29,169.18,236.24, ,23.55,282.88,280.65,247.52,33.54,246.34,95.39,163.05,111.41,180.12,18.79,261.30,120.76
 ,138.83,50.79, , ,198.35,38.20,15.66,114.22,79.16,130.41,256.77,94.88,42.44,127.71,220.09,34.66,7.53,63.05,88.95,115.87,194.34, ,210.01
182.19,66.06,75.43,232.67,144.42,280.19,169.31,23.31,228.74,9.87,109.81,191.19,184.06,130.35,246.46,25.03,285.38, ,60.81,37.23,285.04,278.75, ,172.84
250.48,158.31,203.81,28.55,204.12,273.49,250.74,74.82, ,60.20,153.14,207.48,119.58,269.19,280.76,271.18,167.82,250.63,276.57,156.72,45.06,20.07,232.16,13.60
 ,166.75,270.17,232.97, ,31.30,243.64,235.77,75.24,239.64,105.14,123.38,165.70,85.34,133.46,181.61,9.87,13.80,214.48,56.22,97.23, ,40.87,156.38
165.23,91.97,147.93,40.42,54.04,161.28,121.42,188.65,203.19, ,274.10,155.63,134.35,56.51,101.00,238.70,208.89,41.62,109.74,265.37,269.72,21.85,177.91, 
95.25,82.26,59.16,221.92,228.71,145.62,274.19,29.37,96.47,250.89,98.78,107.64,73.71,132.70,248.92,249.43,178.62,5.35,139.55,124.82,292.28,206.94,223.56,191.62
189.73,58.85, ,124.03,189.38,176.56, , ,229.53,266.18,234.19,223.77, ,252.52, ,186.44,154.88,125.31,181.76, ,212.20,258.78,62.13,186.67
138.73,259.37,4.32,54.23,104.24,200.49,45.96,288.60,135.14,242.59,75.62,114.47, ,194.65,73.87,265.44,32.21,167.08,85.42,207.08,235.99,98.96,230.15, 
92.31,193.14,184.00,111.27, ,63.67,53.30,131.46,234.96,165.35,2.48,31.34,167.23, , ,192.31,213.32,181.07,178.67,114.36,27.98,139.38,273.44,95.94
68.41, ,40.26, ,239.45,52.77,126.60,80.37,177.82,217.92,221.58,286.18,277.96,137.74,154.90,214.36,120.67,43.63,79.50,30.75,191.54,250.07,133.37,256.29
160.69,11.90,277.74,279.00,20.95,16.86,119.07, , ,138.77,172.30,27.21,65.68,110.97,93.45,252.71,256.75,239.69,25.26,289.59,58.68,296.25,141.88,12.04
107.47,33.16,223.68,43.54,98.88,113.71,177.76,170.73,199.97,219.07,143.79, ,149.69,265.76,221.51,27.52,144.66,87.73,187.28,79.35,255.17,196.35,253.64,290.95
211.25,124.48,27.61,89.27, ,250.35,13.59,115.71,246.77,251.95,218.61,176.86, ,231.31,246.49,40.01,84.81,298.68,233.28,63.68,166.69,271.26,259.31,184.54
180.15,114.72,129.20, ,54.31,110.55,56.24,258.12,105.09,219.82,10.23,109.04, ,12.81,87.17,32.67,11.87,268.64,181.01,197.60,89.87,48.71,248.71,217.32
 ,3.42,297.12,26.42,164.21,266.83,212.14,73.51, ,88.43,88.71,121.46,86.79,106.24,230.75,129.20,12.13,26.31,239.06,24.57,168.67,152.71,259.60,116.57
62.70,230.68,11.88,15.17,276.71,249.86,25.32,22.28,39.66, ,78.03,70.34,5.87,5.89,255.75,102.47,42.19,156.11,224.56,143.14,143.47, , ,139.52
36.96,130.86,154.41,299.44,131.39,146.30,73.09,33.50,162.76, ,287.74,200.09, ,126.13,152.31,98.20,260.95,63.76,191.55,183.10,270.85,298.34,114.95,185.06
131.80,104.29,250.64,77.33,241.10,256.48,148.50,268.98, ,214.79, ,171.24,290.66,69.96,294.08,251.03,237.17,130.72,38.40,192.92,75.67,15.90,85.23,295.61
152.96,120.83,74.67, ,165.53,40.88, ,287.00,22.98,146.45,179.48,246.02,204.24,5.26,30.33,259.34, ,238.07,187.36,61.00,0.73,205.93,251.06,261.10
179.92,151.23,248.72,154.09, ,199.72,40.46,8.78,138.93,284.46,52.20,280.30,131.39,57.49,3.66,87.36,205.02,295.15, ,217.10,43.43, ,216.38, 
27.23,13.51,281.47,98.33,180.52,293.61,105.37, ,258.74,123.17,249.82,76.15,167.68,246.32,288.85,288.63,112.41,72.55,233.72,286.42,264.74,94.75,26.73,91.08
88.58,261.49,47.54,71.07,197.81, ,37.39,128.05,230.45,192.20,282.55,179.52,225.44,38.79,233.93,282.10,268.83,143.70, ,58.02,19.90,226.32, ,298.96
262.25,63.04,107.28, ,204.13,299.33,0.71,255.89,116.35, , ,190.18,206.56, ,73.55,82.94,213.17,110.29,152.99,163.24,267.23,210.52,82.33,105.25
59.49,216.33,175.11,20.37,54.54,96.69,240.77,294.60,219.24,227.84,147.92,262.13,182.04,170.83,179.36,38.69, , ,6.06,185.95,50.71,101.94,249.86,102.25
146.02, ,266.71,248.21,177.37,26.60,57.83,206.99,196.42,270.21,249.18,162.80,135.67,77.70,192.94,137.43,127.49,16.76, ,164.73,172.49, , ,115.00
100.34,146.07,136.59,25.65,285.16,181.59,223.38,198.61,181.47,14.28,12.58,243.65,146.20,178.58,251.44,94.41,190.90,65.65,88.79,200.26,50.93,55.95,224.92, 
298.80,215.86,27.11,131.70,249.05,51.55,62.04,239.45,212.01, ,136.80,213.98,156.11,243.50,17.37,78.18,210.13,72.83,73.75,271.65,70.67,142.31,44.80,236.60
210.38,47.35,105.35,291.88,16.01,123.78,79.10, ,7.28,150.49,178.05,32.04,188.16,252.31, ,170.05,291.54,10.87,48.56,142.49, ,206.38,111.19,137.06
241.96,204.20,69.72,80.79,132.12,226.21,81.23,61.83,297.56,152.80,272.48,60.05,165.57,101.99,195.13,5.37,95.38, ,252.12,273.23,171.51,157.17, ,216.72
286.52, ,115.26,260.83,162.10,156.46,270.67,66.49,264.67, ,136.82,231.76, ,291.80,178.11, ,258.14,2.10,160.52,5.45,140.56,94.35,202.08,282.96
40.42,46.79,257.88,160.87,57.13,219.38, ,157.82, ,213.52,249.75,115.99,62.17,297.39,268.15,215.32,144.77, ,53.27,290.92, ,120.46,141.26,116.45
216.89,242.01,273.59,282.48,177.92,282.54,194.40,87.17,15.79,59.09,58.12,220.63,125.09, ,167.82, ,108.94,103.71,21.03,96.05,149.98,2.17,113.51,216.23
104.20,277.45,200.09,201.28,48.38, , ,1.12,134.59,66.59,139.20,208.96,28.90,102.53,193.72,289.53,181.55,206.74, ,124.24,9.51,166.56,214.90,161.42
