Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31
 , ,68.42,10.30,32.08, ,70.86,75.74,85.43, , ,48.25,38.40,51.74,98.83,42.06,85.74,34.45,1.95,29.32,27.86,70.63,47.92,47.48,35.91,9.26,86.85,26.46,66.01,59.99,13.33
6.62,98.58,59.97,58.63,39.08,99.22,82.35,51.19, , ,62.73,29.94,37.58,74.84,34.60,68.42,36.87,47.00,16.12,35.98,96.26,61.24,84.77,42.62,73.41,23.06,93.50, ,31.08, ,34.66
95.40,91.94,78.13,67.72,45.91,68.99,78.77, ,63.54, ,99.50,93.70, ,87.21,69.10,84.98,52.95,25.07,20.93, ,59.87,28.39,28.78,47.94,27.61,71.09,65.86,48.64, ,32.00,68.73
65.06,30.77,82.70,74.03,13.19,63.50,36.58,67.04,17.21,61.57,45.68,68.66,11.63,9.43, ,78.16, ,31.87,58.07,31.36,18.20,40.28,82.81,50.97,10.82,24.45,70.99,35.39,86.40,67.89,90.66
73.99,82.95,10.91,20.43,73.12,86.82,20.33, ,71.30,1.07,43.93,10.48,8.85, ,55.87,96.30,60.91, ,43.86,92.85,96.58,57.99,21.94,55.54,61.64,11.06,66.33,36.18,69.06,26.93,0.90
65.82,5.86,29.37,12.28,34.59,57.33,44.07,63.97,70.85,26.45,88.33,36.91,69.58,69.53,75.49, ,41.32,47.32,47.24,89.71,31.63,26.79,42.64, ,42.26,13.80, ,2.13,95.74, ,1.71
 ,77.20,69.06,84.47,95.95,13.42,1.16,84.23,69.25,34.01,69.13, , ,69.75,99.34,99.99,67.19,58.02,62.75,62.91,43.46,78.93,44.51,1.92,8.04,55.62,28.61,52.97,62.60,73.20,88.21
92.36,69.34, ,32.09,62.70,20.91,58.24,66.07, ,94.82,50.88, , , ,41.39,37.78,52.53,52.32,92.07,95.05,7.52,19.89, ,40.80,64.70,57.86,98.30,49.40,3.10,28.68,79.20
16.07,60.54,95.63,7.85,81.31,10.88,70.19,14.91,72.89, ,30.74,27.88,32.03,86.52,5.74,49.04,80.87,74.29,87.98,4.51,41.86,2.21,25.00,65.21,56.20,65.56,27.45,70.36,70.51,29.32,21.69
90.00,70.71,99.22,24.83,50.02,58.54,17.00,35.54,19.52,27.03, ,54.48,49.05,49.03,43.26,27.62,15.27, ,79.56,51.02,33.14,71.09,53.27,75.21,70.30,80.56,79.81,51.81,8.30,7.36,9.02
41.85, ,72.04,27.47,73.99,34.59,2.95,28.30,1.47,61.34,97.68,76.00, ,34.33,76.23,79.46, ,21.31,22.25,38.87,94.80,81.58, , ,55.65,75.57, ,36.91,30.99,29.31, 
63.65,82.30,32.60,79.68, , ,47.26,51.65,35.17,71.44,17.77,39.26,84.21,30.26,3.57,66.83,31.91,44.64,35.82,81.75,31.15,17.44,87.51,20.48,2.32,45.75,19.01,13.44, ,43.70,61.15
7.56,1.45,97.28,73.87,97.40,5.68,6.81,50.10, ,72.78,96.49,98.32, ,11.76, ,55.46,22.27,67.02,26.45,72.20,78.93,39.49,52.41,75.12,52.19,41.07,29.25,43.51,53.07,39.33,8.16
31.24,19.78,5.36, ,77.56,82.25,27.82,76.69,25.67,82.10,54.26,5.94,50.58,44.89,72.84, ,67.62,36.22,46.17,33.63,19.14,31.74,49.77, ,79.68,33.31,84.66,68.85,79.40,24.12,17.05
40.97,64.58,59.05,35.06,85.61,19.76,16.28, , ,83.30,6.54,98.79,4.19,81.80,87.06,7.88, ,48.85,67.45,85.99,72.79,5.05,6.39,73.62,69.96,52.88,78.73,5.76,73.67,51.73, 
57.65,64.56,13.98,27.98,77.50,24.51,52.47,70.51,55.46,35.05, ,42.02,62.44,76.31,21.18,93.37,85.70,46.19,72.50,74.21, ,21.63,79.30, ,49.81,86.02,74.25,82.84,20.06,64.05,81.40
 ,74.78,10.12,13.04, ,50.73,29.99,52.20,45.22,9.28,65.50, ,39.74,67.75,29.04,20.07,94.44,49.83,72.15,2.50,16.30,35.92,38.28,99.06,47.05,26.27,90.86,26.99,30.54,86.61,7.78
84.99,11.97,71.44,94.78,69.31,82.22,57.94,7.07,37.48,82.35,96.21,85.31,3.81,17.94,75.44,97.10,27.94, ,99.38, ,73.31,1.10,67.73,76.02,16.04,28.93,77.25,71.60,48.33,78.42,65.83
91.98,14.29,71.99,19.30,99.57,27.67,48.14,59.72,70.20,37.67,74.15,24.26, ,72.58,55.90,86.99,30.83,24.04,21.91,70.06,33.15,14.76,10.81,93.54,80.37,72.64,43.44,3.75,65.04,10.35,15.19
30.69,47.26,96.78,88.32,56.26,29.52,55.30,81.18,75.31,18.14, ,61.58,44.80,0.54,61.13,36.33,52.17,5.73,79.13,95.23,31.15,75.49,72.01,83.35,91.12,38.98,85.95,74.58,51.34,51.89,96.60
70.94,70.56,55.69,51.57,95.66, ,71.15,39.63,68.25,78.09, ,17.16,0.02,29.86,66.86,63.83,69.96,12.23,11.43, ,63.00,85.89,86.46,30.62,44.01,86.57, ,86.03, ,86.05,40.98
97.85,1.24,92.69,73.54,47.44, ,10.44,9.33,46.76,86.78,10.37,59.42,97.66,71.73,31.49,49.77,0.57, , ,65.19,35.42,53.59,21.85,37.18,20.19, ,6.97,7.93, , , 
61.64,99.07,14.85,62.04,21.34,77.31,38.33,84.93,89.61,55.95,37.97,10.72, ,67.49,75.73,83.84,45.33,65.08,10.81,0.49,35.25,3.54,71.00,6.71,5.88,18.87,51.46,43.38,78.12,30.42,94.57
19.86,10.22,78.35,98.85,47.26,11.52,55.88, ,62.59,72.94,64.31,27.54,48.99,37.44,44.93,54.43,11.14,69.41,72.67,94.93,37.69,63.03, ,45.55,47.51,28.50,55.31,51.13,83.10,52.07,10.59
97.40,54.50,39.18,64.40,45.50,67.31,78.94,59.45,11.36,15.49,30.55,73.97,85.43, ,37.50, ,80.86,27.70,89.15,85.92,96.49,69.46,5.96,19.61,72.89,72.37,70.83,59.19, ,44.62,31.95
1.89,62.98,17.57,88.47,84.25,80.94,11.47,21.64, ,87.05, ,59.42,66.15,80.34,46.95,12.79,7.08,68.77,14.00,68.39,70.78,44.48,68.32,96.47,15.82,77.01,56.14,69.73,98.77,33.23,75.03
24.62,60.70,52.17,79.72,77.16,73.20,2.22,77.59,31.47,59.51,41.99,44.91,37.94,61.79,89.40, ,14.02,77.89,71.11,87.13,29.75,64.87,39.85,28.97,37.86,98.06,64.36,91.25,51.66,37.87,24.33
40.01,93.64, ,64.75,32.89,0.23,21.29,10.37,80.59, ,2.96,11.87,60.69, , , ,81.28,62.38,75.18,49.62,46.49,63.56,70.79,49.90,15.40,19.74,9.18,98.95,97.14,16.84,9.68
38.30,64.35,46.94,1.41,32.60,10.93,27.28,59.94,73.79,37.44,71.33,78.81,2.78,36.55,76.20,48.80,37.20,15.18,52.67,80.70,64.50,81.42,73.35,68.96,16.70,40.67,53.03,58.32, ,94.87,71.62
24.23,78.30,1.31,90.04,43.14,82.40,56.72,8.11,43.15,14.78,95.91,2.60, ,58.41,56.01,82.43,58.08,75.41,69.86,85.50,80.99,70.17,17.52,23.86,87.51,30.39,75.02, ,90.41,98.09,50.35
83.66, ,52.21, ,22.07, ,9.84,31.75,57.47,24.37, ,11.88,95.26,35.46,88.63,22.81,27.09, ,10.75,8.65, ,94.11, ,65.07,45.96,74.89, ,99.26,10.97, ,6.24
80.67,48.74,57.52,33.63,54.11,51.31,7.34,56.88,99.06,87.25,18.77, ,64.86,33.22,72.54,82.07,59.09,81.39,74.30,99.25, ,43.63,33.73,51.11,43.35,12.55,95.19,92.74,96.18,76.86,26.68
54.09,14.37,40.72,45.17,79.25,28.53,6.45,73.86,52.86,7.73,47.80,96.72,46.56,94.67,64.91,78.70,80.67,89.86,73.07,78.95,85.19,75.20,69.73,49.20,66.26,87.99,59.86,54.59,77.61, ,42.51
8.54,51.27,51.37,74.68,51.61,71.60,2.20,28.82,12.44,17.52,39.40, ,24.11,35.65, ,65.48,6.03,5.74,75.63,29.95,43.52,77.30,40.65,78.35,30.76,20.88,60.17,79.85,84.39,25.04,1.44
30.33,64.55,64.77,93.18,90.48,76.28,51.82,47.29,86.40,20.97,26.33,67.56,70.53,72.20,38.06,86.09,81.12,4.47,90.82,40.60,34.35,49.09,33.82,16.34,74.42,27.51,18.44,6.93,47.03,84.54,52.78
53.48,21.27,79.78, ,20.39,89.95,42.48,71.09,92.46,13.28,18.82,48.21,20.96,60.91,21.72,52.88,99.48,13.63,66.57,13.03,19.11,24.23,79.10,0.44,86.62,1.33,27.74,19.32,86.73,48.80,26.23
0.80,88.47, ,55.03,96.17,59.27, ,20.85,61.53,49.81,35.00,53.59,0.69,11.45,53.15,95.87,61.94,5.10,11.10, ,51.26, , ,83.56,31.38,75.17, ,23.33,62.77,50.42,49.84
50.88,22.12,82.38,43.41, ,54.52,39.90,60.12,16.30,0.97,5.49,0.34,99.47,79.89,38.43,26.23,94.23,22.43,11.60,84.39,40.95,74.78,44.68,68.18,78.58,8.66,45.30,1.19, ,81.08,35.45
47.38,18.66,58.18,88.19, ,87.26,82.93,86.47,96.94,88.59, ,97.25,69.11,60.79,3.28,35.03,66.31,74.49,59.00,44.61, ,88.63,2.96,96.50, ,93.45,87.76,67.90,28.57,91.27,50.89
31.24,33.28,68.32,82.52,40.44,74.52,15.75,40.74,5.48, ,98.93,74.23,42.17,96.47,50.51,30.06,17.07,78.33, ,86.10,11.62,24.25,64.32,95.12,27.31,35.23,99.53,88.02,51.67,63.89,97.78
60.91,66.79,21.16, ,7.26,72.81,2.80,98.12, ,3.18,54.67,83.90,47.91,21.62,19.19,30.43,35.23,59.79,68.23,83.43,88.22,2.23,64.76,20.14,15.24,77.68,61.73,24.11,33.50,9.22, 
