Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110
254.68,165.07,275.07,138.76,59.50,264.39,13.41, ,157.58,112.83,15.68,184.82,77.78,123.37,269.86,108.22, , ,125.69,53.79, , ,123.15,16.10,31.93, , ,23.69,13.76, ,198.58, ,30.90,67.16,211.81,261.38,254.11,269.79,150.73,59.61,56.76,246.47,33.37,278.19,191.16,96.43,190.54,48.90, ,116.06,261.24,183.58,245.55,271.13,121.39,13.05,66.13,41.75,122.13,133.01,245.32,275.62,15.50,75.36,36.30, ,297.54,42.70,128.40,270.02,134.74,94.90,45.52, ,200.34,25.92,184.98,158.31,297.69,147.46,110.73,264.47,181.30,12.55,275.73,150.20,160.64, ,90.65,36.14,75.46,88.33,226.91,267.12,57.26,234.97,251.66,94.78, ,242.11,180.21,259.97,275.41,160.00, ,35.12,273.68,205.97,219.38,121.58
 ,178.85,155.37,279.09,103.94,274.13,134.67,263.88,184.75,215.25, ,126.52,231.22, ,137.18,109.83,283.80,190.46, ,45.82,2.85,275.74,294.05,38.12,285.67,33.14,48.00,292.15,157.76,274.72,60.55,158.04, ,154.38,283.37,266.90,180.99,130.91,280.87,122.55,138.37,162.39,3.31, ,177.83,278.85, ,39.40,4.30,110.21,291.10, ,258.00,217.80,79.66,225.69,124.79, ,80.10,134.06, ,189.55,255.66,113.80,207.80,106.21,213.49,268.92,1.70,255.82,171.73,221.74,267.84, ,38.57,69.69,210.04,62.18,182.96,285.08,138.38,91.09,1.84,85.11, ,12.02,277.18,0.20,281.17, ,133.52,72.06,179.24,130.52,153.39,172.00,298.36,226.83,126.57,145.43,237.58,223.71, ,107.46,79.20,170.56,222.15,96.70,56.41,255.88
232.19,169.83,267.72,297.49,6.77,202.60,163.75, ,66.06,249.62,65.19,139.13,260.40,186.52,72.70,41.65,197.52, ,268.18,120.56,35.90,191.83,45.78,44.21,121.64,137.55, ,175.80,185.23, ,71.75,18.34,263.61,234.60,29.23,253.34,168.44,277.11, ,22.89,271.95,237.49,48.38,97.57,257.04,60.38,54.55, ,91.63,9.88,220.58,229.00,188.89,163.16,157.71,188.89,62.85,211.06,148.10,162.58,195.80,132.65,199.93,19.47,60.96,17.79,68.45,155.46, ,18.62,201.94, ,175.51, ,86.57,260.05,99.96,221.12,164.98,145.28,39.07,40.94,154.63,136.87,177.94,145.64,217.56,6.08,223.09,41.75,115.83,34.99,34.13,161.13,275.70,179.09,143.25,83.18,242.52, ,120.46,244.93,231.82,23.10,215.61,203.37,17.37,260.26, , 
 , ,192.07,17.50,243.96,290.02, ,210.07,0.52,286.05,156.15,40.65,194.17,221.13,259.57,79.70,65.60,287.03,188.14,221.51,31.70,85.00,39.12,14.66,219.41,57.19,279.28,93.33,40.04,292.90,140.76,192.35,68.67,110.37,267.13, ,298.83,136.79,230.06,287.02,51.27,26.89,267.01,220.15,164.77,133.35,75.37,56.73,274.62,92.11,203.24,283.23, ,120.02,245.00,161.45, ,149.18,129.97, ,50.12,231.07,90.01, ,295.96,41.84,88.28,202.02,257.94,193.59,5.26,217.88,229.47,260.28,74.15,194.85,140.38,71.52,241.50,185.21,19.15,208.04,60.99,98.95,295.30,291.82, ,209.69,290.03,217.98,116.41,263.53,148.61,28.39,56.53,158.93,214.51,202.03,146.97,120.89,7.40,157.73,173.99, ,164.01,183.64, ,191.88,182.95,11.25
14.21,106.70,61.77,259.13,43.14,275.90,272.01,277.46,291.25,197.16,15.46,140.55,232.92,144.38,72.92,27.21,223.41,260.27,155.11,248.98,25.50,62.29,208.17,127.25,191.20,156.32,31.24,154.81,29.29, ,102.21,107.25,78.22,149.61,96.27,12.38,94.51, ,92.02,96.57,44.83,243.67,194.43, ,49.25,227.30,19.11,203.25, , , ,68.46,163.79, , ,231.98, ,24.00,11.72,184.76,186.94,193.92,283.92, ,211.23,120.03,194.86,159.58,13.91,221.21, ,278.47,297.49,251.17,112.91,264.75,262.37,83.57,13.55,99.46,278.72,234.50,285.92,79.04,194.81,83.47,72.58,108.54,34.92,91.56,22.59,145.49,208.01,141.26,296.55,36.02,31.77,194.72,151.43,179.95,280.84,118.75,25.36,123.49,287.00,208.10,271.36,294.56, ,135.81
 ,76.53,254.47,107.47,125.99, ,5.94,103.79,123.89,294.71,280.71,38.18,263.10,167.12,42.34,299.34,147.41,254.68,233.02,91.82,188.97,205.17, ,8.97,179.73,158.98,146.89,269.09,177.06, ,193.75,256.25,237.36,171.64,88.02,255.01,186.88,230.55,38.89,101.02,166.14,62.13,114.09,66.14,153.16,66.50,142.22,240.01,126.42,271.62,216.31, ,103.19,24.83,109.51,296.27,177.37,74.80,77.57,40.56,204.05,0.81,265.79,190.97,149.99,17.00,218.93,158.70,14.25,217.37,194.76,136.43,177.13,46.54,262.13,189.01,210.67,117.14,213.38,221.84,10.73,127.80,182.47,251.79,170.03,20.49,82.81,136.91,68.15,214.63,270.55,196.46,293.46,57.68,21.71,270.21,218.35,262.11,84.51,297.54,83.06, ,165.87,156.24,243.10,40.45,10.24,169.84, , 
 ,44.38,228.66, , ,112.60,247.83,113.60,151.64, ,170.97,138.36,188.35,66.89,54.85,72.88,268.59,108.12,254.80, ,269.39, ,81.99,241.23,264.16,130.75,150.02,223.35,28.92,69.85,40.49,172.94, ,141.54,157.49,278.58,205.66,121.61,29.97,140.29,236.33,139.82,176.92,20.50,170.45,235.15,172.69,139.20,109.21,9.84,40.00,137.46,236.39,144.72,231.23,275.43,11.92,264.70,256.78,54.13,117.40,93.49,49.12,276.15,213.42,125.03,274.40,199.08,221.55,177.14,28.82,20.34,267.82,229.57,270.25,51.83,272.98,77.74,78.00,180.43,39.87,244.84,267.95,225.06,187.73,42.28,254.77,257.29,47.66,147.19,170.57,105.56,44.33,165.65,237.19, ,277.06,58.59,19.48,216.39,90.24,251.26,273.37,264.08,61.54,43.15,21.51,185.01,286.50,30.71
5.51,222.59,128.32,273.90,183.69,56.79,208.89,280.72,21.93,78.23,95.73,162.92,63.55,282.30,116.25, ,121.76,81.48,218.12,78.23,246.35,122.72,177.41,201.00,152.69,137.89,241.53,99.08,22.82,41.07,263.27,231.77,143.87,189.36,75.91,127.92,236.10,242.54,81.40,173.18,289.33,170.25,270.35,289.62,116.34,66.05,84.77,164.65,11.06,290.63,21.59,109.23,69.19,71.20,195.31, ,184.64,254.92,225.81,105.11,40.59,285.02,220.57,284.85,293.90,139.84,60.44,190.10,27.58,89.34,137.18,262.85,289.17,137.30,142.03,133.95, ,118.98,298.79,287.68,95.70, , ,86.98,66.67,273.82,194.45, ,228.16, ,217.34,4.83,174.65,266.27,25.47,60.10,187.06,172.26,74.31, , ,106.33,266.40,234.55,232.14,89.01,247.80,79.60,138.67,199.88
11.52,190.19,249.61,119.39,60.01,281.96,54.99, ,21.38,79.90,100.56,271.23,107.97,227.15,116.25,260.49,192.92,111.37, ,188.62,257.31,277.64, ,32.63,13.33,195.97,236.24,253.40,144.08,185.05,121.98,252.62,222.48,268.30,110.08,222.47,61.05,171.66,39.08,27.86,258.29,145.65, ,99.05,64.44, ,135.66,288.34,64.87, ,33.17,43.91,167.15,197.97,109.58,77.34,226.14, ,149.96,166.69,74.46,134.76,255.73,217.29,58.69,154.89,15.34,36.42,266.71,50.22,83.93, ,97.80, ,69.96,187.46,94.92,205.33,196.81,200.09,105.12,96.26,251.30,59.58,263.85,262.06, ,45.99,113.56,137.21,213.75,213.09,256.72,55.71,71.82,86.49,21.89,282.18,296.57,41.48,57.62,246.36,99.03,34.27,136.14,238.21,33.27,200.28,26.30,176.39
 ,262.88,194.65,266.21,4.73,218.05,117.60,235.38,84.84,223.56,63.88,235.64,128.31, ,118.31,270.04,211.34, , ,37.45,161.58,270.48,132.06,39.16,194.89,202.72, ,200.15,247.06,0.27,222.71,193.68,284.35,247.29, ,142.66,111.72,78.62,225.80,41.70,28.56,193.43,59.21,131.43, ,267.21,67.89,260.29,225.87,149.96,71.79,15.81,107.65,15.00, ,225.68,210.82,168.15,185.51,149.70,173.07,284.15, ,174.08,171.68, ,21.65,95.77,288.91,125.23,47.16,254.82, , ,227.08,269.89,42.15,129.53,261.80,34.28,287.76,43.59,137.61, ,233.38,49.72,208.05,12.69,13.51, , ,212.62,149.04,26.73, ,241.95, ,276.23,256.19,145.93,227.46,104.70,293.99,126.37,213.11,125.18,124.60,105.78,279.54,62.43
