Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59
89.91,175.71,119.73,25.62,232.21, ,297.01,205.82,195.28,115.82,295.97,250.86,63.12,275.19,240.16, ,70.40,68.26,185.40,97.58,174.19,49.60,26.80,21.48,22.96,212.74,292.28,289.80,274.78,120.54, ,216.30,114.38, ,60.50,254.83,198.40,187.87,244.68,75.67,11.59,262.47,137.57,135.99,100.09,231.18,199.10,136.92,89.55,264.51,226.28,8.12,48.35,72.67,110.66,259.19,246.96,46.59,176.40
211.89, ,143.07,192.45,34.04,207.79,54.64,199.22,65.95,22.33,96.56,72.60,274.55,191.85,241.44,72.61,188.27,117.38,246.22,149.58,99.95,253.19,115.20,128.56,176.30,143.09,166.25,217.75,110.55,37.01,85.99,176.02,158.72, ,104.94,155.18,103.18,38.39,27.75,86.34,67.10,52.00,103.47,257.71,78.24,281.27,153.31,6.26,249.61,133.16,2.89,139.74,200.89,63.85,68.92,137.54,87.41,175.98,157.23
135.15,201.02,65.71,207.31,181.88,71.64,211.47,3.38,180.61,229.34,132.91,94.65,134.29,159.98,72.94, ,208.08,44.99,18.39,231.81,281.19,162.00,0.20,299.61,117.13,280.76, , ,156.24, ,38.29,123.58,184.43,19.31,12.54,155.50,275.63,93.03,107.86,64.57, ,115.98,292.77,223.11,75.76,36.81,117.65,12.65,88.47,248.19,292.75,81.08,267.63,197.62,134.80,96.56,75.77,40.71, 
263.83,85.05,134.91, ,38.95,89.70,266.98,53.00,29.89,64.32, ,261.94,295.82,126.08,24.60, ,93.14,179.55,132.96,26.16, ,65.10,173.25,60.84,245.52,241.03,84.88,240.62,268.08,295.66,111.45,132.78,113.41,206.72,13.66, ,120.74,95.92,86.25, ,297.39,295.99,13.55,176.97,127.70,190.61,239.21, ,71.99,257.04,235.95,266.34,292.51,278.39,1.67, ,277.10,10.82,0.44
53.96,278.54,22.46, ,261.67, ,33.66,105.71,136.37,252.69,59.92,180.16,41.44,225.21,6.82,291.62,260.40,184.67,227.25,108.08,168.81,80.95,179.71,188.82,254.07,217.85,181.28,162.33,42.80,241.25, ,232.87,283.96,241.55,205.70,30.98,17.49,218.93, ,105.59,206.07,250.28,73.64,221.93,54.27,23.52,14.35,228.40,31.05,12.77,112.55,284.93,178.94,169.46,185.18,207.67, ,157.94, 
289.50,44.33, , ,39.30,114.94,187.41, ,200.18,287.10,84.87,240.57,107.09,265.24,247.13,116.86,271.65,94.58,269.55, ,37.40,26.75,145.35,298.33,114.33,6.99,183.14,116.53,51.72,228.45,103.13,250.72,256.58,2.79,145.48,275.89,18.81,35.22,216.79,184.06, ,191.05,14.95,23.61,187.39,206.60,282.75,271.98,148.11,193.75,293.40,189.32,53.71,211.49,108.75,101.93,76.85,46.94,128.67
69.95,250.16,37.32,168.08,123.86,157.21,229.62,52.52,26.88,10.91,24.10,183.42,259.52,119.02,52.06,77.00, ,27.16, ,260.07,10.37,282.82,101.55,18.19,31.39,260.29,283.45,161.95,110.43,127.13,127.92,177.13,1.20,232.09,141.95,66.38,276.09,19.89,261.63, ,293.02,191.99,66.60,197.27,286.81,60.60,146.66,93.40,240.99,283.67,76.23, ,228.54, , ,229.55,286.52,110.96,53.25
136.28,43.54, ,62.28,132.71,70.14,260.52,160.39,51.86,120.02,165.16,15.28, ,133.22,62.74,169.78,90.46,45.63,75.81,196.28,94.79,276.29,65.73,181.28,39.28,129.93, ,101.87,96.64,46.76,66.10, ,182.09,72.59,215.40,189.80,54.56,216.89,5.48,18.27,292.53,4.66,255.80,224.33,84.35,216.10,293.78,47.63,288.43,103.59, ,293.39, ,277.97, ,283.45,72.32,207.53,174.87
 ,162.58,255.01,182.01,228.03,78.14,51.67,95.89,270.40,148.65,87.72,218.30,110.07,214.08,40.84,155.16,129.63,25.16,264.67,255.75,82.96,168.37,100.46, , ,28.79, ,116.51,275.07,75.22,172.36,149.21,210.66,45.93, ,130.57, ,86.32,235.33,254.13,220.67,59.85,247.18,48.31, ,23.38,238.77,194.32,280.96,204.94,156.56,146.20,26.41,73.45,233.89, ,3.85,284.71,105.87
262.09,295.58,177.56,64.40,211.86,290.27,263.61,179.04,37.46, ,36.02,235.54,133.29,273.76, ,37.46,218.45, ,214.03,85.22,189.58,143.43,84.80,211.87,44.96,13.53,132.18,150.76,19.46,69.57,231.67,30.69,274.58,192.82,155.42,120.18,72.57,293.25,129.53,133.43,213.93,85.62,196.50,113.83,220.43,209.19,239.53,137.24,270.12,102.71,8.10,170.53, ,163.78,16.03,71.47,282.83,276.13,114.93
