Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
288.01,236.19,121.62,239.68,259.59,24.33,53.93,96.78,288.17,100.61,36.36,76.09,179.57,141.61,100.11, ,88.12,117.03,230.31,25.95, ,167.28,141.72,6.21,12.37,80.00, ,116.36,170.51,240.87,205.76, ,99.49,134.75,276.17,138.48,246.96,101.61,263.11,35.44,181.83,263.69,160.80,78.19,228.63, ,175.14,141.26, ,0.39,55.76,277.53,35.66,232.88,38.73,80.60,165.30,122.00,224.26,187.10,204.90,144.78,290.87,209.12, , ,269.15,186.08,290.47, ,223.35,209.91,139.59,284.63,106.08, , ,0.71,293.78,173.51,107.31,270.76,106.85,289.09,66.35,193.56,106.95,47.08,236.24,0.94, ,107.02,14.96,35.20
 ,151.64, ,258.95,222.08,90.44,267.98,168.70,187.07,10.70,203.86, ,90.53,161.08, ,195.57,31.41,137.87,82.40,172.41,38.65,20.23,196.84,122.61,191.97,222.32,13.66,230.23, ,258.72,295.92,10.53,125.64,227.96, ,283.03,65.03,13.63,150.77,73.47,276.01,283.06,168.11,24.51,250.60,57.06,237.13,76.09,276.92, ,23.65,238.22,106.09,256.42,110.67,264.82,142.91,67.10, ,63.82,196.72,6.97,79.98,105.05,271.33,173.45, ,214.51,48.42,124.66,211.95,171.73,19.38,107.04,55.87,150.31,102.13,128.59,244.71,160.96,44.03,274.23,48.56,135.31,209.35,101.81,195.30,298.08, ,105.12,44.04,151.47, ,16.20
168.57,66.95,61.69,272.45,81.54,224.66,117.98,176.82,255.32,193.32,286.80,58.52, ,69.05,91.20,155.63,50.29,152.41,178.23,52.27,44.93,138.81,191.26,138.60,228.15,4.38,197.52,240.07,111.40,24.92,190.84, ,241.13,140.47,175.33,73.21,148.80,228.29,37.75,249.19,129.27,153.18, , ,250.88,150.45, ,53.05,148.39,91.97,181.59,20.81,186.13,134.25,38.58,70.37,194.02,68.96,72.35,111.36,30.65, ,290.65,14.90,170.49,233.47,237.60,36.78,232.51,57.31, ,2.14,125.34,254.68,250.10,274.08,138.42,115.73,295.39,115.16,8.33,70.35,108.77, ,31.82,208.15,14.39, ,49.89, ,4.57,237.53,87.51, 
 ,114.71,87.63,85.45,260.87,294.87,65.38,46.25,160.86,186.32, ,277.58,267.32,229.71,202.54,168.27,131.32,16.24,48.14,187.05, , ,267.52,209.05,261.08,239.98,192.56, ,170.14,231.00,270.07,37.69,180.03,62.70,255.45,188.68,51.37,153.89,128.86,104.08, ,110.33, , ,263.20,173.03,139.95,273.64,45.87,31.73,267.72,240.53, ,164.76,222.29,78.43,87.38,259.14,292.84,62.46,70.31,168.75, ,176.93,263.07,252.52,207.88,167.08,52.27,13.17,150.33,14.09,119.20, ,236.38, ,298.83,38.04,53.90,81.61,159.42, ,111.94,61.50, ,209.91, ,223.07, ,254.90,186.41,230.78,10.47,14.76
5.37, ,59.27,61.17,24.12,143.73,145.34,168.24,115.14,186.51,272.78,293.11,57.85,237.75,77.68,119.63,63.33,66.55,37.13,112.71, ,256.44,78.90,65.56,276.81,17.32,291.03,8.14,246.61,235.75, ,293.72,240.03, , ,179.65,134.29,141.93,248.80,146.75,104.81,87.29,294.89,114.08,110.47, ,185.82, ,38.86,52.87,98.59,285.48,177.08,270.61, ,219.42,34.37,163.06,117.19,100.18,29.98,20.73,260.09,254.67,255.35,100.23,219.04,228.83,49.09,226.42,6.09, ,169.15,115.59,279.53,255.44,65.08,190.73,127.79,235.56,48.55,229.65,88.16,57.22,53.39,283.07,24.12,7.48,174.81,27.13,168.89,25.62,275.32,8.15
272.38,81.03,124.99,164.18,83.42,83.86,15.49,240.99,144.65,239.58,64.87,41.30,17.58,248.71,218.17,93.27,159.86,67.19,66.98,251.23,245.40,56.50,187.17,99.76,254.45,54.49,264.74,243.17,285.90,148.13,234.18,35.28,174.53,47.09,174.39,44.29,101.20,229.11,39.09,86.86, ,88.61,263.46,250.50,171.01,246.37,16.58,261.32, ,82.20,202.81,63.95,255.62,236.87,209.02, ,210.51,168.43, ,10.59, ,91.95,114.52,299.32,178.73,280.46,282.56,286.50,168.99,82.95,133.65,201.10,198.61,287.37,284.63,260.74,148.12,125.21, ,151.65,233.82,200.30, , ,173.21,96.54,277.63,185.96,210.77,140.10,48.07,218.92,18.51,56.26
155.83,101.56,147.46,164.58,142.77,212.32,129.23,274.60,76.32,187.64, ,287.98,209.55,191.39,147.84,251.94,142.42,195.65,116.80,176.95,163.64,23.12,276.05,35.79,41.63, ,224.18,266.46, ,185.89,183.55,76.46, ,82.88,108.49,23.11,259.91,8.26,191.81,69.56,35.29,289.19,77.81,162.58, ,8.19,154.00,268.39,103.54,10.89,115.71,227.64, , ,198.53, ,43.27,203.72,156.48,286.60,238.21,160.73,295.71,77.53,195.08,113.35,122.07,12.01,57.69,277.59,63.32,199.94,176.64,270.59,193.62,146.67,292.55,181.70,121.98, ,221.05, ,39.24, ,90.18,275.76,147.66,40.52,78.83,228.96,176.08,202.26,288.26,238.58
22.10,260.89,185.01,169.60, ,299.28,282.27,205.27,20.90, ,83.91,286.27, ,144.49,161.53,32.64,294.84,79.02,4.41,213.65,132.86, ,11.70,212.27,283.31,19.24, ,259.97,152.14,188.40,180.07,4.39,3.03,37.65,55.96,72.22,130.57,37.80,247.59,226.14,193.86,201.26,106.85,88.27,151.37,118.25,62.63,59.11,103.07,87.93,293.48,22.94, , ,181.87,143.49,148.28,197.65,222.12,205.39,121.12,96.67,117.67, ,72.68,249.80,190.88,51.96,3.87,10.73,115.83,47.16,204.13,95.22,14.89,82.86,81.63,111.64,41.10,111.87,279.75,63.93, ,292.99,204.33,141.29,57.50,31.90,81.63,212.78, ,76.62,200.94,145.72
254.24,82.63,113.03,126.58,191.02,198.31,84.88,65.11,207.47,24.23,203.28,66.95,55.94,86.68,17.52, ,198.44, ,15.38,211.51,14.60,70.55,136.73,20.16,273.60,172.04, ,272.39,17.87,97.91,130.46,120.84, ,256.04,14.09,94.71,50.43,282.53,198.31,185.76,165.14,227.18,21.81,236.38,155.18,202.53, , ,153.19,76.75, ,235.50,125.19,265.16,125.90,129.23,223.37, ,217.67,67.25,24.75,33.20, ,61.97, ,297.55,104.52,28.34,234.57, ,271.36, ,227.92,2.61, ,131.21,265.24,273.16,14.16,253.17,37.43,247.01, ,25.54, , ,116.95,85.06,5.23,199.15,123.68,52.77,258.31,151.57
113.49,139.22,194.85,263.01,184.17,61.97,62.28, ,249.37,289.57, ,171.31,134.32,150.34,249.69, ,111.18,159.38,121.29,135.86, ,181.48,176.69,51.19,162.37, ,224.96,179.71, ,192.25,42.45,194.26,118.39,290.11,249.04,71.98,27.35,97.75,169.21,38.13,241.11,225.12,267.32,128.02,190.82,84.23,232.81,174.25,295.38,130.81,169.77,254.09,220.52,88.48, ,65.24,294.79,263.16, ,22.44,154.53,277.17,35.44,254.73,181.51,46.71,264.53,82.37,74.86,108.37,294.36,246.85,219.71, ,229.05,11.42,276.74,91.18,213.57,169.49,48.89,264.48, ,66.45,54.85,31.59,60.35,32.77,276.60,209.62,172.62,50.14,131.25,197.70
