Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26
104.29,27.70,260.90,51.96,110.16,89.02,218.17,33.19, ,245.01,40.52,88.21, ,85.70,76.49,159.92,287.12, ,14.82, ,274.61, ,84.77,123.78,226.78, 
220.34,164.08, ,169.82,193.25,7.84,282.64,47.43,247.67,261.69,21.76,237.11,262.69,92.45,207.77,209.89,239.57,290.93,165.06,295.64,66.90,245.82,264.03,5.90,4.89,174.20
195.53,110.49,133.20,244.69,222.17,167.82,171.79, , ,19.50,95.15,234.36,135.94,34.23,110.09,109.43,65.78,95.61,163.17,79.21,269.78,262.44,163.13,296.35,171.08,29.26
102.25,7.21,162.01,80.02,80.56,256.39,194.40,22.60,280.81,165.44,103.19,88.19,262.11,64.69,100.38,99.43,57.56,140.82,148.07, ,228.63,148.06,4.69,97.57,180.88,227.70
2.56,219.65, ,4.19,150.89,127.51,7.20, , ,104.64, ,296.31,179.14,208.62,44.44,246.09,205.56,56.79,229.37,177.00,280.63,97.94,38.07, ,223.14, 
27.78,9.27, ,188.41, ,72.23, ,18.32, , ,195.01,121.48,49.39, ,259.94,237.29, ,29.69,19.95,248.92,279.37,174.07, ,226.58,54.37,258.33
249.55,87.60,271.91,171.33,111.14,206.93,129.28,78.12,141.61,299.34,27.59, , ,113.82,135.37,257.73,60.78, ,148.38,216.05,200.55,218.59,163.43,161.10,45.14,126.71
210.87,120.95, ,16.32,16.81,165.22,245.39, ,189.53,211.05,181.82,62.07,143.42,67.42,210.59,216.04,205.92,35.80,10.12, ,7.16,194.87,71.52, ,253.34,172.75
135.36,275.98, ,119.40,222.41,33.53,39.95,240.88,106.64,176.98,10.93,283.79,56.51,46.06,8.65,27.64,211.21,149.02,237.20,231.59,92.33,194.58,35.96,299.14,103.22,29.40
60.26,19.95,68.49,271.66,141.85,250.17,81.53,161.71,67.60,178.34,58.41,292.22,208.39,236.96,167.48,125.75,279.55,44.51,211.71,125.18,15.49,106.63,174.55,115.75,61.63,102.09
67.01,214.41,85.66,287.01, ,112.76,97.30,225.39,170.16,270.53,257.05,30.35,220.43,169.81,60.32,264.67,230.91,94.78, ,246.15,97.76,6.08, ,264.54,6.54,145.58
58.43,22.95,156.70,87.47,105.96,190.41, ,121.32,122.93,274.22,220.96,132.98,50.61,191.58,0.71,100.21,84.71,0.72,59.55,260.97,50.06,276.46,136.91,250.29,125.41,28.93
296.49,273.41,156.10, ,156.81,101.94, ,4.79,149.46,79.42,150.39,219.18,250.17, ,200.46,50.04,44.88,121.45,69.82,62.89, ,219.70,272.22,102.03,189.60,41.34
61.92,98.50,18.58, ,243.21,53.15,74.09,89.67,4.82, ,67.71,234.37,220.35,41.71,183.59,273.88,200.33,116.67,16.91,47.50, , ,107.26,70.73,161.39,210.11
30.36,115.17,265.24,171.31,57.90,238.26,279.84,67.58,137.42,231.76,138.60,181.56,81.95,151.14,218.55,264.21,39.07,213.64,114.90,11.25,139.86,204.59,88.09,216.21,56.67,110.44
158.19,141.13, ,292.27,162.84,147.69,92.59,25.39,41.98,108.14,250.21,119.37,145.73,286.11,148.21,181.68,292.28,184.61,117.97,115.90, ,263.59,23.01, ,119.90,228.29
147.42,285.69,248.41,58.34,202.67,68.60,250.04,258.04,293.29,11.54,56.81,72.78,264.96,267.31,196.08, ,43.50,298.60,22.51,68.64, , ,25.63,225.23, , 
79.80,71.42,207.91,261.76,278.33, ,63.19,220.19,164.79, ,175.09,204.73,273.84, ,299.47,144.14,129.57,165.76,275.44,188.58,16.51,267.14,270.43,63.00, ,227.79
 ,102.87,85.86,175.56,265.51,77.76,261.00,13.68,188.01,181.52,277.94,22.44,139.74,275.41,183.49,130.53,262.98,270.14,279.99, ,245.50, ,55.16,57.21,108.50,57.96
21.80,188.04,280.97,37.10,230.52,38.23,289.00,294.44, ,274.44,122.15, ,272.03,107.31,43.93,274.45,205.82,137.78,40.49,121.64,75.14,298.19,113.21,114.57,246.33,82.09
286.76, ,258.78,284.04,21.06,262.47,105.67,260.73,299.21,21.18,154.62,74.99,186.54,82.55,8.51,76.28,233.91,236.42,55.43,180.71,120.31,199.43,101.91, ,101.12,146.69
 ,220.03,62.24,15.10,100.76, ,177.04,25.85,19.71,10.78,99.25,60.48, , ,44.34, ,145.46,258.66,180.74,276.31,285.26, ,86.02,179.71,98.32,218.41
124.10,58.19,16.45,165.78,105.13,149.99,55.57,175.76,117.23,55.27,39.70,147.98,61.70,88.78,233.25,278.05,236.37,280.69,154.91,255.97,56.57,177.14, ,52.89,159.66,246.37
 , ,67.85,54.75,61.52,28.78,192.82,5.08,66.81, ,213.27,44.01, ,221.15,62.27,273.09,81.37,141.81,212.51,201.15,5.19,182.04,31.38,120.09,3.93,294.38
100.17,131.92,228.08,152.01,27.10,212.29, , , ,257.08,238.03,268.94,106.39,232.09,123.01,185.19,262.93,110.09,105.02,99.27,32.11,185.18,1.92,201.78,30.53,19.76
83.21,169.26,291.62,70.87,69.90,124.54, ,234.62,34.18,3.29,146.84,77.44,94.84,205.83,101.62,170.62,147.91,239.43,150.94,108.38,110.68,90.11,293.60,47.54,139.46,220.04
143.76,290.35,68.56,89.45,260.88,240.35,119.39,146.30,220.56,235.90,19.13,174.76,50.74,40.51,273.14,176.50,258.02,55.49,63.05,196.76,105.01,132.72,16.89,194.74,233.71,268.69
 ,143.45,207.40,6.07,38.89,274.11,224.64,211.28,204.02,147.98,161.24,60.67,1.97,280.38,273.41,208.11,267.69,191.81,117.30,272.69,164.51,11.97, ,223.25,291.79, 
219.74,173.43,226.35,20.11,114.82,17.76,219.77,74.48,160.53,9.47,47.97,80.03,263.13,283.19,159.60,191.85,103.36,59.76, ,79.87,55.50,254.20,293.17,152.90,100.18,114.23
92.65,13.44,251.34, ,254.84,98.44,120.19,211.97, ,152.65,167.96, ,122.16,26.38,139.47,161.98,245.36,276.79,108.82,184.90,265.17,30.91,286.44,265.42,31.04,51.07
64.90,24.06, ,50.44,85.25,110.84,126.92,246.19,15.05,245.39, ,85.13,104.37,187.12,269.99,266.74,209.01,280.27,218.70,283.51,11.31,278.40,292.00,226.89,199.67, 
204.78,83.00, , ,127.92,124.56,184.12,255.10,125.88, ,51.93,2.01,36.75,43.94,165.02,81.23,273.31,269.47,162.10, ,16.67,81.51,84.28,286.83,181.38,227.55
164.64,17.84,135.98, ,164.73,242.66,227.95,25.05,232.50,107.70,203.82,178.13,230.18,31.88,25.13,197.10,9.23,58.80,132.30,208.94, , ,242.99,67.57,45.67,155.19
96.70,299.27,104.06,118.58,199.00,280.52,184.68,92.43,226.86, ,135.79,220.82,164.75,54.97,114.75,287.99,151.74,267.38,151.05,245.16,95.83,267.50,273.55,284.36,184.10,217.55
 ,138.37,295.61,62.26,22.19,116.39,269.05,257.69,14.44,40.78,250.35,268.93,103.20,126.64,110.28,237.79,166.60,137.46,283.60,290.61,17.02,296.09,270.40,81.69,108.30,286.27
252.12,200.92,181.38,75.56,63.30,121.82,89.51,92.11,159.00, ,176.03,74.99, , ,243.79,137.07,131.23, ,86.43,73.70, ,149.27,187.49,81.28,252.13,209.49
199.56,104.14,181.94,237.68,207.91,187.01,247.73,240.68,104.67,39.81,161.50,31.93,51.69,166.38,153.76,29.06,68.08,128.90, ,66.58,220.25,179.08,195.78,205.90,1.99,201.69
104.71,106.39,142.46, ,146.28,95.94,126.67,8.55,114.04,22.15,241.13,285.20,165.99,112.25,184.52,229.57,160.16,65.38, , ,33.93,58.32,184.42,293.89,140.56,213.85
214.05,132.92,61.33,81.77, ,266.29,256.35,89.18, , ,139.48,136.96,33.95,32.97,260.72,59.50,139.79,282.71,55.14,56.10, ,229.67,230.03,37.17,247.88,145.96
153.34,187.87,155.53,34.87,115.43,133.97,100.59,166.80,111.32,151.46,12.50,246.19,239.82,97.84,297.22,238.61,65.38,152.46,281.19,295.39,148.14,280.71,185.54,44.10,196.28,162.22
276.68,151.32,91.77,104.20,192.95, ,258.33,92.02,150.49,174.63,127.50,227.82,189.53, ,186.39,15.89,180.40,157.02,209.08,280.87,37.79,56.09,132.15,69.37, ,48.72
22.98,190.02,252.46,26.13,265.94,88.69,178.15, ,209.86,120.37,3.61,64.55,135.51,285.09,208.10,253.60,83.95,284.15,82.28,60.89,29.65,243.77,236.78,215.78,15.37,37.38
194.31,78.68,298.63,234.69,124.74,0.86,18.11,243.44,48.72,255.47, ,199.24,299.75,38.35,239.63,183.77,268.81,37.29,284.33,233.32,225.81,191.91,139.73,77.94,225.64,195.59
145.23,126.58,19.09,291.37,239.44, ,208.25,254.62,145.18,140.21,281.49,228.15,101.54,193.92, ,276.18,34.72,32.08,266.38,26.23,9.89,132.89,173.92,181.84,138.92,221.01
219.01,103.31,284.37,228.92, , ,263.29, ,295.37,292.89,161.36,56.43,83.53,0.95,165.49,216.19,2.76,22.03,194.65,169.96,285.95,42.13,159.29,217.56,151.07,201.21
161.09,139.45, ,140.40,106.79,238.09,224.92,231.83,224.09,280.47,274.81,69.26,35.77,83.41, ,293.85,248.71,49.27,99.56,228.56,97.36, ,7.16, ,238.99,13.08
166.62,202.66,109.47,78.86,151.92,130.96,60.92,0.71,167.82,100.77,221.73,247.10,205.28,70.27,208.89, ,75.51,274.78,233.03,197.47,195.20,258.66,227.68,41.68,206.15,138.65
63.69,249.64,242.05,115.25,181.26,158.45,22.16,75.38,176.52,82.89,139.60,112.70,79.87,105.16,296.34,288.55, ,238.18,222.63,220.25,91.82,167.40,141.02, ,96.21,96.81
248.87,220.65,3.69,215.95,286.53,52.65,272.32,213.26, ,123.82,264.81, , ,264.24,132.84,53.65, ,232.75, ,153.40,125.12,236.38,140.44,286.62,120.98,28.77
275.71,195.88,68.23,72.74,269.76, ,23.41, ,256.16,127.14,194.86,263.47,186.23,279.90,219.42,192.71,299.19,100.79,108.95,207.38, ,177.13,22.17,2.83,156.70,155.02
72.12,229.73,293.52,183.26,253.06,59.09,283.34,2.04,36.47,85.78,72.56,5.43,163.45,122.61,185.52,286.41,84.91,160.99,249.77,244.80,28.39, ,11.73,106.12,267.88,275.91
49.73,191.47,102.27, ,122.42,244.70,42.88,24.97,108.04,248.12, ,276.51,281.63,288.15,178.37,64.93,142.08,93.10,259.12,233.28,17.79,170.89,61.41,151.59,8.54,213.40
3.89, ,285.52,106.26,56.53,138.20,204.36,3.91,211.98,171.19,217.08,9.06, ,209.57,216.41,21.63,279.48,19.72,11.03,203.85,254.41,222.50,170.50,169.13,87.33,279.60
285.50,234.56,120.44,224.50,62.23, ,41.71,186.38,282.68,43.16,38.68,289.48,179.80,73.03,252.16,267.82, , , ,156.16,256.34,294.43,26.79,60.27,47.48, 
131.75, , ,252.03,74.32,202.40,120.05,288.81,32.21,225.01,271.92,100.75,177.03,79.38,179.59, ,79.17,217.35,107.02,273.94,162.09, , ,225.82,298.26,233.75
238.70,85.94,178.92,298.32, ,36.45,295.72,257.00,39.39,161.67, ,6.26,58.63,298.70, ,296.96,188.55,236.85,196.93,145.64,56.47,253.37,21.71,214.96,3.74,257.63
81.52,171.67, ,224.92,253.57,66.44,68.26, ,34.97,246.70,109.82,24.49,96.08,12.27,24.92, ,282.55,46.91,53.08,162.15,187.16,157.71,67.42,131.03,260.94,202.69
15.21,166.05,1.94,90.66,237.17,278.37,288.07,112.75,142.97,19.15,90.60,283.74,102.83,114.01,20.16, , ,222.56,113.76,283.63,237.48,11.08,140.51,241.13,40.31, 
59.45,18.75,97.98,39.14,290.79, ,7.49,268.28,79.62,154.54,286.46, ,297.54,124.55,249.00,37.00,5.94, ,24.69,245.32,71.90,192.25,90.98,183.06,129.77,141.29
25.92,76.32,125.29,134.50,33.18,158.98,218.24,213.62,288.20,144.39,17.00,234.92,236.37,167.24,80.65, ,106.57,126.78,261.57,251.03,244.15,242.53,81.57, ,24.50,82.99
246.28,205.53, ,141.90,75.21,79.84,258.49,220.02,2.94,296.24,265.13, ,207.66,198.87,174.86,291.80,92.27,57.85,119.28,139.70,41.04,198.30,6.24,44.80,87.64, 
41.61,28.13,99.18, , ,153.80,196.60,73.43,169.51,253.96,210.94,176.38,270.71,264.92,45.97,143.06,144.18,163.87,43.58,151.24,167.86,82.52,116.71,199.14,227.19,121.56
225.52,96.82,299.11,251.65,118.17,17.44,279.38,134.66,144.36,124.32,290.94, ,107.65,275.82,289.98,215.43,54.43, ,250.66,286.67,257.57, ,275.01,276.40,201.85,0.68
123.68,178.69,89.57,93.32,80.21,194.31,211.41,209.01,199.40,123.01,79.07,98.73,295.04,210.39,74.50,84.63,223.97,228.70,249.66,78.94,105.32,25.50,221.98,153.07, ,276.07
135.07, ,189.14,96.95,95.85,10.61,69.63,143.81,248.13,20.35,123.34,0.31,142.40,83.35,43.67, ,266.75, ,288.57,74.43,263.11, ,273.72,26.60,194.57,156.43
45.28,111.37,183.81,13.34,43.57,149.76,280.35, ,155.81,20.92, ,284.02, ,257.74,174.16,45.83,22.47,244.37,145.24,89.78,128.65,149.02,45.63, ,162.15,273.61
210.21,157.83,4.35,151.98,179.56,201.46,40.49,23.01,80.57,36.24,266.98,35.05,277.75,222.24, ,195.85,166.49,264.95,104.05,212.70,149.90,161.13,271.22,251.56,177.02,253.92
56.86,98.09,163.78,83.53, , ,110.79, , ,48.58,46.08,142.79,192.01,124.53,100.37, ,277.38,34.83,222.84,138.52,84.65,167.67,124.96,199.12,226.12,161.40
20.94,252.03,14.69,41.44,56.31,258.82,283.51,74.12,214.53,290.49,216.24,87.51,5.21,154.01,261.48,40.57,138.09,199.33,248.53,30.69,58.31,38.53,283.17,248.18,25.29,196.88
96.83,282.72,271.02,33.37,152.14,214.91,66.53,143.01,55.02, ,113.32,58.44,146.39,103.32,196.38,240.98,138.82,120.62,196.38,274.24,109.50,43.79,114.71,242.73,213.06, 
26.38,208.11,126.04,284.84, ,26.84,113.48,36.48,106.53,191.45,61.75,128.95,100.68,263.58,73.44,159.84,203.02,131.23,265.54,69.39,186.01,246.78,261.88, ,68.41,125.04
277.88,278.14,226.67, ,270.08, ,129.92,126.66,49.59, ,260.03,70.62,76.82,145.53,0.67,107.11,204.16,194.69,234.43,256.81,25.12,151.47,56.81, ,26.22,286.63
79.45,31.79,44.05,71.02,49.87,189.86,54.29,161.36,80.59,41.26,164.59,88.29,24.95,188.78,277.55,12.35,142.64,282.49,93.34,269.44,203.64, , ,5.45,42.38, 
83.63,275.31,111.15,76.73,277.45,246.82,140.26,295.51,286.31,277.74,151.64, ,10.93, ,16.38,243.79,12.81,125.27,79.20,76.80,205.69,283.84, ,124.10,202.64,142.65
 ,182.47,107.19,247.41,27.35,240.12,66.21,298.55,241.07, ,17.87, ,72.12,186.11,41.62,181.87,185.10,36.36,203.19,193.51,181.59,114.40,192.00,74.65,72.09,268.30
33.58,233.59,119.52,84.94,162.14,211.26,233.52,114.81,91.18,287.32,229.18, ,121.18,169.13,54.43,280.03,218.43, ,188.02,24.13,1.54,7.71,109.06,162.68,169.85,75.88
73.94,217.09,9.40,21.57,31.90,146.12,112.75,40.22,133.44,85.52,269.40,235.17,180.01,90.58,217.50,49.14,102.31,271.93,233.99,82.34,226.36,152.42,264.36,114.38,176.55,265.90
122.09,285.61,128.58,291.94,61.49,202.52,209.03,70.89,224.09,240.94,217.00,36.84,281.16,50.45,122.36,250.56,285.61,2.37,41.15,203.12,51.51,143.46,175.05,285.50,225.80,101.41
137.91,190.16,215.79,14.46,156.06,37.88,0.07,284.63,29.82,61.56,187.15,238.86,132.45,111.24,179.79,49.45,148.08,160.95,99.90,270.44,111.51,85.51,272.81,152.66,288.62,24.32
