Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73
104.62,211.34,109.52,198.13,197.28,74.76,72.41,297.28,92.00,70.50,57.77,161.31,296.40,4.43,212.39,57.33,255.89,186.19,199.69,101.31,225.73,240.89,246.25,64.46,6.66,186.15,208.20,279.93,106.69,213.10,149.74,36.08,239.09,171.04, ,272.35,232.30,176.64,94.68,294.90,121.47,19.08,38.05,165.84,173.22,155.76,299.94,228.38,65.28,276.61,157.21,139.81,97.39,19.95,131.26,25.00, ,44.07,182.75,4.47,283.83,281.17, ,107.36,260.18,255.14,76.70, ,216.51,283.15,221.82,64.23, 
16.96,244.29,264.13,160.07, ,14.74, ,169.35,19.36,50.72,66.31,86.86,43.93, ,276.89,110.43,147.23, ,228.60,213.67,9.83,282.27,88.48,263.41,231.05,87.36,257.27,109.19,105.74,32.85,130.00,151.38,90.63,229.20,116.96,211.95,216.62,175.34,247.20, ,178.25,50.29,78.78,269.21,9.70,155.75,252.32,202.04,189.78,52.65,181.03,120.96, ,15.18,117.24,21.91,140.63,130.47,222.19,269.86,44.13,200.84,44.50,296.83,189.77,220.60,241.93,219.74,228.26,132.92,197.30,125.68,298.24
38.58,290.57,265.53,100.61,129.50,166.36, ,56.14, ,154.92,49.79,78.91,9.58,23.55,66.65,244.81,105.38,285.33,291.82,130.66,117.22, ,283.59, ,39.72,184.28,102.86,269.31,212.12,93.59,185.77,84.90,225.13,113.96,286.23,161.31,198.22,77.04, , ,86.38,137.22,196.49,204.73,121.84,144.68,52.51,75.67,161.02,27.69,211.26,80.77, ,278.99,207.84, ,71.36,15.06,171.80,148.65,77.34,193.37,185.91,252.47,83.30,262.38,88.48,124.90,246.20,148.23,163.54,10.52, 
25.58,35.91,292.12,14.46,5.81,148.51,188.95,34.99,72.47,90.91,270.88,192.31,108.39, ,71.37, ,235.49,168.50,162.82,83.84,123.22,113.77,41.34,81.83,5.15,222.31,100.41, ,292.72,164.61,209.91,82.44,171.47,103.44,170.97,226.72,87.27,162.02,57.70,140.84,169.88,56.35,95.55,22.16,69.32,270.58,122.75,214.16,61.17, ,232.13,63.81,68.93,142.40,137.88,268.77,177.01,28.26,59.46,165.10,47.12,118.30, ,171.32, ,232.49,5.93,239.76,145.01,149.92,136.62,294.55,259.71
69.30,14.51,265.76, ,12.88,94.77,106.10,279.73,198.59,280.87,177.59,208.22,200.53,22.90,190.18,148.03,197.59,76.26,101.76,2.81, ,97.58,293.46,133.59,262.26,249.27, ,299.88, ,200.41,158.18,19.51,236.76,184.06,157.52,174.52,213.20,0.75,143.02,74.46,262.61,48.03,62.19,211.76, ,112.17, ,200.91,276.98, ,161.04,83.50,84.95,284.64,197.64, ,191.85,193.75,106.60,66.35,238.82,164.68,90.29,61.65,134.62, ,60.60,39.30,271.11, ,255.74,238.63,115.50
21.05,284.95,251.03,296.45,29.42,260.99,151.02,110.90,61.27,46.24,279.07,232.05,231.33,1.69,138.96,0.45,126.44,287.66,36.71,267.32,145.24,185.84,250.94,281.90,236.51,273.16,218.48,18.90,93.01,19.78,137.78,91.99,5.64,41.69,63.76,108.48,237.31,205.25,291.05,200.47,215.28, ,133.76,162.03,171.86,3.35,20.39, , ,29.22,26.31,39.23,180.04,272.63,153.47, ,40.62,92.96,235.00,89.67,98.12,185.71,76.60,1.13,185.38,129.40,12.05,200.08, ,148.31,255.36,180.90,42.40
213.71,177.26,87.97,247.92, ,228.66,66.38,37.99,215.53,112.61,68.35,274.95,161.00,104.71,175.85,205.18, ,203.48,288.98,186.48,152.66,165.56,29.68,128.45,10.87,94.04,64.19,213.39,267.73, ,130.50,243.71,202.31,239.16,71.87,84.16,83.26,174.34,77.14,2.18, ,298.02,219.00,259.34,275.74,40.74, ,124.94,93.25,20.59,224.93,263.01,101.24,56.56,219.99,245.27,192.28,220.19,144.81,4.24,258.13,17.94,288.89, ,82.14,210.40,95.06,77.56,104.10,160.71,43.83,24.95,186.69
186.18,95.59,235.83,126.69,90.74,156.02,268.61,103.75,52.72,181.87,2.97,254.11,65.66,158.09,263.93,41.39,276.37,18.68,209.77, ,0.51,235.36,192.79,37.88,226.24,253.67,239.65,10.63,5.31,261.42,272.50,137.31,282.58,141.29,184.06,274.12,210.84,118.69,83.01,175.43,93.26,65.77,68.75,136.24,84.97,169.98,103.87,180.08,281.58,281.23,8.03, ,218.87,168.90,247.84,197.94,118.73,22.87,95.78, ,169.84,85.54,241.71,47.10,275.85,143.15,194.32,212.43,70.06,113.43,25.10,290.50,257.63
5.06,113.32,97.14,288.57,22.97,72.09,52.07,98.75,5.02,46.41,237.61,294.71,209.03,189.95,2.00,217.07,256.85, ,53.99,99.97,36.52,8.76,82.32, ,277.55,198.42,279.17,140.42,187.07,293.69,248.98,224.60,2.75,196.43,235.43,214.12,246.50,180.87,26.70,258.43,299.29,28.20, ,168.62,179.95,246.03,167.05,181.56,244.47,229.52,298.44,272.73,86.00,51.41,243.80,97.51,288.27,276.25,247.23,219.07,62.94,84.14,106.81,263.07,28.71,109.89,32.10,197.70,299.73,257.19,238.08,191.58,9.06
193.08,12.70,83.47,277.24,5.62,133.31,135.32,161.29,189.17,27.83,11.49,35.98,271.09,23.38,200.41,30.50,288.74,205.63,118.83,239.81,266.92,93.14,235.15,47.45,147.81,211.19,102.85,127.99,221.23,236.61,183.82,215.13,10.31,244.75,3.63,253.59,257.69,72.79,1.15,17.17,195.53,8.27,175.53,72.32,287.63,218.40,276.05,44.00,254.29,115.49,173.32,228.47, ,1.26,116.96,41.02,17.04, ,15.42,110.47,241.68,96.68, ,72.73,13.55,247.91,174.58,175.62,134.31,59.47, ,176.43,71.51
274.12,116.57,185.81,77.28,25.13,287.57,246.69, ,5.77,10.52,134.94,124.01,192.77,104.82,59.91,294.76, ,35.65,25.56,245.86,48.95,276.80,265.68,17.72,229.26,284.43,81.76,233.62,63.34,155.84,177.01, ,79.27,17.01,279.32,43.97,287.43,58.96,280.64,41.68,211.72,238.97,70.27,254.96,172.88,277.13,249.07,140.84,148.63,126.45,96.33,210.11,185.38,107.72,251.53, ,163.25, ,184.58,169.08,29.47,211.60, ,160.67,42.27,50.09,15.46,296.45,88.15,71.25,187.94,8.76,57.85
175.25,56.59, ,196.13,28.43,119.49,268.40,272.14,71.04,172.86,168.72,37.24,129.99,136.87,103.22,125.11,49.46,31.81,228.96, ,257.39,65.28, ,86.23,161.47,31.65,106.36,93.07,149.30,238.06,290.32,160.38,16.50,57.93,42.74,276.24,244.28,53.81, ,140.04,177.44,22.58,103.67,4.83,72.25,185.32,218.21,218.81, ,128.65,291.41,78.48,159.92,279.56,154.30,53.78,172.96,167.80,154.77,89.56,163.00,287.36,235.66,140.23, , , ,148.47,139.36,0.20,95.68,16.42,267.72
264.17,29.44,173.59, ,275.63,155.91,204.61,176.95,60.87,13.73,182.48,261.12,154.20,94.27,139.66, ,1.30,54.67,198.54, ,37.00,134.12,166.88,284.48,83.58,77.85,167.11,251.31,258.92,251.48,173.64,238.66, ,88.31,123.19,192.42,23.84,108.24,263.18,201.22, , ,84.86,113.68,279.17,4.11,193.39,258.32, , ,76.97, ,200.16,24.39,94.95,282.52,83.87,212.93,60.06,175.75,273.18,67.09,225.04,108.49,110.08,278.30,169.99,109.86,133.67,244.43,254.94,240.32,56.45
129.70,12.75, ,285.93,271.53,151.42,9.52, ,102.54,211.27,174.62,42.68,155.37,236.91,214.06,149.12,30.47,87.02,284.27, ,210.65,230.19,86.28,195.84,42.25, , ,182.51,57.45,107.42,127.70,258.62,66.85,35.40,16.16,29.94,107.77,270.61,2.67,277.67,76.55,206.39,34.69,259.52,279.69,136.71,284.68,112.31,24.46,97.20,226.32,48.23,67.74,72.06,75.72,268.91,69.64,159.74,264.21,196.47,186.20,51.28,128.50,222.41,11.30,193.57,146.75,271.72,260.63, ,36.35,253.81,163.14
48.37,93.33,163.94,53.83,88.51,25.62,147.12,263.40,72.15,13.48, ,227.98,216.51,10.93,166.69,173.15,247.92,89.14,4.56,169.38,214.87,227.29, ,105.87, ,178.02,121.43, ,49.40,120.63,177.48, ,77.04,124.78,144.41,140.52,40.28,50.64,103.99,122.13,83.80,153.15,283.88, ,188.01,20.34,286.26,139.28,274.87,240.01,287.47,140.35,194.20,187.08,254.24,271.48,248.81,152.59,207.86,64.42,151.14,104.50,282.58,252.62,86.84,257.28,46.55,210.76,247.88,90.11, ,61.59,211.64
54.15,193.43,186.69,32.44,93.80,254.03,122.46,124.42,168.75,61.63, ,2.39,207.32,116.37,154.09,81.80,72.08, ,253.39,22.38,62.21,155.66, ,278.12,278.16,96.47,54.83,286.38,277.11,149.72,63.86,111.42,143.47,49.73,136.88,198.94,202.71,278.37,168.86,146.66,249.70,23.92, ,10.31,283.09,211.47,267.87,187.99,58.75,163.26,208.37,134.25, ,149.36,125.41,265.94,165.25,215.20,220.17,199.48,204.27,193.39,71.37,168.84,167.43,48.16,148.69,236.99,258.39,189.21,104.57,55.86,70.79
158.99,192.23,272.88,161.96,77.34,274.96,118.23,186.50,245.13,218.31,214.96,268.46,260.49,259.33,42.84,287.41,21.08,260.30, ,122.26,53.49, ,299.67,277.59,40.21, ,258.52,136.32,73.30,95.71,199.82,189.16,99.47,251.02,51.29,255.26,105.24,229.15,8.42,218.04,143.18,115.96,245.60,236.92,192.77,165.23, ,54.39,244.16,273.55,196.67,178.53, ,187.28,264.23,102.33,90.29,23.04,47.21,158.53,287.55,16.75,143.89,207.16,105.59,139.98,249.20,207.40,82.31,18.79,290.38,228.81,66.63
286.93,220.49,97.96,196.77,60.81,276.15,207.08,20.50,110.61,105.58,289.13,112.70,234.43, ,163.25,195.67,170.69,35.59,107.47,212.92,4.45,198.34,160.66,292.92,90.70,13.30, ,201.20,259.67,24.50,298.88, ,113.98, ,149.57,101.36,8.02,97.65,221.88,122.26, ,29.98,25.61,101.38,244.48,237.04,47.29,78.99,10.14,34.50,42.54,105.38,137.63,233.40,50.81,221.49,66.46,245.45, ,46.83,239.24, ,19.35,32.24,72.45,291.31,46.39,236.55,169.61,280.70,173.41,106.48,284.30
