Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79
123.32,232.51,51.96,130.28,125.16,126.17,68.84,219.85,171.27,242.07,54.16,275.59,137.71,260.91,272.79, ,96.11,160.86,97.26,106.56,290.59,204.74,257.96,12.40,289.83, ,131.78,184.92,272.23, ,233.14,36.06,231.22,213.08,108.46, ,215.02,248.10,293.66,62.10,53.06,102.04,77.82,294.22,41.19,285.38,199.59,140.54,219.46,280.45,81.17,269.05,79.72,100.33,257.81,185.58,111.35,7.42,221.45,151.93, ,137.30,167.68,207.65,45.01,215.50,261.53,25.60,286.02,58.06,200.56,244.97,31.84,218.85,154.05,72.95,188.58,183.80,35.80
291.31,271.82,137.36,113.11,191.08,105.72,158.52,169.63,217.71, ,136.56,190.13,195.43, ,105.68,1.90,282.08,222.29,200.03, ,13.14,78.33,28.34,270.78,197.10,252.34,110.35,221.05, ,116.49,91.60,197.92,63.65,86.72,133.90,45.60,299.88,99.48,296.56,82.93,24.05,283.52,267.55,43.67,218.38,275.34,82.32,103.47, ,190.19, ,176.93, ,176.81,7.79,142.30,71.88,158.79,157.00,196.63,25.07,147.80,140.00,267.54,261.25,66.51,245.43, , ,161.98,268.69,194.14,4.50,284.46,195.10,144.70,70.88,256.39,54.98
76.45,109.64,136.04,189.14,129.82,204.42,122.69,161.57,284.09,282.84,29.36,110.01,269.66,43.82,99.57,22.43,121.33,213.73,8.22,38.84, , , ,143.06,291.41,100.46,142.72,186.84,179.02,290.32,104.73,159.49,238.81,24.87,249.25,79.10,21.08,72.48,46.99,80.72,75.42,195.88,250.19,238.80, ,229.12,248.36,48.62,84.30,176.76,33.38,234.27,180.08,157.98, ,73.52,236.80,106.34,67.08,215.40, ,59.02,74.88,80.48,159.27,207.64,19.96,195.03,26.52,105.65,219.55,258.02,240.85,251.04, ,7.57,179.90,47.94,268.20
195.38,214.58,299.33,80.12,145.65, ,220.77, ,140.32,109.39,84.91,236.06,90.38,147.35,136.95,85.18,250.60, ,165.19, ,115.80,136.54,155.19,182.22,254.78,139.26,7.55,280.52,82.60, ,229.95, ,125.24,129.34,106.90,241.03,222.37,268.45,18.28,162.31,118.85, ,258.11,230.57,161.78,264.88,61.43,273.85,20.07, , ,207.10,36.93,163.52,23.17,112.04,84.73,265.67,235.55,83.10,106.06,40.31, ,101.74,151.40, ,251.60,81.74,43.47,213.42,212.43,129.41,83.41,37.00,115.97,272.85,138.68,143.95,149.85
280.73,172.90,101.44,270.41,283.21,1.85,220.87,133.22,238.75,264.42,265.71,248.30,279.46,17.47,265.96,144.90, ,17.81,84.37,85.19,125.52,269.41,19.95,155.37,122.44, ,98.19,115.04,276.27,133.46,217.90,161.06,46.12, ,160.90,222.92,195.92,45.16,70.59, ,225.96,171.47,169.98,35.68,16.15,79.50,5.69,249.04,60.20,10.75,156.06,63.73,135.04,147.31,182.76, ,108.72,220.87,217.72,142.37,206.69,282.24,160.01, ,26.77,0.50, ,156.56, ,258.71,56.54,112.04,18.43,48.02,82.31,283.90, ,186.64,151.40
235.83,148.52,38.18,241.68,69.00,52.32,56.95,69.91,276.03,181.40,57.23,219.77,231.48,209.02,72.15,286.99,71.83,249.15,23.87,185.70,289.06,106.24,102.00,208.97,185.35,215.49,37.94,154.53,27.88,87.53,123.97,108.01,210.03, ,233.90,191.51,237.04, ,283.05, ,192.03, ,282.40, ,20.34, ,289.76,55.17,188.23,151.82,74.94,53.39,295.75, ,22.51,101.79,221.47,164.66,42.86,95.89,196.26,28.22,105.99,243.04,4.65, ,0.89,96.95,277.88,55.65,115.20,51.93,215.53,135.38,128.10,124.92,90.81,124.24,47.14
221.72,245.31, ,246.19,62.47,218.91,56.12,270.36,220.98,265.72,76.45,134.32,119.67,61.81,54.57,107.96,262.22,240.53,3.90,247.15,187.20,221.52,35.11,293.50,132.96,262.31,253.96,180.42,26.97,134.45,282.72,76.77,280.79,251.06,204.03,51.06, ,272.58,99.39,28.04,297.42,17.79,241.22,87.25,141.39,149.30,12.21, ,257.15,17.00,57.19,106.42,12.26,80.83,270.09,74.84,242.71,43.36,3.31,236.81,299.18,167.46,278.49,221.82,31.67,143.85,159.85,197.11,120.97,218.90,223.23,116.63, , ,15.49,17.77,77.30,218.59,239.07
203.93,132.72,99.70,24.46, ,221.57,47.82,50.55, ,44.28,288.68, ,4.17,133.27,236.54,175.06,89.29,85.24,204.87,49.88, ,9.43,266.88,156.11,191.63,289.12,250.49,36.01,281.98,199.26,131.80,113.51,138.77,98.34,90.52,138.83,164.48,80.25,289.34,297.75,231.34,116.88,264.67,247.83,48.15,185.10,196.56,193.05,184.26,124.28,110.57,246.73,111.37,106.41, ,104.16,194.68,98.56,55.70,24.34,299.59, ,179.54,186.05,103.32,63.98,45.08,190.71,149.60, ,256.02,282.13,84.48, ,183.04,206.89,277.66, ,149.09
 ,217.07,86.21,53.02,247.98,24.75,89.91,140.78,130.37,90.83,28.06,41.73,220.96,45.59,157.86,47.71, ,264.77,279.50,290.27,233.14,154.45,178.28,212.61,159.16,77.82,184.26, , ,266.42, ,165.03,20.61,152.45,177.51,193.40,79.97,95.81, ,167.65,206.34,33.61,236.46,115.21,156.89,216.07,246.71,288.34,77.63, ,291.53,86.78,241.27, ,37.08,85.58,81.71,284.99,57.43,226.75,42.16,79.29, ,25.99,195.28,92.88,167.70,174.95,269.35,121.22, , ,262.96,238.02,43.01,12.32,280.09,6.63,264.26
270.67,280.11, ,73.00,28.57,137.25,126.75,104.26,106.75,267.10,198.60,207.79,234.31,232.04,178.87,83.53,266.44,123.85,234.65,94.69,54.25,246.26,185.41,185.14,11.10,156.94,74.22,161.64,236.97,127.81,89.44,259.57,285.12,188.27,280.27,182.99,214.91,215.52,179.77,92.48,252.90,100.56, ,262.20,251.10,163.46,145.33,26.52,59.92, ,279.69,72.45,124.72,291.92,87.67,140.90,62.55,129.56,120.92, ,156.57, ,20.02,26.52,188.25,154.74,17.21,88.39,297.10,77.02,253.36,160.70,44.84,188.06,86.36,18.10,165.55,92.87,274.63
