Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89
39.68,117.07,61.59,59.54,225.76,271.50,176.69,246.07,140.01, ,251.62,258.30,196.53,181.40,289.82,99.77,234.24,273.79,179.73,182.65,25.59,144.29,24.62,210.65,48.74, ,0.36,230.59,108.73,41.16,297.24,208.69,169.97,127.75,206.56,175.73,253.18,223.63,48.27,128.41,181.11,80.41,64.92,41.23,18.42,282.57,18.13,169.63,218.10,181.18,224.96,204.01,80.57, ,128.84,224.31,141.11,17.36,141.95,63.81,46.78,298.18,164.34,232.08,107.53,233.62,154.41,136.20,71.11,128.46,223.84,136.91,129.81,87.53, ,151.34,229.42,285.54,161.89,223.94,282.52, ,214.71,138.48,40.37,14.74,109.54,221.60,3.54
100.72,23.17,242.42,212.78,296.09,101.85,128.59,153.59,164.13,289.80,119.20,212.21,198.99,72.53,268.20,172.01,167.14,52.28,205.72,169.71,72.87,167.56,280.29,294.76,34.30,0.25,247.90,268.26, ,236.45,191.84,57.66,292.74,122.71,267.42,188.64,141.36, ,58.85,31.05,226.95, ,276.53,81.23,100.17,299.00,189.71,154.49, ,70.03,278.45,286.85,25.22,166.10,27.03,226.83,198.17, , ,102.97,20.78,147.77,265.02,109.52,15.29,180.58,115.54,256.31,233.98,215.23,178.19,159.93,95.29,174.91,154.70,0.44,68.53,260.92, ,275.01,122.43,239.83, ,268.21,108.06,234.16,189.13,224.54, 
222.18,234.16,218.51,117.94,206.84,98.06,213.56,95.93,122.08,280.39,88.05,56.00,230.32,186.11,94.83,169.31,38.72, ,9.95,269.48,36.42,289.88,45.91,97.17,13.17,152.53,208.37,75.05,52.04,41.92,257.57,233.16,44.46, ,288.81,205.61,227.80,2.66,195.45,187.75,88.85,8.61,182.99,218.82,64.09,222.54,161.93,11.06,258.06,106.95,148.14,126.23,248.94,171.48,285.53,0.75,62.61,114.16,207.86, ,110.75,75.53,15.97,221.26,73.87,197.93,147.49,233.30,216.81, ,16.84,238.23,131.78,97.01,56.31,220.40,105.16,250.55,250.14,118.56,51.30,6.45,211.64,114.11,50.70,142.50,128.65, ,260.02
274.03,77.53,14.34,183.10,165.54,8.03,81.85,77.47,50.64,280.29,106.72,175.13,19.97,30.06,111.91,40.89,180.53,34.41, ,0.41,158.38,69.47,120.54,221.60,228.46,127.76,127.10,245.49,175.77,164.00,227.17,278.65,269.67,247.19,288.00,180.50,56.97,114.32,79.09,66.82,36.50,10.82,197.21,197.96,260.79,259.08,228.98,130.29,39.96,155.37,83.92,262.02,149.13,245.06,49.38, , ,60.12,263.39, ,250.03,44.22,276.91,165.35,201.66,109.90,237.78,114.60,257.26,162.10,100.64,35.23,137.73,24.30, ,65.44, ,210.66,246.13,170.98,292.33, ,136.54,97.59,283.47,27.88,25.16,257.24,284.15
56.49,253.74,198.44,6.49,34.37,127.70,149.62,271.88,248.73,56.01,168.05,175.45,33.01,131.06,243.26,247.71,217.22, ,134.60,286.48, ,290.92,36.90,161.36,265.74, ,178.87, ,94.85,243.40,189.21,1.59,72.92,201.19,298.93,149.99,30.29,280.48,223.67,5.62,200.76,170.50,117.64,65.03,194.61,93.79,219.89, ,56.17,280.46,191.40,89.99,109.47, ,16.57,272.44,179.49,39.47,58.47,101.27,177.63,182.41,286.66, , ,37.34,224.85,29.98,275.62,51.23,197.23, ,231.08,76.58,116.69,248.11,58.80,83.57,60.79,150.72,163.26,129.40,56.24,209.05,135.83,281.31,33.95,80.81,240.15
29.37, ,250.20,133.29,50.47,181.75,31.72,124.32,122.03,127.82, ,265.88,269.68,256.54,266.24,212.45,19.45,234.77,186.45,120.58,191.76,114.83,107.29,146.02, ,92.94, ,94.51, ,184.45,273.50,218.69,77.42,299.35,74.82,13.34,9.08,66.52,196.37,138.20,149.71,146.94,269.96,88.29,266.19,111.08,5.72,143.92,161.92,230.62, ,267.78,108.62,9.34,1.51,139.30,204.98,111.70,83.72,236.34,282.45,250.88,20.57,64.71,233.53,33.43,215.49,75.56,224.91,72.53,180.33,39.72,75.89,103.71,131.96,36.53,193.19,209.36,231.13,47.98,244.25, ,46.27, , ,135.97,209.55,295.90,251.99
269.32, , ,261.53,202.74,221.70,65.26,286.10,192.58,236.38,73.42, ,142.22,118.17,98.46, , ,45.57,100.66,104.96, ,298.47,100.35,294.85,249.82,55.09,129.02,169.20,16.28, ,167.45,210.66,85.98,160.60,114.12,229.46,120.13,102.70,85.69,95.82,209.57,78.28,188.51,164.03,186.94,83.50,127.68, ,233.02,13.64,7.08, ,105.27,82.51,214.79,74.69,159.70,96.84,133.44,247.50,232.52,9.64,120.17,270.74,126.19,78.39,254.81, , ,150.89,180.09,57.14,249.36,82.53,8.10,99.74,245.13,262.98,25.07,100.50,29.93,195.16,37.52,139.01,139.98,282.37,276.42,73.20, 
 ,283.12,172.49,257.14,153.26,216.18,296.86,217.86,195.62,126.52,45.78,230.92,99.89,260.34,134.26,64.77,7.59,54.34,79.47,255.78,262.69,82.38,28.48,299.24,110.43,122.32,95.83,27.72,75.76,153.05,288.29, ,79.45,238.80,121.24,278.67,169.92,242.93,230.02,144.79,268.55,130.52, ,218.24,286.66,73.53,167.47,253.37, , ,190.73,6.44,230.01,147.25,95.19, ,104.90,30.70,80.92,173.50,216.57,195.40,20.20,259.63,194.59,76.94,234.03,191.06,137.70,231.55,270.69,284.41,288.82,103.67,49.67,199.58,247.75,226.30,181.10,158.28,122.30,295.84,63.60,171.09,101.73, ,264.56,258.96,257.49
222.54,254.77,278.88,214.21,121.91,175.00,189.22,6.10,31.56,16.04,82.23,193.48,143.49,212.07, ,176.19,224.10,84.68,50.10,68.27,144.49,75.79,37.63, ,105.04,152.74,265.67,69.83,286.38,61.85, ,39.83,169.07,110.95,217.75, ,262.12,256.24,33.66,248.54,32.65,220.84,34.28, , ,52.29,207.90,75.80,237.21,267.09,93.70,80.37,247.46,160.11,154.82, ,73.19,133.47,204.11,214.14, ,21.58,41.89,164.41,67.06,17.00,140.00,111.36,57.48,248.44,231.72,15.71,205.71,279.86,48.53,282.29,118.83,117.35,259.19,156.14,115.30,95.86,259.51,169.83,118.17,270.29,108.80, , 
157.15,21.95,216.31,232.46,112.27,137.43,278.73,174.56,183.74,50.11,279.21,156.25,116.80,0.97,109.55,13.75,120.46,128.60,35.79,22.28,177.97,285.57,174.13,146.53,131.86,180.36,102.94,202.70, ,298.06,99.02,75.58,268.96,85.37,213.41,215.36,82.31,157.34,40.56,22.34,236.17,228.31,94.97,296.92,174.24,84.65,174.52,298.72,277.65,70.72,287.53,62.21,296.12,276.21,209.99,15.58,136.89,122.19,7.30,30.89,7.10,239.44,149.76,189.98,262.98,266.54,103.32,286.14,215.43,282.77,286.22,268.20,204.70,167.75,40.31, ,38.31,202.05,267.20,113.95,200.26,24.34, ,281.84, ,125.99,72.98,217.40,48.80
278.10,243.87,166.90,58.90,11.43,70.89,168.26,234.86,143.70,68.24,117.47,190.53,268.36,121.26,206.59,262.39,81.45, ,85.53,236.07,185.73, ,29.12,12.52,211.14,207.79,154.71,159.49, , ,18.96,262.25,68.73,251.28,97.98,39.00,257.87,200.81, ,240.31,45.78,3.09,17.65,255.52,133.16,52.75,189.67,230.75,183.91, ,249.43,96.14,238.69,33.76,239.03,94.28,116.88,72.15,58.71,115.77,114.15,85.27,134.12,203.43,262.71,111.88,212.50,266.16,271.68, ,267.29,187.04,9.04,212.59,109.96,173.76,269.29,51.30,53.16, ,62.08,209.47,63.12,28.75,58.81,57.74,213.14,195.85,187.47
63.07,181.77,114.36,243.11,49.50,191.03,8.29,276.73,163.54,251.08,136.54,234.83,225.33,92.76,56.87,54.59,27.07,205.03,12.32,208.79,280.29, , ,297.52,286.71,161.84,231.97,47.60, ,22.50,201.48,42.28,216.44,243.99,7.66,292.88,145.12,279.80,77.83,45.54,39.93, , ,245.65,109.90,145.15,51.39,257.96,223.54, ,192.21,196.12,123.79,188.06,182.76, ,194.45,245.67,159.00,21.69,265.37,104.61,16.23,43.60,290.48,216.62,282.66,211.43,183.96,100.47,103.12, ,155.06,107.52,267.63,221.76,44.62,277.33,168.51,129.82,166.48,226.14,296.81,219.05,269.46,282.25,288.55, ,294.51
122.94,128.24, ,255.62,185.76,160.29,24.17,25.37, ,240.50,194.06,226.94,175.38,170.23,185.80,126.19,241.99,297.01,205.00, ,63.41,160.85,110.31,225.37,10.70,253.15,80.85, ,159.82, ,22.55,298.30,234.31,253.06,81.35,39.57,41.90,220.50,29.28,224.45,249.02,67.46,77.17,164.74,260.36,287.76,217.61, ,34.31,19.32, ,211.96,127.77,280.03,229.57, ,84.30,48.92,193.96,14.77,4.27,145.22,215.11,286.67,125.92,203.21,180.33,122.17,209.46,220.79,275.25,189.39,36.48,251.88,171.70,131.68,53.69, ,36.81,120.29,272.03,248.56,251.94,88.89,282.43,190.02,269.27,271.10, 
 ,68.02,20.25, ,285.25,13.58,62.40,170.21,77.79,58.26,269.84,136.07,212.78,135.48,226.30,192.75,94.20, ,1.44,178.22,294.19,90.39,136.33,25.21,132.86,151.94, ,51.88,218.65,173.11,128.70,277.62,258.46,290.50,192.67,169.15,110.20,159.68,71.37,6.77,143.86,279.70, ,239.92,281.41,239.69,21.61,129.89,191.90,234.92,84.07,116.37,236.47,15.77,220.55,244.47,275.45,68.23,156.35,171.63,45.82,99.00,36.24,219.67,167.84,2.44,158.79,239.75,251.59,290.15,218.56,75.35,80.57,124.16,205.39,174.53,97.58,3.65,245.63,137.70,287.29,150.35,186.52,84.74,282.00,108.66,74.98,165.18,211.04
144.01, ,193.73,234.94, ,164.91,106.28,241.67,172.77,56.05,149.74,30.49,60.70,64.93,215.30, , , ,46.28,139.76,277.85,87.71,21.42,0.17,189.68,287.98,162.66,122.78,248.42,290.61,230.40,282.09,157.98,201.39, ,171.26,28.92,242.58,219.62,146.59,231.29,38.60, , ,281.73,151.21,253.92,80.05,18.04,171.60,171.45,285.52,230.52,127.08,32.76,178.76,120.50,179.67,224.87,282.45,132.00,29.87,242.80,209.41,220.00,236.78,176.37, , ,185.05, ,47.61,228.33,236.08,292.66,254.48,291.80,122.91,31.55,273.51,219.38,84.37,74.75,92.32,13.33,120.01,267.70, ,0.28
 ,211.49,173.40, ,170.75,113.36,1.01,152.57,83.29, ,114.75,191.94, ,206.23,12.18, ,253.73, , ,58.20,10.32,140.09, ,279.11,9.51,294.17,222.37,82.99,286.77,38.90,260.59,54.68,176.55,259.06,110.64,89.03,155.87,157.08,274.95,281.21,228.68,185.84,201.10,202.40,119.49,199.73,57.42, ,290.58,48.77,142.02,284.03,220.37,86.58,72.81,60.00,293.38,71.36,36.28,262.33,164.06,197.02,106.29,231.82,31.53,272.06,75.50,196.00,77.09,85.78,18.64,60.89,230.73,68.42,133.86,124.51,249.65,81.06,15.70,217.04,287.35,97.11,265.87,73.60,254.91,277.55,248.32,261.46,259.55
62.98,91.77,218.72,62.00,52.07,86.69,87.13,181.74,173.82,52.62,79.33,167.63,262.05,185.44,289.24,288.09,186.43,258.46,55.36,126.02,37.18,91.18,185.03,173.12,226.01,212.67, ,130.80,87.62, ,54.14, ,30.34,206.72,108.02,222.04, , ,120.92,78.18, ,213.94,7.97,211.44,149.94,120.74,258.20,66.73,194.50,223.26, ,79.43,73.80,157.07, ,143.63,265.35,208.75,59.93,203.53, ,218.05,225.97,234.70,177.77,26.78,135.46,72.38,135.47,254.42, ,86.41, ,87.95,72.59,17.22,128.65,114.77,1.99,178.39,51.03,69.37,104.14,227.24,89.13,270.96,113.33,150.92,116.48
43.27,152.31,249.68,182.03,142.11,170.78,24.78,88.10,162.48,43.35,293.73,91.08,184.38,107.86,222.23, ,145.35,125.36,59.59, ,253.61, ,258.48,19.71, ,139.52,93.95,67.47,33.28,243.81,221.08,33.65,139.63,13.75,39.10,153.88,125.09,257.50,256.16,284.24,159.48,111.59,174.83,142.81,144.49,26.62, ,259.01,216.48,179.24,79.59,221.37,22.58,141.26,266.49, , ,212.10,127.36,266.25,142.49,87.19,278.69,19.62,269.16,134.16,32.15,245.75,156.84,7.07,293.92,250.48,85.86, ,98.93,205.99,199.51,45.66,151.83,40.40,103.04,272.59,106.11,255.76,249.68,208.28,107.00,42.51,152.45
108.41,203.50,63.38,149.68,261.07,65.68,72.91,111.94,295.79,2.29,230.14,244.29,101.16,99.72,203.95,86.58,70.45,233.97,272.49, ,71.10,93.20,181.38,157.42,76.58,219.43, , ,112.05,26.92,248.36,249.57,130.95,63.62,223.05,49.22,11.00,189.69,226.86,77.70,266.25,92.72,87.39,10.62,76.34,136.69,245.98,266.49,224.86,17.58,128.58,36.61, ,9.42,266.85,174.59,142.89,66.16,208.65,48.00,119.05,288.27,17.01,54.92,229.50,171.59,227.19,234.13,194.62,244.97,31.94,221.84,57.09,194.75,198.91,139.48,64.08,107.73,63.92,18.66, ,96.27,259.72,14.19,7.45, ,81.43,145.51,253.25
162.65,2.56,31.38,127.65,189.18,64.11,122.07,233.01,283.80, ,203.62,249.31,8.82,24.05,195.73,200.90,266.47,219.76,174.35,89.71,7.64,122.92,33.91,239.71,43.28,209.49,197.76,16.68,141.02,126.80,59.24,286.92,27.54, ,28.78,75.11, ,212.86,46.83,58.15,36.17,88.55,75.47, ,22.54,175.07,95.12,28.69,282.17,177.93,228.84,24.25,1.82,26.77,280.98,13.13,160.62,299.82,39.86,126.18,233.17,152.24,197.24,280.99,226.37,287.98,206.07,169.99,186.31,264.18,258.56,64.78,293.98,43.26, ,205.90,270.02,212.73,88.30,186.22,158.10, , ,64.07,152.38,255.66,169.70,212.96,122.40
175.47,255.65,141.55,76.28,240.23,84.48, ,178.37,142.82,148.04,209.76,245.15,158.38,132.44,168.39,160.20,38.83,140.72,129.65, ,211.78,139.92,188.64,53.81,33.08,81.08,187.34,181.31,221.74, ,48.81, , ,28.91,244.42,173.81, ,82.44,116.88,90.45,92.41,224.04, ,77.46,154.67,97.93,19.59,30.00,60.31,241.99,29.92,108.19,293.33,123.24,172.35,77.25,107.11,75.46,27.98,208.00,73.14, ,188.40,19.14,238.67,26.98,198.00,174.22,289.76,137.15,227.03,114.04,209.05,88.02,50.01,246.54,1.66,80.68,208.75,113.53,241.59, ,114.29,205.47,255.54,107.74,193.83,108.25,3.55
 , ,137.80,232.13,265.75,266.10,271.45,67.18,256.26,250.54,94.47,50.67,14.81,220.36,166.40,176.50,169.75,29.54,59.19,264.29,186.01,35.26,138.13,80.00,46.43,283.39,69.67,75.60,69.58, ,257.43,98.95,148.15,76.06,228.90,133.04,214.07,13.95,218.44,133.88,54.78,140.76,288.91,20.73,293.86,235.67,134.48,204.87,38.75,144.91,30.84,124.79,145.53,143.48,165.08,253.26,20.15,230.52,88.18,220.90,251.73,31.19,222.06,177.07,255.94,218.08,148.61,188.48,73.84, ,159.49,286.16,142.78,89.78, ,18.36,90.53,66.78,168.85, ,76.07,122.35, ,160.67,239.29,118.18,201.96,59.44,249.07
45.58,129.36,32.75, , ,93.29,17.91,219.87,14.90,200.46,45.79,267.46,215.31,156.18,223.57,16.87,292.45,196.17,107.18,218.02,261.07,228.53,25.35,274.98,112.69,137.99,13.49,29.95,185.96,7.42,216.43,104.73,264.38,239.37,140.12,190.04,150.24,210.18,25.99,67.85,176.39,299.42,248.12,88.24,224.98,75.21,266.93,275.51,95.86,72.35,296.52,201.53,216.29,214.74,289.95,205.20,254.63,51.99,48.24,68.89,163.39,142.76,265.28,102.30,91.70,120.55, ,132.30,132.70,277.91,262.30,268.08,145.42,109.00,14.84,278.35,121.01,271.16,94.42,267.43,23.81, ,229.72,41.33,169.85,277.36,113.47, ,5.20
118.05,229.07,147.45,7.61,297.38,89.66,48.24,133.00,269.47,293.23,158.94,252.98,216.17,151.53,199.77,274.72,50.20,194.26,45.78,248.65,96.94,286.97,131.74,200.80,29.78,106.84,131.93,3.93,139.37,296.26,135.96, ,214.45,15.90,6.85,261.42,40.10,14.38,233.58,107.63,79.86,182.05,227.09, ,232.92,162.90,131.61,185.96,90.42,19.52,107.83,34.92,94.09,179.73,131.81,51.48,91.86,58.66,172.86, ,202.65,144.35, ,1.49,109.47, ,211.77,61.68,211.14,40.88,91.14,131.10,31.01,138.51,58.65,265.60,68.91,108.70,243.30,256.80,16.98, ,269.95,110.08,127.64,0.83,63.51,103.76,87.54
187.61, ,185.95, , , ,143.85,232.90,164.37,130.04,183.49,66.04,183.06,293.93,105.56,10.73,16.77,292.65,132.02, ,160.34,159.77,164.92,292.33,290.63,33.60,270.38,149.34,268.42,254.92,78.45,160.28,12.39,103.64,9.60,110.84,72.41,108.15,224.42,87.11,32.72,158.09, ,4.76,59.79,123.46, ,161.72, ,283.62,1.74,253.57,269.21,73.71,287.56,210.80,36.18,204.60,236.07,106.18,143.81,106.58,94.39,253.21,197.88,227.18, ,21.62,1.27,26.23,197.81, , ,94.69,197.97,107.92,186.58,13.37,192.64,164.76,209.91,26.05,224.02,125.68,276.91,229.19,80.19,38.82,88.66
80.01,281.81,221.86,215.61,168.18,127.24,202.63,170.04, ,83.78, ,92.26,277.42,47.34,204.42,167.49, ,265.08,226.91,20.28,2.55,86.83,272.99,243.70,69.58,52.85,159.02,240.15,58.15,275.15, , ,118.56, ,228.23,217.16,156.36,34.53,191.93, ,162.22, , ,240.49,168.72,168.11,295.24,215.91,144.32,204.99,52.38,98.86,112.17,178.08,266.26,17.46,269.85,296.44,148.62,156.97,197.63,220.78,235.39,129.44,195.02,215.11,233.20, ,264.60,29.31,131.73,277.09,218.84,3.66,112.96, ,263.86,229.82,23.88,282.14,152.86,44.94,292.26,68.00, ,67.02,6.90,128.76,163.74
256.18,229.63,249.16,238.24,50.85, ,238.91,185.37,263.15,221.61,299.61,92.43,164.41,95.21,70.01, ,40.13,4.39,178.83, ,51.73,176.63, ,149.68,66.32,169.16,183.55,182.70,88.85,276.12,239.71,195.69,130.50,121.28,45.40,212.89,100.51,50.64, , ,91.91,236.03,32.50, ,111.89,118.61,0.96,133.45,35.89,210.94,243.44,94.28,76.55,162.63,120.89,45.21, ,188.73,111.18,231.36,31.54,71.62,160.51, ,235.52,120.93,244.32,228.91,250.50, ,121.20,126.90,133.39,218.89,146.13,140.47,98.10,236.69, ,191.14,14.53,290.26,16.52,188.48,188.21,157.76,27.14,76.64,104.37
 ,7.45,70.19,225.66,239.81,211.67,153.02,278.56,274.04,262.79,211.86,12.41,298.72,75.35,190.94,128.10,235.82,216.52,255.50,74.45,174.21,98.37, ,242.27,266.85,235.54,142.34,260.81,134.75,86.81,20.89,63.09,165.90,66.95,260.52,53.82,115.96,204.16,187.39, ,147.49,255.90,13.34,193.26,3.73,151.37,184.35,232.57,93.23,147.05,45.93,98.17,223.33,171.69,221.94,225.67,77.04,216.10,148.67, ,277.96,88.96,270.15,36.03,209.39,207.15,239.24,120.58,4.76,185.21,95.34,181.24,3.10,63.86,139.89, ,124.11,132.15,208.06,271.21,131.24,58.65,201.66,100.87,156.00,287.80, ,154.01,106.56
162.01,152.83,133.76,95.59,206.76, ,251.55,5.15,76.95,299.88,195.01,268.26,121.09,50.96,235.10,183.03,277.50,204.15, ,35.80,230.82,189.93,20.16, ,159.32,238.76,202.19,139.90,257.52, ,158.16,227.16,172.65,133.32,222.73,265.57,230.53, ,175.42,130.96,247.85,240.03,284.77,214.57,254.56,32.41,17.92,152.42,247.19,279.68,164.14,36.54,235.17,182.31,14.23,202.47,252.72,190.05,230.74, ,44.66,148.31,207.21,147.85,38.94, ,247.91,231.18,210.82,229.55,25.01,56.65,85.89,89.43,215.36,133.83,73.48,298.18,10.19, ,34.59,65.31,299.58,58.07, ,178.10,227.35, ,55.19
 ,184.40,30.23,161.92,53.63,111.70,117.60,175.65,37.63,244.59,243.19,55.08,69.02,269.00,39.15,96.76,12.14,62.22,132.30, ,37.44,96.36, ,206.42,203.91, ,201.05, ,153.00,57.22,15.06,4.72,41.15,264.73, ,0.17,180.06,140.29,204.65, ,119.86,178.93,284.59,246.76,64.64,64.81,268.89,26.34,215.53,233.00,135.98,117.43,65.41,35.87,138.14,165.32,252.98,243.39,94.94,52.36,153.69,271.13, , ,125.70,296.86,219.36,221.08,151.67,131.80,44.92,41.21,117.33,166.03,192.81,274.13,227.63,99.98,138.68,83.44,12.46, ,87.83,126.15,190.73,290.87,243.42,21.90,269.68
250.16,10.23,143.30,269.45,134.79,143.81, ,98.25,294.07,170.28,168.06,178.29, ,146.87,173.91,251.12, ,60.22,54.41,26.47, ,119.27,240.31,291.93,173.25,150.22, ,89.18,168.38,44.53,227.39,55.47,148.68,1.61,207.85,258.15,69.96,42.38,297.13,173.06,290.51,128.84,96.64,150.73,70.84,52.40,228.03,250.75,90.75,284.03,251.10,4.61,45.26,103.40,219.98,10.10,59.94,101.19,33.14,255.81,61.92,292.93,22.80,194.90,194.60,222.33,254.93,45.03,72.41,241.78,257.66,27.22,27.34,190.43,75.72,1.99,291.37,161.80,70.14,2.92,237.88,134.97,30.01,62.10,68.65,131.97, ,202.11,40.20
68.90,262.51,281.00,275.32,173.67,140.30,172.31,43.43,223.40,118.41,80.40,216.00,89.67,238.73,242.65,166.95, ,93.05,272.30,70.13,175.32,164.38,31.72, ,67.50,142.05,218.44,243.81,218.28,264.83,115.16,294.66,260.35,186.71, ,203.91, ,7.10, ,298.56,187.56,46.52,98.79,35.88,132.55, , ,117.69,60.22,69.77,136.76,148.99, ,234.86,288.57,149.90,9.91,140.16, ,114.88,136.23,279.85,36.70,177.67,137.94,286.18,224.90,201.57,184.00,291.67,111.21,41.11,61.80,293.51,297.76,38.53,109.00,42.54,153.75,280.44,229.62,221.10,253.93,155.23,283.19,25.73, ,117.51, 
