Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80
263.64,192.43,141.64,171.02,207.63,250.49,122.39,252.28,121.88,32.04,37.02,227.75, ,216.00,123.63,229.61,182.27,267.94,173.85,103.24,132.48,26.49,114.38, ,90.91, ,299.63,200.16,168.11,173.73,270.34,108.56,231.75,205.65,95.55,36.17,100.39,106.72,142.35, ,185.01,232.38,164.66,268.55,165.85,4.82,75.31,258.31,248.36,60.50,211.13,182.74,168.79,262.89, ,172.18,31.62, ,284.17,233.90,65.90,98.37, ,281.11,219.53,216.87,157.23,292.72, ,295.95,229.85,178.63, , ,3.72,219.59,231.42,185.96,207.92,121.17
91.51,192.79,245.60,159.52,50.20,48.20, ,192.03,176.90,299.33,191.68,8.37,253.97,164.70,214.89,226.01, ,98.97,125.69,2.59,1.93,273.46,278.08,133.97,298.66,187.27,139.57,86.15,211.84,214.44, ,216.36,189.35,198.02,220.69,134.24,273.81,258.31,141.89,12.38,17.37,111.93,288.52, ,103.72,61.85,267.48,294.15,287.04,21.26,135.05,170.79, ,263.70,73.68,167.84,2.90,68.96,82.50,137.12,92.13, ,214.32,107.99,94.58,219.31,13.21,180.92,291.60,65.70,8.75,24.43,87.15,257.73,289.95,98.18, ,8.34,261.10,111.55
122.62,180.26, ,104.11,161.81,54.92,290.57,28.72,106.04,254.13,238.74,114.95,198.49,26.27,24.24,245.77,163.44,198.36,287.89, ,41.39,217.62,148.28,98.29,107.66,83.35,225.19,32.30, , ,31.89,85.09, , ,11.12,176.66,233.33,95.41,141.14,258.62,4.98,148.84, ,292.63,7.32,148.45,141.03,14.60,84.09,298.32,4.59,193.69,140.65,99.37,214.33,211.44,124.85,232.02, ,112.64,290.61, ,294.99,154.26,5.57,70.97,6.78,7.19,101.43,297.51,285.27,146.36,296.42,56.68,198.00,273.00,24.03,187.23,22.75,137.08
10.15,95.93,32.30,173.47,273.97,265.41, ,44.71,151.87,110.95,52.59, ,9.41, ,24.02,279.18,242.49,9.61,139.07,181.42,173.39,295.65, ,100.72,238.47,168.16,219.03,252.31,121.35,135.95,215.84,127.66,203.43,92.97,224.34,179.26,253.57,143.15,47.25,140.22,49.51,258.93,8.67,49.45,150.59,223.00,232.02,48.41,9.75, ,66.49,149.49,178.40,37.52,131.76,169.93,151.45, ,255.05,265.64, ,10.05,82.17,228.77, ,206.83,19.04,213.23,66.95,116.11,49.26,129.56,29.55,150.24,66.04,293.29,266.08,26.18,174.48,181.57
102.03,166.97,99.77,117.70, ,121.67,296.15,145.05,84.35,161.42,13.33,240.94, ,222.78,173.50,125.10,230.59,218.70,179.95,150.16,177.76,110.66, ,259.10,190.82, ,125.74,232.15, ,153.26,224.34,271.98,6.46,82.14,297.65,44.35,158.88,76.99,25.07,40.87,281.42,49.02,165.71, ,173.75,19.93,56.96,34.84,245.60,204.91, ,105.86,213.99,270.23, ,7.17,1.21,209.00,132.48,37.40,149.89,99.02,201.59,240.71,102.79,56.89, ,98.37,230.54,136.08,139.03,49.36,27.98,163.68,108.37,106.17,36.71,117.14,235.17,61.95
 ,27.28, ,120.82,268.08,286.77,276.49,137.86,20.47, ,193.72,211.73,115.91,83.99,160.43,298.39,232.56,55.01,177.71,250.42,194.30,266.42,20.51,10.33,208.65,17.05,140.91,18.17, ,181.55, ,59.54,7.17,12.76,179.49,106.93,83.32,56.47,246.43,144.24,287.60,207.01, ,43.28,23.26,180.26,106.97,70.98,280.95,170.35,240.09,30.22,181.79,143.46,259.09,114.28,59.88,113.07,109.49,265.53,265.72,58.81,34.73,244.11,233.20,66.17,239.22,234.64, ,85.59,117.33,123.84,103.30,205.34, ,136.12,6.51,146.74,249.90, 
149.95,76.41,45.51,160.45,25.04,143.71,130.69,186.99,97.22,184.14,142.52,274.17, ,38.51,26.39,209.32,50.48,249.87,154.64,90.59,104.38,165.78,114.94,245.36,237.95,230.47,201.87,280.20,52.25,185.32,56.49,33.79,242.58,254.61,61.91,1.74,108.26, ,53.62,14.25,12.54,279.93,212.48,180.56, ,21.36,191.46,153.75, , , ,193.34,250.41,206.43, ,10.87,129.97,70.06, ,80.68,298.37,155.74,262.15,200.28,270.21,216.85,271.22,287.23,284.60,71.99,23.40,249.28,265.55,200.40,2.29,269.93,257.16, ,0.20,236.28
155.99,222.32,101.65,2.05,246.72,281.78, ,39.11,111.05, ,10.97,66.31,109.47,126.40,49.94,35.95,216.89,68.56,99.32, ,134.33,200.64,100.72,198.61,107.51,143.46,48.94, ,28.02,28.65,51.35,185.68,86.32,39.51, ,58.95,212.26,209.47, ,256.26, ,151.42,293.93, , ,242.10,218.52,222.38,241.80,177.77,33.88,110.42,151.96,43.88,20.78, ,152.76,240.08,74.71,290.90,290.05,248.46,254.62,229.27,145.12,36.68,162.31,102.38,177.10,220.09,119.60,186.44, ,8.74,185.76,186.48,75.92,297.92, ,105.73
110.17,235.95,297.82,201.24,86.03,267.68, ,198.24,75.78, ,38.00,219.95,77.93,163.34,177.86,174.91,210.73,142.97,202.85,32.83, ,84.91,201.22,292.06, ,205.60, ,68.93,148.39,204.93,206.47,239.30,192.09,148.43,157.86,258.81,192.60,142.35,206.04,209.67,116.14,154.99,84.68,53.23,198.70,144.35,78.30,124.97,233.15,187.21,178.02, ,125.56,222.90,236.74, ,78.16,214.17, ,201.68,8.94,196.15,156.89,34.28,283.93, ,110.24,299.10,105.50,248.51, ,94.62,175.20,32.09,168.77,187.99,278.45,171.73,198.48,218.01
182.53,167.18,262.17,221.80,215.72,95.94,74.39,273.78, ,172.26,288.23,254.44,43.53,127.86,29.39,265.39,29.97,82.75,198.59,164.24,246.37,28.83,66.51,82.61,244.04,260.94,290.91,73.66,125.54,155.24, ,101.61,86.12,70.89,153.50,207.34,116.77,217.36,133.42,263.26,248.74, ,162.51,205.54,19.52,127.66,138.53,34.91,295.31,199.30,236.60,124.37, ,197.75, ,87.80,128.05,285.82,65.76,287.23,223.84,278.94, , ,151.91,84.02, ,191.21,153.30,221.92,135.18,73.51,1.01,261.31,92.07, , ,180.93, ,16.38
