Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149,Col150
 ,295.04,299.70,273.73,208.64,13.23,85.85,189.31,167.89, ,65.06,24.37,99.65,171.04,145.01,260.64,201.77,170.13,182.69,188.26,82.30,213.50,272.07,269.25,119.56,17.56,18.16, ,117.82,267.76,144.26,155.85,276.75,189.46,221.52, ,121.79, ,35.29,237.83,194.59,106.52,104.46,145.27,87.85,145.64,158.31,130.59,9.24,53.00,298.62, , ,96.31,43.94,32.58,118.56,68.67,54.28,216.21,19.53,162.64,59.67,155.08, , ,297.60,63.02,62.63,74.39,132.07,290.54, ,109.09,168.76,146.10,250.38,61.43,208.29,14.12,81.68, ,246.00,52.45,198.20,33.85,274.02,90.92,30.58, ,122.40,107.81,101.68,14.15,12.64,89.71,151.68,231.14, ,133.13,126.41,283.57, ,257.59,94.84,56.77,295.78,45.64,147.67,161.78,10.44,84.26,201.18,271.55,51.98,265.45,215.34, ,75.60,161.62,95.54,158.56, ,37.73, ,185.39,44.92,284.81,131.47,120.52,56.51, ,145.44,39.86,215.07,136.39,105.52,11.31,96.74,268.83,219.77, ,194.14,67.07,116.23,263.91,265.96,189.60,165.86,125.22
22.96,63.04,174.64,250.04,97.97,32.75,262.52,252.30,81.60,35.62,217.91,134.58,19.95,269.22,132.07,112.46,163.55,93.75,176.71,102.11,86.54,207.12,19.57,205.72, ,241.34, ,240.87,280.58, ,249.80,289.82,259.08,207.80,238.59,11.29,48.10,68.91,193.08,202.53,23.69,231.29,2.69, ,136.27,166.71,258.37,283.84,272.42, , , ,156.40,49.64, ,118.54,297.34,289.98,260.19,281.13,296.37,131.11,17.69,126.66,11.17,278.68,239.18,90.59,45.49, ,249.99,174.63,10.48, ,60.31,21.12,296.55,50.56,150.13,125.49,44.32,87.30,120.26,212.10, ,257.60,89.01, ,263.64,143.35,272.47,146.11, ,142.66,295.66,161.21,95.82,108.24,225.30,52.74,43.35,284.71,83.33,208.54,37.36,59.55,126.05,258.25,208.32,130.72,71.24,267.90,129.94,99.54,207.39,7.03,115.88,251.69,65.45,115.42,13.81,214.95, ,173.20,46.51,90.22, ,82.16, ,212.10,11.94,201.92,274.38,280.11,104.35,31.57,294.73,278.39,49.34,7.89,77.75,196.65,4.88,250.12,154.40,217.80, ,119.72,103.95,10.67
76.74, ,41.33,236.03,54.43,137.96,207.90,116.71,83.68,46.54,44.86,196.02,67.27,82.38,129.55,108.51,131.51,1.26,183.23,192.55,222.65,299.97,246.23,235.09,238.27,63.70,182.56,245.80,285.32,47.68,82.95,14.50,154.70,87.30,253.05,275.58,10.38,6.26,92.23,286.50,222.98,13.64,9.93,55.38,287.62,110.13,259.25,285.04,140.39,151.87,52.21,269.15,103.00,19.18,216.76,225.74,55.89,245.29,198.83,61.08,103.73,257.02,295.84,176.92,14.41,229.67,156.24,129.20,174.23,154.48,154.06,230.74,19.61,275.78,176.70,104.88,208.06,43.40,3.96,40.13,249.11,84.99,168.63,64.59,62.57,133.85,299.29,126.58,240.62,237.33,139.22,97.74,104.10,251.18,61.46,126.44,261.12,115.92,125.62,172.61,99.58,104.81, ,231.40,11.67,55.08,172.98,226.72,201.39,171.44,129.33,135.90,123.87,255.83,172.95,126.23,235.92,165.95,203.74,152.54,131.11, ,4.09,271.11,206.30,95.79,168.30,51.66,82.42,264.03,271.95,162.27,36.28,199.03,198.70,223.60,127.49,158.49,136.13,55.92,168.57,258.20,110.25,45.07,108.85,228.71,109.47,113.88,85.93,216.81
9.29,98.73,271.64,268.34,86.82,150.21,175.96,292.27,118.26,178.88,46.45,7.91,198.57,1.67,134.69,269.13,58.90,280.75,25.09,138.31,273.36,67.31,96.92, ,215.18,14.42,143.36,150.20,20.58, ,5.08,219.43,250.67,42.06,8.86, ,147.17,153.88,246.37,232.61,138.73, , ,290.10,275.16,245.50,112.29,0.82,165.87,169.63,17.08,153.05,281.57, ,135.45,209.66, ,215.60,216.33,130.54,264.68,46.72,101.44, ,102.25,22.49,247.61,94.36,19.73, ,19.95,165.68,51.54,224.39,281.71,285.60,47.14,217.95,160.46,252.86,121.64,39.57,278.44,293.27, , ,57.34,13.74,101.79, ,26.18,209.08, ,21.33,268.31,7.88,258.66, ,80.31,185.41,270.02,272.49,17.63,54.48,158.10,65.34,204.87,255.81, ,273.85,172.44, ,180.32,33.21,216.77,132.65,92.74,193.84,99.80,209.59,175.02, ,240.37,36.65,246.88,290.30,285.86,162.89,43.07,93.62,150.58,16.78,299.87,146.60,219.26,274.70,233.10,205.32,33.45,205.36,92.57,201.07,58.41,138.84,297.76,285.61,139.59,101.11,121.85, 
41.11,179.27,238.89,19.97,255.10,17.71,54.51,136.50,271.77, ,73.25,204.23,46.57,61.25,183.28,95.40,224.22, ,38.87,188.77,152.43,20.79,79.31,83.50,208.25,116.27,128.52,84.25,61.07,248.63, ,131.74,99.20,105.35,94.83,255.09, ,98.97,168.00,249.77,94.09,6.77, , ,224.86,22.67,250.36,194.68,103.04, ,159.00,127.23,149.61,107.50,181.29,15.47,231.72,153.66,273.74,127.77,288.89,131.71,200.41,169.50,206.06,223.03,72.52,18.88,132.59,69.60,108.33,73.46,52.04,129.79,291.15,134.82,207.62,254.86,69.55, ,275.60,193.18,265.20,59.54,76.04,256.94,294.25,163.39,94.05,164.10,81.66,254.66,29.28,16.57,290.74,107.47,33.61,7.00,244.10,186.15,252.45, ,246.69, ,281.00,63.97,98.98,266.77,207.34,274.83, ,265.57,240.84,98.45,238.91,185.59,283.41,257.89,15.80,11.59,185.58,53.23,89.71,297.45,106.21,118.17,126.86,94.96,15.64,9.19,290.67,259.99,100.50,100.58,122.45,105.56,102.90,38.72,57.67,35.95,29.66,194.01,237.85,224.23,182.38,208.05,128.19,147.13,85.91, 
 ,59.88,216.40, ,255.12,67.03,91.33,20.95,124.92,183.30,101.71,296.26, ,169.31, ,16.45,298.78,137.02,24.04,123.55,296.94,242.20,69.95,294.88,278.97,268.38,233.68,299.06,105.22,99.26,256.77,60.55,79.86,162.70, ,286.25,182.09,232.92,134.87,240.94,245.42,194.16,294.42,106.75,69.47, ,38.00,139.33,62.97,296.13,23.09,211.92,63.37,246.74, ,213.19,37.49,11.10,266.29,195.90,229.89,223.68,3.37,92.84,94.07,98.05,35.13,231.66,42.69,295.68,20.21,2.49,67.47, ,33.76,185.25,249.00,30.49,153.98,295.35,155.66,53.96, ,33.28,91.44,15.56,128.10,295.98,93.47,144.18,97.21,268.07,112.29,234.51,272.66,10.14,151.75,282.53,60.02, ,151.46,149.76,219.89,234.56,279.00,194.65,95.23,29.89,170.22, ,185.02, ,195.15,81.59,32.33,272.69,242.94,139.93,62.74,278.23,110.29,295.31,19.04,62.88, ,233.10,23.53,18.73,13.27,34.97,100.87,198.64,86.65,288.95,85.53,157.58,159.06,78.14,133.85,226.88,258.46,80.28,278.10,235.36,167.55,217.32,114.03, ,200.68,106.38
224.27,237.61,14.21,85.24,186.25, , ,212.37,149.31,243.18,129.72,115.88,151.87,214.08,201.73,106.57, ,30.85,132.40,177.47,123.18,71.06,160.78,289.46,289.40,69.04,13.54,53.60,155.46,27.67,39.63,229.87,37.23,211.01,298.65, ,121.83,125.50,4.94,188.39,254.99,199.83,85.75, ,199.34,84.21,182.18,69.45,171.58,72.76,276.32,171.06,193.25,156.27,20.17,280.56,76.86,50.80,138.52,215.89,13.11,264.88,123.94,7.34,141.01,78.11,151.51,148.10,264.40,136.93,126.24,135.53,170.26,172.68, ,88.57,153.66, ,48.96, ,56.30,186.87,286.25,287.90,152.31,199.82,169.59,282.92,19.91,157.34,58.69,46.79,212.78,235.94,249.41,270.16, ,157.03,42.94, ,278.36, ,178.18,32.26,153.14,82.48,176.68,97.84,35.51,255.58,181.04,185.38,150.05,86.28,33.20,168.31,107.58,25.88,52.08, ,205.21,130.80,254.15,42.21,155.04,252.54,168.35,276.39,282.47,284.23,200.68,157.87,221.03,89.76,91.80,255.12,225.37,241.38,205.45,176.47,270.89, ,139.24,127.89,243.90,21.41,196.05,91.32,55.90,49.71
222.84,217.81, ,3.74,2.48,144.81,269.67,7.96,254.95,249.06,213.28,13.55, ,148.41,100.43,69.08,167.00,47.74,211.77,88.55,173.19,217.80,267.41,60.10,288.44,37.63,242.76,294.12,122.54,27.54,46.84,73.10,88.54,298.66,291.54,73.30,84.95,216.88,24.60,140.94,6.46,293.62,160.63,38.72,130.28,206.15,162.88,90.97,100.09,251.73,176.84,256.37,16.14,14.14,150.23, ,156.69,47.41,194.28,144.63,165.43,83.60,73.77,133.53,162.94,276.92,99.99,210.94,18.10,75.93,234.42,112.62,264.65,197.02,195.17,36.39,252.53,103.16, ,236.69,45.79,28.41,259.84,211.30,48.46,97.54,229.91, ,21.01,79.94,152.14,259.67,35.72, ,138.88, ,75.57,237.16,18.39,195.25, ,216.87,144.31,204.52,42.97,95.22,204.38,188.31,272.91,215.21,85.37,123.61,129.66,213.90,131.98,260.33,0.23,277.97, ,182.49,234.58,13.97,211.31,159.06,0.12,6.01, ,60.09,298.00,122.43,254.83,63.31,135.16,92.35, ,283.96,126.82,2.55, , ,168.00, ,168.13,10.66,5.50,62.21,260.50,215.39,139.05,130.49
42.24,87.34,206.80,77.14,85.50,14.62,85.93,4.00,47.19,7.41,85.40,56.18, ,271.58,93.31,91.73,292.52,154.86,221.36,19.97, ,237.89,22.65, ,26.65,171.47,285.28,126.71,280.34,9.16,133.86,202.19,170.00,240.15,137.54,262.67,208.21,95.39,8.63,93.81,97.08,76.59,189.42,137.27,75.92,121.67,248.91,135.37,218.57, ,56.11,106.43,145.25,9.01,101.04,208.59,225.30,212.91,63.28,144.93,192.13, ,101.91,78.58,59.17,12.80,53.25,9.37,95.08,275.87,202.82,118.45,29.38,252.06,55.59,181.98,260.41,43.34,113.61,299.60,119.06,75.71,262.23, ,57.31, ,267.18,219.13,128.82,77.94,285.56,149.15,122.16,40.88,171.88,287.43,27.27,183.88,278.81,188.06,203.42,233.03,164.60, ,293.42,34.18,86.25,223.46,289.87, ,155.38,149.16, ,176.43,260.26,228.11,167.47,9.79,279.13,106.99,136.63,231.98, ,18.23,98.18,28.38,266.70,36.10,26.56,292.29,72.75,203.97,139.16,188.91,229.19,188.53,205.92, ,76.72,10.69, ,282.71,93.04,27.37,65.27,241.63,29.80, ,233.77,168.42
82.40,113.02,138.50,57.62,165.97,291.10,249.58,159.37,45.98,120.57,174.05, ,231.60,131.13,138.07,129.28,107.02,134.91,217.75,16.34,174.38, ,51.04, ,210.41,35.21,14.03,193.23,27.07,92.84, , ,182.82,252.80,294.22,248.56,96.13,257.15,115.60, ,215.87,231.96,17.89,123.36,144.38,255.29, ,113.49,35.64,269.89,286.16,76.16,176.07,199.63,142.81,126.68,231.10, ,40.43,47.47,55.47,175.68, ,280.41, , ,120.57,4.49,149.99,41.45, ,241.08,95.74,285.96,187.40, ,227.83,103.90,278.04, ,288.80, ,113.06,263.76, ,268.25, ,48.89,134.74,22.88,97.57,280.00,166.59,114.10,297.89,186.04,213.76,264.73,101.06,143.41,11.41,33.06,210.79,133.57,83.78,39.56,135.64,239.01,94.88,96.66,271.11,68.69, ,33.42,237.10,98.87,122.62,34.98,111.76,7.96,200.71,196.86,0.05,21.06,11.29,98.95,45.29,172.75,217.69,185.63,17.38,156.71, ,191.69,297.24,22.34,209.33,51.39, ,267.81,189.10,86.62,83.15,69.69,62.08,162.07,142.17,232.21, ,117.68
