Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49
146.97,13.48, ,244.40,161.58,48.35,181.76,116.28,83.52,18.44,110.57,111.98,52.14,166.08,248.53,173.47,74.66,169.13,136.78,171.57,289.07,132.24,141.64, ,225.16,282.84, ,270.19,269.41,238.91,100.08,63.17,43.09,92.44,100.90,25.74,227.58,192.39,185.64,8.33,259.19,132.87, ,103.06,183.54, ,19.02,157.77,199.03
220.01,113.07,220.70, ,148.28,185.77,39.26,216.43,179.00,22.16,186.51,149.73,250.63,89.07,277.83,75.14,91.27,291.76,287.32,105.57,284.19,43.71,211.14,212.75,232.51,208.45,60.14,189.07,178.24, ,156.06,262.02,240.68,26.50,15.96, ,151.56,149.76,164.72,155.41, ,87.92,59.49,72.52,96.01,295.90,270.16,223.55,260.82
217.09,70.28,128.34,225.28,76.27, ,153.74,266.93,196.71,238.64,269.88,10.28,292.09,267.58,48.95,185.09,48.90,32.45,290.21,49.70, ,35.88, ,173.11,40.12,33.65,84.20,0.70, ,292.79,15.14, , ,102.15,195.84,0.27,254.23,69.96,264.53,160.90,278.95,54.33,132.97,158.12,105.42,67.97,157.63,183.61,56.43
205.23,87.13,50.21,250.34,243.69,22.57,39.20,3.64, ,95.00,49.23,220.88,104.40,229.10,238.47,293.69,228.34,116.14,289.41,231.94,140.12,188.12,82.46,95.42,187.61,185.16,151.95,205.26,214.84, ,175.84,245.74,18.93, ,182.42,252.55,270.81,168.37,85.84, ,99.30,70.28, ,106.63,74.10,46.36,176.19,62.02,285.80
33.20,182.52, ,230.76,272.40,126.25,281.87, , ,17.77,183.54,143.03,157.55, ,239.00,96.42,216.95,209.88,124.23,15.14, ,19.94,67.15, ,72.67,185.38,199.69,206.04,182.95,126.43,82.34,125.78,200.54,1.97,278.98,156.44,75.62,265.68,187.13,260.39,125.37, ,157.96,192.56,10.02,30.70,189.77,149.57,296.22
186.85,161.39,68.70,187.24,92.14,75.40,119.86,141.98,208.59,111.34,156.97,117.61,190.33,201.14,126.08, ,31.23,85.81,299.79,2.79,205.15,227.00,266.56,38.60,127.54,138.73,205.80,221.48,260.50,105.19,101.88,178.35,185.15,22.34,35.00,132.13,3.17,270.34,250.56,14.03,220.25,219.67,230.98,299.72,201.61, ,65.81, ,100.98
84.35,271.11,122.73, ,226.25,5.32,233.72, ,187.85,203.19,174.29,228.91,17.68,31.58,288.40,200.03,160.71,6.76,19.61,15.39,242.44,282.87,173.45, ,213.99,258.53,193.34,160.14,86.11,229.04, ,107.09,296.11,209.13,161.70,85.00,212.85,142.04,278.29, ,209.72,294.16,24.98,98.87,275.47,246.26,152.50,279.48,198.25
114.77,193.51,99.96,93.83,37.94,120.60,187.73, ,130.22,0.41, ,270.51,231.65,47.24,278.07,49.27,268.62,219.93,6.47,77.72,96.48,56.99,216.25,14.70,197.73,65.75,263.59,1.61, ,18.88,284.07, , ,114.41,211.84,250.80,272.91,250.64,221.68,108.71,92.31,181.22,296.64,168.30,295.48,33.77,91.30,209.86,130.56
113.42,71.78,79.92,92.13,279.69, ,82.07,66.24,78.58, ,254.01,267.96,115.45,227.26, ,191.79,196.30,38.80, ,67.64,93.97,86.24,298.34,189.25,118.33,200.64,265.91,181.31,79.05,55.34,40.36,162.78,6.49,142.15,232.31, ,88.89,247.69,100.34, ,204.93,283.73,100.50,152.71,167.11,84.11,237.86, ,195.59
213.74,256.39,255.74,139.88,51.05,222.64,287.11,23.10,78.42,17.36, , ,47.97,287.98,154.00,238.74, ,38.15, ,297.68,225.66, ,184.45,42.89,164.98,245.40,126.76,157.91,266.72,221.35,141.07,98.63,15.97,172.53,276.15,42.50,30.95, ,118.42,197.05,230.06,143.49,149.62,151.06,184.81,41.30,260.37,46.96,293.01
