Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29
176.47,85.77,4.09,278.51,58.99,261.79,269.05,263.39,62.61,17.53,231.30,118.57,297.18,82.80,32.04,72.56,260.77,195.22,112.43,160.01, ,121.80,268.51,211.62,235.05,199.83,239.41,239.77,141.62
215.64,186.83,112.06,33.21, ,298.08,164.30,254.23,279.90,132.27,114.08, ,122.20,208.59,58.83,194.45,3.16, ,189.99,52.00,215.74,275.91, ,140.21,59.43,51.81,136.23,75.97,291.53
65.18,259.78,48.49,24.46,264.32,241.64, ,226.98,38.78,276.42,43.10,203.40,100.13,183.30,241.26,295.80,99.27,99.20,244.42,247.73,217.75,237.71,228.53,127.20,67.58,111.29,151.94,157.75,179.99
256.35,75.13,260.67,148.08,97.67,13.29,88.56,257.54,295.65,190.96,153.38,226.47,69.23, ,226.98,159.37,286.84,43.15,241.29,87.08,15.23,14.45,268.14,18.17,241.14,185.36,57.62,290.47,213.14
1.67,99.37,108.14,141.65,25.21,68.85,84.09,291.87,144.71,44.03,254.41,67.11,49.17,283.68, ,196.82,148.69,207.89,145.08,151.38,19.32,65.22,18.41,123.48,294.01,160.98,37.89,224.00,195.32
161.34,195.76,43.48, ,251.37, ,245.48,236.54,139.88,96.42,151.06,275.23,3.38, ,41.27,225.96, ,274.69,112.64, ,156.12,233.52,269.09,52.97,110.24,14.53,114.19, ,34.08
108.13,284.26,78.72,36.05,144.30,77.92,181.19,113.05,149.87, , ,273.51,133.80,254.36,105.46,208.86,275.22,177.00,127.09,226.10, ,70.40,31.29,55.07,140.39,97.51,216.35,34.44,254.87
110.54,131.18,109.54,212.94,147.72, ,103.45, ,56.82,290.63,196.27,35.75,196.87,97.59,254.33,269.41,157.75,109.87,17.67, ,230.61,107.37,299.57,201.56,267.64,106.96,266.75,91.51,49.53
101.00,179.10,132.17,90.78,198.17,229.80,39.35,163.53,263.45,57.54, ,25.18,86.37,202.25,172.45,288.56,6.66,276.32,283.49,30.47,262.78, ,80.36,285.83,296.24,106.98,114.29,78.95,172.77
252.03,32.34,100.36,164.35,105.88, ,170.49,130.79,244.68,213.64,242.04,90.44, ,144.21,50.91,55.39,83.06,35.47,165.12,244.96,87.50,133.52,221.33,153.46,212.71,268.24,51.71, ,243.03
241.56,141.19,4.03,247.79,100.33,176.58,8.15,23.66, ,46.33, ,199.80,220.31,3.16,61.18, ,4.22,266.13,60.41,256.89,78.64,225.62,144.92,149.97,185.43,90.54,189.27,131.56,18.44
227.35,202.21,270.23,275.51,159.28,67.22,161.20,84.52,287.69,248.59,280.41,46.62,65.79,169.09,160.08, , ,133.20,143.72, ,119.22,6.30, , , ,252.88,103.16,136.43,78.24
185.78,187.79,60.76,148.91,244.41,8.28,127.88,181.03,271.22,281.20,27.85,142.71,10.66,221.30, , ,263.93, ,151.72,185.17,283.88,153.01,114.29,299.06,111.64,237.50,255.16,60.32,206.57
69.50, ,216.60, ,180.53, ,32.25,271.47,152.32,93.85,191.77,22.56,136.10,95.56,251.68,228.90,66.00,80.02,232.30,68.50,177.14,280.50,270.40,150.23,29.46,146.22,268.54,79.29,165.29
273.23,34.28, , ,172.07,18.71,204.12,298.57,189.17,290.66,231.04,282.30,84.97,181.73,297.29,158.16,135.88,279.54,33.52,270.44,14.54,9.96,76.36,299.93,287.59,125.11,131.48,179.13,235.92
