Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106
128.13,157.77,75.32,293.04,298.37,196.89,208.58,63.87,115.49,204.70,154.51,237.56,2.47,197.83,123.97,85.23,226.81,211.63,270.93,184.49,103.29, ,11.88,20.68,12.43,133.69,204.60, ,166.52,210.07,22.84, , ,286.15,51.07,124.33,102.45,291.29,90.20,217.62, ,146.60,18.87,118.07,237.33,89.99,84.21,219.67,49.72,104.40,78.80,296.24,104.63,92.08,95.25,227.99,8.96, ,27.84,200.02,292.21,41.30,158.37,108.71,245.36,81.02,215.25,113.51,187.83,108.13,213.81,126.19,157.27,78.14,255.67,136.42,52.32,136.92,73.36,187.30,82.08,135.99, ,249.50,239.35,121.50,281.87,263.74,127.09,56.20,120.19,148.62,86.69,204.99,99.69,184.68,232.70,254.39,204.52,243.40,271.94,281.43,34.72,231.87,109.70,174.00
22.45,297.95,48.96, ,148.65,291.19,286.26,221.45,48.72,159.69,97.28, ,51.09,119.20,121.12,271.04, ,293.49, ,102.63,59.67,215.35,200.33,99.48,103.85,93.24,175.46,26.46,159.86,59.38, ,180.50,31.56,66.75,193.37, , ,283.14, ,96.37,57.83,281.66,211.62,90.86,60.74,187.15,194.86,199.66,127.03,286.93,174.37,196.03,139.65,81.00,31.54, ,89.36,95.27,284.84,41.90,230.90,259.07,54.07,51.16,32.63,296.37,33.17, ,131.02,87.43,24.45,89.38,208.33,233.32,147.44,201.26, ,60.47,185.89, ,237.05,116.67,120.35,129.01,83.28,276.68,172.04,289.68,139.18,124.02,57.38, ,258.64,210.37,69.25,133.66,33.31,269.96, ,121.91, ,205.19,183.35,90.24,65.58,23.66
175.68,20.97,272.14, ,182.51,107.20,132.38,12.09,230.45,168.01,99.42,257.56,258.04, ,142.52,159.51,62.64,262.34,182.32,63.22,117.00,27.47,194.34,107.86,218.41,152.36,48.53,228.33,185.08,173.99,60.84,193.78,68.68,207.09,90.60,171.27, ,198.74,226.60,111.23, ,60.35,75.89,290.36, ,175.44, ,203.03, ,96.81,151.17,57.41,43.53, ,251.13,172.18,286.59,65.73,164.00,260.86,234.95,244.11,126.66,158.97,236.96,126.50, ,79.44,194.80,172.40,74.09,40.42,218.97,94.32,263.31,77.38,155.35,147.31,155.25,124.28,294.39,11.45,158.37,226.36,213.85,221.41,31.15,16.54,61.13,66.64, ,144.02,186.61,74.95,27.87,276.20,126.78,224.27,200.31,134.81,229.01,174.89,264.72,233.49,197.84,281.48
 ,125.50,262.21,224.87,25.99, , ,184.04,163.08, ,178.24,286.06,160.86, ,125.57,257.70,195.49,21.90,77.66, ,39.87,192.55,171.51, ,110.32,76.61,226.33,151.63,95.26, ,256.20,140.05,240.77,149.36, ,267.12,49.76,60.35,127.36,66.79,158.70,211.02,150.50,44.51,290.96,261.01,95.97,145.48,184.86,199.18,228.30,148.17,101.12,173.33,122.88,5.65,117.23,216.89,54.01,269.86,101.16,50.41,174.97, ,59.83, ,187.52,12.44,128.19,244.20,42.04,241.65,48.66,264.35,26.60,226.94,63.33,227.34,225.22,9.63, ,231.47, ,81.60,85.34, ,29.54,186.34,152.97,145.28,198.37,238.45,37.77,280.06,162.26,291.09,103.43,126.71,181.56,116.51, ,26.31,291.25,242.95,90.60,233.16
75.34,240.90,81.76,272.14,38.08,138.71,169.37,129.36,183.53,20.78, ,47.09,258.67,95.40,75.32,279.70,47.72,18.67,105.44,11.93,232.57,91.78,247.24,64.58,277.28,172.30,37.72, ,296.40,20.98,279.43,22.64,41.08,75.88,151.77,92.80, ,170.67, ,117.91,202.75,267.65,141.72,10.77,266.36,265.21,50.11,280.70,1.85,119.09, ,270.86,195.46,251.05,272.31,184.04,291.97,230.33,295.17,275.79,237.46,21.49,33.07,205.50,267.98,224.91,29.94,93.82,271.46,291.53,134.09,206.45,29.03,91.07,107.88,80.48,49.81, ,82.88,175.64,36.09,113.61,132.87,175.62,280.83,49.81,54.57,131.05,254.41,271.70,75.70,59.09,88.37,91.18,229.17,59.95,69.75,47.05,182.93,260.90,143.15,88.37,236.09,78.36,187.25,169.11
88.63,83.99,89.27,48.25,141.99,283.69,281.76, ,164.68, ,28.44,85.97,294.29,36.23,212.55,122.71,186.43,9.87,88.34, ,136.59,287.59,101.26,226.54,13.70,85.40,119.67,174.93,176.25,272.70,109.54,71.61,82.60,201.08,71.28,198.62,117.79,152.66,85.54,51.05,170.43,188.20,18.42, ,194.67,199.27,69.65,215.18,178.04,161.93,269.42,129.68,279.94,29.95,101.42,250.04,279.59,88.86,104.92,196.26,112.10,143.16,190.97,142.61,256.48,0.08,166.70,103.18,145.64,45.64, , ,147.73,82.18,191.56,88.57,186.68,183.35,82.43,88.18, ,44.66,143.41,96.29,73.73,118.81,288.56,149.16,213.60,66.42,262.60,238.76, ,139.44,170.03,8.08,146.91,2.87,294.82,172.79, ,115.72,254.02,152.68,88.53,174.21
216.47,108.46,187.23,294.68,118.67,129.07,63.47,79.74,275.30,12.76,100.31,30.10,232.76, ,21.29,31.72,165.54,284.69,55.76,15.45,52.00,5.83,295.47,208.63,261.61,148.20,62.10,235.01, , , ,230.73,5.67, ,174.20,253.16,24.99,106.72,200.62,205.88,98.86,31.53,76.29,265.39,156.41,254.83,18.18,296.58,234.44,17.41,195.20,38.61,239.17,297.18,257.88, ,56.74,67.42,93.86,82.61,103.56,187.08,1.18,166.00,50.29,103.61,164.75,197.54,13.35,82.13,0.75,189.03,2.75,174.71,203.59,28.87,240.32,176.57,31.80,27.71,12.12,241.03, , ,261.82,181.44,71.99,29.14,239.68,217.46,128.51,71.71, ,12.03,4.78,105.13,281.24,59.48,128.26,18.05,198.18,148.27,8.89,271.27,270.13,187.37
131.68,156.23,136.63,62.39, ,167.53,103.02,248.24,183.02,233.63,82.77,298.12,179.41,296.17,298.70,36.68,131.03,239.45,181.73,182.49,229.50,211.90,104.77,248.10,44.73,137.63,52.25,152.40,164.32,80.98, ,117.66,278.95,185.69,44.50,281.53,222.89,279.55,136.31,203.51, ,85.23, ,137.48,164.33,261.79,150.12,160.82,71.05,130.56,238.81,250.14,242.71,251.88,128.44,61.96,212.28,117.18,258.31,271.47,23.81,135.54, ,296.35,129.12, ,85.86,147.34,295.27,209.03,12.31,35.33, ,247.61,186.59,278.96,93.08,165.07,237.13, ,233.48,213.54,152.99,144.53,35.40,90.37,86.95,281.89,176.94, ,197.59,191.49,79.16,278.14,10.91,283.22,148.74,8.87,16.93, ,17.25,202.68,288.10,210.31,111.90,21.30
284.84,73.27,38.36,139.52,68.76,265.80,203.53,172.96,146.67,184.75, ,87.43,213.01,181.85,188.95,204.31,253.94,144.01,201.88,254.85, , ,150.26,213.17,7.66,126.67,219.80,113.80,262.13,84.28,209.82,113.08,43.97,277.65,182.35,89.84,63.99,146.83,195.14,194.25,95.04,91.69, ,205.49,273.64,106.34,142.13,230.71,123.55,233.92,180.09,101.37,177.43,164.12, , ,285.94,19.16,51.45,18.37,56.06,189.24,109.65,241.99,287.64,38.09,77.07,34.99,235.47,40.25,4.10,23.71,56.97,296.90,76.88,65.36,7.29, ,116.94, ,157.29,2.87,195.16,113.56,258.37,142.58,148.62,95.82,136.73,215.20,261.20,148.90,125.02,281.17,273.13,57.70,240.75,25.81,140.51,66.07,188.40,97.49, , ,209.34,46.10
25.70,116.61,33.86, ,15.03, ,282.17,134.35,180.27, ,20.78,124.91, ,33.57,224.94,110.45,280.99,258.82,163.85,181.29,17.06,212.73,216.02,198.76,117.83,210.53,99.81,1.58, ,35.15, ,124.06,157.22,103.59,111.74,191.47,165.15, ,77.88,121.13,186.35,90.61,82.04, ,292.11,284.64,4.00,113.04,68.29,233.12,86.30,139.32,37.88, ,242.99,173.89,55.14,235.62,25.62,113.02,9.77,75.45,85.88,212.91,264.99, ,136.87,191.91,247.24,280.67,172.78,7.44,118.15,172.52,93.31,76.92,199.95,259.57,244.68,212.73,121.25,5.69,65.37,234.32,127.40,146.16,278.01,237.07,221.28,60.06, ,136.98,199.73,158.27,240.46,112.27,135.79, ,93.91,2.39,286.15,243.22,129.96,285.90,17.39,176.63
