Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47
87.53,276.87,41.45,53.26, ,10.58,255.65,65.74,38.33,13.69,9.42,275.84,203.72,18.52,171.11,67.90,71.33,118.56,278.28,71.19,219.66, ,175.31,81.46,90.21,181.88, ,215.85,2.73,123.83,120.06,5.05,136.63,124.80,94.31,138.79,228.02,247.27, , ,25.21,89.35,283.84,123.03,288.92,19.26,147.01
107.68,27.28,228.44,199.51,255.17,188.25,96.76,126.93,134.67,132.49,221.54,275.24,16.02,170.34,76.90, , ,169.41,128.90,53.95,120.60,66.72,192.30,144.37,194.01,171.35,203.07,142.82,137.47,142.46, ,219.36,68.70,194.56,232.84,24.52,113.00,27.98,225.93,266.22, ,245.26,111.97,209.40,26.63,113.62,54.67
 ,79.83,192.40,47.00,266.79,86.50,105.15,201.64,5.94,276.25,113.12,203.37,2.16,288.08,271.78,103.71,245.63,55.95,157.92,263.26,174.47,204.50,164.23,10.71,274.01,261.58,79.72,48.58,23.11,130.92,193.84,274.41,118.16,277.50,133.32,100.78,290.52,287.41,111.42,24.92,285.09,172.56,151.45, ,174.56, ,169.45
212.23,291.12,174.23,6.46,209.37,15.33,112.52,54.64,0.88,9.37,66.07,50.78,103.07,92.08,175.07,212.52,105.40,117.68,172.26,287.17,231.38,281.52,5.26,267.84,115.72,292.10,159.14,99.30,240.34,23.09,152.91,202.72,139.25,237.94,144.54,93.13,227.62,119.82,110.81,239.01,64.87,108.31,273.99,186.23,99.00,29.74,144.93
210.22, , ,295.69,73.27, ,0.89,293.14,274.28,172.78,145.68,9.12,77.87,255.92, ,165.24,267.64, ,177.87,207.27,290.04,99.30,177.99,242.33,33.96,251.94,117.41,10.62,167.31, ,123.23,58.99,102.63,298.64,204.50,264.30,283.03, ,61.88,130.01, ,163.97,270.04,38.22,81.33,234.96,208.00
 ,266.99,53.14,45.31,198.12,74.48,21.33,158.46,190.42, ,208.51,8.24,223.16,246.20,211.21,174.30,239.37, ,286.04,79.82,288.12,69.66,106.58,106.05,174.20,253.52, ,105.97,83.54,16.33, ,227.55,207.91,150.28,132.96,210.66,167.67,190.72,261.39,28.32,262.34, ,215.86,268.90,134.02,50.95,82.17
77.90,292.47,143.36,257.62,235.85,147.34,61.13, ,58.43,163.47,15.51,236.62,196.28,13.67,9.39,30.88,241.92,86.42,167.32,24.20,47.46,294.34, ,79.01,14.16,141.59,207.50,271.55, ,229.99,213.96,264.85,33.33,268.81,273.36,231.35,283.13,192.17,160.90,56.48, ,248.47,196.99,49.58,243.13,98.54,228.78
8.81,71.26,142.43,188.95,122.36,261.69,78.68,262.07,295.63,88.65,81.70,100.08,154.19, ,252.73,74.88,95.98,61.91,90.93, ,69.49,87.04,176.43,270.33,92.31, ,180.96,21.28,10.14,20.80,298.65,140.53,264.18,22.04,248.08,279.00,182.46,235.64,230.69,183.96,193.66,8.77,59.98,241.23,182.61,123.48,235.55
254.80,200.51,225.82,89.80,297.19,259.08,185.89, ,69.84,227.85,267.74,279.73,243.71,180.39,173.34,141.29,16.45,37.85,266.84,83.08,183.63,130.74,241.23,150.63,279.48,230.82,80.95,245.01,260.42,230.39,187.06,271.09,112.71,196.79,195.38,251.21,35.22,195.45,102.46,287.51,124.57,29.16,128.89,230.18,99.57, ,286.63
194.15,44.97,86.93,98.47,75.72,102.03,72.93,260.12,65.98,243.58,71.23,113.21,79.29,144.97,125.58,172.13,21.74,222.83,41.62,175.49,198.77,275.00,55.98,90.71,277.19,106.28,183.41, , ,122.02,202.57,70.39, ,92.13,190.16,33.42,76.29,110.23,125.75,109.79,172.64,38.07,38.04,90.34,180.30,79.55, 
