Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92
161.02,87.71,27.99,280.59,182.44,166.49,190.51, ,237.93,168.59,31.15,138.87,22.50,118.84,291.43,65.33,17.90,215.13, , ,31.46,241.39,246.16,268.08, ,206.02,194.64,26.99, ,25.74,52.20,49.91,1.46,171.05,298.49,70.23,145.14,289.41, ,235.57,147.36,271.78, ,166.42,211.61,108.49,219.31,81.94,204.31,84.46,102.76,161.54,292.69,274.69,93.20,217.66, ,106.43,54.70,177.14,202.65,24.69,128.07, ,97.28,5.34,165.05,264.69,281.09,33.26,239.47,109.75,165.39,263.56,165.77,53.25,157.26,106.66,90.08,219.20,81.72,69.10,32.64, ,13.74,6.61,230.64,79.27,298.46,51.34,56.11,227.83
163.21,244.74,279.92, , ,18.50,236.38,36.86,238.63, ,245.24,191.99,99.38,76.77,31.10,45.84,179.16,200.25,128.66,48.92, ,216.20,144.62,49.22,122.76, , ,233.08,276.10,51.57,88.15,286.96,87.13,218.65,224.26,99.72,36.57,125.39,249.11,105.35,151.49,286.17,12.21, ,288.31,87.33,18.78,231.13,215.75,276.92,179.40,286.53,1.14,289.78, ,259.80,99.12,287.37,194.86,4.53,287.89,17.94,253.94,163.19,62.32,289.13,297.73,235.65,254.84,151.90,188.14,268.01,222.99,72.55,254.97,48.47,12.25,174.92,212.98,278.40, ,267.53,154.17,160.07,176.06,168.20,135.55,52.83,202.89,195.36,263.18,69.22
284.69,80.95,48.60,229.29,275.50,248.32,118.05, ,294.11,14.17,191.36,131.75,196.96,209.54,103.14,286.92,166.68,90.13,171.15,46.85,184.70,143.37,61.72,160.35,7.56, ,198.91,266.51,65.54,122.62,209.61,270.16,171.28,8.92,263.85,35.70,102.81,2.27,41.10,277.54, ,152.05,160.49,198.19,86.16,196.20,214.27,39.56,72.08,141.97,96.12, ,255.02,75.99,280.09,211.31, ,172.89,145.70,130.30,106.96,48.55,285.87,203.95,95.88,157.69, , ,297.94,208.83,209.56, ,26.65,98.55,250.32,86.37,38.52,90.65,178.82,240.86,297.75,237.52,123.97,10.73,173.31,286.60,53.86,175.06,230.15,21.19,181.84,164.16
237.83,175.35,48.62,258.29,82.49,20.15,71.18,284.24,175.18,278.63,123.56,9.56,127.31, ,9.15,98.34,76.14,104.86,101.77,151.07,3.56, ,210.02,199.17, ,74.35,41.19,288.66,12.95,22.20,276.56,182.01,260.86,128.05,150.93,286.78,77.97,48.88,200.35,145.44,229.51,259.71,223.19,165.59,290.75, ,267.31,161.84,180.00,170.26,270.91, ,272.91,222.83, ,123.19,269.77,118.25,177.51,112.75, ,48.88,142.34,83.93,190.56, ,10.54,187.21,96.48,254.36,42.55,98.86,164.89,83.53,258.19,72.10,86.91,119.82, ,148.54,230.48,113.61, ,110.00,31.10,178.90,181.02,261.61,87.18,48.51,109.64,131.74
77.64,208.39,122.19,46.00,7.86,223.28,134.75,239.01,239.76, ,120.77,112.91,126.53,149.16,49.06,128.97,233.49,139.19,169.82,176.95,224.42,202.76,96.79, ,262.64,161.18,296.57, ,97.22,166.27,24.29,102.23,146.13,200.89, ,70.71,43.61,126.31, ,230.56,189.00,65.09,135.01,61.37,105.90,62.60,104.97,187.51,240.16,242.92,18.96,211.75,153.20,47.15,214.90,261.31,251.55,168.71, ,230.08,11.34,184.71,193.65,171.02,211.76,43.78,223.62,264.55,6.57,191.62,141.40,126.74,120.88,114.01,58.59,29.55,132.77,53.45,185.86,127.26,129.14,150.41,24.41,197.22,41.46,196.40,258.17,128.17,176.29,286.50,286.28, 
 ,230.31,145.46,282.74,213.78,143.76,164.63,179.15,199.14,150.69,103.48,118.68,187.92,173.84,229.85,190.47,279.16,292.92,236.94,97.33,87.54, ,252.18,94.06, ,14.68,103.94,273.58,49.80,217.60,35.92,83.75,82.10,47.17,187.53,50.69,134.83,225.95,90.40,143.80,43.61,269.15,276.63,70.18,104.24,250.07,135.22,66.55,96.74,292.34,97.82,269.12,181.26,282.39,230.29,76.09,284.68,121.46,287.98,287.74,179.42,232.38,271.64, , ,112.64,52.64,267.34,143.11,216.83,120.25,251.70,121.01,241.59,197.69,134.11,21.80,123.24,28.17,253.10,163.26,184.43,276.20,237.65,0.36,244.81,1.59,16.96,132.89,65.07, ,199.18
 ,212.71,164.11, ,117.21,297.39,85.44,159.14,150.93, ,5.41, ,7.00,75.15,252.66,194.68, , ,199.24,6.57,295.86,72.62,148.44,296.02,283.30,171.09,133.61,139.64,166.85,176.64,276.24, ,170.92,197.54, ,29.30,250.28,218.78,138.23,92.91,1.10,289.41,210.44,280.85,179.89,196.72,89.70,185.83,43.88, ,8.66,292.24,260.43,198.78,155.63,76.25,267.10,279.29, ,102.31,112.99,267.84,38.72,182.68,122.95,222.93,235.22,78.13,193.52,113.99,251.16,253.10,47.08,220.32,168.47,6.51,4.82,291.18,31.89,268.10,100.42,240.74,124.11,250.86,114.40,194.48,144.84,6.60, ,226.92,121.62,84.80
254.37,94.26,91.05,266.01,68.54,186.62,281.15,55.05, ,119.90,85.45,40.84,156.66,18.97,115.60,19.76,222.90, , ,169.96, ,115.84,43.87,153.79,207.96,23.79,28.73,13.30,257.88, ,251.86,85.08,92.85,286.13,183.74,236.56,280.12,169.54,167.26,183.51,79.97,216.06,121.08,21.13,90.99,264.67,250.81,110.30,154.58,59.40,95.50,92.02,119.35,105.35,133.57,178.88,81.20, ,202.28,242.49, ,68.97,61.88,31.25,63.43,268.62,224.15,118.79,139.75,277.73,224.74,233.96,24.84,198.55,217.44,188.69,145.63,215.76,277.43,79.70,132.83,163.68,112.46,73.15,220.60,197.31, ,131.27,187.03,147.51,63.87, 
298.13,279.57,27.25,160.89,297.85,155.29, ,267.75,123.86,64.61,117.27,36.93,158.91,94.97,57.19,280.52,156.97,58.67,127.51,231.75,13.52,89.76,276.18,19.06,277.46,274.79,293.63,43.27,235.68,158.95,297.08,71.96,239.73, ,67.24,156.66,159.82,91.47,58.32,53.94,126.43,133.15,131.24,264.44,80.55,142.73,99.76,145.38,221.93,178.72,122.31,290.88,117.50,17.01,231.32,34.19,208.56,278.92, ,243.36,92.76,166.30, ,148.50,99.61, ,278.33,109.89, ,92.02,132.82,7.03,179.99,121.89,208.55,128.35,44.16,13.53,18.23,236.00,191.26,237.16,13.94,288.72,47.22,158.84,189.78,244.18,207.08,158.32,166.87,36.39
138.60,1.24,229.62,23.56,272.85,299.72, ,288.44,4.70,173.27,258.97,128.91,246.21,187.05,61.85, ,272.89, ,274.13,77.76,192.71,184.22, , ,110.91,185.44,255.99, ,214.96,129.25,44.06, ,105.90,4.47, , ,52.26, ,130.02,78.65,128.70,227.01,42.98, ,158.59,243.86,284.77,288.18,85.77,59.23,98.50,95.78,80.49,190.59,278.06,45.07,263.77,233.73,20.13, ,178.72,92.50,102.13,25.82,219.98,89.83,136.74, ,294.22,55.46,200.44, ,245.52,283.66,273.97,242.80,95.79,138.87,159.16,22.50, ,242.48,61.43,59.96,261.53,148.98,238.98,50.52,294.94,242.53,64.72,160.40
