Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133
99.93,123.01,73.21,208.01,52.19,128.96,144.18,292.47, ,213.28,167.82,291.65,204.73,92.66,226.56,221.24,27.19,248.51,66.28,205.29,203.13,97.51,1.67,41.63,155.90,58.58,258.55,81.94,61.63,92.67,101.85,113.69,6.98,126.32,213.14,41.81,189.10,165.44,212.91,167.34,161.99,92.53,276.17,283.81,49.06,25.99,90.40,279.95, ,106.26,115.03,212.46,26.97, ,217.73,3.82,33.50,11.00,286.35,0.49,24.97,46.64,200.46, ,180.41,92.52, ,207.55,17.52,151.51,235.60,33.98,154.32,105.23,193.50,152.49,61.73,243.55, ,144.01,119.05,179.82,11.09,119.12,2.40,287.15, ,56.39, ,210.71,238.21,66.66,228.52,91.51,204.21, ,48.21, ,72.63,65.03,9.97,219.37,142.13,84.06,262.91,168.69,62.90,249.65,136.69,90.22,284.15,128.07,42.64,172.00,298.44,199.01, ,118.38,263.31,104.83, ,294.57,161.43,274.60,187.04,289.26,39.48,271.69,291.96,140.90, ,139.34,28.62
222.17,168.52,171.89,184.48,267.92,21.13, , ,212.43, ,189.69,94.89,45.09,175.71,250.81,25.33,33.94,273.97,41.59,52.82,43.93, , ,233.65,122.88,220.70,187.34,138.47,271.77,69.08,69.55,152.81,71.69,267.95,67.69,205.10,24.49,33.03,45.13,15.63,32.56,128.94, ,267.41,18.50,271.21,220.52,18.80,62.79,283.35,273.24,13.54, ,262.57,24.75,93.47,175.70,276.70,45.93,272.05,41.92,219.27,43.54,226.70,273.16,42.28,105.49,95.14,52.55,26.03,65.41,117.67, ,94.37,291.45,217.81,159.71,158.78,84.36,294.31,42.30, ,123.90,220.73,131.29, ,157.32,42.17,168.25, ,262.63,213.79,146.85,240.14,12.08,272.04,2.07,123.53,0.90,60.68,166.48,194.92,49.30,185.40,113.75,248.46,97.73,156.80,15.54,132.25,104.69,108.84,219.62, ,220.52,296.07,46.28,37.07,237.34, ,263.46,243.60,172.71,74.16,285.91, ,118.16,231.13, ,37.89,158.54,62.60,269.34
84.61,241.83,94.72,49.04,20.73,270.10,33.97,222.94, , ,138.04,280.51,177.46,202.57,291.67,74.34,169.93,118.39,133.07,36.15,271.29,174.74,250.31,285.65,228.59,222.63,70.91,127.12,221.54,284.38,294.87,174.21,217.67, ,50.74,12.71, ,69.59,118.39,16.30,193.14,223.67,11.52,18.91,242.96,168.33,153.65,286.06,27.99,20.46,254.47, ,187.32,86.84,221.56, ,25.61,256.11,115.65,243.85,106.26,75.00,114.15,137.78,256.52,3.94,170.33,203.15,145.73,274.42,227.88,151.85,81.03, ,196.68,146.61,181.84,106.24,147.58,294.21,291.42, ,268.41,210.14,217.90,177.88,196.51,273.47,59.25,156.32,251.19,108.62,113.74,88.66,289.62,264.37,114.99,189.14, ,99.28,72.57,132.84,51.66,238.36,297.85, ,259.85,188.23,226.47,210.51, , , ,236.49, ,60.85,37.09,125.97, ,281.12,252.98,63.49, ,61.34,89.12,128.25, ,54.73,0.18,251.43,208.57,37.84,248.78
199.35,190.49,152.39,16.29,204.38,296.71,141.13,126.28,9.16,251.99,82.94,133.75, ,42.32,190.32,171.08,103.93,145.34, ,16.95, ,221.32,289.86,232.53,84.77,179.93,46.85,271.33,77.57,151.50,228.00,24.47,296.67,134.46,123.73,158.95,15.38,226.74,38.76,176.01,254.13,11.93,299.76, ,77.34,151.50,216.97,221.70,189.99,150.51, ,172.75,9.17,271.22,193.37,95.19,133.52,125.31, ,125.08,50.31,117.68,99.64,95.14,50.71,71.45,17.12,73.96, ,262.09,190.37,189.26,224.83,34.88,168.23,175.22,135.50,114.63,177.28,132.46,199.99,270.08,134.71,175.17, ,137.26,60.18,111.32,217.55,80.63, ,165.82,299.27,220.55,38.64,263.18,296.45,288.68,264.37,181.89,166.15,276.80,111.88,199.52, ,33.62,154.76,104.08,35.22,218.23,144.03,112.29,12.51,3.80,239.83,160.92,293.34,56.17,24.50,281.07,212.76,120.39,50.64,65.20,29.86,234.98,299.48,189.02,22.74,291.02,20.00, ,13.34
98.10,89.06,75.95,36.55,91.59,141.29,169.27,45.93,162.14,152.18,108.84,232.16,155.18,21.66,236.65,71.68,129.88,158.54,131.94, ,223.54,137.77, ,64.92,21.11,205.35,136.48,37.45,15.85,263.36,199.76,72.50,234.77,132.18,108.21,288.40,187.67, , ,155.97,112.79,234.44,50.37,32.33, ,48.18,102.93,180.21,158.18,237.72,283.83,168.77,19.43,135.63,215.91,162.94,75.69, ,93.83,228.66,178.21,174.35,171.16,38.87,118.21,111.84,174.36,47.53,162.29,257.95,236.89,32.21,296.54,17.92,162.61,216.54,14.81,199.48, ,238.36,169.13,171.92,3.23,95.43,177.08,83.51,53.30, , ,0.89,231.40,13.40,7.81,192.79,253.70, ,192.06,18.75,10.78,24.17,162.07,202.65,233.23,31.78,27.55,238.47,176.67,191.73,37.54,247.45,199.65,285.86,165.07,112.63,71.25,201.41,286.52,211.79,53.06, ,80.61,95.81,65.51,150.66,163.09,67.62,296.25,285.19,258.90,200.59,61.04,36.16,23.92
 ,243.67,149.71, , ,196.81,104.06,83.47,185.45,291.85,176.34,169.98,44.58,164.88,220.82, ,215.17,55.69,169.86, ,270.87,9.57,155.65,190.04,37.85,119.21,260.28,115.38, ,159.96,124.72,210.85,254.76,253.18,247.33,259.42,93.92, ,261.60,41.54,277.02,227.14,109.09,91.77,17.68,84.43,176.32,218.56,78.48,156.49,291.91,48.35,73.46,138.16,268.50,186.69,259.08,41.76,1.25,292.65,185.13,26.64, ,245.20,279.27,121.26, ,100.80,191.94,47.14, ,15.64, , ,168.88,2.92,211.09,229.70,21.58, ,83.03,201.86,186.84,169.05,173.34, ,65.27,118.72,53.41,5.16, ,174.04,98.45, ,234.90,200.34,47.57,39.51,58.87,141.97, ,97.01,226.20,189.13,287.30,123.71,289.66,217.19,32.36,274.80,250.53,203.03, ,60.03,18.29, ,160.27,290.18, ,216.38,82.39,113.16,110.40,56.55,152.01,115.88, ,118.56,210.64,25.18,81.62,292.09,5.52
269.93,109.63,212.07,245.59,48.65,9.16,69.03,135.48,208.55,184.34,121.30,48.70,68.78,118.17,30.84,213.23,119.39,163.97,258.35,230.22,122.04,290.48,32.05, ,240.59,64.70,250.38, ,96.86,146.71,289.33,38.73,178.32,225.42,189.57,151.85,190.78,59.17,164.97,7.23,31.80,110.02, ,269.70,183.56,162.61,187.50,137.33,218.48,15.48,185.02,112.63,90.04,63.98, ,155.19,296.81,114.86,186.50,76.54,85.12,65.01,162.20,21.06,23.65,267.74,201.52,97.05,257.04,270.31,135.05,206.89,12.50, ,199.00,15.24,8.43,166.41,152.15,213.21,295.22,72.15,131.23,76.69,196.18,7.87,95.31,31.41,145.87,165.87,276.46,146.28,171.06,177.04,284.26,127.62,19.95,259.12,138.92,188.73, ,196.60,91.37,191.04,175.85,184.42,220.66,67.00,236.60,82.58,63.94,87.43,192.77,2.54,126.11,232.67,34.41,20.84,159.24, ,35.09,28.75,76.74, ,282.28,102.49,290.69,237.68,209.84,65.31,174.40,250.72,52.64
236.34,110.92,285.36, ,141.45,86.48,78.29,200.47,211.78, ,78.20,177.98,33.47,200.41,134.72,14.93,136.27, ,247.19,246.20,177.53,186.45,5.83,73.30,73.92,171.64,63.28,51.76,108.13,251.73,129.77,30.93,239.13,277.96,29.06,88.77,11.81,170.60,239.96,223.95,228.99,187.65,170.24,43.59,234.46,294.36,98.20, ,37.33,59.31,36.55,12.42, ,287.63,12.93,57.65,241.47, , ,278.91,68.53,181.07,17.83,67.21,200.73,153.35,207.87, ,191.35,187.91,77.05,199.56,59.30,246.11,168.91,24.85,143.77,252.68,65.18,213.97,28.85,34.56,270.40,181.84, ,69.75,278.04,247.95,130.71,228.80,253.30,201.50,147.81,277.59,14.03,208.53,134.56,229.79, ,41.36,103.22,23.22,220.39,99.55,225.34,131.88,137.24,3.49,283.73,139.73, ,245.45,161.59,157.89,151.64,132.74,202.57,128.32,295.48,153.72,148.29,30.43,174.90,253.76,150.08,176.78,172.45,15.20,202.23,125.43, ,258.18,175.02
287.29,28.74,82.92,58.53,257.73,295.49,262.56,274.17,209.31,41.10,117.74,233.76,200.58,263.28,146.59,192.02,67.50, ,150.42,102.65, ,111.45,229.88, ,204.05,208.33,283.75,124.33, ,115.16, ,78.44,7.83,10.26,284.24,185.83,79.08,105.66,99.93,114.75,71.17,116.58,25.39,219.35,159.23,264.88,254.20, , ,260.06,103.74,178.22,78.96,278.06,142.18,256.78,251.91,275.73,7.45,168.83,150.84,19.77,146.77,159.03,236.01,30.93,63.40,29.33,166.45,26.99,85.37,265.57,11.72,105.77,242.42,245.98,2.65,208.97,239.73,233.15,187.10, ,250.49,244.83,39.67,119.84,37.58,13.87, ,255.17,134.51,155.21,290.85,46.25,7.29,267.83,161.73,204.51,105.43,22.05,117.40,18.12,11.84,179.58,237.05,267.31,32.34,152.05,280.38,223.02,184.29,228.10,45.78,123.25,210.33,49.48,119.56,193.43,189.32,218.09,207.76,197.94, ,50.00,288.29,186.31,132.59,204.05,122.94,1.86,246.97,23.64,266.72
168.13,280.56,16.21,148.90,4.88,209.52, ,197.80,238.61,135.77,77.80,138.71, ,112.86,163.39,36.12,227.73, , ,145.40,15.23,146.04,83.31,74.99,253.37, ,127.12,89.98,228.31, ,244.55,80.79,178.05,238.05,21.16,14.08,110.72,160.86,49.43,12.32,79.77,202.58,92.81,243.96,44.83,17.09,214.20,97.32,214.79,198.03,201.65,102.51,241.42,269.12,207.54,115.27,247.13,141.29,134.37,37.66,257.89,168.58,152.64,264.33,1.27,3.38,74.47,215.28,69.26,6.75,165.85,264.11,139.86,152.92,190.65,153.43,245.34,20.63,287.92,165.40,147.33,192.11,274.66,237.69,291.79,20.72,66.45,270.62,90.23, ,280.88,33.98,259.45, ,57.42,135.01,33.10,91.60,204.14,32.59,110.17,86.27,182.02,115.72,59.04,276.18,186.84,273.57,249.74,166.31,73.49,229.99, ,21.58,187.80,64.39,198.01,115.90,270.80, ,123.45,50.58, , ,89.92,253.69,270.40,46.82,121.33,150.48,298.40,292.79,246.66
