Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93
252.22,4.30,182.58,107.34,235.63,104.88,229.92,237.44,121.88,237.40,75.59,113.56,257.14,140.54,231.89,157.75,33.86,162.03,62.74,105.79,21.75,262.68,176.71,186.88,233.21,62.13,188.67,207.32,230.36,261.57, , ,46.36, ,208.38,44.11,114.87,199.49,5.16,202.25,38.04,138.49,262.98,50.99,54.61,69.04,158.38,161.24,277.65,259.08,262.95,63.78,45.67,103.36,114.42,256.10,206.47, ,169.45, ,8.13,262.58,98.96,8.46,98.66, ,57.74,177.02,235.92,106.60, ,157.43,63.82,166.08,208.12,139.74,246.63,146.49,225.05,30.17,205.65, ,119.73,91.77,247.50,251.59,226.88,211.53,73.62,106.57,233.18,183.65,234.05
229.67,256.57,173.44,80.78,109.71, ,201.47,136.34,148.84, ,158.64,96.53,127.02,276.16,190.51,143.38,191.34,267.84,248.18,38.00,143.55,229.45,49.18,168.73,275.54,134.38,161.14,66.44,133.99,48.36,202.42,149.07,264.80, ,212.97,279.68,101.73,171.38,176.56,2.86,273.62,289.28,223.17,174.25,54.17, ,78.68,151.43,213.04,44.66,29.20,134.40,104.58,142.50,138.34,241.57,114.20, ,222.01,202.71,138.10,13.11,35.56, ,263.31,65.45,200.14,10.82,65.79,296.32, ,134.67,295.68,163.08,110.44,226.04,181.34,270.02,161.92,26.84, ,72.27,276.87,271.25,6.95,103.09,245.33,137.94,152.87,157.28,76.29, ,89.44
142.32,18.17,65.04,115.39, ,291.99,89.69,298.49,0.28,99.91,258.77,239.82,203.70,263.79,39.46,69.43,184.30, ,188.55,226.35,227.86,295.92,133.31,237.15,259.44,29.86, ,267.70,109.14,241.97,151.39,114.91,144.61,49.70,187.76,252.30,171.49,187.61,129.24,47.31,106.21,89.04,83.53,156.13,228.14,265.60,79.54,0.34,79.72,250.09, ,202.39,165.16,46.78,27.55,22.62,299.76,175.78,192.18,167.15,160.66,50.45,44.79,240.53,210.68,219.02,284.24,37.32,19.72,124.71,277.64,134.01,255.99,288.42,242.31, , ,120.83,43.16,114.42,134.56,274.26,203.26,174.99,107.90,24.68,242.00,79.95, ,35.94,268.14,28.11,117.12
244.55,174.25,215.01,244.73,132.20,143.37,173.31,198.60,108.63, , ,211.16,90.67, ,58.82,199.94,248.32,127.08,205.27,263.91,181.99,195.41,47.39,53.62,184.72, ,15.93,50.92, ,141.60,89.53,5.37,82.95,20.49,2.60,147.29, ,29.28,184.38,217.93,263.20,55.22,289.24,216.52,298.23,181.76,223.75,177.78,165.12, ,75.15,159.46, ,148.43,271.11,161.32,203.31,238.31,209.37,29.67,267.70,260.11, ,183.85,78.09, ,209.56,171.90,190.22,144.20,46.08,71.46,4.34,31.92,233.29,170.19,67.18,290.86,287.36,211.14,269.25, ,178.81,187.63,229.19,66.63, ,181.94,235.46,14.06, ,247.34,299.12
275.86,201.16,124.37,214.29,61.58,59.09, ,246.72,190.65,229.45,256.77,197.78,297.67,159.61, ,68.29,69.49,262.75,47.30,62.97,130.48,184.08,64.94,136.30,36.20,157.21,21.77,92.47,266.27,73.61,163.50,218.60,186.04,203.63,268.47,194.92,91.16,288.52,224.55,83.85,189.82,155.44,209.66,125.59,252.22,268.80,41.09,48.71,68.75,160.47,218.95, ,10.11,124.70,58.94,250.05,139.34,175.13,100.77,176.52,75.26,245.50,116.81,239.69,201.66,204.41,110.98,75.06,94.20,287.29,149.28,172.83,128.46,39.55,170.99,205.93,291.79,137.22,284.33,152.55,268.94,124.87,16.76,201.02, ,188.31,248.98,136.92, ,184.87,183.35, ,89.28
185.03,139.33, ,216.24,111.04,203.14, ,219.89,166.13, ,54.44,184.52, ,122.12,16.73,17.58,292.51,74.70,47.58, ,272.63,17.35,15.47,19.58, ,155.43,171.22,201.16, ,81.27,97.62, ,196.90,87.35,39.94,66.95,76.08,60.14,255.46,221.83,163.40,16.31,49.13,109.81,53.69,31.56,182.93,66.46,180.12,269.24,15.86,7.58,274.29,298.30,211.53,105.69,122.54,93.76,9.54,121.96,288.87,114.95,100.56,251.62,35.22,200.75,257.04,143.01,276.04,161.09,61.44,262.50,88.79, ,98.33,177.60,248.69, ,120.48,157.93,112.37,292.97, ,250.01,87.23,197.47,42.44,289.98,47.55,98.01, ,196.34,107.21
12.32,34.43,270.01, ,82.37, ,95.49,147.89,116.95,214.40,71.68,35.47, ,209.42, ,139.03,214.43,133.17, ,167.60,54.56,264.46, ,162.33,175.19,249.35,39.46,37.63, , ,192.04,282.52,60.98,146.21,67.78,202.15, ,261.70,206.95, ,52.41,276.26,98.71,219.73, ,257.36, ,30.46,162.72, ,223.70,58.52,202.31, ,54.64,62.96,91.83,5.37,77.61,71.84,207.24,14.49,248.94,249.13,105.16,292.38,35.55,76.00, ,113.90,83.85,98.89,90.62,50.76, , ,6.70,239.62,56.43,247.22, ,226.61,297.19,142.88,45.90, ,75.11,3.33,31.56,204.35,190.23,57.04,287.50
97.78,62.02,163.34,174.45,235.85,45.86,142.74,200.73,46.01,94.39,134.80,151.55, ,41.78,5.16,281.76,195.40,130.92,72.22,224.06,76.00,166.76,66.66,131.57,291.37,222.65,242.21,192.26,296.72,275.62,31.66,70.78,166.27,276.67,41.85,59.38,124.65,48.68,171.50,19.57, ,242.23,229.86,95.84,287.54,186.85,61.54, ,288.59,261.90,248.99, ,8.37,290.64,170.28,106.01,201.52,38.18,172.47,134.57,179.27, ,66.12,59.73,171.75,220.86,13.58,137.40,178.21,170.22,129.28,218.73,253.69,217.98,60.09,232.01, ,54.13,131.41,86.32,37.42,262.62, ,132.46, ,10.68,198.03,96.75,42.13,203.89,194.54,289.84,233.35
145.85,44.84,153.15,19.02,265.81,61.63,114.10,141.84,37.58,248.17,290.07,110.89,220.06,195.30,85.99,228.15,116.12,209.10,104.16,159.83,209.76,184.00,291.57,148.64,65.71,163.49,87.11,249.74,279.80,217.07,273.67,297.63,118.21,59.06,134.84, ,44.60,176.33,131.94,217.09,267.87,24.57,101.01,273.38,278.75,25.25,92.09,42.17,288.67,240.95,83.74,203.36,0.21,196.79,281.85,293.23,127.78, ,228.80,246.76,295.51,62.22,157.26,82.22,221.35,280.09,114.86,35.75,140.14,140.00,97.29,265.52,81.67,20.39,0.07,47.44,32.32,35.63,42.35,228.73,148.98,96.09,48.75,207.04,247.28,161.18,0.92,91.59,110.02, ,110.09,140.49,111.45
141.30,292.50,229.76, ,138.58,71.97,184.13,76.23,26.05,175.97,64.11,109.56,79.53,284.22,43.11,270.12,231.19,285.76,200.91,298.47,294.25,226.83, ,3.06,75.51,185.75,4.57,212.05, ,114.66,91.50,252.81,151.03,32.77,74.34,78.75,273.18, ,200.01, ,203.07,268.20,146.90,148.11,282.74,233.04,189.73,255.17,86.16,26.53,242.98,52.62, ,25.80,16.92,46.10, ,7.24,272.42,248.51, ,231.24,87.38,37.06,283.81, ,90.01,17.03,7.01,54.72,95.45,197.60,195.55,150.15,285.04, ,233.55,211.27,90.42,193.44,110.59,7.09,267.26,25.71,220.23,54.97,190.80,298.51,99.97,62.21,90.76,59.69,127.87
189.10,269.62,45.78,259.78,88.89,266.09,227.29,209.95, ,100.75,285.73,286.66,75.04,182.22,49.11,87.68, ,5.97,178.17,69.90,104.61,65.00,273.39,257.01,274.56,284.08,229.96,147.91,71.94,203.65,186.43,119.43,205.81,196.20,177.14,221.94,124.90,52.44, ,9.45,253.78,265.70,183.65,262.93, ,100.26,66.30,218.89, ,124.71,89.41,188.28,130.63,180.41,222.47,96.79,260.31,185.60,165.60,188.62,274.31,228.79,289.47,1.92,108.69,186.33, ,74.61,165.95,134.02,167.10,80.30,73.03,284.62,296.47,187.66,28.18, ,111.20,269.29,275.49,239.76,276.08,236.44,141.02,63.72,48.17,204.83,249.46,131.80,32.17,136.16,213.84
