Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52
 , ,208.47,132.77,187.89,130.05,43.50,16.44,184.08, ,45.36,239.31,277.73,35.44,128.20,192.75,79.44,297.88,199.85,160.04, ,89.36,181.30,187.22,56.03,270.78,154.17,127.06, ,222.18,18.65,247.15,240.12,117.80,67.57,42.01,202.93,106.49,1.56,78.44,106.60,281.53, ,92.72,283.92, , ,189.39, , ,7.54,114.14
 ,185.00,27.63,191.13,100.44,230.73,36.23, ,71.28,55.73, ,270.09, , ,140.77,192.35,292.79,60.34,82.35,50.19,25.98,26.75,271.52,47.64,124.82, ,293.12,108.88,26.25,129.05,3.16,41.42,131.44,298.09, ,147.42,105.99,226.93, ,226.93,225.97,295.71,80.93,254.20,252.29,299.83,117.64,147.18,31.99,46.57,172.73, 
20.47,192.64,64.20,3.43, ,233.88, ,284.65,157.38,147.30, , ,262.96, ,196.47,159.17,220.07,23.10,28.81,254.68,160.60,147.58,112.88,280.77,83.97,122.55,38.32,244.62,221.53,214.71,267.35,63.98,43.69,100.37,286.43,294.96,161.43,239.69,134.01,104.29,263.50,194.28,87.77,136.63,63.43,253.46,237.58,259.70,242.56,109.75,38.27,207.59
 ,163.39,64.92,110.27,276.32,224.20,262.63,132.74,251.93,234.82,297.80,264.21, ,124.58,132.25,255.14,112.32,194.00,15.94,45.40,261.44, ,278.57,134.17,135.10,251.66,139.08,110.50,207.00,25.04,86.98,60.54, ,274.65,189.55,263.94,174.97,150.20,261.19,223.38,15.14,199.12,33.21, ,183.36, ,34.33, ,182.54,7.95,43.01,285.40
261.57, ,214.27,12.15,103.00, ,37.27,274.60,153.87,113.92,169.93,125.96,88.45,206.60,272.68,238.42,167.06,166.24,111.87,143.56,201.13,218.64,178.39,28.72,205.98,142.20,163.83,227.31,66.01,6.90,235.96,90.71,191.17,241.90,174.40,51.17,133.22,37.20, ,108.18,175.56,176.82,176.84,224.04,153.21,46.41, ,278.13,21.96,61.95,110.94,131.29
3.24, ,285.12,77.80,19.96,35.63,254.53,217.04,1.68,111.52, ,239.60,67.34,277.04,219.97,102.70,235.99,190.84,39.71,264.37,8.60,239.81,91.27,141.30,98.27,220.72,216.00,292.59,269.31,179.45,5.14,225.76,125.55,272.19,230.46,152.67,52.56, ,249.56,129.34,157.72,146.29,227.55,210.69,14.64,60.48,6.38,75.83,163.70,147.83,105.90, 
197.08,199.53,255.55,123.84,57.32, ,164.03,119.03,211.72,263.92,168.66,287.27,5.68,172.51,133.07,270.57,85.58, ,243.05,209.82,186.07, ,189.80,219.22,208.60,13.42,187.79,168.07,211.12, ,107.94, ,24.46,81.58,260.65,236.48,188.24,83.12,221.20,13.57,282.20,240.15,222.60,273.73,89.53,172.66, ,152.81,162.02,52.46, ,30.82
 ,23.28,197.51,253.49,45.12,96.37,135.66,235.93,27.96,59.61, ,188.80,11.82,149.44,94.11,224.12,243.37, ,66.89,251.94,48.10,271.52,232.53,155.16,210.82,16.49,30.02,174.85,267.37,247.07,76.21,260.62,180.25,250.97,84.25,162.95, ,249.45,277.02,84.97,93.48,205.65,95.16,69.76, ,125.86,43.95,26.21,36.93,252.55,267.97,264.24
283.66,73.15,68.47,273.96,10.59,175.18,109.84,193.38, ,211.97,181.06,12.38,109.59,24.72,262.05, ,126.90,128.40,8.90,206.87,260.52,180.08,83.62,199.42,116.36,224.15,286.07,36.98,77.31,136.22,219.84,208.37,59.29,49.14,202.74,136.95,31.68,110.33, , ,74.92,130.69,83.56,64.63,97.05,190.02,265.67,74.92,212.72,233.92,72.70,249.66
101.77,276.49,140.69,154.01,197.17,220.60,48.11, ,1.30,84.25,198.37,98.47,30.05, ,184.07, ,81.23,138.24,53.14,100.87,262.44,224.81,160.44,101.96,186.21,5.42,142.50,35.55,39.22,113.57,249.67,144.29,142.33,127.38,196.85,284.16,106.21,119.50,135.07,211.33, ,216.75, ,149.42,189.63, ,3.21,156.69,181.15,155.32,14.97,60.53
34.93,49.44,39.31,78.96, ,100.25,144.17,15.62,47.53,182.23,208.46,111.23,100.23,76.76, ,257.02,6.45,283.56,185.34, ,94.13,239.23,193.78,62.06,253.18,274.64,235.21,3.63,106.14,47.71,237.06,130.84,135.85,283.68,157.31,256.77,41.74, ,70.26,52.51,253.40,184.41,43.94, , ,33.43,24.53,78.91, ,13.38,129.88,220.53
67.85,76.36, ,265.31,5.49, ,187.66,279.84,271.95,109.08, ,176.93,60.83,16.74,57.98,203.86,225.31,129.26,54.88,163.96,40.89,134.06,161.01,298.21, ,144.67,177.31,266.09,149.06, ,50.15,263.39,44.55,215.29,100.41,74.87,297.17,156.54, , ,13.43,289.73,224.91,49.77,207.84,166.66,126.36,109.26,229.83,206.37,228.75, 
152.97,14.08,295.13,297.92,180.97,112.38,74.46,132.31,160.11,18.47,295.13,31.07,150.19,53.26,42.87,52.49,114.89,247.20,107.31,210.35, ,263.51,9.00, ,282.18,222.60,259.04,255.99,14.21,64.44,298.85,41.52,81.30,29.33,134.25,87.29,122.07,130.81,190.16,170.80,89.39,298.89,24.89,248.16, ,106.71, ,45.63,13.11,109.32,94.17,209.29
162.18,263.52,100.99,89.19,179.06,99.91,30.88,209.83,298.35,134.33,94.96,273.01,185.92,156.98,204.19,230.55, ,174.32,179.66,181.72,26.23,262.54,257.27,287.16,145.89,19.29,188.99,14.69,274.32,66.41,200.02,69.41,226.76,149.52,130.99,200.99,190.82,151.08,88.07,204.99,75.89,109.81,167.22, ,43.83, ,264.88,258.74,243.41,78.10,208.61,295.93
133.06,69.39,268.91,241.75,146.29, ,164.38,225.31,231.85,195.97,10.08, ,264.88,192.03,19.71,90.44,170.65, ,269.44,13.46,218.90,228.98,122.64,107.85,261.13,225.71,15.87,295.45, ,251.32,104.91,213.92,156.46,229.28,175.14,149.49, ,108.68,85.58,99.92,154.84,119.23,169.57,3.80,128.74,143.25,52.26,75.69, ,292.19,27.68,107.08
3.47,226.16,264.26,160.97,180.41,94.25,2.70,265.36,227.63,268.95, ,207.88,99.68,133.08,140.11,165.28,282.27,195.07,108.76,15.52,5.67,265.37,105.49,51.83,78.01,139.43,221.34,113.32,250.06,59.70,151.03,181.95, ,246.93,142.87,76.46,23.55,239.32, , ,226.68,257.17,238.79,50.40,183.30,218.12,20.30,279.78,187.60,87.23,253.51,71.15
296.78, ,242.56,298.79,290.86,117.39,110.24,293.48,245.49,17.52,52.76,138.00,235.46,161.12,117.93,66.39, ,190.58,103.11,207.19,193.32, ,165.59,136.95,82.51,69.08,242.77,74.07, ,268.26,214.83,275.27,41.83, ,154.58,80.20,135.14,153.45,258.15,89.86,243.37,194.90,289.31,128.85,198.38,167.50,258.15,131.70,217.13,240.94,231.12,178.96
111.72, ,78.47,23.19,232.50,189.52,265.01,208.76,167.13, ,92.07,118.10,260.84,37.65,24.29,55.85,253.57,263.00,285.50,237.15,211.78,218.93,254.74,34.12,92.59,284.51,17.00, ,29.57,98.66,57.79,23.42,258.57,136.17,275.94,247.56,215.50,95.23,273.27, , ,157.03,167.03,44.40, ,111.13,254.89,235.07,263.30,82.52,14.53,292.69
121.70,17.27,105.38,219.17,153.79,137.81,178.50,252.41,157.29,19.67, ,146.70,223.10,0.04,16.31,40.38,73.89,275.14,215.11,201.42,129.27,289.44,216.97, ,115.84,171.36, ,159.26,187.64,93.15,102.12,237.84,151.05,167.83,30.98,93.40,173.19, ,8.34,180.74,4.37,134.11,40.80,148.35,47.83,129.82,55.93,175.52,284.46,149.21,267.72,200.12
77.57,19.91,136.74,234.56,113.19,86.13,202.87,209.37,147.19,78.55,240.30,251.77,136.81,81.68,153.03,99.97,165.56,106.28,268.61,278.43,130.91, , ,197.14,13.11,23.77,26.37,81.01, ,87.81,126.00,42.91,108.19,217.98,52.90,214.20,111.90,299.03,260.17,46.66, , ,16.06,130.76,280.12,289.15,81.33,189.83,116.71,281.23,202.16,262.79
157.05,27.58,265.96,269.68,61.04,236.79,164.72,102.67,283.76,122.58,155.00,277.26,227.81,246.56,35.79, ,223.52,238.21, ,278.81,149.34,53.98,114.14,127.43, ,203.06,204.60, ,270.00,119.34,170.87,88.17,124.67,70.73,178.66,136.84,15.07,82.43,247.40,68.05,291.07,227.69,199.84,210.33,204.46,17.41,266.06, ,181.46,123.36,191.91,166.25
277.98,133.83,164.65,17.95,15.19,34.05,288.77,41.65,168.38,17.98,188.83,265.47,271.63,214.57,196.90, ,96.77,60.32,127.50,23.62,179.03,115.91,149.71,294.43,227.83,102.01,94.50, ,266.66,159.25,115.14,212.16, ,255.94,200.66, ,76.66,43.45,152.62,180.66, ,144.38,262.17,69.71,80.19,11.15,191.42,270.28,89.31,284.86,260.20,231.52
 ,9.02,231.62,245.11,211.35,297.22,66.45,38.36,291.72,109.95,151.47,259.75,290.38,16.41,23.95,183.95,280.02,25.09,61.33,227.94,239.57,133.09,277.90, ,144.53,149.66,50.44,34.70,93.95,19.35,102.14,162.69,97.59,239.36,150.74,80.09,95.55,163.94,89.99,283.33,267.55,281.87,189.37,137.24,80.27,237.00,6.75,20.46, ,99.17,198.82,216.88
86.41,14.41,111.73,3.95,0.87,118.41,12.13,61.95,142.32,195.06,245.21, ,218.68,24.22,217.28,248.01,242.84,198.40,234.47,40.46,184.34,44.39,0.45,271.30,26.76,168.24,138.12,195.05,21.57,133.10, ,252.70,289.93,178.35, ,112.60,284.38,27.19,222.57, ,30.13,71.16,138.94,117.47,205.13,294.46,278.84,42.62,132.09,54.66,162.97,128.31
83.58,188.28,93.41,87.87,66.71,109.33,241.42,296.09,159.05,263.89,34.70,222.98,16.39,104.26,170.97,280.30,275.71,147.01,179.02,142.91,177.62,100.60,116.99,221.24,92.21,195.32,226.73,202.44,252.55,246.78,252.25,180.73,252.12,201.12,250.72,117.31,205.14,85.17,235.68,138.48,90.73,137.16,196.18,151.98,215.28,295.07,156.76,92.09,27.77,166.25,268.29,231.42
