Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118
160.22,110.07,275.09,180.76,220.38,93.02,180.73,55.92,0.91,88.97,218.98,178.37,190.66,222.77,30.64,23.44,49.44,24.40,92.87,19.56,188.45,16.56,193.20,287.47,67.05,295.01,125.03, ,15.69,155.05,157.45,247.37,170.60,72.70,173.76,214.69,166.31, ,235.48,276.05, ,43.10,109.58,124.43,261.41,109.76,64.04,237.62,15.52,92.30,3.35,66.08, , ,245.31,167.87,32.69,280.34,90.22,104.93,72.87,54.77,182.81,149.85,130.23,228.65, ,232.00,19.67,41.65, ,98.29,261.12,210.75,206.78,31.38,215.62,78.06,286.89,89.21, ,219.44,9.94,255.69,30.55,91.98,227.42,170.48,148.45,258.10,208.25,121.29,174.69,298.01,212.44,234.29,40.17,51.29,295.69,292.04,282.34,98.43,271.35,257.11,270.38,209.71,174.27,98.58,256.55, , ,55.47,218.17,282.05,145.74,276.43,3.98, 
102.40,193.14,125.65, ,40.85, ,215.12,18.89,210.20,158.12,170.96,297.36, ,266.81,246.25,250.12,202.02,52.63, ,123.94,78.00,237.05,85.94,254.30,116.26,220.32,243.69,260.84,57.87,207.86,175.59, ,125.82,292.24,123.67,2.39,135.30,256.92,253.96,90.25,225.35,279.11,198.44,160.57,128.25,47.35,265.50,118.77,251.56,269.77,168.30,95.10,140.18, ,94.15, ,152.94,184.56,286.20, ,146.76,30.68,269.83,202.17,147.89,119.84,263.27,127.20,290.18,75.62, , ,203.32,22.70,84.72,275.98,57.18,90.20,59.41,116.99,228.32,255.09, ,218.36,50.98,233.41,229.41,152.15,178.93,121.87,137.03,144.70,33.81,94.95,26.86,238.66,83.30,243.53,127.31, ,178.30, ,60.09,283.73,44.25,264.54,31.38,142.75,106.31,143.51,298.23,56.24,158.81,140.42, ,267.73,45.72, 
53.83,225.00,118.35,200.22,135.38,184.46,107.67,154.69,192.03, ,248.28,280.36,230.21,58.84,46.95,43.97,158.39,251.87,68.44,96.17,56.51,35.80,135.43, ,86.61, ,208.16,132.04,254.72,271.24,260.20,118.13,45.05, ,296.92,22.71,268.65,274.55,209.85, ,236.42,218.47,240.76,21.92,15.15,135.06,290.20,4.57,99.43,84.85,46.54,76.40,225.97,239.14,160.29,54.24,146.85,251.75,99.33,160.42, ,295.48,240.51,105.45, ,155.07,243.86,91.01,166.19,270.71,239.37, ,293.61,200.50,179.46, ,153.13,180.13,144.02,43.95,86.46,124.92,226.47, ,17.48,9.32, ,114.65,190.74,267.45,68.81,297.91,299.40,205.47,254.47, ,298.42,247.00,109.15,17.67,31.67,266.96,69.63,155.64,217.44,10.91, ,244.67, ,244.07,55.14,139.31,284.15,88.86,228.93,119.68,75.93,281.76
192.34, ,47.98,287.02,105.76,164.66,56.71,294.49,69.47,80.86,102.25,262.95, , ,153.08,236.89, ,279.77,127.26,244.74,36.38,27.87,181.31,116.00,72.79,265.12,138.40,293.13,102.17,204.49,179.60,200.01,74.48,80.79,229.14,123.85,42.17,24.81, ,140.82,2.80,84.26,36.77,186.82,25.65,298.25,92.95,188.78,71.34,57.77,297.71,96.93,125.46,288.04,178.66,168.09,27.22,75.16,175.83,157.75,175.33,190.25,152.85,245.26,147.60,197.26,86.32,108.53,242.84,260.73,225.44,2.97,81.17, ,257.01,174.40, ,30.40,183.71, ,128.98,275.37,4.70, ,298.89, ,241.73,90.84,251.22,66.20,0.83,220.54,184.42,116.33,125.33,283.57,292.85,116.02,244.55,88.90,119.61,292.99,43.89,124.57, ,190.77,4.31,119.54,219.51,78.48,39.81,2.93,236.40,164.41,60.02,293.51,104.74,215.89
55.51,290.65,3.19,249.63,216.50,269.66,283.64,155.36,291.70,71.85,273.76,132.72,221.39,256.69,137.85,192.21,172.28,243.99,64.27, ,280.77,152.65,246.42,272.14,192.49, ,120.59,277.97,137.97,79.53,225.49,267.23, , ,0.55,14.99,248.34,45.59,50.62,157.53,134.50,143.90, ,264.49,147.09, ,46.45,1.74,214.71,89.64,108.48,80.17,155.01,21.45,239.63,62.96,23.48,224.56,162.38,131.87,240.77,138.58,46.99,259.16,109.28,287.14,138.98,41.23,95.83,194.58,134.74,132.62,154.99,25.61,150.86,248.87,207.15,78.85,227.76,215.84,86.80,254.79,270.29,219.77,58.70, ,193.44,234.19,226.88,77.27,142.24,193.13,141.90,12.72,208.33,11.88,137.53,200.16,185.16,283.08,254.88,52.85,169.31,199.98,278.42,40.46,212.01,54.53,214.16,149.95,117.98,67.86,76.70,18.82,164.21,213.13,99.32,267.40
253.03,64.83,144.63,52.11,38.87,110.54,173.90,75.53,122.33,247.39,111.42,160.88,268.09,94.71,40.00,36.04,229.48,224.48,206.15,130.74, ,241.29,257.13,273.60,24.12,196.40,228.41,84.04,130.70,298.74,198.05,234.15, ,35.02,64.44,92.15,186.20, ,84.26,38.26, ,62.38,277.93,103.26,69.57,271.23, ,169.34,66.88,16.75,138.51, ,79.68,16.83,99.83,50.14,191.56, ,253.94,291.81,86.10,9.04,103.58,99.43,62.33,76.40,223.53,211.38,294.59,62.01, ,215.32,168.01,118.59,60.81,173.70, ,6.05,280.93,245.97,82.54,246.68,87.37,73.86,215.39,134.58,28.91,192.73,238.25,158.10,60.41,293.84,147.07, ,128.00,15.96,192.06,155.05,111.63,124.86,240.66,244.96,222.22,110.79,253.45,119.82, , ,67.42,226.43,1.48,176.82,262.80,41.70, ,153.33,244.75,83.76
 ,1.83,223.87,22.00,223.01, ,93.81,18.32,147.61,26.77,262.45, ,31.33,282.69, , ,95.96,209.55,111.62,294.30,24.00,212.82,158.12,40.82, ,66.11,267.67,128.96,137.08, ,222.98,112.67,102.27,65.16,142.65,223.21,212.28,153.25,194.22,288.82,90.68,1.14,138.53,146.55,231.09,30.10,116.83,16.29, ,81.46,194.04,154.15,170.52,184.24, ,195.61,230.60,155.30,3.88,25.75, ,256.85,92.57,107.62,127.22,286.73,257.66,166.92,211.77,213.16,33.07,291.63,139.33,172.81, ,166.63,132.24,53.67,21.68,230.64,291.81,243.76,215.03,67.40,36.31,240.00, ,148.73,155.42, ,28.22,83.67,155.96,123.97,38.93,74.22,102.67,226.93, ,141.95,33.92,207.26,108.78,276.68,163.53,245.57, ,4.70,55.18,264.98,70.29, ,144.52,127.46,200.40,177.08,44.85, 
252.11,19.92,26.45,155.23,223.00,18.86, ,74.04,134.68,158.66,277.97,112.06,213.73,279.31,54.81,1.81,276.27,285.87,78.02,123.19,186.31,255.42,113.52,202.38,282.64,86.80,64.22,66.03,211.32,68.76,69.50,232.08,122.14,13.73, , ,136.72, ,92.15, ,121.61,142.48,145.01,64.85,128.14,187.18,176.22,5.59,26.50,291.49,155.63,48.80,142.15,104.46,277.67,117.17, ,259.65,215.02,268.37,17.07,11.43,275.46,62.12,293.88,212.67,155.42,191.32,60.05, , ,54.52, ,153.80,59.77,267.86,25.69,265.76,103.55,100.40,84.40,64.81,234.25,239.61,98.65,212.20,128.71,230.02,295.26,164.37,141.15,3.72,224.35,291.78,291.76,98.83,113.75,160.35,70.96,200.15,231.89,45.12,7.49,172.13,58.97,57.78,168.74,66.96, , ,120.99, ,219.82,264.66,259.26,154.42,212.82,291.12
69.16,32.66,223.85,103.26,93.19,129.08,70.34,185.67,43.16,279.98,7.32,46.44, , ,25.81,224.90,195.31,68.65,38.35,263.38,252.84,144.99,211.27,4.10, , ,5.35,10.25,269.02,279.25,257.55,96.47,21.99,176.51,219.75,83.13,56.48,239.71,117.90,116.80, ,161.20,253.27,179.51,154.61,245.20,193.75,177.42,272.25,252.72,88.95,146.02,224.06, ,125.54,62.76, , ,103.55,263.96,170.65,143.74, ,224.69,125.37,76.81,271.31,160.51,197.11,32.34,188.51,246.71,6.89, ,17.57,1.43,281.74,211.43,278.94,50.16,211.91,56.35,123.58,170.04,282.99,216.18,65.09, ,253.49,239.94,184.76,265.20,214.28,77.72,116.22,89.92,76.16, ,85.69,237.99,249.62,132.31,25.15,26.10,150.88,15.97,78.06, ,244.35,217.13, ,33.35,292.48,262.48,281.21,0.44,3.91, 
 ,115.86,33.61, ,184.49, ,299.14,205.86,57.67,296.13,271.22,266.06,158.58,198.36, , ,59.00,148.87,116.83,64.52, ,5.90,141.95,34.08,169.10,12.95,109.21, ,138.68,172.68,287.28,137.06,269.85,244.61,95.25, ,159.77, ,165.67,32.09,280.91,298.01,0.31,203.20,144.76, ,17.44,139.03,176.20,58.34,47.63,167.51,260.50,20.96,192.95,182.73, ,170.09,42.70,255.64,263.41,287.77,117.84,254.18,203.12,264.67,104.82,142.89,102.22,234.86,63.12,135.59,151.36,104.83,176.09,139.95,160.87,254.64,154.64,185.04,266.01,33.14,291.43,284.73,46.19,46.51,122.24,194.28,187.78,167.66,59.58,203.37,135.33,199.16,66.83,47.73,233.91,103.68,256.89, ,3.09, ,112.40,247.60, ,135.38,271.50,65.36, ,285.81,260.63,104.42,269.17,60.30,233.01,128.41,252.39,192.99
